;time;token;event;nodeName;global_position;local_position;local_dimensions;nodeType
0;2022-01-20 13:01:52.344000+00:00;sR3hl9W1jLu9vbrw;click;H1;[869, 246];['', ''];['', ''];
1;2022-01-20 13:01:52.519000+00:00;sR3hl9W1jLu9vbrw;click;H1;[869, 246];['', ''];['', ''];
2;2022-01-20 13:01:52.721000+00:00;sR3hl9W1jLu9vbrw;click;H1;[869, 246];['', ''];['', ''];
3;2022-01-20 13:02:18.349000+00:00;sR3hl9W1jLu9vbrw;click;BUTTON;[1296, 343];[30, 3];[104, 36];
4;2022-01-20 13:02:44.358000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[373, 249];[77, 11];[185, 26];text
5;2022-01-20 13:04:16.527000+00:00;sR3hl9W1jLu9vbrw;click;LABEL;[292, 484];[149, 11];[389, 24];
6;2022-01-20 13:04:16.528000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[292, 484];[172, 6];[14, 14];checkbox
7;2022-01-20 13:04:21.938000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[130, 531];[10, 2];[14, 14];checkbox
8;2022-01-20 13:04:25.074000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[126, 509];[6, 6];[14, 14];checkbox
9;2022-01-20 13:04:39.166000+00:00;sR3hl9W1jLu9vbrw;click;DIV;[125, 493];['', ''];['', ''];
10;2022-01-20 13:04:39.640000+00:00;sR3hl9W1jLu9vbrw;click;DIV;[125, 493];['', ''];['', ''];
11;2022-01-20 13:04:40.569000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[123, 491];[3, 13];[14, 14];checkbox
12;2022-01-20 13:04:41.768000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[120, 454];[0, 3];[14, 14];checkbox
13;2022-01-20 13:04:45.301000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[130, 544];[10, 14];[14, 14];checkbox
14;2022-01-20 13:04:49.345000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[130, 544];[10, 14];[14, 14];checkbox
15;2022-01-20 13:04:50.795000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[127, 516];[7, 13];[14, 14];checkbox
16;2022-01-20 13:05:21.554000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[131, 556];[11, 0];[14, 14];checkbox
17;2022-01-20 13:05:24.290000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[129, 591];[9, 8];[14, 14];checkbox
18;2022-01-20 13:05:47.383000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[125, 392];[5, 3];[14, 14];checkbox
19;2022-01-20 13:05:48.591000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[125, 424];[5, 8];[14, 14];checkbox
20;2022-01-20 13:05:53.728000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[122, 609];[2, 7];[14, 14];checkbox
21;2022-01-20 13:05:55.631000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[122, 576];[2, 0];[14, 14];checkbox
22;2022-01-20 13:06:10.495000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[128, 442];[8, 3];[14, 14];checkbox
23;2022-01-20 13:06:11.616000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[127, 500];[7, 9];[14, 14];checkbox
24;2022-01-20 13:06:14.113000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[126, 466];[6, 1];[14, 14];checkbox
25;2022-01-20 13:06:24.288000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[127, 409];[7, 6];[14, 14];checkbox
26;2022-01-20 13:06:26.317000+00:00;sR3hl9W1jLu9vbrw;click;INPUT;[122, 382];[2, 4];[14, 14];checkbox
