;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:43.640000+00:00;su3i3ZvGPf0DoYDC;click;H1;;[909, 226];['', ''];['', '']
1;2022-01-13 12:43:43.800000+00:00;su3i3ZvGPf0DoYDC;click;H1;;[909, 226];['', ''];['', '']
2;2022-01-13 12:43:48.704000+00:00;su3i3ZvGPf0DoYDC;click;P;;[1350, 297];['', ''];['', '']
3;2022-01-13 12:43:56.080000+00:00;su3i3ZvGPf0DoYDC;click;BUTTON;;[1563, 357];[78, 17];[105, 36]
4;2022-01-13 12:44:33.545000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[472, 269];[128, 14];[181, 24]
5;2022-01-13 12:44:33.546000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[472, 269];[151, 9];[14, 14]
6;2022-01-13 12:44:34.032000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[472, 269];[128, 14];[181, 24]
7;2022-01-13 12:44:34.033000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[472, 269];[151, 9];[14, 14]
8;2022-01-13 12:44:34.952000+00:00;su3i3ZvGPf0DoYDC;click;NULL;;[234, 255];['', ''];['', '']
9;2022-01-13 12:44:35.728000+00:00;su3i3ZvGPf0DoYDC;click;DIV;;[322, 276];['', ''];['', '']
10;2022-01-13 12:44:36.361000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[327, 259];[6, -1];[14, 14]
11;2022-01-13 12:45:25.664000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[372, 373];[28, 13];[84, 24]
12;2022-01-13 12:45:25.665000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[372, 373];[51, 8];[14, 14]
13;2022-01-13 12:45:29.984000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[340, 415];[20, 22];[73, 36]
14;2022-01-13 12:45:29.985000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[340, 415];[20, 23];[13, 13]
15;2022-01-13 12:45:30.664000+00:00;su3i3ZvGPf0DoYDC;click;DIV;;[401, 485];['', ''];['', '']
16;2022-01-13 12:45:34.376000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[378, 408];[58, 35];[73, 36]
17;2022-01-13 12:45:34.377000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[378, 408];[58, 36];[13, 13]
18;2022-01-13 12:45:35.336000+00:00;su3i3ZvGPf0DoYDC;click;DIV;;[387, 443];['', ''];['', '']
19;2022-01-13 12:45:47.032000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[413, 304];[19, 31];[66, 36]
20;2022-01-13 12:45:47.033000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[413, 304];[19, 32];[13, 13]
21;2022-01-13 12:45:47.592000+00:00;su3i3ZvGPf0DoYDC;click;DIV;;[384, 349];['', ''];['', '']
22;2022-01-13 12:46:01.336000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[507, 326];[163, 8];[550, 24]
23;2022-01-13 12:46:01.337000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[507, 326];[186, 3];[14, 14]
24;2022-01-13 12:46:07.344000+00:00;su3i3ZvGPf0DoYDC;click;NULL;;[91, 359];['', ''];['', '']
25;2022-01-13 12:46:42.184000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[572, 551];[228, 17];[543, 24]
26;2022-01-13 12:46:42.185000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;checkbox;[572, 551];[251, 12];[14, 14]
27;2022-01-13 12:46:44.768000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[450, 578];[106, 18];[403, 24]
28;2022-01-13 12:46:44.769000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;checkbox;[450, 578];[129, 13];[14, 14]
29;2022-01-13 12:46:45.448000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[450, 605];[106, 19];[335, 24]
30;2022-01-13 12:46:45.449000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;checkbox;[450, 605];[129, 14];[14, 14]
31;2022-01-13 12:46:45.944000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[442, 628];[98, 16];[584, 24]
32;2022-01-13 12:46:45.945000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;checkbox;[442, 628];[121, 11];[14, 14]
33;2022-01-13 12:46:46.776000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[433, 631];[89, 19];[584, 24]
34;2022-01-13 12:46:46.776000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;checkbox;[433, 631];[112, 14];[14, 14]
35;2022-01-13 12:46:47.168000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[431, 603];[87, 17];[335, 24]
36;2022-01-13 12:46:47.169000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;checkbox;[431, 603];[110, 12];[14, 14]
37;2022-01-13 12:46:47.528000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;checkbox;[427, 567];[106, 2];[14, 14]
38;2022-01-13 12:46:47.528000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[427, 567];[83, 7];[403, 24]
39;2022-01-13 12:47:11.576000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[363, 563];[19, 10];[241, 24]
40;2022-01-13 12:47:11.576000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[363, 563];[42, 5];[14, 14]
41;2022-01-13 12:47:12.016000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[360, 594];[16, 15];[95, 24]
42;2022-01-13 12:47:12.017000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[360, 594];[39, 10];[14, 14]
43;2022-01-13 12:47:12.504000+00:00;su3i3ZvGPf0DoYDC;click;DIV;;[339, 547];['', ''];['', '']
44;2022-01-13 12:47:13.568000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;radio;[330, 537];[9, 5];[14, 14]
45;2022-01-13 12:47:22.176000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[460, 540];[116, 12];[403, 24]
46;2022-01-13 12:47:22.176000+00:00;su3i3ZvGPf0DoYDC;click;INPUT;checkbox;[460, 540];[139, 7];[14, 14]
47;2022-01-13 12:47:49.328000+00:00;su3i3ZvGPf0DoYDC;click;LABEL;;[411, 764];[67, 16];[109, 24]
