;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:58.945000+00:00;w8UYHRjaBTkb+RdW;click;H1;;[561, 249];['', ''];['', '']
1;2022-01-13 12:44:16.371000+00:00;w8UYHRjaBTkb+RdW;click;BUTTON;;[1351, 362];[58, 23];[104, 36]
2;2022-01-13 12:44:42.372000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;radio;[139, 269];[10, 10];[14, 14]
3;2022-01-13 12:45:00.643000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;radio;[131, 240];[2, 6];[14, 14]
4;2022-01-13 12:45:02.107000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;radio;[133, 267];[4, 7];[14, 14]
5;2022-01-13 12:45:24.514000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;radio;[139, 336];[10, 6];[14, 14]
6;2022-01-13 12:45:35.754000+00:00;w8UYHRjaBTkb+RdW;click;LABEL;;[152, 319];[23, 17];[73, 36]
7;2022-01-13 12:45:35.755000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;radio;[152, 319];[23, 18];[13, 13]
8;2022-01-13 12:45:46.377000+00:00;w8UYHRjaBTkb+RdW;click;LABEL;;[231, 504];[29, 22];[66, 36]
9;2022-01-13 12:45:46.378000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;radio;[231, 504];[29, 23];[13, 13]
10;2022-01-13 12:46:20.786000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;radio;[140, 368];[10, 9];[14, 14]
11;2022-01-13 12:46:34.987000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;checkbox;[134, 305];[5, 10];[14, 14]
12;2022-01-13 12:46:35.539000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;checkbox;[134, 333];[5, 12];[14, 14]
13;2022-01-13 12:46:36.018000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;checkbox;[136, 360];[6, 13];[14, 14]
14;2022-01-13 12:46:36.442000+00:00;w8UYHRjaBTkb+RdW;click;DIV;;[138, 389];['', ''];['', '']
15;2022-01-13 12:46:36.899000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;checkbox;[137, 381];[8, 8];[14, 14]
16;2022-01-13 12:46:37.291000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;checkbox;[137, 360];[8, 13];[14, 14]
17;2022-01-13 12:46:37.667000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;checkbox;[139, 335];[10, 15];[14, 14]
18;2022-01-13 12:46:38.474000+00:00;w8UYHRjaBTkb+RdW;click;DIV;;[129, 291];['', ''];['', '']
19;2022-01-13 12:46:39.227000+00:00;w8UYHRjaBTkb+RdW;click;INPUT;checkbox;[136, 304];[7, 9];[14, 14]
