;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:01.494000+00:00;xSWJnBUBlvP0a07O;click;H1;;[1141, 259];['', ''];['', '']
1;2022-01-13 12:44:26.668000+00:00;xSWJnBUBlvP0a07O;click;BUTTON;;[1558, 354];[79, 14];[111, 36]
2;2022-01-13 12:44:50.185000+00:00;xSWJnBUBlvP0a07O;click;INPUT;radio;[332, 269];[8, 9];[14, 14]
3;2022-01-13 12:45:40.417000+00:00;xSWJnBUBlvP0a07O;click;INPUT;radio;[334, 567];[10, 9];[14, 14]
4;2022-01-13 12:45:43.758000+00:00;xSWJnBUBlvP0a07O;click;LABEL;;[423, 625];[25, 27];[68, 36]
5;2022-01-13 12:45:43.769000+00:00;xSWJnBUBlvP0a07O;click;INPUT;radio;[423, 625];[23, 26];[10, 10]
6;2022-01-13 12:46:07.366000+00:00;xSWJnBUBlvP0a07O;click;LABEL;;[433, 685];[35, 21];[68, 36]
7;2022-01-13 12:46:07.369000+00:00;xSWJnBUBlvP0a07O;click;INPUT;radio;[433, 685];[33, 20];[10, 10]
8;2022-01-13 12:46:08.168000+00:00;xSWJnBUBlvP0a07O;click;LABEL;;[365, 500];[42, 16];[74, 36]
9;2022-01-13 12:46:08.174000+00:00;xSWJnBUBlvP0a07O;click;INPUT;radio;[365, 500];[40, 15];[10, 10]
10;2022-01-13 12:46:58.513000+00:00;xSWJnBUBlvP0a07O;click;INPUT;radio;[335, 653];[11, 7];[14, 14]
11;2022-01-13 12:47:38.338000+00:00;xSWJnBUBlvP0a07O;click;INPUT;checkbox;[327, 644];[3, 6];[14, 14]
12;2022-01-13 12:47:45.963000+00:00;xSWJnBUBlvP0a07O;click;INPUT;radio;[329, 729];[5, 3];[14, 14]
13;2022-01-13 12:49:17.698000+00:00;xSWJnBUBlvP0a07O;click;BUTTON;;[1779, 922];[83, 27];[201, 36]
14;2022-01-13 12:49:42.379000+00:00;xSWJnBUBlvP0a07O;click;BUTTON;;[1831, 909];[0, 0];[0, 0]
15;2022-01-13 12:50:23.472000+00:00;xSWJnBUBlvP0a07O;click;INPUT;radio;[335, 290];[11, 4];[14, 14]
16;2022-01-13 12:50:45.878000+00:00;xSWJnBUBlvP0a07O;click;INPUT;checkbox;[334, 487];[10, 7];[14, 14]
17;2022-01-13 12:50:46.628000+00:00;xSWJnBUBlvP0a07O;click;INPUT;checkbox;[330, 511];[6, 5];[14, 14]
18;2022-01-13 12:50:47.191000+00:00;xSWJnBUBlvP0a07O;click;INPUT;checkbox;[330, 511];[6, 5];[14, 14]
19;2022-01-13 12:50:51.907000+00:00;xSWJnBUBlvP0a07O;click;INPUT;checkbox;[331, 505];[7, -1];[14, 14]
20;2022-01-13 12:50:58.428000+00:00;xSWJnBUBlvP0a07O;click;INPUT;checkbox;[330, 567];[6, 9];[14, 14]
