;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:43:46.066000+00:00;yurieOwomqoXeqmo;click;H1;;[1217, 250];['', ''];['', '']
1;2022-01-13 12:44:03.001000+00:00;yurieOwomqoXeqmo;click;BUTTON;;[1490, 358];[25, 18];[105, 36]
2;2022-01-13 12:44:29.505000+00:00;yurieOwomqoXeqmo;click;LABEL;;[456, 265];[131, 10];[181, 24]
3;2022-01-13 12:44:29.506000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[456, 265];[154, 5];[14, 14]
4;2022-01-13 12:44:57.461000+00:00;yurieOwomqoXeqmo;click;LABEL;;[408, 491];[83, 12];[95, 24]
5;2022-01-13 12:44:57.462000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[408, 491];[106, 7];[14, 14]
6;2022-01-13 12:44:58.959000+00:00;yurieOwomqoXeqmo;click;LABEL;;[408, 491];[83, 12];[95, 24]
7;2022-01-13 12:44:58.960000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[408, 491];[106, 7];[14, 14]
8;2022-01-13 12:44:59.527000+00:00;yurieOwomqoXeqmo;click;LABEL;;[402, 469];[77, 16];[241, 24]
9;2022-01-13 12:44:59.528000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[402, 469];[100, 11];[14, 14]
10;2022-01-13 12:45:04.136000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[384, 490];[82, 6];[14, 14]
11;2022-01-13 12:45:04.136000+00:00;yurieOwomqoXeqmo;click;LABEL;;[384, 490];[59, 11];[95, 24]
12;2022-01-13 12:45:27.474000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[405, 553];[30, 28];[13, 13]
13;2022-01-13 12:45:27.474000+00:00;yurieOwomqoXeqmo;click;LABEL;;[405, 553];[30, 27];[66, 36]
14;2022-01-13 12:45:28.951000+00:00;yurieOwomqoXeqmo;click;LABEL;;[356, 734];[55, 28];[73, 36]
15;2022-01-13 12:45:28.951000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[356, 734];[55, 29];[13, 13]
16;2022-01-13 12:45:44.609000+00:00;yurieOwomqoXeqmo;click;LABEL;;[339, 592];[14, 7];[550, 24]
17;2022-01-13 12:45:44.609000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[339, 592];[37, 2];[14, 14]
18;2022-01-13 12:46:01.963000+00:00;yurieOwomqoXeqmo;click;LABEL;;[325, 454];[24, 28];[73, 36]
19;2022-01-13 12:46:01.963000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[325, 454];[24, 29];[13, 13]
20;2022-01-13 12:46:02.646000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[432, 631];[57, 26];[13, 13]
21;2022-01-13 12:46:02.646000+00:00;yurieOwomqoXeqmo;click;LABEL;;[432, 631];[57, 25];[66, 36]
22;2022-01-13 12:46:29.516000+00:00;yurieOwomqoXeqmo;click;DIV;;[1355, 182];['', ''];['', '']
23;2022-01-13 12:46:29.966000+00:00;yurieOwomqoXeqmo;click;DIV;;[1254, 225];['', ''];['', '']
24;2022-01-13 12:46:52.238000+00:00;yurieOwomqoXeqmo;click;DIV;;[892, 490];['', ''];['', '']
25;2022-01-13 12:47:15.508000+00:00;yurieOwomqoXeqmo;click;DIV;;[638, 677];['', ''];['', '']
26;2022-01-13 12:47:16.111000+00:00;yurieOwomqoXeqmo;click;DIV;;[650, 669];['', ''];['', '']
27;2022-01-13 12:47:17.194000+00:00;yurieOwomqoXeqmo;click;DIV;;[480, 670];['', ''];['', '']
28;2022-01-13 12:47:17.960000+00:00;yurieOwomqoXeqmo;click;DIV;;[1215, 664];['', ''];['', '']
29;2022-01-13 12:48:12.826000+00:00;yurieOwomqoXeqmo;click;NULL;;[230, 458];['', ''];['', '']
30;2022-01-13 12:48:13.312000+00:00;yurieOwomqoXeqmo;click;LABEL;;[487, 503];[162, 10];[550, 24]
31;2022-01-13 12:48:13.313000+00:00;yurieOwomqoXeqmo;click;INPUT;radio;[487, 503];[185, 5];[14, 14]
32;2022-01-13 12:48:15.081000+00:00;yurieOwomqoXeqmo;click;DIV;;[826, 473];['', ''];['', '']
33;2022-01-13 12:48:15.376000+00:00;yurieOwomqoXeqmo;click;DIV;;[826, 473];['', ''];['', '']
34;2022-01-13 12:48:18.203000+00:00;yurieOwomqoXeqmo;click;DIV;;[863, 517];['', ''];['', '']
