;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 12:44:08.088000+00:00;yyDdWKy6Lft0SocW;click;BUTTON;;[1854, 365];[69, 25];[105, 36]
1;2022-01-13 12:44:23.159000+00:00;yyDdWKy6Lft0SocW;click;INPUT;radio;[630, 243];[8, 9];[14, 14]
2;2022-01-13 12:44:24.613000+00:00;yyDdWKy6Lft0SocW;click;NULL;;[586, 437];['', ''];['', '']
3;2022-01-13 12:44:38.150000+00:00;yyDdWKy6Lft0SocW;click;INPUT;radio;[625, 671];[3, 9];[14, 14]
4;2022-01-13 12:44:45.163000+00:00;yyDdWKy6Lft0SocW;click;LABEL;;[650, 536];[29, 10];[73, 36]
5;2022-01-13 12:44:45.164000+00:00;yyDdWKy6Lft0SocW;click;INPUT;radio;[650, 536];[29, 11];[13, 13]
6;2022-01-13 12:44:45.993000+00:00;yyDdWKy6Lft0SocW;click;LABEL;;[670, 732];[49, 26];[73, 36]
7;2022-01-13 12:44:45.994000+00:00;yyDdWKy6Lft0SocW;click;INPUT;radio;[670, 732];[49, 27];[13, 13]
8;2022-01-13 12:44:47.633000+00:00;yyDdWKy6Lft0SocW;click;NULL;;[485, 773];['', ''];['', '']
9;2022-01-13 12:44:57.616000+00:00;yyDdWKy6Lft0SocW;click;INPUT;radio;[629, 716];[7, 6];[14, 14]
10;2022-01-13 12:44:58.201000+00:00;yyDdWKy6Lft0SocW;click;NULL;;[522, 871];['', ''];['', '']
11;2022-01-13 12:45:01.121000+00:00;yyDdWKy6Lft0SocW;click;NULL;;[440, 731];['', ''];['', '']
12;2022-01-13 12:45:01.352000+00:00;yyDdWKy6Lft0SocW;click;NULL;;[263, 705];['', ''];['', '']
13;2022-01-13 12:45:01.557000+00:00;yyDdWKy6Lft0SocW;click;NULL;;[322, 917];['', ''];['', '']
14;2022-01-13 12:45:01.788000+00:00;yyDdWKy6Lft0SocW;click;NULL;;[446, 884];['', ''];['', '']
