;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 12:50:08.836000+00:00;zR5t6GLnAN2BWmvs;click;BUTTON;;[978, 358];[54, 21];[105, 36]
1;2022-01-20 12:52:29.960000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[251, 183];[41, 8];[185, 26]
2;2022-01-20 12:54:02.291000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[146, 292];[8, 13];[14, 14]
3;2022-01-20 12:56:22.774000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[147, 270];[9, 7];[14, 14]
4;2022-01-20 12:56:51.914000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[149, 296];[11, 7];[14, 14]
5;2022-01-20 12:57:09.738000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[147, 388];[9, 2];[14, 14]
6;2022-01-20 12:57:10.379000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[145, 370];[7, 10];[14, 14]
7;2022-01-20 12:57:10.954000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[149, 392];[11, 6];[14, 14]
8;2022-01-20 12:57:21.784000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[146, 418];[8, 6];[14, 14]
9;2022-01-20 12:58:09.547000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[150, 294];[12, 4];[14, 14]
10;2022-01-20 12:58:47.836000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[149, 218];[11, 6];[14, 14]
11;2022-01-20 12:59:09.246000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[150, 244];[12, 6];[14, 14]
12;2022-01-20 12:59:23.858000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[148, 188];[10, 8];[14, 14]
13;2022-01-20 12:59:42.881000+00:00;zR5t6GLnAN2BWmvs;click;LABEL;;[166, 161];[5, 12];[333, 24]
14;2022-01-20 12:59:42.884000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[166, 161];[28, 7];[14, 14]
15;2022-01-20 12:59:59.430000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[149, 171];[11, 5];[14, 14]
16;2022-01-20 13:01:30.690000+00:00;zR5t6GLnAN2BWmvs;click;LABEL;;[166, 348];[5, 18];[352, 24]
17;2022-01-20 13:01:30.695000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[166, 348];[28, 13];[14, 14]
18;2022-01-20 13:01:48.805000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[148, 272];[10, 6];[14, 14]
19;2022-01-20 13:02:03.527000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[149, 351];[11, 7];[14, 14]
20;2022-01-20 13:02:07.241000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[148, 325];[10, 7];[14, 14]
21;2022-01-20 13:02:34.403000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;checkbox;[152, 376];[14, 13];[14, 14]
22;2022-01-20 13:06:52.884000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[218, 376];[79, 8];[185, 26]
23;2022-01-20 13:07:32.690000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[201, 316];[62, 18];[185, 26]
24;2022-01-20 13:07:41.956000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[157, 262];[18, 12];[185, 26]
25;2022-01-20 13:07:46.654000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[208, 265];[69, 14];[185, 26]
26;2022-01-20 13:08:00.630000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[295, 250];[156, 8];[185, 26]
27;2022-01-20 13:09:42.703000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[331, 111];[17, 3];[185, 26]
28;2022-01-20 13:09:49.224000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[339, 221];[25, 18];[185, 26]
29;2022-01-20 13:10:37.596000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[374, 204];[60, 7];[185, 26]
30;2022-01-20 13:10:57.346000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[354, 281];[41, 13];[185, 26]
31;2022-01-20 13:11:02.973000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[451, 376];[137, 13];[185, 26]
32;2022-01-20 13:11:32.034000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[358, 352];[44, 13];[185, 26]
33;2022-01-20 13:11:39.536000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[469, 194];[155, -2];[185, 26]
34;2022-01-20 13:11:57.881000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[364, 282];[51, 14];[185, 26]
35;2022-01-20 13:12:03.572000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[442, 380];[129, 17];[185, 26]
36;2022-01-20 13:12:27.817000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[378, 284];[65, 5];[185, 26]
37;2022-01-20 13:12:31.677000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[348, 284];[34, 5];[185, 26]
38;2022-01-20 13:12:39.253000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[434, 508];[121, 4];[185, 26]
39;2022-01-20 13:12:45.363000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[420, 369];[106, 4];[185, 26]
40;2022-01-20 13:12:56.692000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[338, 111];[25, 17];[185, 26]
41;2022-01-20 13:13:11.990000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[184, 366];[45, 14];[185, 26]
42;2022-01-20 13:19:13.651000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[138, 453];[-1, 15];[185, 26]
43;2022-01-20 13:19:19.125000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[196, 458];[57, 20];[208, 26]
44;2022-01-20 13:19:21.566000+00:00;zR5t6GLnAN2BWmvs;click;INPUT;text;[162, 382];[23, 15];[185, 26]
