;time;token;event;global_position
0;2022-01-13 12:47:48.442000+00:00;+bzR3Yv4VRsNjodM;move;[728, 378]
1;2022-01-13 12:53:23.268000+00:00;+bzR3Yv4VRsNjodM;move;[862, 1900]
2;2022-01-13 12:53:28.103000+00:00;+bzR3Yv4VRsNjodM;move;[914, 1890]
3;2022-01-13 12:54:19.333000+00:00;+bzR3Yv4VRsNjodM;move;[853, 1897]
4;2022-01-13 12:55:00.085000+00:00;+bzR3Yv4VRsNjodM;move;[928, 1896]
5;2022-01-13 12:55:11.946000+00:00;+bzR3Yv4VRsNjodM;move;[863, 1819]
6;2022-01-13 12:55:14.710000+00:00;+bzR3Yv4VRsNjodM;move;[941, 1828]
7;2022-01-13 12:55:26.186000+00:00;+bzR3Yv4VRsNjodM;move;[872, 1892]
8;2022-01-13 12:55:38.103000+00:00;+bzR3Yv4VRsNjodM;move;[931, 1896]
9;2022-01-13 12:55:49.168000+00:00;+bzR3Yv4VRsNjodM;move;[878, 1884]
10;2022-01-13 12:55:50.914000+00:00;+bzR3Yv4VRsNjodM;move;[911, 1891]
11;2022-01-13 12:56:17.858000+00:00;+bzR3Yv4VRsNjodM;move;[899, 1892]
12;2022-01-13 12:56:21.875000+00:00;+bzR3Yv4VRsNjodM;move;[930, 1889]
13;2022-01-13 12:56:25.485000+00:00;+bzR3Yv4VRsNjodM;move;[889, 930]
14;2022-01-13 12:56:35.874000+00:00;+bzR3Yv4VRsNjodM;move;[907, 919]
