;time;token;event;global_position
0;2022-01-13 12:43:56.234000+00:00;+gp9ZuW0H6lVbFwT;move;[1181, 785]
1;2022-01-13 12:43:56.246000+00:00;+gp9ZuW0H6lVbFwT;move;[1180, 784]
2;2022-01-13 12:43:56.251000+00:00;+gp9ZuW0H6lVbFwT;move;[1180, 783]
3;2022-01-13 12:43:56.256000+00:00;+gp9ZuW0H6lVbFwT;move;[1179, 782]
4;2022-01-13 12:43:56.259000+00:00;+gp9ZuW0H6lVbFwT;move;[1179, 781]
5;2022-01-13 12:43:56.264000+00:00;+gp9ZuW0H6lVbFwT;move;[1179, 780]
6;2022-01-13 12:43:56.267000+00:00;+gp9ZuW0H6lVbFwT;move;[1178, 780]
7;2022-01-13 12:43:56.271000+00:00;+gp9ZuW0H6lVbFwT;move;[1177, 779]
8;2022-01-13 12:43:56.276000+00:00;+gp9ZuW0H6lVbFwT;move;[1176, 778]
9;2022-01-13 12:43:56.279000+00:00;+gp9ZuW0H6lVbFwT;move;[1176, 777]
10;2022-01-13 12:43:56.283000+00:00;+gp9ZuW0H6lVbFwT;move;[1175, 776]
11;2022-01-13 12:43:56.288000+00:00;+gp9ZuW0H6lVbFwT;move;[1173, 774]
12;2022-01-13 12:43:56.292000+00:00;+gp9ZuW0H6lVbFwT;move;[1172, 773]
13;2022-01-13 12:43:56.296000+00:00;+gp9ZuW0H6lVbFwT;move;[1170, 771]
14;2022-01-13 12:43:56.300000+00:00;+gp9ZuW0H6lVbFwT;move;[1168, 769]
15;2022-01-13 12:43:56.304000+00:00;+gp9ZuW0H6lVbFwT;move;[1165, 767]
16;2022-01-13 12:43:56.308000+00:00;+gp9ZuW0H6lVbFwT;move;[1162, 764]
17;2022-01-13 12:43:56.313000+00:00;+gp9ZuW0H6lVbFwT;move;[1159, 762]
18;2022-01-13 12:43:56.317000+00:00;+gp9ZuW0H6lVbFwT;move;[1156, 759]
19;2022-01-13 12:43:56.321000+00:00;+gp9ZuW0H6lVbFwT;move;[1151, 755]
20;2022-01-13 12:43:56.325000+00:00;+gp9ZuW0H6lVbFwT;move;[1144, 750]
21;2022-01-13 12:43:56.329000+00:00;+gp9ZuW0H6lVbFwT;move;[1138, 745]
22;2022-01-13 12:43:56.334000+00:00;+gp9ZuW0H6lVbFwT;move;[1131, 740]
23;2022-01-13 12:43:56.338000+00:00;+gp9ZuW0H6lVbFwT;move;[1123, 734]
24;2022-01-13 12:43:56.342000+00:00;+gp9ZuW0H6lVbFwT;move;[1115, 728]
25;2022-01-13 12:43:56.346000+00:00;+gp9ZuW0H6lVbFwT;move;[1104, 721]
26;2022-01-13 12:43:56.350000+00:00;+gp9ZuW0H6lVbFwT;move;[1094, 714]
27;2022-01-13 12:43:56.354000+00:00;+gp9ZuW0H6lVbFwT;move;[1084, 708]
28;2022-01-13 12:43:56.359000+00:00;+gp9ZuW0H6lVbFwT;move;[1075, 703]
29;2022-01-13 12:43:56.363000+00:00;+gp9ZuW0H6lVbFwT;move;[1065, 698]
30;2022-01-13 12:43:56.367000+00:00;+gp9ZuW0H6lVbFwT;move;[1057, 693]
31;2022-01-13 12:43:56.371000+00:00;+gp9ZuW0H6lVbFwT;move;[1046, 688]
32;2022-01-13 12:43:56.375000+00:00;+gp9ZuW0H6lVbFwT;move;[1039, 684]
