;time;token;event;global_position
0;2022-01-13 12:46:52.640000+00:00;+toWCKHQDTcrSpd5;move;[1287, 927]
1;2022-01-13 12:46:52.652000+00:00;+toWCKHQDTcrSpd5;move;[1286, 926]
2;2022-01-13 12:46:52.683000+00:00;+toWCKHQDTcrSpd5;move;[1281, 919]
3;2022-01-13 12:46:52.694000+00:00;+toWCKHQDTcrSpd5;move;[1277, 916]
4;2022-01-13 12:46:52.705000+00:00;+toWCKHQDTcrSpd5;move;[1271, 911]
5;2022-01-13 12:46:52.721000+00:00;+toWCKHQDTcrSpd5;move;[1263, 904]
6;2022-01-13 12:46:52.736000+00:00;+toWCKHQDTcrSpd5;move;[1253, 897]
7;2022-01-13 12:46:52.752000+00:00;+toWCKHQDTcrSpd5;move;[1241, 886]
8;2022-01-13 12:46:52.769000+00:00;+toWCKHQDTcrSpd5;move;[1229, 873]
9;2022-01-13 12:46:52.787000+00:00;+toWCKHQDTcrSpd5;move;[1216, 854]
10;2022-01-13 12:46:52.802000+00:00;+toWCKHQDTcrSpd5;move;[1202, 828]
11;2022-01-13 12:46:52.819000+00:00;+toWCKHQDTcrSpd5;move;[1185, 790]
12;2022-01-13 12:46:52.836000+00:00;+toWCKHQDTcrSpd5;move;[1166, 741]
13;2022-01-13 12:46:52.852000+00:00;+toWCKHQDTcrSpd5;move;[1147, 685]
14;2022-01-13 12:46:52.870000+00:00;+toWCKHQDTcrSpd5;move;[1125, 612]
15;2022-01-13 12:46:52.886000+00:00;+toWCKHQDTcrSpd5;move;[1100, 550]
16;2022-01-13 12:46:52.902000+00:00;+toWCKHQDTcrSpd5;move;[1069, 496]
17;2022-01-13 12:46:52.919000+00:00;+toWCKHQDTcrSpd5;move;[1039, 457]
18;2022-01-13 12:46:52.936000+00:00;+toWCKHQDTcrSpd5;move;[1008, 425]
19;2022-01-13 12:46:52.952000+00:00;+toWCKHQDTcrSpd5;move;[978, 398]
20;2022-01-13 12:46:52.969000+00:00;+toWCKHQDTcrSpd5;move;[952, 376]
21;2022-01-13 12:46:52.986000+00:00;+toWCKHQDTcrSpd5;move;[930, 358]
22;2022-01-13 12:46:53.002000+00:00;+toWCKHQDTcrSpd5;move;[910, 342]
23;2022-01-13 12:46:53.019000+00:00;+toWCKHQDTcrSpd5;move;[893, 330]
24;2022-01-13 12:46:53.036000+00:00;+toWCKHQDTcrSpd5;move;[878, 322]
25;2022-01-13 12:46:53.052000+00:00;+toWCKHQDTcrSpd5;move;[867, 315]
26;2022-01-13 12:46:53.069000+00:00;+toWCKHQDTcrSpd5;move;[856, 308]
27;2022-01-13 12:46:53.086000+00:00;+toWCKHQDTcrSpd5;move;[842, 300]
28;2022-01-13 12:46:53.102000+00:00;+toWCKHQDTcrSpd5;move;[826, 291]
29;2022-01-13 12:46:53.119000+00:00;+toWCKHQDTcrSpd5;move;[811, 283]
30;2022-01-13 12:46:53.136000+00:00;+toWCKHQDTcrSpd5;move;[797, 277]
31;2022-01-13 12:46:53.153000+00:00;+toWCKHQDTcrSpd5;move;[787, 272]
32;2022-01-13 12:46:53.169000+00:00;+toWCKHQDTcrSpd5;move;[775, 267]
33;2022-01-13 12:46:53.186000+00:00;+toWCKHQDTcrSpd5;move;[763, 263]
34;2022-01-13 12:46:53.202000+00:00;+toWCKHQDTcrSpd5;move;[752, 259]
35;2022-01-13 12:46:53.219000+00:00;+toWCKHQDTcrSpd5;move;[744, 256]
36;2022-01-13 12:46:53.236000+00:00;+toWCKHQDTcrSpd5;move;[739, 254]
37;2022-01-13 12:46:53.253000+00:00;+toWCKHQDTcrSpd5;move;[734, 252]
38;2022-01-13 12:46:53.273000+00:00;+toWCKHQDTcrSpd5;move;[728, 249]
39;2022-01-13 12:46:53.289000+00:00;+toWCKHQDTcrSpd5;move;[720, 245]
40;2022-01-13 12:46:53.303000+00:00;+toWCKHQDTcrSpd5;move;[714, 241]
41;2022-01-13 12:46:53.320000+00:00;+toWCKHQDTcrSpd5;move;[705, 235]
42;2022-01-13 12:46:53.336000+00:00;+toWCKHQDTcrSpd5;move;[696, 228]
43;2022-01-13 12:46:53.353000+00:00;+toWCKHQDTcrSpd5;move;[688, 221]
44;2022-01-13 12:46:53.369000+00:00;+toWCKHQDTcrSpd5;move;[681, 214]
45;2022-01-13 12:46:53.386000+00:00;+toWCKHQDTcrSpd5;move;[672, 206]
46;2022-01-13 12:46:53.402000+00:00;+toWCKHQDTcrSpd5;move;[664, 200]
47;2022-01-13 12:46:53.419000+00:00;+toWCKHQDTcrSpd5;move;[656, 195]
48;2022-01-13 12:46:53.435000+00:00;+toWCKHQDTcrSpd5;move;[648, 191]
49;2022-01-13 12:46:53.452000+00:00;+toWCKHQDTcrSpd5;move;[640, 188]
50;2022-01-13 12:46:53.470000+00:00;+toWCKHQDTcrSpd5;move;[635, 186]
51;2022-01-13 12:46:53.489000+00:00;+toWCKHQDTcrSpd5;move;[634, 185]
52;2022-01-13 12:46:53.514000+00:00;+toWCKHQDTcrSpd5;move;[635, 185]
53;2022-01-13 12:46:53.519000+00:00;+toWCKHQDTcrSpd5;move;[637, 185]
54;2022-01-13 12:46:53.536000+00:00;+toWCKHQDTcrSpd5;move;[651, 185]
55;2022-01-13 12:46:53.552000+00:00;+toWCKHQDTcrSpd5;move;[678, 185]
56;2022-01-13 12:46:53.570000+00:00;+toWCKHQDTcrSpd5;move;[727, 187]
57;2022-01-13 12:46:53.586000+00:00;+toWCKHQDTcrSpd5;move;[799, 194]
58;2022-01-13 12:46:53.602000+00:00;+toWCKHQDTcrSpd5;move;[885, 204]
59;2022-01-13 12:46:53.619000+00:00;+toWCKHQDTcrSpd5;move;[989, 218]
60;2022-01-13 12:46:53.636000+00:00;+toWCKHQDTcrSpd5;move;[1107, 236]
61;2022-01-13 12:46:53.652000+00:00;+toWCKHQDTcrSpd5;move;[1223, 259]
62;2022-01-13 12:46:53.669000+00:00;+toWCKHQDTcrSpd5;move;[1337, 283]
63;2022-01-13 12:46:53.686000+00:00;+toWCKHQDTcrSpd5;move;[1430, 304]
64;2022-01-13 12:46:53.702000+00:00;+toWCKHQDTcrSpd5;move;[1499, 321]
65;2022-01-13 12:46:53.719000+00:00;+toWCKHQDTcrSpd5;move;[1548, 333]
66;2022-01-13 12:46:53.736000+00:00;+toWCKHQDTcrSpd5;move;[1576, 341]
67;2022-01-13 12:46:53.753000+00:00;+toWCKHQDTcrSpd5;move;[1581, 343]
68;2022-01-13 12:46:53.786000+00:00;+toWCKHQDTcrSpd5;move;[1580, 344]
69;2022-01-13 12:46:53.802000+00:00;+toWCKHQDTcrSpd5;move;[1579, 345]
70;2022-01-13 12:46:53.819000+00:00;+toWCKHQDTcrSpd5;move;[1578, 345]
71;2022-01-13 12:46:53.836000+00:00;+toWCKHQDTcrSpd5;move;[1578, 346]
72;2022-01-13 12:46:53.854000+00:00;+toWCKHQDTcrSpd5;move;[1575, 347]
73;2022-01-13 12:46:53.875000+00:00;+toWCKHQDTcrSpd5;move;[1571, 349]
74;2022-01-13 12:46:53.890000+00:00;+toWCKHQDTcrSpd5;move;[1564, 351]
75;2022-01-13 12:46:53.903000+00:00;+toWCKHQDTcrSpd5;move;[1558, 352]
76;2022-01-13 12:46:53.919000+00:00;+toWCKHQDTcrSpd5;move;[1548, 354]
77;2022-01-13 12:46:53.936000+00:00;+toWCKHQDTcrSpd5;move;[1535, 355]
78;2022-01-13 12:46:53.952000+00:00;+toWCKHQDTcrSpd5;move;[1522, 356]
79;2022-01-13 12:46:53.969000+00:00;+toWCKHQDTcrSpd5;move;[1507, 355]
80;2022-01-13 12:46:53.986000+00:00;+toWCKHQDTcrSpd5;move;[1490, 353]
81;2022-01-13 12:46:54.003000+00:00;+toWCKHQDTcrSpd5;move;[1469, 349]
82;2022-01-13 12:46:54.020000+00:00;+toWCKHQDTcrSpd5;move;[1439, 343]
83;2022-01-13 12:46:54.036000+00:00;+toWCKHQDTcrSpd5;move;[1407, 336]
84;2022-01-13 12:46:54.053000+00:00;+toWCKHQDTcrSpd5;move;[1368, 326]
85;2022-01-13 12:46:54.070000+00:00;+toWCKHQDTcrSpd5;move;[1325, 314]
86;2022-01-13 12:46:54.087000+00:00;+toWCKHQDTcrSpd5;move;[1277, 300]
87;2022-01-13 12:46:54.103000+00:00;+toWCKHQDTcrSpd5;move;[1231, 285]
88;2022-01-13 12:46:54.120000+00:00;+toWCKHQDTcrSpd5;move;[1176, 268]
89;2022-01-13 12:46:54.136000+00:00;+toWCKHQDTcrSpd5;move;[1130, 255]
90;2022-01-13 12:46:54.153000+00:00;+toWCKHQDTcrSpd5;move;[1088, 244]
91;2022-01-13 12:46:54.170000+00:00;+toWCKHQDTcrSpd5;move;[1050, 235]
92;2022-01-13 12:46:54.186000+00:00;+toWCKHQDTcrSpd5;move;[1021, 228]
93;2022-01-13 12:46:54.203000+00:00;+toWCKHQDTcrSpd5;move;[996, 222]
94;2022-01-13 12:46:54.219000+00:00;+toWCKHQDTcrSpd5;move;[971, 217]
95;2022-01-13 12:46:54.236000+00:00;+toWCKHQDTcrSpd5;move;[949, 213]
96;2022-01-13 12:46:54.252000+00:00;+toWCKHQDTcrSpd5;move;[931, 210]
97;2022-01-13 12:46:54.269000+00:00;+toWCKHQDTcrSpd5;move;[913, 207]
98;2022-01-13 12:46:54.286000+00:00;+toWCKHQDTcrSpd5;move;[897, 204]
99;2022-01-13 12:46:54.302000+00:00;+toWCKHQDTcrSpd5;move;[881, 202]
100;2022-01-13 12:46:54.319000+00:00;+toWCKHQDTcrSpd5;move;[863, 200]
101;2022-01-13 12:46:54.336000+00:00;+toWCKHQDTcrSpd5;move;[843, 198]
102;2022-01-13 12:46:54.352000+00:00;+toWCKHQDTcrSpd5;move;[824, 196]
103;2022-01-13 12:46:54.370000+00:00;+toWCKHQDTcrSpd5;move;[801, 194]
104;2022-01-13 12:46:54.386000+00:00;+toWCKHQDTcrSpd5;move;[775, 192]
105;2022-01-13 12:46:54.402000+00:00;+toWCKHQDTcrSpd5;move;[751, 190]
106;2022-01-13 12:46:54.419000+00:00;+toWCKHQDTcrSpd5;move;[729, 188]
107;2022-01-13 12:46:54.435000+00:00;+toWCKHQDTcrSpd5;move;[709, 187]
108;2022-01-13 12:46:54.452000+00:00;+toWCKHQDTcrSpd5;move;[694, 187]
109;2022-01-13 12:46:54.469000+00:00;+toWCKHQDTcrSpd5;move;[678, 188]
110;2022-01-13 12:46:54.486000+00:00;+toWCKHQDTcrSpd5;move;[666, 190]
111;2022-01-13 12:46:54.503000+00:00;+toWCKHQDTcrSpd5;move;[662, 191]
112;2022-01-13 12:46:54.520000+00:00;+toWCKHQDTcrSpd5;move;[662, 192]
113;2022-01-13 12:46:54.537000+00:00;+toWCKHQDTcrSpd5;move;[662, 194]
114;2022-01-13 12:46:54.552000+00:00;+toWCKHQDTcrSpd5;move;[663, 198]
115;2022-01-13 12:46:54.570000+00:00;+toWCKHQDTcrSpd5;move;[668, 201]
116;2022-01-13 12:46:54.585000+00:00;+toWCKHQDTcrSpd5;move;[674, 204]
117;2022-01-13 12:46:54.603000+00:00;+toWCKHQDTcrSpd5;move;[678, 207]
118;2022-01-13 12:46:54.619000+00:00;+toWCKHQDTcrSpd5;move;[680, 209]
119;2022-01-13 12:46:54.636000+00:00;+toWCKHQDTcrSpd5;move;[684, 212]
120;2022-01-13 12:46:54.652000+00:00;+toWCKHQDTcrSpd5;move;[687, 214]
121;2022-01-13 12:46:54.669000+00:00;+toWCKHQDTcrSpd5;move;[690, 216]
122;2022-01-13 12:46:54.689000+00:00;+toWCKHQDTcrSpd5;move;[694, 218]
123;2022-01-13 12:46:54.703000+00:00;+toWCKHQDTcrSpd5;move;[696, 219]
124;2022-01-13 12:46:54.721000+00:00;+toWCKHQDTcrSpd5;move;[697, 219]
125;2022-01-13 12:46:54.737000+00:00;+toWCKHQDTcrSpd5;move;[698, 219]
126;2022-01-13 12:46:54.752000+00:00;+toWCKHQDTcrSpd5;move;[699, 220]
127;2022-01-13 12:46:54.769000+00:00;+toWCKHQDTcrSpd5;move;[702, 222]
128;2022-01-13 12:46:54.786000+00:00;+toWCKHQDTcrSpd5;move;[709, 226]
129;2022-01-13 12:46:54.803000+00:00;+toWCKHQDTcrSpd5;move;[718, 230]
130;2022-01-13 12:46:54.819000+00:00;+toWCKHQDTcrSpd5;move;[727, 233]
131;2022-01-13 12:46:54.841000+00:00;+toWCKHQDTcrSpd5;move;[736, 234]
132;2022-01-13 12:46:54.853000+00:00;+toWCKHQDTcrSpd5;move;[750, 235]
133;2022-01-13 12:46:54.869000+00:00;+toWCKHQDTcrSpd5;move;[764, 237]
134;2022-01-13 12:46:54.886000+00:00;+toWCKHQDTcrSpd5;move;[773, 237]
135;2022-01-13 12:46:54.903000+00:00;+toWCKHQDTcrSpd5;move;[782, 237]
136;2022-01-13 12:46:54.922000+00:00;+toWCKHQDTcrSpd5;move;[787, 238]
137;2022-01-13 12:46:54.937000+00:00;+toWCKHQDTcrSpd5;move;[788, 238]
138;2022-01-13 12:46:54.985000+00:00;+toWCKHQDTcrSpd5;move;[789, 238]
139;2022-01-13 12:46:55.077000+00:00;+toWCKHQDTcrSpd5;move;[790, 238]
140;2022-01-13 12:46:55.142000+00:00;+toWCKHQDTcrSpd5;move;[791, 238]
141;2022-01-13 12:46:55.153000+00:00;+toWCKHQDTcrSpd5;move;[792, 238]
142;2022-01-13 12:46:55.171000+00:00;+toWCKHQDTcrSpd5;move;[795, 238]
143;2022-01-13 12:46:55.187000+00:00;+toWCKHQDTcrSpd5;move;[799, 237]
144;2022-01-13 12:46:55.202000+00:00;+toWCKHQDTcrSpd5;move;[810, 235]
145;2022-01-13 12:46:55.219000+00:00;+toWCKHQDTcrSpd5;move;[827, 234]
146;2022-01-13 12:46:55.237000+00:00;+toWCKHQDTcrSpd5;move;[847, 232]
147;2022-01-13 12:46:55.252000+00:00;+toWCKHQDTcrSpd5;move;[866, 231]
148;2022-01-13 12:46:55.269000+00:00;+toWCKHQDTcrSpd5;move;[884, 231]
149;2022-01-13 12:46:55.286000+00:00;+toWCKHQDTcrSpd5;move;[899, 232]
150;2022-01-13 12:46:55.302000+00:00;+toWCKHQDTcrSpd5;move;[914, 233]
151;2022-01-13 12:46:55.319000+00:00;+toWCKHQDTcrSpd5;move;[926, 235]
152;2022-01-13 12:46:55.336000+00:00;+toWCKHQDTcrSpd5;move;[938, 236]
153;2022-01-13 12:46:55.352000+00:00;+toWCKHQDTcrSpd5;move;[948, 237]
154;2022-01-13 12:46:55.369000+00:00;+toWCKHQDTcrSpd5;move;[958, 238]
