;time;token;event;global_position
0;2022-01-13 12:43:45.920000+00:00;017QphxNtGM4GpT9;move;[1183, 884]
1;2022-01-13 12:43:45.923000+00:00;017QphxNtGM4GpT9;move;[1183, 883]
2;2022-01-13 12:43:45.925000+00:00;017QphxNtGM4GpT9;move;[1182, 883]
3;2022-01-13 12:43:45.938000+00:00;017QphxNtGM4GpT9;move;[1181, 881]
4;2022-01-13 12:43:45.951000+00:00;017QphxNtGM4GpT9;move;[1176, 876]
5;2022-01-13 12:43:45.965000+00:00;017QphxNtGM4GpT9;move;[1171, 869]
6;2022-01-13 12:43:45.978000+00:00;017QphxNtGM4GpT9;move;[1161, 860]
7;2022-01-13 12:43:45.991000+00:00;017QphxNtGM4GpT9;move;[1148, 846]
8;2022-01-13 12:43:46.005000+00:00;017QphxNtGM4GpT9;move;[1131, 832]
9;2022-01-13 12:43:46.018000+00:00;017QphxNtGM4GpT9;move;[1107, 806]
10;2022-01-13 12:43:46.031000+00:00;017QphxNtGM4GpT9;move;[1079, 774]
11;2022-01-13 12:43:46.044000+00:00;017QphxNtGM4GpT9;move;[1045, 744]
12;2022-01-13 12:43:46.058000+00:00;017QphxNtGM4GpT9;move;[1007, 713]
13;2022-01-13 12:43:46.071000+00:00;017QphxNtGM4GpT9;move;[970, 687]
14;2022-01-13 12:43:46.084000+00:00;017QphxNtGM4GpT9;move;[941, 667]
15;2022-01-13 12:43:46.098000+00:00;017QphxNtGM4GpT9;move;[907, 646]
16;2022-01-13 12:43:46.111000+00:00;017QphxNtGM4GpT9;move;[868, 630]
17;2022-01-13 12:43:46.125000+00:00;017QphxNtGM4GpT9;move;[833, 619]
18;2022-01-13 12:43:46.138000+00:00;017QphxNtGM4GpT9;move;[802, 612]
19;2022-01-13 12:43:46.152000+00:00;017QphxNtGM4GpT9;move;[779, 606]
20;2022-01-13 12:43:46.164000+00:00;017QphxNtGM4GpT9;move;[772, 606]
21;2022-01-13 12:43:46.313000+00:00;017QphxNtGM4GpT9;move;[773, 606]
22;2022-01-13 12:43:46.320000+00:00;017QphxNtGM4GpT9;move;[774, 606]
23;2022-01-13 12:43:46.333000+00:00;017QphxNtGM4GpT9;move;[775, 606]
24;2022-01-13 12:43:46.374000+00:00;017QphxNtGM4GpT9;move;[775, 605]
25;2022-01-13 12:43:46.380000+00:00;017QphxNtGM4GpT9;move;[775, 604]
26;2022-01-13 12:43:46.383000+00:00;017QphxNtGM4GpT9;move;[775, 603]
27;2022-01-13 12:43:46.392000+00:00;017QphxNtGM4GpT9;move;[775, 599]
28;2022-01-13 12:43:46.405000+00:00;017QphxNtGM4GpT9;move;[773, 587]
29;2022-01-13 12:43:46.418000+00:00;017QphxNtGM4GpT9;move;[771, 570]
30;2022-01-13 12:43:46.431000+00:00;017QphxNtGM4GpT9;move;[771, 552]
31;2022-01-13 12:43:46.445000+00:00;017QphxNtGM4GpT9;move;[772, 532]
32;2022-01-13 12:43:46.458000+00:00;017QphxNtGM4GpT9;move;[774, 508]
33;2022-01-13 12:43:46.471000+00:00;017QphxNtGM4GpT9;move;[774, 485]
34;2022-01-13 12:43:46.485000+00:00;017QphxNtGM4GpT9;move;[770, 462]
35;2022-01-13 12:43:46.498000+00:00;017QphxNtGM4GpT9;move;[765, 440]
36;2022-01-13 12:43:46.511000+00:00;017QphxNtGM4GpT9;move;[761, 416]
37;2022-01-13 12:43:46.525000+00:00;017QphxNtGM4GpT9;move;[758, 393]
38;2022-01-13 12:43:46.538000+00:00;017QphxNtGM4GpT9;move;[756, 368]
39;2022-01-13 12:43:46.552000+00:00;017QphxNtGM4GpT9;move;[752, 345]
40;2022-01-13 12:43:46.565000+00:00;017QphxNtGM4GpT9;move;[751, 328]
41;2022-01-13 12:43:46.578000+00:00;017QphxNtGM4GpT9;move;[750, 313]
42;2022-01-13 12:43:46.591000+00:00;017QphxNtGM4GpT9;move;[750, 301]
43;2022-01-13 12:43:46.604000+00:00;017QphxNtGM4GpT9;move;[750, 290]
