;time;token;event;global_position
0;2022-01-13 12:44:32.090000+00:00;0Ixjyd1U3s7J6C06;move;[1333, 911]
1;2022-01-13 12:44:32.092000+00:00;0Ixjyd1U3s7J6C06;move;[1334, 909]
2;2022-01-13 12:44:32.107000+00:00;0Ixjyd1U3s7J6C06;move;[1357, 864]
3;2022-01-13 12:44:32.124000+00:00;0Ixjyd1U3s7J6C06;move;[1403, 787]
4;2022-01-13 12:44:32.141000+00:00;0Ixjyd1U3s7J6C06;move;[1451, 734]
5;2022-01-13 12:44:32.157000+00:00;0Ixjyd1U3s7J6C06;move;[1503, 689]
6;2022-01-13 12:44:32.174000+00:00;0Ixjyd1U3s7J6C06;move;[1534, 654]
7;2022-01-13 12:44:32.190000+00:00;0Ixjyd1U3s7J6C06;move;[1539, 625]
8;2022-01-13 12:44:32.207000+00:00;0Ixjyd1U3s7J6C06;move;[1539, 598]
9;2022-01-13 12:44:32.224000+00:00;0Ixjyd1U3s7J6C06;move;[1540, 580]
10;2022-01-13 12:44:32.240000+00:00;0Ixjyd1U3s7J6C06;move;[1546, 567]
11;2022-01-13 12:44:32.257000+00:00;0Ixjyd1U3s7J6C06;move;[1551, 550]
12;2022-01-13 12:44:32.274000+00:00;0Ixjyd1U3s7J6C06;move;[1557, 535]
13;2022-01-13 12:44:32.290000+00:00;0Ixjyd1U3s7J6C06;move;[1561, 527]
14;2022-01-13 12:44:32.307000+00:00;0Ixjyd1U3s7J6C06;move;[1565, 517]
15;2022-01-13 12:44:32.323000+00:00;0Ixjyd1U3s7J6C06;move;[1569, 504]
16;2022-01-13 12:44:32.341000+00:00;0Ixjyd1U3s7J6C06;move;[1571, 491]
17;2022-01-13 12:44:32.357000+00:00;0Ixjyd1U3s7J6C06;move;[1572, 477]
18;2022-01-13 12:44:32.374000+00:00;0Ixjyd1U3s7J6C06;move;[1572, 460]
19;2022-01-13 12:44:32.391000+00:00;0Ixjyd1U3s7J6C06;move;[1571, 444]
20;2022-01-13 12:44:32.408000+00:00;0Ixjyd1U3s7J6C06;move;[1569, 431]
21;2022-01-13 12:44:32.424000+00:00;0Ixjyd1U3s7J6C06;move;[1566, 418]
22;2022-01-13 12:44:32.440000+00:00;0Ixjyd1U3s7J6C06;move;[1562, 406]
23;2022-01-13 12:44:32.457000+00:00;0Ixjyd1U3s7J6C06;move;[1559, 399]
24;2022-01-13 12:44:32.474000+00:00;0Ixjyd1U3s7J6C06;move;[1558, 394]
25;2022-01-13 12:44:32.491000+00:00;0Ixjyd1U3s7J6C06;move;[1558, 392]
26;2022-01-13 12:44:32.507000+00:00;0Ixjyd1U3s7J6C06;move;[1558, 391]
27;2022-01-13 12:44:32.550000+00:00;0Ixjyd1U3s7J6C06;move;[1558, 390]
