;time;token;event;global_position
0;2022-01-13 12:43:36.641000+00:00;0lCfD6HsTuGPcYoG;move;[1032, 789]
1;2022-01-13 12:43:36.649000+00:00;0lCfD6HsTuGPcYoG;move;[1021, 756]
2;2022-01-13 12:43:36.657000+00:00;0lCfD6HsTuGPcYoG;move;[1009, 723]
3;2022-01-13 12:43:36.664000+00:00;0lCfD6HsTuGPcYoG;move;[999, 684]
4;2022-01-13 12:43:36.678000+00:00;0lCfD6HsTuGPcYoG;move;[981, 617]
5;2022-01-13 12:43:36.698000+00:00;0lCfD6HsTuGPcYoG;move;[964, 536]
6;2022-01-13 12:43:36.713000+00:00;0lCfD6HsTuGPcYoG;move;[943, 456]
7;2022-01-13 12:43:36.729000+00:00;0lCfD6HsTuGPcYoG;move;[919, 377]
8;2022-01-13 12:43:36.748000+00:00;0lCfD6HsTuGPcYoG;move;[910, 354]
9;2022-01-13 12:43:36.763000+00:00;0lCfD6HsTuGPcYoG;move;[903, 336]
10;2022-01-13 12:43:36.778000+00:00;0lCfD6HsTuGPcYoG;move;[894, 318]
11;2022-01-13 12:43:36.797000+00:00;0lCfD6HsTuGPcYoG;move;[890, 313]
12;2022-01-13 12:43:36.812000+00:00;0lCfD6HsTuGPcYoG;move;[887, 310]
13;2022-01-13 12:43:36.828000+00:00;0lCfD6HsTuGPcYoG;move;[886, 309]
14;2022-01-13 12:43:36.845000+00:00;0lCfD6HsTuGPcYoG;move;[885, 309]
15;2022-01-13 12:43:37.121000+00:00;0lCfD6HsTuGPcYoG;move;[878, 302]
16;2022-01-13 12:43:37.128000+00:00;0lCfD6HsTuGPcYoG;move;[858, 289]
17;2022-01-13 12:43:37.134000+00:00;0lCfD6HsTuGPcYoG;move;[845, 280]
18;2022-01-13 12:43:37.147000+00:00;0lCfD6HsTuGPcYoG;move;[833, 274]
19;2022-01-13 12:43:37.163000+00:00;0lCfD6HsTuGPcYoG;move;[803, 262]
20;2022-01-13 12:43:37.178000+00:00;0lCfD6HsTuGPcYoG;move;[777, 253]
21;2022-01-13 12:43:37.196000+00:00;0lCfD6HsTuGPcYoG;move;[755, 249]
22;2022-01-13 12:43:37.211000+00:00;0lCfD6HsTuGPcYoG;move;[742, 245]
23;2022-01-13 12:43:37.228000+00:00;0lCfD6HsTuGPcYoG;move;[717, 244]
24;2022-01-13 12:43:37.244000+00:00;0lCfD6HsTuGPcYoG;move;[709, 244]
25;2022-01-13 12:43:37.261000+00:00;0lCfD6HsTuGPcYoG;move;[704, 244]
26;2022-01-13 12:43:37.279000+00:00;0lCfD6HsTuGPcYoG;move;[697, 244]
27;2022-01-13 12:43:37.295000+00:00;0lCfD6HsTuGPcYoG;move;[692, 244]
28;2022-01-13 12:43:37.312000+00:00;0lCfD6HsTuGPcYoG;move;[690, 244]
29;2022-01-13 12:43:37.328000+00:00;0lCfD6HsTuGPcYoG;move;[687, 244]
30;2022-01-13 12:43:37.344000+00:00;0lCfD6HsTuGPcYoG;move;[685, 244]
31;2022-01-13 12:43:37.363000+00:00;0lCfD6HsTuGPcYoG;move;[684, 244]
32;2022-01-13 12:43:37.378000+00:00;0lCfD6HsTuGPcYoG;move;[683, 244]
33;2022-01-13 12:43:37.396000+00:00;0lCfD6HsTuGPcYoG;move;[682, 244]
34;2022-01-13 12:43:37.412000+00:00;0lCfD6HsTuGPcYoG;move;[681, 244]
35;2022-01-13 12:43:37.429000+00:00;0lCfD6HsTuGPcYoG;move;[681, 244]
36;2022-01-13 12:43:37.447000+00:00;0lCfD6HsTuGPcYoG;move;[680, 244]
