;time;token;event;global_position
0;2022-01-20 13:25:14.843000+00:00;3LACBcLxpkzSuC+I;move;[1079, 656]
1;2022-01-20 13:25:14.845000+00:00;3LACBcLxpkzSuC+I;move;[1077, 656]
2;2022-01-20 13:25:14.852000+00:00;3LACBcLxpkzSuC+I;move;[1076, 656]
3;2022-01-20 13:25:14.859000+00:00;3LACBcLxpkzSuC+I;move;[1072, 656]
4;2022-01-20 13:25:14.866000+00:00;3LACBcLxpkzSuC+I;move;[1069, 656]
5;2022-01-20 13:25:14.873000+00:00;3LACBcLxpkzSuC+I;move;[1065, 656]
6;2022-01-20 13:25:14.880000+00:00;3LACBcLxpkzSuC+I;move;[1062, 655]
7;2022-01-20 13:25:14.887000+00:00;3LACBcLxpkzSuC+I;move;[1060, 653]
8;2022-01-20 13:25:14.894000+00:00;3LACBcLxpkzSuC+I;move;[1059, 649]
9;2022-01-20 13:25:14.901000+00:00;3LACBcLxpkzSuC+I;move;[1059, 644]
10;2022-01-20 13:25:14.908000+00:00;3LACBcLxpkzSuC+I;move;[1059, 638]
11;2022-01-20 13:25:14.915000+00:00;3LACBcLxpkzSuC+I;move;[1062, 630]
12;2022-01-20 13:25:14.922000+00:00;3LACBcLxpkzSuC+I;move;[1065, 622]
13;2022-01-20 13:25:14.929000+00:00;3LACBcLxpkzSuC+I;move;[1068, 620]
14;2022-01-20 13:25:14.936000+00:00;3LACBcLxpkzSuC+I;move;[1069, 617]
15;2022-01-20 13:25:14.942000+00:00;3LACBcLxpkzSuC+I;move;[1072, 615]
16;2022-01-20 13:25:15.113000+00:00;3LACBcLxpkzSuC+I;move;[1072, 614]
17;2022-01-20 13:25:15.117000+00:00;3LACBcLxpkzSuC+I;move;[1072, 613]
18;2022-01-20 13:25:15.123000+00:00;3LACBcLxpkzSuC+I;move;[1071, 612]
19;2022-01-20 13:25:15.130000+00:00;3LACBcLxpkzSuC+I;move;[1071, 609]
20;2022-01-20 13:25:15.137000+00:00;3LACBcLxpkzSuC+I;move;[1068, 606]
21;2022-01-20 13:25:15.144000+00:00;3LACBcLxpkzSuC+I;move;[1065, 602]
22;2022-01-20 13:25:15.151000+00:00;3LACBcLxpkzSuC+I;move;[1063, 600]
