;time;token;event;global_position
0;2022-01-13 12:44:39.340000+00:00;4RqXe6eLMq+uomLO;move;[1293, 882]
1;2022-01-13 12:44:39.356000+00:00;4RqXe6eLMq+uomLO;move;[1292, 882]
2;2022-01-13 12:44:39.364000+00:00;4RqXe6eLMq+uomLO;move;[1291, 883]
3;2022-01-13 12:44:39.381000+00:00;4RqXe6eLMq+uomLO;move;[1290, 884]
4;2022-01-13 12:44:39.397000+00:00;4RqXe6eLMq+uomLO;move;[1288, 885]
5;2022-01-13 12:44:39.414000+00:00;4RqXe6eLMq+uomLO;move;[1285, 888]
6;2022-01-13 12:44:39.431000+00:00;4RqXe6eLMq+uomLO;move;[1284, 890]
7;2022-01-13 12:44:39.447000+00:00;4RqXe6eLMq+uomLO;move;[1282, 892]
8;2022-01-13 12:44:39.465000+00:00;4RqXe6eLMq+uomLO;move;[1281, 893]
9;2022-01-13 12:44:39.481000+00:00;4RqXe6eLMq+uomLO;move;[1280, 893]
10;2022-01-13 12:44:40.017000+00:00;4RqXe6eLMq+uomLO;move;[1279, 893]
11;2022-01-13 12:44:40.031000+00:00;4RqXe6eLMq+uomLO;move;[1277, 893]
12;2022-01-13 12:44:40.047000+00:00;4RqXe6eLMq+uomLO;move;[1274, 891]
13;2022-01-13 12:44:40.064000+00:00;4RqXe6eLMq+uomLO;move;[1270, 886]
14;2022-01-13 12:44:40.081000+00:00;4RqXe6eLMq+uomLO;move;[1263, 879]
15;2022-01-13 12:44:40.097000+00:00;4RqXe6eLMq+uomLO;move;[1251, 867]
16;2022-01-13 12:44:40.114000+00:00;4RqXe6eLMq+uomLO;move;[1230, 846]
17;2022-01-13 12:44:40.131000+00:00;4RqXe6eLMq+uomLO;move;[1204, 819]
18;2022-01-13 12:44:40.147000+00:00;4RqXe6eLMq+uomLO;move;[1172, 786]
19;2022-01-13 12:44:40.164000+00:00;4RqXe6eLMq+uomLO;move;[1131, 742]
20;2022-01-13 12:44:40.181000+00:00;4RqXe6eLMq+uomLO;move;[1097, 703]
21;2022-01-13 12:44:40.197000+00:00;4RqXe6eLMq+uomLO;move;[1072, 666]
22;2022-01-13 12:44:40.215000+00:00;4RqXe6eLMq+uomLO;move;[1050, 627]
23;2022-01-13 12:44:40.230000+00:00;4RqXe6eLMq+uomLO;move;[1035, 594]
24;2022-01-13 12:44:40.248000+00:00;4RqXe6eLMq+uomLO;move;[1002, 542]
25;2022-01-13 12:44:40.264000+00:00;4RqXe6eLMq+uomLO;move;[965, 501]
26;2022-01-13 12:44:40.281000+00:00;4RqXe6eLMq+uomLO;move;[931, 462]
27;2022-01-13 12:44:40.298000+00:00;4RqXe6eLMq+uomLO;move;[906, 432]
28;2022-01-13 12:44:40.314000+00:00;4RqXe6eLMq+uomLO;move;[896, 412]
29;2022-01-13 12:44:40.331000+00:00;4RqXe6eLMq+uomLO;move;[895, 402]
