;time;token;event;global_position
0;2022-01-20 12:53:04.400000+00:00;604OCjtkvTGI9lHv;move;[1340, 862]
1;2022-01-20 12:53:04.401000+00:00;604OCjtkvTGI9lHv;move;[1340, 861]
2;2022-01-20 12:53:04.416000+00:00;604OCjtkvTGI9lHv;move;[1342, 856]
3;2022-01-20 12:53:04.433000+00:00;604OCjtkvTGI9lHv;move;[1349, 846]
4;2022-01-20 12:53:04.450000+00:00;604OCjtkvTGI9lHv;move;[1366, 824]
5;2022-01-20 12:53:04.466000+00:00;604OCjtkvTGI9lHv;move;[1395, 777]
6;2022-01-20 12:53:04.483000+00:00;604OCjtkvTGI9lHv;move;[1431, 714]
7;2022-01-20 12:53:04.499000+00:00;604OCjtkvTGI9lHv;move;[1467, 649]
8;2022-01-20 12:53:04.516000+00:00;604OCjtkvTGI9lHv;move;[1496, 597]
9;2022-01-20 12:53:04.533000+00:00;604OCjtkvTGI9lHv;move;[1523, 548]
10;2022-01-20 12:53:04.550000+00:00;604OCjtkvTGI9lHv;move;[1543, 511]
11;2022-01-20 12:53:04.566000+00:00;604OCjtkvTGI9lHv;move;[1556, 479]
12;2022-01-20 12:53:04.583000+00:00;604OCjtkvTGI9lHv;move;[1562, 454]
13;2022-01-20 12:53:04.600000+00:00;604OCjtkvTGI9lHv;move;[1563, 443]
14;2022-01-20 12:53:04.617000+00:00;604OCjtkvTGI9lHv;move;[1563, 438]
15;2022-01-20 12:53:04.633000+00:00;604OCjtkvTGI9lHv;move;[1562, 435]
16;2022-01-20 12:53:04.650000+00:00;604OCjtkvTGI9lHv;move;[1561, 432]
17;2022-01-20 12:53:04.666000+00:00;604OCjtkvTGI9lHv;move;[1559, 427]
18;2022-01-20 12:53:04.683000+00:00;604OCjtkvTGI9lHv;move;[1556, 419]
19;2022-01-20 12:53:04.699000+00:00;604OCjtkvTGI9lHv;move;[1552, 411]
20;2022-01-20 12:53:04.716000+00:00;604OCjtkvTGI9lHv;move;[1548, 404]
21;2022-01-20 12:53:04.733000+00:00;604OCjtkvTGI9lHv;move;[1545, 399]
22;2022-01-20 12:53:04.750000+00:00;604OCjtkvTGI9lHv;move;[1544, 399]
23;2022-01-20 12:53:04.777000+00:00;604OCjtkvTGI9lHv;move;[1543, 399]
24;2022-01-20 12:53:04.792000+00:00;604OCjtkvTGI9lHv;move;[1543, 398]
25;2022-01-20 12:53:04.801000+00:00;604OCjtkvTGI9lHv;move;[1543, 397]
26;2022-01-20 12:53:04.816000+00:00;604OCjtkvTGI9lHv;move;[1542, 391]
27;2022-01-20 12:53:04.833000+00:00;604OCjtkvTGI9lHv;move;[1539, 382]
28;2022-01-20 12:53:04.851000+00:00;604OCjtkvTGI9lHv;move;[1536, 375]
29;2022-01-20 12:53:04.867000+00:00;604OCjtkvTGI9lHv;move;[1534, 370]
30;2022-01-20 12:53:04.883000+00:00;604OCjtkvTGI9lHv;move;[1533, 367]
31;2022-01-20 12:53:04.900000+00:00;604OCjtkvTGI9lHv;move;[1532, 364]
32;2022-01-20 12:53:04.917000+00:00;604OCjtkvTGI9lHv;move;[1530, 359]
33;2022-01-20 12:53:04.933000+00:00;604OCjtkvTGI9lHv;move;[1528, 353]
34;2022-01-20 12:53:04.950000+00:00;604OCjtkvTGI9lHv;move;[1525, 348]
35;2022-01-20 12:53:04.967000+00:00;604OCjtkvTGI9lHv;move;[1524, 345]
36;2022-01-20 12:53:05.119000+00:00;604OCjtkvTGI9lHv;move;[1523, 345]
37;2022-01-20 12:53:05.134000+00:00;604OCjtkvTGI9lHv;move;[1522, 345]
38;2022-01-20 12:53:05.150000+00:00;604OCjtkvTGI9lHv;move;[1521, 346]
39;2022-01-20 12:53:05.167000+00:00;604OCjtkvTGI9lHv;move;[1519, 347]
40;2022-01-20 12:53:05.184000+00:00;604OCjtkvTGI9lHv;move;[1518, 347]
41;2022-01-20 12:53:05.200000+00:00;604OCjtkvTGI9lHv;move;[1518, 348]
42;2022-01-20 12:53:05.217000+00:00;604OCjtkvTGI9lHv;move;[1516, 348]
43;2022-01-20 12:53:05.233000+00:00;604OCjtkvTGI9lHv;move;[1511, 349]
44;2022-01-20 12:53:05.250000+00:00;604OCjtkvTGI9lHv;move;[1502, 349]
45;2022-01-20 12:53:05.266000+00:00;604OCjtkvTGI9lHv;move;[1486, 348]
46;2022-01-20 12:53:05.284000+00:00;604OCjtkvTGI9lHv;move;[1462, 344]
47;2022-01-20 12:53:05.299000+00:00;604OCjtkvTGI9lHv;move;[1425, 336]
48;2022-01-20 12:53:05.317000+00:00;604OCjtkvTGI9lHv;move;[1378, 326]
49;2022-01-20 12:53:05.333000+00:00;604OCjtkvTGI9lHv;move;[1319, 313]
50;2022-01-20 12:53:05.350000+00:00;604OCjtkvTGI9lHv;move;[1254, 299]
51;2022-01-20 12:53:05.366000+00:00;604OCjtkvTGI9lHv;move;[1198, 287]
52;2022-01-20 12:53:05.383000+00:00;604OCjtkvTGI9lHv;move;[1146, 276]
53;2022-01-20 12:53:05.400000+00:00;604OCjtkvTGI9lHv;move;[1107, 269]
54;2022-01-20 12:53:05.416000+00:00;604OCjtkvTGI9lHv;move;[1080, 264]
55;2022-01-20 12:53:05.433000+00:00;604OCjtkvTGI9lHv;move;[1061, 260]
56;2022-01-20 12:53:05.449000+00:00;604OCjtkvTGI9lHv;move;[1046, 257]
57;2022-01-20 12:53:05.466000+00:00;604OCjtkvTGI9lHv;move;[1036, 254]
58;2022-01-20 12:53:05.483000+00:00;604OCjtkvTGI9lHv;move;[1030, 253]
59;2022-01-20 12:53:05.500000+00:00;604OCjtkvTGI9lHv;move;[1029, 252]
60;2022-01-20 12:53:06.934000+00:00;604OCjtkvTGI9lHv;move;[1028, 252]
61;2022-01-20 12:53:06.936000+00:00;604OCjtkvTGI9lHv;move;[1028, 251]
62;2022-01-20 12:53:06.950000+00:00;604OCjtkvTGI9lHv;move;[1024, 246]
63;2022-01-20 12:53:06.967000+00:00;604OCjtkvTGI9lHv;move;[1014, 239]
64;2022-01-20 12:53:06.983000+00:00;604OCjtkvTGI9lHv;move;[1001, 232]
