;time;token;event;global_position
0;2022-01-13 12:44:26.042000+00:00;77riuS0ykHsUPBjE;move;[970, 353]
1;2022-01-13 12:44:41.601000+00:00;77riuS0ykHsUPBjE;move;[143, 241]
2;2022-01-13 12:44:42.170000+00:00;77riuS0ykHsUPBjE;move;[161, 280]
3;2022-01-13 12:44:46.420000+00:00;77riuS0ykHsUPBjE;move;[235, 442]
4;2022-01-13 12:45:02.142000+00:00;77riuS0ykHsUPBjE;move;[743, 523]
5;2022-01-13 12:45:11.098000+00:00;77riuS0ykHsUPBjE;move;[553, 306]
6;2022-01-13 12:45:13.218000+00:00;77riuS0ykHsUPBjE;move;[119, 135]
7;2022-01-13 12:45:13.520000+00:00;77riuS0ykHsUPBjE;move;[117, 100]
8;2022-01-13 12:45:14.344000+00:00;77riuS0ykHsUPBjE;move;[117, 109]
9;2022-01-13 12:45:14.795000+00:00;77riuS0ykHsUPBjE;move;[107, 147]
10;2022-01-13 12:45:15.503000+00:00;77riuS0ykHsUPBjE;move;[119, 167]
11;2022-01-13 12:46:31.908000+00:00;77riuS0ykHsUPBjE;move;[289, 224]
12;2022-01-13 12:46:40.620000+00:00;77riuS0ykHsUPBjE;move;[208, 466]
13;2022-01-13 12:47:07.128000+00:00;77riuS0ykHsUPBjE;move;[411, 350]
14;2022-01-13 12:47:10.619000+00:00;77riuS0ykHsUPBjE;move;[305, 384]
15;2022-01-13 12:47:11.307000+00:00;77riuS0ykHsUPBjE;move;[308, 391]
16;2022-01-13 12:47:15.234000+00:00;77riuS0ykHsUPBjE;move;[571, 331]
17;2022-01-13 12:47:18.013000+00:00;77riuS0ykHsUPBjE;move;[438, 390]
18;2022-01-13 12:47:23.018000+00:00;77riuS0ykHsUPBjE;move;[649, 405]
19;2022-01-13 12:47:38.097000+00:00;77riuS0ykHsUPBjE;move;[217, 575]
20;2022-01-13 12:47:40.376000+00:00;77riuS0ykHsUPBjE;move;[442, 624]
21;2022-01-13 12:47:41.220000+00:00;77riuS0ykHsUPBjE;move;[232, 572]
22;2022-01-13 12:47:45.658000+00:00;77riuS0ykHsUPBjE;move;[1030, 768]
23;2022-01-13 12:48:04.616000+00:00;77riuS0ykHsUPBjE;move;[1059, 752]
24;2022-01-13 12:48:19.121000+00:00;77riuS0ykHsUPBjE;move;[899, 164]
25;2022-01-13 12:48:22.699000+00:00;77riuS0ykHsUPBjE;move;[848, 184]
26;2022-01-13 12:49:36.672000+00:00;77riuS0ykHsUPBjE;move;[796, 256]
27;2022-01-13 12:49:39.923000+00:00;77riuS0ykHsUPBjE;move;[528, 297]
28;2022-01-13 12:49:42.214000+00:00;77riuS0ykHsUPBjE;move;[519, 316]
29;2022-01-13 12:49:43.031000+00:00;77riuS0ykHsUPBjE;move;[525, 280]
30;2022-01-13 12:49:49.830000+00:00;77riuS0ykHsUPBjE;move;[416, 210]
31;2022-01-13 12:51:33.823000+00:00;77riuS0ykHsUPBjE;move;[475, 249]
32;2022-01-13 12:51:42.593000+00:00;77riuS0ykHsUPBjE;move;[473, 242]
33;2022-01-13 12:52:48.499000+00:00;77riuS0ykHsUPBjE;move;[476, 277]
34;2022-01-13 12:52:52.658000+00:00;77riuS0ykHsUPBjE;move;[476, 148]
35;2022-01-13 12:53:09.397000+00:00;77riuS0ykHsUPBjE;move;[353, 223]
36;2022-01-13 12:53:24.057000+00:00;77riuS0ykHsUPBjE;move;[478, 154]
37;2022-01-13 12:53:30.245000+00:00;77riuS0ykHsUPBjE;move;[480, 175]
38;2022-01-13 12:53:53.657000+00:00;77riuS0ykHsUPBjE;move;[466, 136]
39;2022-01-13 12:53:58.068000+00:00;77riuS0ykHsUPBjE;move;[454, 134]
40;2022-01-13 12:54:12.530000+00:00;77riuS0ykHsUPBjE;move;[465, 38]
41;2022-01-13 12:54:22.154000+00:00;77riuS0ykHsUPBjE;move;[465, 514]
42;2022-01-13 12:55:21.065000+00:00;77riuS0ykHsUPBjE;move;[482, 417]
43;2022-01-13 12:55:32.228000+00:00;77riuS0ykHsUPBjE;move;[479, 356]
44;2022-01-13 12:55:32.975000+00:00;77riuS0ykHsUPBjE;move;[492, 378]
45;2022-01-13 12:55:33.975000+00:00;77riuS0ykHsUPBjE;move;[72, 209]
46;2022-01-13 12:55:39.184000+00:00;77riuS0ykHsUPBjE;move;[466, 293]
47;2022-01-13 12:55:44.264000+00:00;77riuS0ykHsUPBjE;move;[456, 272]
48;2022-01-13 12:56:51.886000+00:00;77riuS0ykHsUPBjE;move;[397, 379]
49;2022-01-13 12:56:53.268000+00:00;77riuS0ykHsUPBjE;move;[121, 380]
50;2022-01-13 12:56:55.144000+00:00;77riuS0ykHsUPBjE;move;[131, 410]
51;2022-01-13 12:57:00.840000+00:00;77riuS0ykHsUPBjE;move;[120, 415]
52;2022-01-13 12:57:02.242000+00:00;77riuS0ykHsUPBjE;move;[130, 434]
53;2022-01-13 12:57:04.165000+00:00;77riuS0ykHsUPBjE;move;[133, 480]
54;2022-01-13 12:57:20.812000+00:00;77riuS0ykHsUPBjE;move;[136, 518]
55;2022-01-13 12:57:25.535000+00:00;77riuS0ykHsUPBjE;move;[135, 538]
56;2022-01-13 12:57:29.653000+00:00;77riuS0ykHsUPBjE;move;[127, 163]
57;2022-01-13 12:57:49.002000+00:00;77riuS0ykHsUPBjE;move;[118, 526]
58;2022-01-13 12:57:52.322000+00:00;77riuS0ykHsUPBjE;move;[572, 467]
59;2022-01-13 12:57:53.184000+00:00;77riuS0ykHsUPBjE;move;[133, 450]
60;2022-01-13 12:58:23.965000+00:00;77riuS0ykHsUPBjE;move;[776, 559]
61;2022-01-13 12:58:24.769000+00:00;77riuS0ykHsUPBjE;move;[131, 566]
62;2022-01-13 12:58:32.993000+00:00;77riuS0ykHsUPBjE;move;[135, 619]
63;2022-01-13 12:58:47.787000+00:00;77riuS0ykHsUPBjE;move;[129, 484]
64;2022-01-13 12:58:50.246000+00:00;77riuS0ykHsUPBjE;move;[123, 537]
65;2022-01-13 12:58:54.733000+00:00;77riuS0ykHsUPBjE;move;[127, 537]
66;2022-01-13 12:58:55.255000+00:00;77riuS0ykHsUPBjE;move;[128, 544]
67;2022-01-13 12:58:55.507000+00:00;77riuS0ykHsUPBjE;move;[130, 567]
68;2022-01-13 12:59:00.085000+00:00;77riuS0ykHsUPBjE;move;[135, 505]
69;2022-01-13 12:59:01.813000+00:00;77riuS0ykHsUPBjE;move;[140, 469]
70;2022-01-13 12:59:02.793000+00:00;77riuS0ykHsUPBjE;move;[126, 472]
71;2022-01-13 12:59:16.056000+00:00;77riuS0ykHsUPBjE;move;[146, 470]
72;2022-01-13 12:59:16.676000+00:00;77riuS0ykHsUPBjE;move;[127, 488]
73;2022-01-13 12:59:16.854000+00:00;77riuS0ykHsUPBjE;move;[129, 513]
74;2022-01-13 12:59:20.930000+00:00;77riuS0ykHsUPBjE;move;[125, 515]
75;2022-01-13 12:59:21.800000+00:00;77riuS0ykHsUPBjE;move;[127, 541]
76;2022-01-13 12:59:22.067000+00:00;77riuS0ykHsUPBjE;move;[126, 503]
77;2022-01-13 12:59:51.054000+00:00;77riuS0ykHsUPBjE;move;[139, 455]
78;2022-01-13 12:59:57.857000+00:00;77riuS0ykHsUPBjE;move;[155, 636]
79;2022-01-13 12:59:59.984000+00:00;77riuS0ykHsUPBjE;move;[768, 429]
80;2022-01-13 13:00:06.633000+00:00;77riuS0ykHsUPBjE;move;[225, 531]
81;2022-01-13 13:00:12.513000+00:00;77riuS0ykHsUPBjE;move;[226, 419]
82;2022-01-13 13:00:24.419000+00:00;77riuS0ykHsUPBjE;move;[1041, 756]
83;2022-01-13 13:00:54.516000+00:00;77riuS0ykHsUPBjE;move;[1069, 761]
84;2022-01-13 13:01:13.585000+00:00;77riuS0ykHsUPBjE;move;[236, 285]
85;2022-01-13 13:01:18.110000+00:00;77riuS0ykHsUPBjE;move;[152, 202]
86;2022-01-13 13:01:22.842000+00:00;77riuS0ykHsUPBjE;move;[150, 362]
87;2022-01-13 13:01:31.353000+00:00;77riuS0ykHsUPBjE;move;[233, 181]
88;2022-01-13 13:01:37.939000+00:00;77riuS0ykHsUPBjE;move;[157, 252]
89;2022-01-13 13:01:41.669000+00:00;77riuS0ykHsUPBjE;move;[125, 338]
90;2022-01-13 13:01:45.514000+00:00;77riuS0ykHsUPBjE;move;[106, 297]
91;2022-01-13 13:01:45.809000+00:00;77riuS0ykHsUPBjE;move;[119, 320]
92;2022-01-13 13:01:46.200000+00:00;77riuS0ykHsUPBjE;move;[106, 347]
93;2022-01-13 13:01:46.642000+00:00;77riuS0ykHsUPBjE;move;[120, 282]
94;2022-01-13 13:03:17.533000+00:00;77riuS0ykHsUPBjE;move;[836, 493]
95;2022-01-13 13:04:32.390000+00:00;77riuS0ykHsUPBjE;move;[723, 540]
