;time;token;event;global_position
0;2022-01-13 12:44:12.700000+00:00;7dEVRh+MPrSf30GM;move;[1228, 832]
1;2022-01-13 12:44:12.700000+00:00;7dEVRh+MPrSf30GM;move;[1196, 791]
2;2022-01-13 12:44:12.700000+00:00;7dEVRh+MPrSf30GM;move;[1177, 754]
3;2022-01-13 12:44:12.700000+00:00;7dEVRh+MPrSf30GM;move;[1145, 677]
4;2022-01-13 12:44:12.700000+00:00;7dEVRh+MPrSf30GM;move;[1117, 610]
5;2022-01-13 12:44:12.700000+00:00;7dEVRh+MPrSf30GM;move;[1098, 559]
6;2022-01-13 12:44:12.700000+00:00;7dEVRh+MPrSf30GM;move;[1085, 506]
7;2022-01-13 12:44:12.800000+00:00;7dEVRh+MPrSf30GM;move;[1077, 480]
8;2022-01-13 12:44:12.800000+00:00;7dEVRh+MPrSf30GM;move;[1061, 440]
9;2022-01-13 12:44:12.800000+00:00;7dEVRh+MPrSf30GM;move;[1049, 419]
10;2022-01-13 12:44:12.900000+00:00;7dEVRh+MPrSf30GM;move;[1018, 361]
11;2022-01-13 12:44:12.900000+00:00;7dEVRh+MPrSf30GM;move;[1015, 347]
12;2022-01-13 12:44:12.900000+00:00;7dEVRh+MPrSf30GM;move;[1038, 405]
13;2022-01-13 12:44:12.900000+00:00;7dEVRh+MPrSf30GM;move;[1027, 386]
14;2022-01-13 12:44:12.900000+00:00;7dEVRh+MPrSf30GM;move;[1041, 410]
15;2022-01-13 12:44:13+00:00;7dEVRh+MPrSf30GM;move;[1009, 325]
16;2022-01-13 12:44:13+00:00;7dEVRh+MPrSf30GM;move;[1001, 307]
17;2022-01-13 12:44:13+00:00;7dEVRh+MPrSf30GM;move;[993, 292]
18;2022-01-13 12:44:13+00:00;7dEVRh+MPrSf30GM;move;[975, 218]
19;2022-01-13 12:44:13+00:00;7dEVRh+MPrSf30GM;move;[977, 228]
20;2022-01-13 12:44:13+00:00;7dEVRh+MPrSf30GM;move;[982, 254]
21;2022-01-13 12:44:13+00:00;7dEVRh+MPrSf30GM;move;[989, 281]
22;2022-01-13 12:44:13.100000+00:00;7dEVRh+MPrSf30GM;move;[974, 217]
