;time;token;event;global_position
0;2022-01-13 12:43:56.393000+00:00;83fxMv7kSQpv8n9E;move;[918, 767]
1;2022-01-13 12:43:56.400000+00:00;83fxMv7kSQpv8n9E;move;[923, 767]
2;2022-01-13 12:43:56.414000+00:00;83fxMv7kSQpv8n9E;move;[932, 766]
3;2022-01-13 12:43:56.430000+00:00;83fxMv7kSQpv8n9E;move;[964, 759]
4;2022-01-13 12:43:56.446000+00:00;83fxMv7kSQpv8n9E;move;[997, 748]
5;2022-01-13 12:43:56.464000+00:00;83fxMv7kSQpv8n9E;move;[1067, 716]
6;2022-01-13 12:43:56.479000+00:00;83fxMv7kSQpv8n9E;move;[1106, 689]
7;2022-01-13 12:43:56.496000+00:00;83fxMv7kSQpv8n9E;move;[1146, 650]
8;2022-01-13 12:43:56.514000+00:00;83fxMv7kSQpv8n9E;move;[1182, 612]
9;2022-01-13 12:43:56.676000+00:00;83fxMv7kSQpv8n9E;move;[1183, 612]
10;2022-01-13 12:43:56.683000+00:00;83fxMv7kSQpv8n9E;move;[1190, 606]
11;2022-01-13 12:43:56.697000+00:00;83fxMv7kSQpv8n9E;move;[1198, 597]
12;2022-01-13 12:43:56.713000+00:00;83fxMv7kSQpv8n9E;move;[1216, 572]
13;2022-01-13 12:43:56.730000+00:00;83fxMv7kSQpv8n9E;move;[1236, 546]
14;2022-01-13 12:43:56.746000+00:00;83fxMv7kSQpv8n9E;move;[1264, 513]
15;2022-01-13 12:43:56.763000+00:00;83fxMv7kSQpv8n9E;move;[1307, 473]
16;2022-01-13 12:43:56.779000+00:00;83fxMv7kSQpv8n9E;move;[1315, 465]
17;2022-01-13 12:43:56.797000+00:00;83fxMv7kSQpv8n9E;move;[1326, 455]
18;2022-01-13 12:43:56.813000+00:00;83fxMv7kSQpv8n9E;move;[1328, 453]
19;2022-01-13 12:43:56.830000+00:00;83fxMv7kSQpv8n9E;move;[1329, 453]
20;2022-01-13 12:43:56.846000+00:00;83fxMv7kSQpv8n9E;move;[1329, 453]
21;2022-01-13 12:43:56.863000+00:00;83fxMv7kSQpv8n9E;move;[1329, 452]
22;2022-01-13 12:43:56.880000+00:00;83fxMv7kSQpv8n9E;move;[1330, 451]
23;2022-01-13 12:43:56.896000+00:00;83fxMv7kSQpv8n9E;move;[1331, 448]
24;2022-01-13 12:43:56.913000+00:00;83fxMv7kSQpv8n9E;move;[1333, 443]
25;2022-01-13 12:43:56.930000+00:00;83fxMv7kSQpv8n9E;move;[1334, 437]
26;2022-01-13 12:43:56.946000+00:00;83fxMv7kSQpv8n9E;move;[1335, 430]
27;2022-01-13 12:43:56.963000+00:00;83fxMv7kSQpv8n9E;move;[1335, 424]
28;2022-01-13 12:43:56.980000+00:00;83fxMv7kSQpv8n9E;move;[1335, 420]
29;2022-01-13 12:43:56.996000+00:00;83fxMv7kSQpv8n9E;move;[1333, 418]
30;2022-01-13 12:43:57.013000+00:00;83fxMv7kSQpv8n9E;move;[1328, 416]
31;2022-01-13 12:43:57.030000+00:00;83fxMv7kSQpv8n9E;move;[1321, 416]
32;2022-01-13 12:43:57.045000+00:00;83fxMv7kSQpv8n9E;move;[1313, 416]
33;2022-01-13 12:43:57.063000+00:00;83fxMv7kSQpv8n9E;move;[1306, 416]
34;2022-01-13 12:43:57.080000+00:00;83fxMv7kSQpv8n9E;move;[1300, 416]
35;2022-01-13 12:43:57.096000+00:00;83fxMv7kSQpv8n9E;move;[1292, 416]
36;2022-01-13 12:43:57.114000+00:00;83fxMv7kSQpv8n9E;move;[1288, 415]
37;2022-01-13 12:43:57.129000+00:00;83fxMv7kSQpv8n9E;move;[1284, 410]
38;2022-01-13 12:43:57.146000+00:00;83fxMv7kSQpv8n9E;move;[1282, 405]
39;2022-01-13 12:43:57.163000+00:00;83fxMv7kSQpv8n9E;move;[1280, 402]
40;2022-01-13 12:43:57.180000+00:00;83fxMv7kSQpv8n9E;move;[1280, 400]
41;2022-01-13 12:43:57.196000+00:00;83fxMv7kSQpv8n9E;move;[1280, 398]
42;2022-01-13 12:43:57.213000+00:00;83fxMv7kSQpv8n9E;move;[1280, 396]
43;2022-01-13 12:43:57.229000+00:00;83fxMv7kSQpv8n9E;move;[1280, 395]
44;2022-01-13 12:43:57.246000+00:00;83fxMv7kSQpv8n9E;move;[1280, 392]
45;2022-01-13 12:43:57.264000+00:00;83fxMv7kSQpv8n9E;move;[1280, 388]
46;2022-01-13 12:43:57.280000+00:00;83fxMv7kSQpv8n9E;move;[1282, 384]
47;2022-01-13 12:43:57.296000+00:00;83fxMv7kSQpv8n9E;move;[1283, 381]
48;2022-01-13 12:43:57.314000+00:00;83fxMv7kSQpv8n9E;move;[1284, 379]
49;2022-01-13 12:43:57.331000+00:00;83fxMv7kSQpv8n9E;move;[1284, 377]
50;2022-01-13 12:43:57.346000+00:00;83fxMv7kSQpv8n9E;move;[1284, 376]
51;2022-01-13 12:43:57.363000+00:00;83fxMv7kSQpv8n9E;move;[1285, 375]
52;2022-01-13 12:43:57.802000+00:00;83fxMv7kSQpv8n9E;move;[1285, 375]
53;2022-01-13 12:43:57.814000+00:00;83fxMv7kSQpv8n9E;move;[1285, 373]
54;2022-01-13 12:43:57.830000+00:00;83fxMv7kSQpv8n9E;move;[1281, 369]
55;2022-01-13 12:43:57.846000+00:00;83fxMv7kSQpv8n9E;move;[1279, 366]
56;2022-01-13 12:43:57.863000+00:00;83fxMv7kSQpv8n9E;move;[1278, 364]
57;2022-01-13 12:43:57.880000+00:00;83fxMv7kSQpv8n9E;move;[1277, 363]
58;2022-01-13 12:43:57.897000+00:00;83fxMv7kSQpv8n9E;move;[1277, 362]
59;2022-01-13 12:43:57.913000+00:00;83fxMv7kSQpv8n9E;move;[1277, 362]
60;2022-01-13 12:44:03.532000+00:00;83fxMv7kSQpv8n9E;move;[1273, 362]
61;2022-01-13 12:44:03.546000+00:00;83fxMv7kSQpv8n9E;move;[1251, 365]
62;2022-01-13 12:44:03.563000+00:00;83fxMv7kSQpv8n9E;move;[1173, 387]
63;2022-01-13 12:44:03.580000+00:00;83fxMv7kSQpv8n9E;move;[1123, 398]
64;2022-01-13 12:44:03.597000+00:00;83fxMv7kSQpv8n9E;move;[1080, 403]
65;2022-01-13 12:44:03.613000+00:00;83fxMv7kSQpv8n9E;move;[1016, 409]
66;2022-01-13 12:44:03.630000+00:00;83fxMv7kSQpv8n9E;move;[948, 409]
67;2022-01-13 12:44:03.646000+00:00;83fxMv7kSQpv8n9E;move;[927, 409]
68;2022-01-13 12:44:04.059000+00:00;83fxMv7kSQpv8n9E;move;[927, 409]
69;2022-01-13 12:44:22.739000+00:00;83fxMv7kSQpv8n9E;move;[982, 794]
70;2022-01-13 12:44:23.108000+00:00;83fxMv7kSQpv8n9E;move;[981, 794]
71;2022-01-13 12:44:23.114000+00:00;83fxMv7kSQpv8n9E;move;[976, 793]
72;2022-01-13 12:44:23.130000+00:00;83fxMv7kSQpv8n9E;move;[962, 787]
73;2022-01-13 12:44:23.147000+00:00;83fxMv7kSQpv8n9E;move;[953, 785]
74;2022-01-13 12:44:23.162000+00:00;83fxMv7kSQpv8n9E;move;[907, 767]
75;2022-01-13 12:44:23.179000+00:00;83fxMv7kSQpv8n9E;move;[886, 759]
76;2022-01-13 12:44:23.195000+00:00;83fxMv7kSQpv8n9E;move;[858, 746]
77;2022-01-13 12:44:23.213000+00:00;83fxMv7kSQpv8n9E;move;[841, 737]
78;2022-01-13 12:44:23.229000+00:00;83fxMv7kSQpv8n9E;move;[825, 725]
79;2022-01-13 12:44:23.246000+00:00;83fxMv7kSQpv8n9E;move;[811, 710]
80;2022-01-13 12:44:23.263000+00:00;83fxMv7kSQpv8n9E;move;[801, 695]
81;2022-01-13 12:44:23.280000+00:00;83fxMv7kSQpv8n9E;move;[789, 679]
82;2022-01-13 12:44:23.296000+00:00;83fxMv7kSQpv8n9E;move;[780, 664]
83;2022-01-13 12:44:23.312000+00:00;83fxMv7kSQpv8n9E;move;[775, 652]
84;2022-01-13 12:44:23.330000+00:00;83fxMv7kSQpv8n9E;move;[769, 637]
85;2022-01-13 12:44:23.346000+00:00;83fxMv7kSQpv8n9E;move;[765, 620]
86;2022-01-13 12:44:23.363000+00:00;83fxMv7kSQpv8n9E;move;[763, 610]
87;2022-01-13 12:44:23.379000+00:00;83fxMv7kSQpv8n9E;move;[761, 601]
88;2022-01-13 12:44:23.396000+00:00;83fxMv7kSQpv8n9E;move;[759, 596]
89;2022-01-13 12:44:23.412000+00:00;83fxMv7kSQpv8n9E;move;[758, 594]
90;2022-01-13 12:44:23.430000+00:00;83fxMv7kSQpv8n9E;move;[758, 593]
91;2022-01-13 12:44:23.737000+00:00;83fxMv7kSQpv8n9E;move;[757, 593]
92;2022-01-13 12:44:23.746000+00:00;83fxMv7kSQpv8n9E;move;[745, 600]
93;2022-01-13 12:44:23.761000+00:00;83fxMv7kSQpv8n9E;move;[720, 609]
94;2022-01-13 12:44:23.780000+00:00;83fxMv7kSQpv8n9E;move;[692, 619]
95;2022-01-13 12:44:23.796000+00:00;83fxMv7kSQpv8n9E;move;[660, 623]
96;2022-01-13 12:44:23.813000+00:00;83fxMv7kSQpv8n9E;move;[634, 625]
97;2022-01-13 12:44:23.829000+00:00;83fxMv7kSQpv8n9E;move;[616, 620]
98;2022-01-13 12:44:23.846000+00:00;83fxMv7kSQpv8n9E;move;[603, 604]
99;2022-01-13 12:44:23.863000+00:00;83fxMv7kSQpv8n9E;move;[597, 575]
100;2022-01-13 12:44:23.879000+00:00;83fxMv7kSQpv8n9E;move;[595, 535]
101;2022-01-13 12:44:23.896000+00:00;83fxMv7kSQpv8n9E;move;[595, 498]
102;2022-01-13 12:44:23.913000+00:00;83fxMv7kSQpv8n9E;move;[596, 477]
103;2022-01-13 12:44:23.929000+00:00;83fxMv7kSQpv8n9E;move;[598, 457]
104;2022-01-13 12:44:23.946000+00:00;83fxMv7kSQpv8n9E;move;[599, 448]
105;2022-01-13 12:44:23.964000+00:00;83fxMv7kSQpv8n9E;move;[599, 444]
106;2022-01-13 12:44:24.224000+00:00;83fxMv7kSQpv8n9E;move;[598, 444]
107;2022-01-13 12:44:24.232000+00:00;83fxMv7kSQpv8n9E;move;[594, 442]
108;2022-01-13 12:44:24.247000+00:00;83fxMv7kSQpv8n9E;move;[592, 441]
109;2022-01-13 12:44:24.262000+00:00;83fxMv7kSQpv8n9E;move;[581, 436]
110;2022-01-13 12:44:24.280000+00:00;83fxMv7kSQpv8n9E;move;[550, 424]
111;2022-01-13 12:44:24.297000+00:00;83fxMv7kSQpv8n9E;move;[526, 415]
112;2022-01-13 12:44:24.312000+00:00;83fxMv7kSQpv8n9E;move;[478, 394]
113;2022-01-13 12:44:24.329000+00:00;83fxMv7kSQpv8n9E;move;[446, 377]
114;2022-01-13 12:44:24.346000+00:00;83fxMv7kSQpv8n9E;move;[431, 366]
115;2022-01-13 12:44:24.362000+00:00;83fxMv7kSQpv8n9E;move;[418, 356]
116;2022-01-13 12:44:24.379000+00:00;83fxMv7kSQpv8n9E;move;[414, 351]
117;2022-01-13 12:44:32.873000+00:00;83fxMv7kSQpv8n9E;move;[413, 351]
118;2022-01-13 12:44:32.880000+00:00;83fxMv7kSQpv8n9E;move;[410, 349]
119;2022-01-13 12:44:32.897000+00:00;83fxMv7kSQpv8n9E;move;[404, 343]
120;2022-01-13 12:44:32.913000+00:00;83fxMv7kSQpv8n9E;move;[394, 337]
121;2022-01-13 12:44:32.930000+00:00;83fxMv7kSQpv8n9E;move;[365, 319]
122;2022-01-13 12:44:32.946000+00:00;83fxMv7kSQpv8n9E;move;[321, 292]
123;2022-01-13 12:44:32.963000+00:00;83fxMv7kSQpv8n9E;move;[286, 268]
124;2022-01-13 12:44:32.979000+00:00;83fxMv7kSQpv8n9E;move;[244, 235]
125;2022-01-13 12:44:32.997000+00:00;83fxMv7kSQpv8n9E;move;[220, 214]
126;2022-01-13 12:44:33.012000+00:00;83fxMv7kSQpv8n9E;move;[199, 199]
127;2022-01-13 12:44:33.029000+00:00;83fxMv7kSQpv8n9E;move;[190, 191]
128;2022-01-13 12:44:33.047000+00:00;83fxMv7kSQpv8n9E;move;[186, 188]
129;2022-01-13 12:44:33.234000+00:00;83fxMv7kSQpv8n9E;move;[186, 188]
130;2022-01-13 12:44:33.246000+00:00;83fxMv7kSQpv8n9E;move;[183, 188]
131;2022-01-13 12:44:33.263000+00:00;83fxMv7kSQpv8n9E;move;[178, 188]
132;2022-01-13 12:44:33.281000+00:00;83fxMv7kSQpv8n9E;move;[173, 188]
133;2022-01-13 12:44:33.296000+00:00;83fxMv7kSQpv8n9E;move;[164, 188]
134;2022-01-13 12:44:33.313000+00:00;83fxMv7kSQpv8n9E;move;[153, 186]
135;2022-01-13 12:44:33.329000+00:00;83fxMv7kSQpv8n9E;move;[148, 185]
136;2022-01-13 12:44:33.346000+00:00;83fxMv7kSQpv8n9E;move;[142, 184]
137;2022-01-13 12:44:33.363000+00:00;83fxMv7kSQpv8n9E;move;[139, 181]
138;2022-01-13 12:44:33.380000+00:00;83fxMv7kSQpv8n9E;move;[135, 180]
139;2022-01-13 12:44:33.396000+00:00;83fxMv7kSQpv8n9E;move;[133, 178]
140;2022-01-13 12:44:33.412000+00:00;83fxMv7kSQpv8n9E;move;[130, 177]
141;2022-01-13 12:44:33.430000+00:00;83fxMv7kSQpv8n9E;move;[129, 176]
142;2022-01-13 12:44:33.446000+00:00;83fxMv7kSQpv8n9E;move;[128, 176]
143;2022-01-13 12:44:33.470000+00:00;83fxMv7kSQpv8n9E;move;[128, 176]
144;2022-01-13 12:44:33.492000+00:00;83fxMv7kSQpv8n9E;move;[128, 176]
