;time;token;event;global_position
0;2022-01-20 12:57:59.200000+00:00;8Yd90WftvuBiAcQv;move;[560, 595]
1;2022-01-20 12:57:59.210000+00:00;8Yd90WftvuBiAcQv;move;[568, 592]
2;2022-01-20 12:57:59.227000+00:00;8Yd90WftvuBiAcQv;move;[583, 585]
3;2022-01-20 12:57:59.243000+00:00;8Yd90WftvuBiAcQv;move;[611, 573]
4;2022-01-20 12:57:59.260000+00:00;8Yd90WftvuBiAcQv;move;[653, 553]
5;2022-01-20 12:57:59.276000+00:00;8Yd90WftvuBiAcQv;move;[699, 526]
6;2022-01-20 12:57:59.294000+00:00;8Yd90WftvuBiAcQv;move;[728, 505]
7;2022-01-20 12:57:59.310000+00:00;8Yd90WftvuBiAcQv;move;[747, 488]
8;2022-01-20 12:57:59.327000+00:00;8Yd90WftvuBiAcQv;move;[763, 469]
9;2022-01-20 12:57:59.343000+00:00;8Yd90WftvuBiAcQv;move;[774, 446]
10;2022-01-20 12:57:59.360000+00:00;8Yd90WftvuBiAcQv;move;[777, 423]
11;2022-01-20 12:57:59.377000+00:00;8Yd90WftvuBiAcQv;move;[777, 410]
12;2022-01-20 12:57:59.393000+00:00;8Yd90WftvuBiAcQv;move;[775, 404]
13;2022-01-20 12:57:59.409000+00:00;8Yd90WftvuBiAcQv;move;[773, 400]
14;2022-01-20 12:57:59.427000+00:00;8Yd90WftvuBiAcQv;move;[770, 398]
15;2022-01-20 12:57:59.443000+00:00;8Yd90WftvuBiAcQv;move;[766, 397]
16;2022-01-20 12:57:59.460000+00:00;8Yd90WftvuBiAcQv;move;[761, 397]
17;2022-01-20 12:57:59.477000+00:00;8Yd90WftvuBiAcQv;move;[756, 397]
18;2022-01-20 12:57:59.493000+00:00;8Yd90WftvuBiAcQv;move;[749, 396]
19;2022-01-20 12:57:59.510000+00:00;8Yd90WftvuBiAcQv;move;[742, 395]
20;2022-01-20 12:57:59.527000+00:00;8Yd90WftvuBiAcQv;move;[736, 394]
21;2022-01-20 12:57:59.543000+00:00;8Yd90WftvuBiAcQv;move;[731, 392]
22;2022-01-20 12:57:59.560000+00:00;8Yd90WftvuBiAcQv;move;[725, 389]
23;2022-01-20 12:57:59.577000+00:00;8Yd90WftvuBiAcQv;move;[724, 389]
24;2022-01-20 12:57:59.594000+00:00;8Yd90WftvuBiAcQv;move;[722, 388]
25;2022-01-20 12:57:59.610000+00:00;8Yd90WftvuBiAcQv;move;[722, 387]
26;2022-01-20 12:57:59.626000+00:00;8Yd90WftvuBiAcQv;move;[722, 387]
27;2022-01-20 12:57:59.644000+00:00;8Yd90WftvuBiAcQv;move;[722, 387]
28;2022-01-20 12:57:59.660000+00:00;8Yd90WftvuBiAcQv;move;[722, 386]
29;2022-01-20 12:57:59.677000+00:00;8Yd90WftvuBiAcQv;move;[722, 386]
30;2022-01-20 12:57:59.693000+00:00;8Yd90WftvuBiAcQv;move;[722, 385]
31;2022-01-20 12:57:59.710000+00:00;8Yd90WftvuBiAcQv;move;[722, 385]
32;2022-01-20 12:57:59.727000+00:00;8Yd90WftvuBiAcQv;move;[722, 384]
33;2022-01-20 12:57:59.743000+00:00;8Yd90WftvuBiAcQv;move;[722, 384]
34;2022-01-20 12:57:59.760000+00:00;8Yd90WftvuBiAcQv;move;[722, 384]
35;2022-01-20 12:57:59.777000+00:00;8Yd90WftvuBiAcQv;move;[722, 382]
36;2022-01-20 12:57:59.793000+00:00;8Yd90WftvuBiAcQv;move;[722, 381]
37;2022-01-20 12:57:59.810000+00:00;8Yd90WftvuBiAcQv;move;[722, 380]
38;2022-01-20 12:57:59.827000+00:00;8Yd90WftvuBiAcQv;move;[722, 378]
39;2022-01-20 12:57:59.844000+00:00;8Yd90WftvuBiAcQv;move;[722, 377]
40;2022-01-20 12:57:59.860000+00:00;8Yd90WftvuBiAcQv;move;[723, 376]
41;2022-01-20 12:57:59.877000+00:00;8Yd90WftvuBiAcQv;move;[723, 376]
42;2022-01-20 12:57:59.894000+00:00;8Yd90WftvuBiAcQv;move;[723, 376]
43;2022-01-20 12:57:59.910000+00:00;8Yd90WftvuBiAcQv;move;[723, 376]
44;2022-01-20 12:58:00.163000+00:00;8Yd90WftvuBiAcQv;move;[723, 375]
45;2022-01-20 12:58:00.186000+00:00;8Yd90WftvuBiAcQv;move;[723, 375]
46;2022-01-20 12:58:06.394000+00:00;8Yd90WftvuBiAcQv;move;[724, 375]
47;2022-01-20 12:58:06.411000+00:00;8Yd90WftvuBiAcQv;move;[734, 374]
48;2022-01-20 12:58:06.427000+00:00;8Yd90WftvuBiAcQv;move;[746, 371]
49;2022-01-20 12:58:06.443000+00:00;8Yd90WftvuBiAcQv;move;[781, 365]
50;2022-01-20 12:58:06.461000+00:00;8Yd90WftvuBiAcQv;move;[820, 359]
51;2022-01-20 12:58:06.477000+00:00;8Yd90WftvuBiAcQv;move;[850, 356]
52;2022-01-20 12:58:19.490000+00:00;8Yd90WftvuBiAcQv;move;[355, 214]
53;2022-01-20 12:58:20.052000+00:00;8Yd90WftvuBiAcQv;move;[270, 124]
54;2022-01-20 12:58:20.060000+00:00;8Yd90WftvuBiAcQv;move;[272, 124]
55;2022-01-20 12:58:20.077000+00:00;8Yd90WftvuBiAcQv;move;[275, 126]
56;2022-01-20 12:58:20.094000+00:00;8Yd90WftvuBiAcQv;move;[280, 129]
57;2022-01-20 12:58:20.110000+00:00;8Yd90WftvuBiAcQv;move;[289, 135]
58;2022-01-20 12:58:20.128000+00:00;8Yd90WftvuBiAcQv;move;[303, 144]
59;2022-01-20 12:58:20.144000+00:00;8Yd90WftvuBiAcQv;move;[321, 156]
60;2022-01-20 12:58:20.161000+00:00;8Yd90WftvuBiAcQv;move;[341, 166]
61;2022-01-20 12:58:20.178000+00:00;8Yd90WftvuBiAcQv;move;[364, 177]
62;2022-01-20 12:58:20.195000+00:00;8Yd90WftvuBiAcQv;move;[406, 193]
63;2022-01-20 12:58:20.211000+00:00;8Yd90WftvuBiAcQv;move;[448, 206]
64;2022-01-20 12:58:20.227000+00:00;8Yd90WftvuBiAcQv;move;[528, 227]
65;2022-01-20 12:58:20.244000+00:00;8Yd90WftvuBiAcQv;move;[588, 240]
66;2022-01-20 12:58:20.260000+00:00;8Yd90WftvuBiAcQv;move;[653, 249]
67;2022-01-20 12:58:20.278000+00:00;8Yd90WftvuBiAcQv;move;[723, 260]
68;2022-01-20 12:58:20.294000+00:00;8Yd90WftvuBiAcQv;move;[795, 274]
69;2022-01-20 12:58:20.311000+00:00;8Yd90WftvuBiAcQv;move;[863, 288]
70;2022-01-20 12:58:31.524000+00:00;8Yd90WftvuBiAcQv;move;[418, 67]
71;2022-01-20 12:58:32.336000+00:00;8Yd90WftvuBiAcQv;move;[320, 116]
72;2022-01-20 12:58:32.344000+00:00;8Yd90WftvuBiAcQv;move;[324, 112]
73;2022-01-20 12:58:32.360000+00:00;8Yd90WftvuBiAcQv;move;[345, 89]
74;2022-01-20 12:58:32.377000+00:00;8Yd90WftvuBiAcQv;move;[365, 67]
75;2022-01-20 12:58:32.395000+00:00;8Yd90WftvuBiAcQv;move;[391, 36]
76;2022-01-20 12:58:32.412000+00:00;8Yd90WftvuBiAcQv;move;[413, 15]
77;2022-01-20 12:58:32.427000+00:00;8Yd90WftvuBiAcQv;move;[428, 3]
78;2022-01-20 12:58:34.349000+00:00;8Yd90WftvuBiAcQv;move;[532, 11]
79;2022-01-20 12:58:34.362000+00:00;8Yd90WftvuBiAcQv;move;[537, 22]
80;2022-01-20 12:58:34.378000+00:00;8Yd90WftvuBiAcQv;move;[548, 42]
