;time;token;event;global_position
0;2022-01-13 12:44:59.505000+00:00;8vheOsqGn1NPf6u1;move;[1002, 712]
1;2022-01-13 12:44:59.521000+00:00;8vheOsqGn1NPf6u1;move;[1001, 713]
2;2022-01-13 12:44:59.538000+00:00;8vheOsqGn1NPf6u1;move;[999, 715]
3;2022-01-13 12:44:59.561000+00:00;8vheOsqGn1NPf6u1;move;[998, 715]
4;2022-01-13 12:44:59.572000+00:00;8vheOsqGn1NPf6u1;move;[998, 716]
5;2022-01-13 12:44:59.719000+00:00;8vheOsqGn1NPf6u1;move;[997, 716]
6;2022-01-13 12:44:59.754000+00:00;8vheOsqGn1NPf6u1;move;[995, 716]
7;2022-01-13 12:45:00.621000+00:00;8vheOsqGn1NPf6u1;move;[994, 716]
8;2022-01-13 12:45:01.189000+00:00;8vheOsqGn1NPf6u1;move;[993, 716]
9;2022-01-13 12:45:01.202000+00:00;8vheOsqGn1NPf6u1;move;[991, 717]
10;2022-01-13 12:45:01.360000+00:00;8vheOsqGn1NPf6u1;move;[990, 717]
11;2022-01-13 12:45:01.372000+00:00;8vheOsqGn1NPf6u1;move;[990, 718]
12;2022-01-13 12:45:02.094000+00:00;8vheOsqGn1NPf6u1;move;[989, 718]
13;2022-01-13 12:45:02.237000+00:00;8vheOsqGn1NPf6u1;move;[988, 718]
14;2022-01-13 12:45:02.251000+00:00;8vheOsqGn1NPf6u1;move;[988, 713]
15;2022-01-13 12:45:02.268000+00:00;8vheOsqGn1NPf6u1;move;[985, 696]
16;2022-01-13 12:45:02.284000+00:00;8vheOsqGn1NPf6u1;move;[983, 677]
17;2022-01-13 12:45:02.300000+00:00;8vheOsqGn1NPf6u1;move;[977, 644]
18;2022-01-13 12:45:02.317000+00:00;8vheOsqGn1NPf6u1;move;[975, 619]
19;2022-01-13 12:45:02.334000+00:00;8vheOsqGn1NPf6u1;move;[971, 599]
20;2022-01-13 12:45:02.350000+00:00;8vheOsqGn1NPf6u1;move;[968, 580]
21;2022-01-13 12:45:02.367000+00:00;8vheOsqGn1NPf6u1;move;[965, 559]
22;2022-01-13 12:45:02.383000+00:00;8vheOsqGn1NPf6u1;move;[962, 536]
23;2022-01-13 12:45:02.400000+00:00;8vheOsqGn1NPf6u1;move;[960, 519]
24;2022-01-13 12:45:02.417000+00:00;8vheOsqGn1NPf6u1;move;[956, 496]
25;2022-01-13 12:45:02.434000+00:00;8vheOsqGn1NPf6u1;move;[953, 471]
26;2022-01-13 12:45:02.450000+00:00;8vheOsqGn1NPf6u1;move;[950, 451]
27;2022-01-13 12:45:02.467000+00:00;8vheOsqGn1NPf6u1;move;[948, 436]
28;2022-01-13 12:45:02.483000+00:00;8vheOsqGn1NPf6u1;move;[947, 420]
29;2022-01-13 12:45:02.500000+00:00;8vheOsqGn1NPf6u1;move;[947, 409]
30;2022-01-13 12:45:02.517000+00:00;8vheOsqGn1NPf6u1;move;[947, 397]
31;2022-01-13 12:45:02.533000+00:00;8vheOsqGn1NPf6u1;move;[947, 386]
32;2022-01-13 12:45:02.550000+00:00;8vheOsqGn1NPf6u1;move;[948, 376]
33;2022-01-13 12:45:02.567000+00:00;8vheOsqGn1NPf6u1;move;[952, 369]
34;2022-01-13 12:45:02.583000+00:00;8vheOsqGn1NPf6u1;move;[957, 361]
35;2022-01-13 12:45:02.600000+00:00;8vheOsqGn1NPf6u1;move;[963, 353]
36;2022-01-13 12:45:02.617000+00:00;8vheOsqGn1NPf6u1;move;[968, 348]
37;2022-01-13 12:45:02.633000+00:00;8vheOsqGn1NPf6u1;move;[973, 343]
38;2022-01-13 12:45:02.650000+00:00;8vheOsqGn1NPf6u1;move;[976, 339]
39;2022-01-13 12:45:02.667000+00:00;8vheOsqGn1NPf6u1;move;[979, 337]
40;2022-01-13 12:45:02.683000+00:00;8vheOsqGn1NPf6u1;move;[982, 334]
41;2022-01-13 12:45:02.700000+00:00;8vheOsqGn1NPf6u1;move;[984, 329]
42;2022-01-13 12:45:02.716000+00:00;8vheOsqGn1NPf6u1;move;[986, 326]
43;2022-01-13 12:45:02.733000+00:00;8vheOsqGn1NPf6u1;move;[988, 320]
44;2022-01-13 12:45:02.750000+00:00;8vheOsqGn1NPf6u1;move;[990, 316]
45;2022-01-13 12:45:02.766000+00:00;8vheOsqGn1NPf6u1;move;[993, 312]
46;2022-01-13 12:45:02.783000+00:00;8vheOsqGn1NPf6u1;move;[993, 308]
