;time;token;event;global_position
0;2022-01-20 13:36:13.288000+00:00;9SwnyFK7iNUdU6jG;move;[1067, 776]
1;2022-01-20 13:36:13.304000+00:00;9SwnyFK7iNUdU6jG;move;[1089, 749]
2;2022-01-20 13:36:13.321000+00:00;9SwnyFK7iNUdU6jG;move;[1121, 702]
3;2022-01-20 13:36:13.337000+00:00;9SwnyFK7iNUdU6jG;move;[1133, 681]
4;2022-01-20 13:36:13.355000+00:00;9SwnyFK7iNUdU6jG;move;[1192, 577]
5;2022-01-20 13:36:13.371000+00:00;9SwnyFK7iNUdU6jG;move;[1226, 516]
6;2022-01-20 13:36:13.388000+00:00;9SwnyFK7iNUdU6jG;move;[1263, 451]
7;2022-01-20 13:36:13.404000+00:00;9SwnyFK7iNUdU6jG;move;[1279, 424]
8;2022-01-20 13:36:13.421000+00:00;9SwnyFK7iNUdU6jG;move;[1291, 402]
9;2022-01-20 13:36:13.438000+00:00;9SwnyFK7iNUdU6jG;move;[1297, 394]
10;2022-01-20 13:36:13.455000+00:00;9SwnyFK7iNUdU6jG;move;[1299, 390]
11;2022-01-20 13:36:13.471000+00:00;9SwnyFK7iNUdU6jG;move;[1300, 388]
12;2022-01-20 13:36:13.488000+00:00;9SwnyFK7iNUdU6jG;move;[1301, 387]
13;2022-01-20 13:36:13.504000+00:00;9SwnyFK7iNUdU6jG;move;[1301, 386]
14;2022-01-20 13:36:13.521000+00:00;9SwnyFK7iNUdU6jG;move;[1301, 385]
15;2022-01-20 13:36:13.538000+00:00;9SwnyFK7iNUdU6jG;move;[1301, 384]
16;2022-01-20 13:36:13.556000+00:00;9SwnyFK7iNUdU6jG;move;[1301, 381]
17;2022-01-20 13:36:13.572000+00:00;9SwnyFK7iNUdU6jG;move;[1302, 374]
18;2022-01-20 13:36:13.588000+00:00;9SwnyFK7iNUdU6jG;move;[1305, 368]
19;2022-01-20 13:36:13.604000+00:00;9SwnyFK7iNUdU6jG;move;[1307, 362]
20;2022-01-20 13:36:13.622000+00:00;9SwnyFK7iNUdU6jG;move;[1309, 358]
21;2022-01-20 13:36:13.638000+00:00;9SwnyFK7iNUdU6jG;move;[1310, 358]
22;2022-01-20 13:36:13.688000+00:00;9SwnyFK7iNUdU6jG;move;[1308, 358]
23;2022-01-20 13:36:13.706000+00:00;9SwnyFK7iNUdU6jG;move;[1307, 358]
24;2022-01-20 13:36:13.722000+00:00;9SwnyFK7iNUdU6jG;move;[1306, 359]
25;2022-01-20 13:36:13.738000+00:00;9SwnyFK7iNUdU6jG;move;[1305, 359]
26;2022-01-20 13:36:14.279000+00:00;9SwnyFK7iNUdU6jG;move;[1305, 359]
27;2022-01-20 13:36:14.288000+00:00;9SwnyFK7iNUdU6jG;move;[1305, 363]
28;2022-01-20 13:36:14.305000+00:00;9SwnyFK7iNUdU6jG;move;[1302, 374]
29;2022-01-20 13:36:14.322000+00:00;9SwnyFK7iNUdU6jG;move;[1290, 401]
30;2022-01-20 13:36:14.339000+00:00;9SwnyFK7iNUdU6jG;move;[1275, 432]
31;2022-01-20 13:36:14.356000+00:00;9SwnyFK7iNUdU6jG;move;[1261, 458]
32;2022-01-20 13:36:14.371000+00:00;9SwnyFK7iNUdU6jG;move;[1253, 472]
33;2022-01-20 13:36:14.388000+00:00;9SwnyFK7iNUdU6jG;move;[1247, 482]
34;2022-01-20 13:36:14.405000+00:00;9SwnyFK7iNUdU6jG;move;[1244, 486]
35;2022-01-20 13:36:14.422000+00:00;9SwnyFK7iNUdU6jG;move;[1243, 488]
36;2022-01-20 13:36:14.438000+00:00;9SwnyFK7iNUdU6jG;move;[1242, 489]
37;2022-01-20 13:36:14.455000+00:00;9SwnyFK7iNUdU6jG;move;[1242, 489]
38;2022-01-20 13:36:14.472000+00:00;9SwnyFK7iNUdU6jG;move;[1242, 489]
39;2022-01-20 13:36:14.488000+00:00;9SwnyFK7iNUdU6jG;move;[1242, 489]
40;2022-01-20 13:36:14.505000+00:00;9SwnyFK7iNUdU6jG;move;[1240, 487]
41;2022-01-20 13:36:14.522000+00:00;9SwnyFK7iNUdU6jG;move;[1238, 483]
42;2022-01-20 13:36:14.538000+00:00;9SwnyFK7iNUdU6jG;move;[1237, 474]
43;2022-01-20 13:36:14.555000+00:00;9SwnyFK7iNUdU6jG;move;[1236, 462]
44;2022-01-20 13:36:14.571000+00:00;9SwnyFK7iNUdU6jG;move;[1236, 446]
45;2022-01-20 13:36:14.588000+00:00;9SwnyFK7iNUdU6jG;move;[1236, 426]
46;2022-01-20 13:36:14.605000+00:00;9SwnyFK7iNUdU6jG;move;[1236, 407]
47;2022-01-20 13:36:14.621000+00:00;9SwnyFK7iNUdU6jG;move;[1238, 395]
