;time;token;event;global_position
0;2022-01-13 12:45:42.640000+00:00;AugH5l6cAYxeSC7q;move;[791, 523]
1;2022-01-13 12:45:42.651000+00:00;AugH5l6cAYxeSC7q;move;[803, 475]
2;2022-01-13 12:45:42.661000+00:00;AugH5l6cAYxeSC7q;move;[811, 440]
3;2022-01-13 12:45:42.672000+00:00;AugH5l6cAYxeSC7q;move;[823, 389]
4;2022-01-13 12:45:42.680000+00:00;AugH5l6cAYxeSC7q;move;[830, 357]
5;2022-01-13 12:45:42.694000+00:00;AugH5l6cAYxeSC7q;move;[836, 330]
6;2022-01-13 12:45:42.711000+00:00;AugH5l6cAYxeSC7q;move;[846, 279]
7;2022-01-13 12:45:42.728000+00:00;AugH5l6cAYxeSC7q;move;[856, 219]
8;2022-01-13 12:45:42.744000+00:00;AugH5l6cAYxeSC7q;move;[862, 170]
9;2022-01-13 12:45:42.761000+00:00;AugH5l6cAYxeSC7q;move;[864, 163]
10;2022-01-13 12:45:42.777000+00:00;AugH5l6cAYxeSC7q;move;[864, 158]
11;2022-01-13 12:45:42.795000+00:00;AugH5l6cAYxeSC7q;move;[864, 156]
12;2022-01-13 12:45:42.812000+00:00;AugH5l6cAYxeSC7q;move;[864, 155]
13;2022-01-13 12:45:42.883000+00:00;AugH5l6cAYxeSC7q;move;[864, 157]
14;2022-01-13 12:45:42.893000+00:00;AugH5l6cAYxeSC7q;move;[863, 158]
15;2022-01-13 12:45:42.902000+00:00;AugH5l6cAYxeSC7q;move;[863, 160]
16;2022-01-13 12:45:42.911000+00:00;AugH5l6cAYxeSC7q;move;[861, 163]
17;2022-01-13 12:45:42.927000+00:00;AugH5l6cAYxeSC7q;move;[858, 167]
18;2022-01-13 12:45:42.943000+00:00;AugH5l6cAYxeSC7q;move;[853, 176]
19;2022-01-13 12:45:42.960000+00:00;AugH5l6cAYxeSC7q;move;[851, 178]
20;2022-01-13 12:45:42.977000+00:00;AugH5l6cAYxeSC7q;move;[850, 180]
21;2022-01-13 12:45:42.995000+00:00;AugH5l6cAYxeSC7q;move;[849, 181]
22;2022-01-13 12:45:43.014000+00:00;AugH5l6cAYxeSC7q;move;[848, 181]
23;2022-01-13 12:45:43.055000+00:00;AugH5l6cAYxeSC7q;move;[848, 182]
24;2022-01-13 12:45:43.065000+00:00;AugH5l6cAYxeSC7q;move;[847, 182]
25;2022-01-13 12:45:43.074000+00:00;AugH5l6cAYxeSC7q;move;[847, 183]
26;2022-01-13 12:45:43.096000+00:00;AugH5l6cAYxeSC7q;move;[847, 184]
27;2022-01-13 12:45:43.106000+00:00;AugH5l6cAYxeSC7q;move;[846, 186]
28;2022-01-13 12:45:43.116000+00:00;AugH5l6cAYxeSC7q;move;[843, 191]
29;2022-01-13 12:45:43.127000+00:00;AugH5l6cAYxeSC7q;move;[840, 201]
30;2022-01-13 12:45:43.145000+00:00;AugH5l6cAYxeSC7q;move;[837, 210]
31;2022-01-13 12:45:43.161000+00:00;AugH5l6cAYxeSC7q;move;[832, 223]
32;2022-01-13 12:45:43.178000+00:00;AugH5l6cAYxeSC7q;move;[831, 230]
33;2022-01-13 12:45:43.194000+00:00;AugH5l6cAYxeSC7q;move;[831, 231]
34;2022-01-13 12:45:43.211000+00:00;AugH5l6cAYxeSC7q;move;[831, 233]
35;2022-01-13 12:45:43.297000+00:00;AugH5l6cAYxeSC7q;move;[831, 234]
36;2022-01-13 12:45:43.319000+00:00;AugH5l6cAYxeSC7q;move;[833, 236]
37;2022-01-13 12:45:43.329000+00:00;AugH5l6cAYxeSC7q;move;[834, 237]
38;2022-01-13 12:45:43.338000+00:00;AugH5l6cAYxeSC7q;move;[836, 237]
39;2022-01-13 12:45:43.347000+00:00;AugH5l6cAYxeSC7q;move;[837, 239]
40;2022-01-13 12:45:43.361000+00:00;AugH5l6cAYxeSC7q;move;[839, 239]
41;2022-01-13 12:45:43.377000+00:00;AugH5l6cAYxeSC7q;move;[841, 240]
42;2022-01-13 12:45:43.394000+00:00;AugH5l6cAYxeSC7q;move;[847, 242]
43;2022-01-13 12:45:43.410000+00:00;AugH5l6cAYxeSC7q;move;[850, 242]
44;2022-01-13 12:45:43.427000+00:00;AugH5l6cAYxeSC7q;move;[851, 242]
45;2022-01-13 12:45:43.449000+00:00;AugH5l6cAYxeSC7q;move;[852, 242]
46;2022-01-13 12:45:43.807000+00:00;AugH5l6cAYxeSC7q;move;[843, 242]
47;2022-01-13 12:45:43.815000+00:00;AugH5l6cAYxeSC7q;move;[819, 243]
48;2022-01-13 12:45:43.827000+00:00;AugH5l6cAYxeSC7q;move;[778, 243]
49;2022-01-13 12:45:43.844000+00:00;AugH5l6cAYxeSC7q;move;[682, 249]
50;2022-01-13 12:45:43.862000+00:00;AugH5l6cAYxeSC7q;move;[631, 249]
51;2022-01-13 12:45:43.877000+00:00;AugH5l6cAYxeSC7q;move;[570, 247]
52;2022-01-13 12:45:43.894000+00:00;AugH5l6cAYxeSC7q;move;[535, 238]
53;2022-01-13 12:45:43.911000+00:00;AugH5l6cAYxeSC7q;move;[529, 237]
54;2022-01-13 12:45:43.927000+00:00;AugH5l6cAYxeSC7q;move;[525, 236]
55;2022-01-13 12:45:43.945000+00:00;AugH5l6cAYxeSC7q;move;[524, 236]
56;2022-01-13 12:45:44.250000+00:00;AugH5l6cAYxeSC7q;move;[523, 236]
57;2022-01-13 12:45:44.260000+00:00;AugH5l6cAYxeSC7q;move;[522, 236]
58;2022-01-13 12:45:44.270000+00:00;AugH5l6cAYxeSC7q;move;[521, 236]
59;2022-01-13 12:45:44.280000+00:00;AugH5l6cAYxeSC7q;move;[519, 236]
60;2022-01-13 12:45:44.293000+00:00;AugH5l6cAYxeSC7q;move;[518, 236]
61;2022-01-13 12:45:44.310000+00:00;AugH5l6cAYxeSC7q;move;[515, 236]
62;2022-01-13 12:45:44.327000+00:00;AugH5l6cAYxeSC7q;move;[514, 236]
63;2022-01-13 12:45:44.344000+00:00;AugH5l6cAYxeSC7q;move;[512, 236]
64;2022-01-13 12:45:44.360000+00:00;AugH5l6cAYxeSC7q;move;[509, 236]
65;2022-01-13 12:45:44.378000+00:00;AugH5l6cAYxeSC7q;move;[508, 236]
66;2022-01-13 12:45:44.393000+00:00;AugH5l6cAYxeSC7q;move;[507, 236]
67;2022-01-13 12:45:45.256000+00:00;AugH5l6cAYxeSC7q;move;[507, 237]
68;2022-01-13 12:45:45.266000+00:00;AugH5l6cAYxeSC7q;move;[507, 242]
69;2022-01-13 12:45:45.276000+00:00;AugH5l6cAYxeSC7q;move;[507, 250]
70;2022-01-13 12:45:45.285000+00:00;AugH5l6cAYxeSC7q;move;[508, 262]
71;2022-01-13 12:45:45.297000+00:00;AugH5l6cAYxeSC7q;move;[511, 279]
72;2022-01-13 12:45:45.311000+00:00;AugH5l6cAYxeSC7q;move;[513, 320]
73;2022-01-13 12:45:45.327000+00:00;AugH5l6cAYxeSC7q;move;[528, 418]
74;2022-01-13 12:45:45.343000+00:00;AugH5l6cAYxeSC7q;move;[536, 468]
75;2022-01-13 12:45:45.361000+00:00;AugH5l6cAYxeSC7q;move;[545, 552]
76;2022-01-13 12:45:45.378000+00:00;AugH5l6cAYxeSC7q;move;[546, 588]
77;2022-01-13 12:45:45.394000+00:00;AugH5l6cAYxeSC7q;move;[546, 619]
78;2022-01-13 12:45:45.410000+00:00;AugH5l6cAYxeSC7q;move;[544, 631]
79;2022-01-13 12:45:45.427000+00:00;AugH5l6cAYxeSC7q;move;[538, 641]
80;2022-01-13 12:46:14.526000+00:00;AugH5l6cAYxeSC7q;move;[1144, 67]
81;2022-01-13 12:46:14.543000+00:00;AugH5l6cAYxeSC7q;move;[1063, 157]
82;2022-01-13 12:46:14.559000+00:00;AugH5l6cAYxeSC7q;move;[969, 234]
83;2022-01-13 12:46:14.576000+00:00;AugH5l6cAYxeSC7q;move;[942, 249]
84;2022-01-13 12:46:14.592000+00:00;AugH5l6cAYxeSC7q;move;[887, 270]
85;2022-01-13 12:46:14.609000+00:00;AugH5l6cAYxeSC7q;move;[873, 274]
86;2022-01-13 12:46:14.626000+00:00;AugH5l6cAYxeSC7q;move;[859, 277]
87;2022-01-13 12:46:14.643000+00:00;AugH5l6cAYxeSC7q;move;[855, 278]
88;2022-01-13 12:46:14.659000+00:00;AugH5l6cAYxeSC7q;move;[854, 278]
89;2022-01-13 12:46:14.676000+00:00;AugH5l6cAYxeSC7q;move;[852, 278]
90;2022-01-13 12:46:14.722000+00:00;AugH5l6cAYxeSC7q;move;[851, 278]
91;2022-01-13 12:46:14.752000+00:00;AugH5l6cAYxeSC7q;move;[855, 279]
92;2022-01-13 12:46:14.761000+00:00;AugH5l6cAYxeSC7q;move;[872, 283]
93;2022-01-13 12:46:14.771000+00:00;AugH5l6cAYxeSC7q;move;[891, 288]
94;2022-01-13 12:46:14.781000+00:00;AugH5l6cAYxeSC7q;move;[926, 306]
95;2022-01-13 12:46:14.793000+00:00;AugH5l6cAYxeSC7q;move;[955, 321]
96;2022-01-13 12:46:14.809000+00:00;AugH5l6cAYxeSC7q;move;[973, 331]
97;2022-01-13 12:46:14.825000+00:00;AugH5l6cAYxeSC7q;move;[999, 343]
98;2022-01-13 12:46:14.842000+00:00;AugH5l6cAYxeSC7q;move;[1020, 353]
99;2022-01-13 12:46:14.859000+00:00;AugH5l6cAYxeSC7q;move;[1027, 356]
100;2022-01-13 12:46:14.875000+00:00;AugH5l6cAYxeSC7q;move;[1032, 358]
101;2022-01-13 12:46:14.892000+00:00;AugH5l6cAYxeSC7q;move;[1035, 360]
102;2022-01-13 12:46:14.909000+00:00;AugH5l6cAYxeSC7q;move;[1036, 360]
103;2022-01-13 12:46:14.926000+00:00;AugH5l6cAYxeSC7q;move;[1037, 360]
104;2022-01-13 12:46:15.166000+00:00;AugH5l6cAYxeSC7q;move;[1039, 360]
105;2022-01-13 12:46:15.176000+00:00;AugH5l6cAYxeSC7q;move;[1042, 358]
106;2022-01-13 12:46:15.187000+00:00;AugH5l6cAYxeSC7q;move;[1052, 355]
107;2022-01-13 12:46:15.195000+00:00;AugH5l6cAYxeSC7q;move;[1064, 353]
108;2022-01-13 12:46:15.209000+00:00;AugH5l6cAYxeSC7q;move;[1077, 351]
109;2022-01-13 12:46:15.226000+00:00;AugH5l6cAYxeSC7q;move;[1108, 351]
110;2022-01-13 12:46:15.243000+00:00;AugH5l6cAYxeSC7q;move;[1124, 351]
111;2022-01-13 12:46:15.259000+00:00;AugH5l6cAYxeSC7q;move;[1142, 353]
112;2022-01-13 12:46:15.276000+00:00;AugH5l6cAYxeSC7q;move;[1149, 354]
113;2022-01-13 12:46:15.292000+00:00;AugH5l6cAYxeSC7q;move;[1151, 354]
114;2022-01-13 12:46:15.309000+00:00;AugH5l6cAYxeSC7q;move;[1152, 354]
115;2022-01-13 12:46:15.325000+00:00;AugH5l6cAYxeSC7q;move;[1153, 354]
116;2022-01-13 12:46:15.343000+00:00;AugH5l6cAYxeSC7q;move;[1154, 354]
117;2022-01-13 12:46:15.488000+00:00;AugH5l6cAYxeSC7q;move;[1155, 354]
118;2022-01-13 12:46:16.633000+00:00;AugH5l6cAYxeSC7q;move;[1154, 356]
119;2022-01-13 12:46:16.642000+00:00;AugH5l6cAYxeSC7q;move;[1149, 361]
120;2022-01-13 12:46:16.651000+00:00;AugH5l6cAYxeSC7q;move;[1140, 368]
121;2022-01-13 12:46:16.661000+00:00;AugH5l6cAYxeSC7q;move;[1127, 378]
122;2022-01-13 12:46:16.676000+00:00;AugH5l6cAYxeSC7q;move;[1084, 399]
123;2022-01-13 12:46:16.692000+00:00;AugH5l6cAYxeSC7q;move;[1005, 427]
124;2022-01-13 12:46:16.709000+00:00;AugH5l6cAYxeSC7q;move;[960, 436]
125;2022-01-13 12:46:16.726000+00:00;AugH5l6cAYxeSC7q;move;[884, 445]
126;2022-01-13 12:46:16.743000+00:00;AugH5l6cAYxeSC7q;move;[839, 443]
127;2022-01-13 12:46:16.760000+00:00;AugH5l6cAYxeSC7q;move;[820, 439]
128;2022-01-13 12:46:16.776000+00:00;AugH5l6cAYxeSC7q;move;[798, 431]
129;2022-01-13 12:46:16.792000+00:00;AugH5l6cAYxeSC7q;move;[790, 428]
130;2022-01-13 12:46:16.809000+00:00;AugH5l6cAYxeSC7q;move;[789, 427]
131;2022-01-13 12:46:16.826000+00:00;AugH5l6cAYxeSC7q;move;[787, 427]
