;time;token;event;global_position
0;2022-01-13 12:43:56.900000+00:00;BF8JCJ1XfAaj+Rnj;move;[1246, 869]
1;2022-01-13 12:43:56.907000+00:00;BF8JCJ1XfAaj+Rnj;move;[1244, 869]
2;2022-01-13 12:43:56.916000+00:00;BF8JCJ1XfAaj+Rnj;move;[1242, 869]
3;2022-01-13 12:43:56.926000+00:00;BF8JCJ1XfAaj+Rnj;move;[1239, 869]
4;2022-01-13 12:43:56.943000+00:00;BF8JCJ1XfAaj+Rnj;move;[1230, 869]
5;2022-01-13 12:43:56.959000+00:00;BF8JCJ1XfAaj+Rnj;move;[1213, 867]
6;2022-01-13 12:43:56.975000+00:00;BF8JCJ1XfAaj+Rnj;move;[1185, 861]
7;2022-01-13 12:43:56.993000+00:00;BF8JCJ1XfAaj+Rnj;move;[1149, 853]
8;2022-01-13 12:43:57.009000+00:00;BF8JCJ1XfAaj+Rnj;move;[1110, 845]
9;2022-01-13 12:43:57.025000+00:00;BF8JCJ1XfAaj+Rnj;move;[1073, 836]
10;2022-01-13 12:43:57.042000+00:00;BF8JCJ1XfAaj+Rnj;move;[1036, 828]
11;2022-01-13 12:43:57.059000+00:00;BF8JCJ1XfAaj+Rnj;move;[1001, 819]
12;2022-01-13 12:43:57.075000+00:00;BF8JCJ1XfAaj+Rnj;move;[947, 804]
13;2022-01-13 12:43:57.092000+00:00;BF8JCJ1XfAaj+Rnj;move;[910, 795]
14;2022-01-13 12:43:57.109000+00:00;BF8JCJ1XfAaj+Rnj;move;[872, 784]
15;2022-01-13 12:43:57.126000+00:00;BF8JCJ1XfAaj+Rnj;move;[837, 776]
16;2022-01-13 12:43:57.143000+00:00;BF8JCJ1XfAaj+Rnj;move;[808, 769]
17;2022-01-13 12:43:57.159000+00:00;BF8JCJ1XfAaj+Rnj;move;[785, 764]
18;2022-01-13 12:43:57.175000+00:00;BF8JCJ1XfAaj+Rnj;move;[764, 761]
19;2022-01-13 12:43:57.192000+00:00;BF8JCJ1XfAaj+Rnj;move;[750, 759]
20;2022-01-13 12:43:57.209000+00:00;BF8JCJ1XfAaj+Rnj;move;[739, 756]
21;2022-01-13 12:43:57.226000+00:00;BF8JCJ1XfAaj+Rnj;move;[728, 753]
22;2022-01-13 12:43:57.242000+00:00;BF8JCJ1XfAaj+Rnj;move;[721, 752]
23;2022-01-13 12:43:57.258000+00:00;BF8JCJ1XfAaj+Rnj;move;[715, 749]
24;2022-01-13 12:43:57.275000+00:00;BF8JCJ1XfAaj+Rnj;move;[702, 746]
25;2022-01-13 12:43:57.292000+00:00;BF8JCJ1XfAaj+Rnj;move;[691, 743]
26;2022-01-13 12:43:57.309000+00:00;BF8JCJ1XfAaj+Rnj;move;[684, 741]
27;2022-01-13 12:43:57.326000+00:00;BF8JCJ1XfAaj+Rnj;move;[682, 741]
28;2022-01-13 12:43:57.342000+00:00;BF8JCJ1XfAaj+Rnj;move;[679, 740]
29;2022-01-13 12:43:57.359000+00:00;BF8JCJ1XfAaj+Rnj;move;[673, 737]
30;2022-01-13 12:43:57.376000+00:00;BF8JCJ1XfAaj+Rnj;move;[671, 736]
31;2022-01-13 12:44:21.915000+00:00;BF8JCJ1XfAaj+Rnj;move;[669, 736]
32;2022-01-13 12:44:21.931000+00:00;BF8JCJ1XfAaj+Rnj;move;[669, 735]
33;2022-01-13 12:44:21.940000+00:00;BF8JCJ1XfAaj+Rnj;move;[667, 732]
34;2022-01-13 12:44:21.948000+00:00;BF8JCJ1XfAaj+Rnj;move;[662, 727]
35;2022-01-13 12:44:21.964000+00:00;BF8JCJ1XfAaj+Rnj;move;[650, 714]
36;2022-01-13 12:44:21.981000+00:00;BF8JCJ1XfAaj+Rnj;move;[634, 698]
37;2022-01-13 12:44:21.998000+00:00;BF8JCJ1XfAaj+Rnj;move;[620, 686]
38;2022-01-13 12:44:22.014000+00:00;BF8JCJ1XfAaj+Rnj;move;[613, 680]
39;2022-01-13 12:44:22.031000+00:00;BF8JCJ1XfAaj+Rnj;move;[611, 678]
40;2022-01-13 12:44:22.067000+00:00;BF8JCJ1XfAaj+Rnj;move;[609, 678]
41;2022-01-13 12:44:22.076000+00:00;BF8JCJ1XfAaj+Rnj;move;[606, 678]
42;2022-01-13 12:44:22.084000+00:00;BF8JCJ1XfAaj+Rnj;move;[601, 676]
43;2022-01-13 12:44:22.098000+00:00;BF8JCJ1XfAaj+Rnj;move;[595, 675]
44;2022-01-13 12:44:22.114000+00:00;BF8JCJ1XfAaj+Rnj;move;[583, 675]
45;2022-01-13 12:44:22.131000+00:00;BF8JCJ1XfAaj+Rnj;move;[576, 675]
46;2022-01-13 12:44:22.148000+00:00;BF8JCJ1XfAaj+Rnj;move;[573, 675]
47;2022-01-13 12:44:22.174000+00:00;BF8JCJ1XfAaj+Rnj;move;[576, 674]
48;2022-01-13 12:44:22.181000+00:00;BF8JCJ1XfAaj+Rnj;move;[583, 671]
49;2022-01-13 12:44:22.197000+00:00;BF8JCJ1XfAaj+Rnj;move;[609, 662]
50;2022-01-13 12:44:22.215000+00:00;BF8JCJ1XfAaj+Rnj;move;[649, 647]
51;2022-01-13 12:44:22.231000+00:00;BF8JCJ1XfAaj+Rnj;move;[696, 629]
52;2022-01-13 12:44:22.248000+00:00;BF8JCJ1XfAaj+Rnj;move;[744, 612]
53;2022-01-13 12:44:22.265000+00:00;BF8JCJ1XfAaj+Rnj;move;[794, 596]
54;2022-01-13 12:44:22.281000+00:00;BF8JCJ1XfAaj+Rnj;move;[845, 582]
55;2022-01-13 12:44:22.298000+00:00;BF8JCJ1XfAaj+Rnj;move;[890, 571]
56;2022-01-13 12:44:22.314000+00:00;BF8JCJ1XfAaj+Rnj;move;[923, 567]
57;2022-01-13 12:44:22.331000+00:00;BF8JCJ1XfAaj+Rnj;move;[937, 567]
58;2022-01-13 12:44:22.348000+00:00;BF8JCJ1XfAaj+Rnj;move;[942, 567]
59;2022-01-13 12:44:22.364000+00:00;BF8JCJ1XfAaj+Rnj;move;[951, 568]
60;2022-01-13 12:44:22.380000+00:00;BF8JCJ1XfAaj+Rnj;move;[967, 573]
61;2022-01-13 12:44:22.398000+00:00;BF8JCJ1XfAaj+Rnj;move;[990, 580]
62;2022-01-13 12:44:22.414000+00:00;BF8JCJ1XfAaj+Rnj;move;[1014, 587]
63;2022-01-13 12:44:22.431000+00:00;BF8JCJ1XfAaj+Rnj;move;[1038, 593]
64;2022-01-13 12:44:22.447000+00:00;BF8JCJ1XfAaj+Rnj;move;[1064, 595]
65;2022-01-13 12:44:22.464000+00:00;BF8JCJ1XfAaj+Rnj;move;[1097, 595]
66;2022-01-13 12:44:22.481000+00:00;BF8JCJ1XfAaj+Rnj;move;[1142, 590]
67;2022-01-13 12:44:22.498000+00:00;BF8JCJ1XfAaj+Rnj;move;[1195, 585]
68;2022-01-13 12:44:22.514000+00:00;BF8JCJ1XfAaj+Rnj;move;[1247, 580]
69;2022-01-13 12:44:22.530000+00:00;BF8JCJ1XfAaj+Rnj;move;[1289, 572]
70;2022-01-13 12:44:22.548000+00:00;BF8JCJ1XfAaj+Rnj;move;[1323, 562]
