;time;token;event;global_position
0;2022-01-13 12:43:45.264000+00:00;Cjjwgm4NFA03PWKv;move;[1169, 903]
1;2022-01-13 12:43:45.277000+00:00;Cjjwgm4NFA03PWKv;move;[1168, 900]
2;2022-01-13 12:43:45.294000+00:00;Cjjwgm4NFA03PWKv;move;[1165, 899]
3;2022-01-13 12:43:45.310000+00:00;Cjjwgm4NFA03PWKv;move;[1161, 896]
4;2022-01-13 12:43:45.327000+00:00;Cjjwgm4NFA03PWKv;move;[1156, 894]
5;2022-01-13 12:43:45.343000+00:00;Cjjwgm4NFA03PWKv;move;[1151, 891]
6;2022-01-13 12:43:45.361000+00:00;Cjjwgm4NFA03PWKv;move;[1143, 888]
7;2022-01-13 12:43:45.378000+00:00;Cjjwgm4NFA03PWKv;move;[1135, 885]
8;2022-01-13 12:43:45.393000+00:00;Cjjwgm4NFA03PWKv;move;[1124, 880]
9;2022-01-13 12:43:45.410000+00:00;Cjjwgm4NFA03PWKv;move;[1114, 875]
10;2022-01-13 12:43:45.428000+00:00;Cjjwgm4NFA03PWKv;move;[1104, 871]
11;2022-01-13 12:43:45.444000+00:00;Cjjwgm4NFA03PWKv;move;[1095, 867]
12;2022-01-13 12:43:45.460000+00:00;Cjjwgm4NFA03PWKv;move;[1085, 863]
13;2022-01-13 12:43:45.477000+00:00;Cjjwgm4NFA03PWKv;move;[1078, 860]
14;2022-01-13 12:43:45.494000+00:00;Cjjwgm4NFA03PWKv;move;[1070, 857]
15;2022-01-13 12:43:45.512000+00:00;Cjjwgm4NFA03PWKv;move;[1064, 855]
16;2022-01-13 12:43:45.527000+00:00;Cjjwgm4NFA03PWKv;move;[1056, 851]
17;2022-01-13 12:43:45.545000+00:00;Cjjwgm4NFA03PWKv;move;[1048, 848]
18;2022-01-13 12:43:45.560000+00:00;Cjjwgm4NFA03PWKv;move;[1038, 844]
19;2022-01-13 12:43:45.577000+00:00;Cjjwgm4NFA03PWKv;move;[1029, 840]
20;2022-01-13 12:43:45.594000+00:00;Cjjwgm4NFA03PWKv;move;[1014, 834]
21;2022-01-13 12:43:45.611000+00:00;Cjjwgm4NFA03PWKv;move;[1000, 828]
22;2022-01-13 12:43:45.628000+00:00;Cjjwgm4NFA03PWKv;move;[987, 823]
23;2022-01-13 12:43:45.643000+00:00;Cjjwgm4NFA03PWKv;move;[975, 819]
24;2022-01-13 12:43:45.660000+00:00;Cjjwgm4NFA03PWKv;move;[960, 814]
25;2022-01-13 12:43:45.677000+00:00;Cjjwgm4NFA03PWKv;move;[949, 809]
26;2022-01-13 12:43:45.914000+00:00;Cjjwgm4NFA03PWKv;move;[949, 810]
27;2022-01-13 12:43:45.924000+00:00;Cjjwgm4NFA03PWKv;move;[949, 811]
28;2022-01-13 12:43:45.928000+00:00;Cjjwgm4NFA03PWKv;move;[948, 811]
29;2022-01-13 12:43:45.945000+00:00;Cjjwgm4NFA03PWKv;move;[947, 811]
30;2022-01-13 12:43:45.960000+00:00;Cjjwgm4NFA03PWKv;move;[946, 811]
31;2022-01-13 12:43:45.977000+00:00;Cjjwgm4NFA03PWKv;move;[945, 810]
32;2022-01-13 12:43:45.994000+00:00;Cjjwgm4NFA03PWKv;move;[944, 806]
33;2022-01-13 12:43:46.011000+00:00;Cjjwgm4NFA03PWKv;move;[942, 800]
34;2022-01-13 12:43:46.028000+00:00;Cjjwgm4NFA03PWKv;move;[941, 793]
35;2022-01-13 12:43:46.043000+00:00;Cjjwgm4NFA03PWKv;move;[939, 786]
36;2022-01-13 12:43:46.061000+00:00;Cjjwgm4NFA03PWKv;move;[938, 780]
37;2022-01-13 12:43:46.077000+00:00;Cjjwgm4NFA03PWKv;move;[938, 775]
38;2022-01-13 12:43:46.094000+00:00;Cjjwgm4NFA03PWKv;move;[938, 769]
39;2022-01-13 12:43:46.111000+00:00;Cjjwgm4NFA03PWKv;move;[938, 766]
40;2022-01-13 12:43:46.128000+00:00;Cjjwgm4NFA03PWKv;move;[939, 761]
41;2022-01-13 12:43:46.143000+00:00;Cjjwgm4NFA03PWKv;move;[940, 757]
42;2022-01-13 12:43:46.160000+00:00;Cjjwgm4NFA03PWKv;move;[942, 755]
43;2022-01-13 12:43:46.177000+00:00;Cjjwgm4NFA03PWKv;move;[942, 753]
44;2022-01-13 12:43:46.386000+00:00;Cjjwgm4NFA03PWKv;move;[940, 753]
45;2022-01-13 12:43:46.387000+00:00;Cjjwgm4NFA03PWKv;move;[940, 754]
46;2022-01-13 12:43:46.394000+00:00;Cjjwgm4NFA03PWKv;move;[939, 754]
47;2022-01-13 12:43:46.410000+00:00;Cjjwgm4NFA03PWKv;move;[936, 756]
48;2022-01-13 12:43:46.459000+00:00;Cjjwgm4NFA03PWKv;move;[935, 756]
49;2022-01-13 12:43:46.466000+00:00;Cjjwgm4NFA03PWKv;move;[934, 756]
50;2022-01-13 12:43:46.472000+00:00;Cjjwgm4NFA03PWKv;move;[934, 755]
51;2022-01-13 12:43:46.477000+00:00;Cjjwgm4NFA03PWKv;move;[932, 754]
52;2022-01-13 12:43:46.494000+00:00;Cjjwgm4NFA03PWKv;move;[928, 742]
53;2022-01-13 12:43:46.510000+00:00;Cjjwgm4NFA03PWKv;move;[922, 711]
54;2022-01-13 12:43:46.527000+00:00;Cjjwgm4NFA03PWKv;move;[918, 666]
55;2022-01-13 12:43:46.544000+00:00;Cjjwgm4NFA03PWKv;move;[916, 605]
56;2022-01-13 12:43:46.561000+00:00;Cjjwgm4NFA03PWKv;move;[915, 533]
57;2022-01-13 12:43:46.578000+00:00;Cjjwgm4NFA03PWKv;move;[915, 480]
58;2022-01-13 12:43:46.594000+00:00;Cjjwgm4NFA03PWKv;move;[915, 444]
59;2022-01-13 12:43:46.611000+00:00;Cjjwgm4NFA03PWKv;move;[916, 425]
60;2022-01-13 12:43:46.627000+00:00;Cjjwgm4NFA03PWKv;move;[919, 413]
61;2022-01-13 12:43:46.644000+00:00;Cjjwgm4NFA03PWKv;move;[923, 406]
62;2022-01-13 12:43:46.660000+00:00;Cjjwgm4NFA03PWKv;move;[926, 401]
63;2022-01-13 12:43:46.678000+00:00;Cjjwgm4NFA03PWKv;move;[926, 398]
64;2022-01-13 12:43:46.694000+00:00;Cjjwgm4NFA03PWKv;move;[927, 397]
65;2022-01-13 12:43:46.857000+00:00;Cjjwgm4NFA03PWKv;move;[929, 395]
66;2022-01-13 12:43:46.857000+00:00;Cjjwgm4NFA03PWKv;move;[928, 395]
67;2022-01-13 12:43:46.861000+00:00;Cjjwgm4NFA03PWKv;move;[930, 393]
68;2022-01-13 12:43:46.877000+00:00;Cjjwgm4NFA03PWKv;move;[940, 379]
69;2022-01-13 12:43:46.894000+00:00;Cjjwgm4NFA03PWKv;move;[953, 360]
70;2022-01-13 12:43:46.910000+00:00;Cjjwgm4NFA03PWKv;move;[967, 332]
71;2022-01-13 12:43:46.928000+00:00;Cjjwgm4NFA03PWKv;move;[979, 312]
72;2022-01-13 12:43:46.944000+00:00;Cjjwgm4NFA03PWKv;move;[991, 297]
73;2022-01-13 12:43:46.960000+00:00;Cjjwgm4NFA03PWKv;move;[998, 286]
74;2022-01-13 12:43:46.977000+00:00;Cjjwgm4NFA03PWKv;move;[1003, 279]
75;2022-01-13 12:43:46.994000+00:00;Cjjwgm4NFA03PWKv;move;[1008, 273]
76;2022-01-13 12:43:47.010000+00:00;Cjjwgm4NFA03PWKv;move;[1011, 268]
77;2022-01-13 12:43:47.027000+00:00;Cjjwgm4NFA03PWKv;move;[1013, 266]
78;2022-01-13 12:43:47.044000+00:00;Cjjwgm4NFA03PWKv;move;[1014, 265]
79;2022-01-13 12:43:47.743000+00:00;Cjjwgm4NFA03PWKv;move;[1014, 266]
80;2022-01-13 12:43:47.751000+00:00;Cjjwgm4NFA03PWKv;move;[1014, 267]
81;2022-01-13 12:43:47.762000+00:00;Cjjwgm4NFA03PWKv;move;[1014, 268]
82;2022-01-13 12:43:47.778000+00:00;Cjjwgm4NFA03PWKv;move;[1014, 271]
83;2022-01-13 12:43:47.794000+00:00;Cjjwgm4NFA03PWKv;move;[1013, 276]
84;2022-01-13 12:43:47.811000+00:00;Cjjwgm4NFA03PWKv;move;[1012, 282]
85;2022-01-13 12:43:47.827000+00:00;Cjjwgm4NFA03PWKv;move;[1012, 289]
86;2022-01-13 12:43:47.844000+00:00;Cjjwgm4NFA03PWKv;move;[1012, 298]
87;2022-01-13 12:43:47.860000+00:00;Cjjwgm4NFA03PWKv;move;[1012, 312]
88;2022-01-13 12:43:47.878000+00:00;Cjjwgm4NFA03PWKv;move;[1015, 325]
89;2022-01-13 12:43:47.894000+00:00;Cjjwgm4NFA03PWKv;move;[1020, 334]
90;2022-01-13 12:43:47.910000+00:00;Cjjwgm4NFA03PWKv;move;[1025, 346]
91;2022-01-13 12:43:47.927000+00:00;Cjjwgm4NFA03PWKv;move;[1032, 356]
92;2022-01-13 12:43:47.944000+00:00;Cjjwgm4NFA03PWKv;move;[1040, 367]
93;2022-01-13 12:43:47.961000+00:00;Cjjwgm4NFA03PWKv;move;[1048, 374]
94;2022-01-13 12:43:48.253000+00:00;Cjjwgm4NFA03PWKv;move;[1047, 374]
95;2022-01-13 12:43:48.258000+00:00;Cjjwgm4NFA03PWKv;move;[1047, 375]
96;2022-01-13 12:43:48.267000+00:00;Cjjwgm4NFA03PWKv;move;[1047, 376]
97;2022-01-13 12:43:48.277000+00:00;Cjjwgm4NFA03PWKv;move;[1046, 376]
98;2022-01-13 12:43:48.294000+00:00;Cjjwgm4NFA03PWKv;move;[1043, 380]
99;2022-01-13 12:43:48.311000+00:00;Cjjwgm4NFA03PWKv;move;[1040, 384]
100;2022-01-13 12:43:48.316000+00:00;Cjjwgm4NFA03PWKv;move;[1039, 384]
101;2022-01-13 12:43:48.327000+00:00;Cjjwgm4NFA03PWKv;move;[1037, 385]
102;2022-01-13 12:43:48.344000+00:00;Cjjwgm4NFA03PWKv;move;[1037, 387]
103;2022-01-13 12:43:48.361000+00:00;Cjjwgm4NFA03PWKv;move;[1036, 388]
104;2022-01-13 12:43:48.378000+00:00;Cjjwgm4NFA03PWKv;move;[1034, 389]
105;2022-01-13 12:43:48.394000+00:00;Cjjwgm4NFA03PWKv;move;[1033, 391]
106;2022-01-13 12:43:48.410000+00:00;Cjjwgm4NFA03PWKv;move;[1031, 393]
107;2022-01-13 12:43:48.427000+00:00;Cjjwgm4NFA03PWKv;move;[1031, 394]
108;2022-01-13 12:43:48.444000+00:00;Cjjwgm4NFA03PWKv;move;[1031, 396]
109;2022-01-13 12:43:48.460000+00:00;Cjjwgm4NFA03PWKv;move;[1031, 397]
110;2022-01-13 12:43:48.480000+00:00;Cjjwgm4NFA03PWKv;move;[1031, 398]
111;2022-01-13 12:43:48.494000+00:00;Cjjwgm4NFA03PWKv;move;[1034, 401]
112;2022-01-13 12:43:48.511000+00:00;Cjjwgm4NFA03PWKv;move;[1042, 405]
113;2022-01-13 12:43:48.527000+00:00;Cjjwgm4NFA03PWKv;move;[1057, 412]
114;2022-01-13 12:43:48.544000+00:00;Cjjwgm4NFA03PWKv;move;[1079, 427]
115;2022-01-13 12:43:48.561000+00:00;Cjjwgm4NFA03PWKv;move;[1110, 457]
116;2022-01-13 12:43:48.578000+00:00;Cjjwgm4NFA03PWKv;move;[1142, 488]
117;2022-01-13 12:43:48.593000+00:00;Cjjwgm4NFA03PWKv;move;[1170, 513]
118;2022-01-13 12:43:48.594000+00:00;Cjjwgm4NFA03PWKv;move;[1172, 515]
119;2022-01-13 12:43:48.610000+00:00;Cjjwgm4NFA03PWKv;move;[1197, 531]
120;2022-01-13 12:43:48.628000+00:00;Cjjwgm4NFA03PWKv;move;[1214, 537]
121;2022-01-13 12:43:48.644000+00:00;Cjjwgm4NFA03PWKv;move;[1231, 539]
122;2022-01-13 12:43:48.660000+00:00;Cjjwgm4NFA03PWKv;move;[1249, 533]
123;2022-01-13 12:43:48.677000+00:00;Cjjwgm4NFA03PWKv;move;[1265, 524]
124;2022-01-13 12:43:48.693000+00:00;Cjjwgm4NFA03PWKv;move;[1267, 524]
125;2022-01-13 12:43:48.860000+00:00;Cjjwgm4NFA03PWKv;move;[1262, 524]
126;2022-01-13 12:43:48.861000+00:00;Cjjwgm4NFA03PWKv;move;[1259, 525]
127;2022-01-13 12:43:48.877000+00:00;Cjjwgm4NFA03PWKv;move;[1243, 529]
128;2022-01-13 12:43:48.894000+00:00;Cjjwgm4NFA03PWKv;move;[1229, 539]
129;2022-01-13 12:43:48.911000+00:00;Cjjwgm4NFA03PWKv;move;[1218, 552]
130;2022-01-13 12:43:48.927000+00:00;Cjjwgm4NFA03PWKv;move;[1211, 561]
131;2022-01-13 12:43:48.944000+00:00;Cjjwgm4NFA03PWKv;move;[1208, 566]
132;2022-01-13 12:43:48.960000+00:00;Cjjwgm4NFA03PWKv;move;[1207, 568]
133;2022-01-13 12:43:48.977000+00:00;Cjjwgm4NFA03PWKv;move;[1207, 569]
134;2022-01-13 12:43:49.034000+00:00;Cjjwgm4NFA03PWKv;move;[1206, 569]
135;2022-01-13 12:43:49.038000+00:00;Cjjwgm4NFA03PWKv;move;[1205, 569]
136;2022-01-13 12:43:49.044000+00:00;Cjjwgm4NFA03PWKv;move;[1204, 569]
137;2022-01-13 12:43:49.060000+00:00;Cjjwgm4NFA03PWKv;move;[1199, 570]
138;2022-01-13 12:43:49.078000+00:00;Cjjwgm4NFA03PWKv;move;[1187, 573]
139;2022-01-13 12:43:49.093000+00:00;Cjjwgm4NFA03PWKv;move;[1171, 576]
140;2022-01-13 12:43:49.110000+00:00;Cjjwgm4NFA03PWKv;move;[1154, 580]
141;2022-01-13 12:43:49.128000+00:00;Cjjwgm4NFA03PWKv;move;[1132, 585]
142;2022-01-13 12:43:49.144000+00:00;Cjjwgm4NFA03PWKv;move;[1110, 596]
143;2022-01-13 12:43:49.160000+00:00;Cjjwgm4NFA03PWKv;move;[1088, 608]
144;2022-01-13 12:43:49.177000+00:00;Cjjwgm4NFA03PWKv;move;[1072, 619]
145;2022-01-13 12:43:49.194000+00:00;Cjjwgm4NFA03PWKv;move;[1065, 628]
146;2022-01-13 12:43:49.210000+00:00;Cjjwgm4NFA03PWKv;move;[1065, 635]
147;2022-01-13 12:43:49.227000+00:00;Cjjwgm4NFA03PWKv;move;[1068, 640]
148;2022-01-13 12:43:49.244000+00:00;Cjjwgm4NFA03PWKv;move;[1076, 644]
149;2022-01-13 12:43:49.260000+00:00;Cjjwgm4NFA03PWKv;move;[1090, 646]
150;2022-01-13 12:43:49.278000+00:00;Cjjwgm4NFA03PWKv;move;[1110, 646]
151;2022-01-13 12:43:49.294000+00:00;Cjjwgm4NFA03PWKv;move;[1136, 646]
152;2022-01-13 12:43:49.311000+00:00;Cjjwgm4NFA03PWKv;move;[1180, 646]
153;2022-01-13 12:43:49.327000+00:00;Cjjwgm4NFA03PWKv;move;[1235, 646]
154;2022-01-13 12:43:49.344000+00:00;Cjjwgm4NFA03PWKv;move;[1312, 636]
155;2022-01-13 12:43:49.361000+00:00;Cjjwgm4NFA03PWKv;move;[1444, 608]
156;2022-01-13 12:43:49.378000+00:00;Cjjwgm4NFA03PWKv;move;[1636, 554]
157;2022-01-13 12:43:49.394000+00:00;Cjjwgm4NFA03PWKv;move;[1898, 474]
158;2022-01-13 12:44:12.279000+00:00;Cjjwgm4NFA03PWKv;move;[1911, 285]
159;2022-01-13 12:44:12.293000+00:00;Cjjwgm4NFA03PWKv;move;[1876, 301]
160;2022-01-13 12:44:12.310000+00:00;Cjjwgm4NFA03PWKv;move;[1870, 308]
161;2022-01-13 12:44:12.327000+00:00;Cjjwgm4NFA03PWKv;move;[1870, 310]
162;2022-01-13 12:44:12.344000+00:00;Cjjwgm4NFA03PWKv;move;[1875, 313]
163;2022-01-13 12:44:12.361000+00:00;Cjjwgm4NFA03PWKv;move;[1884, 315]
164;2022-01-13 12:44:12.377000+00:00;Cjjwgm4NFA03PWKv;move;[1900, 317]
165;2022-01-13 12:44:12.385000+00:00;Cjjwgm4NFA03PWKv;move;[1909, 317]
166;2022-01-13 12:44:30.842000+00:00;Cjjwgm4NFA03PWKv;move;[1904, 336]
167;2022-01-13 12:44:30.844000+00:00;Cjjwgm4NFA03PWKv;move;[1874, 336]
168;2022-01-13 12:44:30.861000+00:00;Cjjwgm4NFA03PWKv;move;[1605, 336]
169;2022-01-13 12:44:30.877000+00:00;Cjjwgm4NFA03PWKv;move;[1411, 336]
170;2022-01-13 12:44:30.894000+00:00;Cjjwgm4NFA03PWKv;move;[1233, 336]
171;2022-01-13 12:44:30.911000+00:00;Cjjwgm4NFA03PWKv;move;[1082, 336]
172;2022-01-13 12:44:30.927000+00:00;Cjjwgm4NFA03PWKv;move;[981, 340]
173;2022-01-13 12:44:30.944000+00:00;Cjjwgm4NFA03PWKv;move;[910, 349]
174;2022-01-13 12:44:30.961000+00:00;Cjjwgm4NFA03PWKv;move;[872, 350]
175;2022-01-13 12:44:30.977000+00:00;Cjjwgm4NFA03PWKv;move;[871, 346]
176;2022-01-13 12:44:30.999000+00:00;Cjjwgm4NFA03PWKv;move;[872, 346]
177;2022-01-13 12:44:31.010000+00:00;Cjjwgm4NFA03PWKv;move;[873, 346]
178;2022-01-13 12:44:31.027000+00:00;Cjjwgm4NFA03PWKv;move;[876, 343]
179;2022-01-13 12:44:31.044000+00:00;Cjjwgm4NFA03PWKv;move;[883, 338]
180;2022-01-13 12:44:31.266000+00:00;Cjjwgm4NFA03PWKv;move;[884, 338]
181;2022-01-13 12:44:31.268000+00:00;Cjjwgm4NFA03PWKv;move;[885, 338]
182;2022-01-13 12:44:31.277000+00:00;Cjjwgm4NFA03PWKv;move;[891, 341]
183;2022-01-13 12:44:31.294000+00:00;Cjjwgm4NFA03PWKv;move;[899, 341]
184;2022-01-13 12:44:31.310000+00:00;Cjjwgm4NFA03PWKv;move;[901, 341]
185;2022-01-13 12:44:31.327000+00:00;Cjjwgm4NFA03PWKv;move;[904, 341]
186;2022-01-13 12:44:31.344000+00:00;Cjjwgm4NFA03PWKv;move;[907, 341]
187;2022-01-13 12:44:31.361000+00:00;Cjjwgm4NFA03PWKv;move;[908, 341]
188;2022-01-13 12:44:31.486000+00:00;Cjjwgm4NFA03PWKv;move;[909, 341]
189;2022-01-13 12:44:31.494000+00:00;Cjjwgm4NFA03PWKv;move;[910, 341]
190;2022-01-13 12:44:31.510000+00:00;Cjjwgm4NFA03PWKv;move;[921, 340]
191;2022-01-13 12:44:31.527000+00:00;Cjjwgm4NFA03PWKv;move;[946, 339]
192;2022-01-13 12:44:31.544000+00:00;Cjjwgm4NFA03PWKv;move;[992, 339]
193;2022-01-13 12:44:31.560000+00:00;Cjjwgm4NFA03PWKv;move;[1064, 339]
194;2022-01-13 12:44:31.577000+00:00;Cjjwgm4NFA03PWKv;move;[1136, 339]
195;2022-01-13 12:44:31.594000+00:00;Cjjwgm4NFA03PWKv;move;[1208, 339]
196;2022-01-13 12:44:31.611000+00:00;Cjjwgm4NFA03PWKv;move;[1271, 339]
197;2022-01-13 12:44:31.627000+00:00;Cjjwgm4NFA03PWKv;move;[1312, 339]
198;2022-01-13 12:44:31.643000+00:00;Cjjwgm4NFA03PWKv;move;[1339, 339]
199;2022-01-13 12:44:31.660000+00:00;Cjjwgm4NFA03PWKv;move;[1357, 339]
200;2022-01-13 12:44:31.677000+00:00;Cjjwgm4NFA03PWKv;move;[1365, 339]
201;2022-01-13 12:44:31.694000+00:00;Cjjwgm4NFA03PWKv;move;[1373, 338]
202;2022-01-13 12:44:31.710000+00:00;Cjjwgm4NFA03PWKv;move;[1380, 336]
203;2022-01-13 12:44:31.727000+00:00;Cjjwgm4NFA03PWKv;move;[1385, 335]
204;2022-01-13 12:44:31.744000+00:00;Cjjwgm4NFA03PWKv;move;[1390, 334]
205;2022-01-13 12:44:31.760000+00:00;Cjjwgm4NFA03PWKv;move;[1396, 333]
206;2022-01-13 12:44:31.777000+00:00;Cjjwgm4NFA03PWKv;move;[1402, 331]
207;2022-01-13 12:44:31.794000+00:00;Cjjwgm4NFA03PWKv;move;[1407, 329]
208;2022-01-13 12:44:31.810000+00:00;Cjjwgm4NFA03PWKv;move;[1415, 328]
209;2022-01-13 12:44:31.827000+00:00;Cjjwgm4NFA03PWKv;move;[1423, 328]
210;2022-01-13 12:44:31.844000+00:00;Cjjwgm4NFA03PWKv;move;[1430, 328]
211;2022-01-13 12:44:31.860000+00:00;Cjjwgm4NFA03PWKv;move;[1437, 329]
212;2022-01-13 12:44:31.877000+00:00;Cjjwgm4NFA03PWKv;move;[1442, 332]
213;2022-01-13 12:44:31.894000+00:00;Cjjwgm4NFA03PWKv;move;[1450, 335]
214;2022-01-13 12:44:31.911000+00:00;Cjjwgm4NFA03PWKv;move;[1459, 339]
215;2022-01-13 12:44:31.927000+00:00;Cjjwgm4NFA03PWKv;move;[1468, 343]
216;2022-01-13 12:44:31.944000+00:00;Cjjwgm4NFA03PWKv;move;[1476, 347]
217;2022-01-13 12:44:31.960000+00:00;Cjjwgm4NFA03PWKv;move;[1484, 350]
218;2022-01-13 12:44:31.978000+00:00;Cjjwgm4NFA03PWKv;move;[1490, 353]
219;2022-01-13 12:44:31.993000+00:00;Cjjwgm4NFA03PWKv;move;[1496, 355]
220;2022-01-13 12:44:32.010000+00:00;Cjjwgm4NFA03PWKv;move;[1500, 356]
221;2022-01-13 12:44:32.027000+00:00;Cjjwgm4NFA03PWKv;move;[1505, 357]
222;2022-01-13 12:44:32.044000+00:00;Cjjwgm4NFA03PWKv;move;[1508, 359]
223;2022-01-13 12:44:32.060000+00:00;Cjjwgm4NFA03PWKv;move;[1509, 359]
224;2022-01-13 12:44:32.580000+00:00;Cjjwgm4NFA03PWKv;move;[1508, 359]
225;2022-01-13 12:44:32.594000+00:00;Cjjwgm4NFA03PWKv;move;[1506, 359]
226;2022-01-13 12:44:32.611000+00:00;Cjjwgm4NFA03PWKv;move;[1501, 358]
227;2022-01-13 12:44:32.628000+00:00;Cjjwgm4NFA03PWKv;move;[1494, 358]
228;2022-01-13 12:44:32.643000+00:00;Cjjwgm4NFA03PWKv;move;[1488, 358]
229;2022-01-13 12:44:32.660000+00:00;Cjjwgm4NFA03PWKv;move;[1482, 358]
230;2022-01-13 12:44:32.677000+00:00;Cjjwgm4NFA03PWKv;move;[1477, 360]
231;2022-01-13 12:44:32.694000+00:00;Cjjwgm4NFA03PWKv;move;[1471, 364]
232;2022-01-13 12:44:32.710000+00:00;Cjjwgm4NFA03PWKv;move;[1462, 368]
233;2022-01-13 12:44:32.727000+00:00;Cjjwgm4NFA03PWKv;move;[1452, 369]
234;2022-01-13 12:44:32.744000+00:00;Cjjwgm4NFA03PWKv;move;[1441, 370]
235;2022-01-13 12:44:32.761000+00:00;Cjjwgm4NFA03PWKv;move;[1431, 372]
236;2022-01-13 12:44:32.777000+00:00;Cjjwgm4NFA03PWKv;move;[1424, 373]
237;2022-01-13 12:44:32.793000+00:00;Cjjwgm4NFA03PWKv;move;[1418, 372]
238;2022-01-13 12:44:32.810000+00:00;Cjjwgm4NFA03PWKv;move;[1410, 365]
239;2022-01-13 12:44:32.827000+00:00;Cjjwgm4NFA03PWKv;move;[1409, 363]
240;2022-01-13 12:44:33.144000+00:00;Cjjwgm4NFA03PWKv;move;[1408, 363]
241;2022-01-13 12:44:33.152000+00:00;Cjjwgm4NFA03PWKv;move;[1407, 363]
242;2022-01-13 12:44:33.163000+00:00;Cjjwgm4NFA03PWKv;move;[1407, 364]
243;2022-01-13 12:44:33.177000+00:00;Cjjwgm4NFA03PWKv;move;[1404, 365]
244;2022-01-13 12:44:33.194000+00:00;Cjjwgm4NFA03PWKv;move;[1403, 365]
245;2022-01-13 12:44:33.210000+00:00;Cjjwgm4NFA03PWKv;move;[1401, 366]
246;2022-01-13 12:44:33.227000+00:00;Cjjwgm4NFA03PWKv;move;[1399, 366]
247;2022-01-13 12:44:33.244000+00:00;Cjjwgm4NFA03PWKv;move;[1397, 367]
248;2022-01-13 12:44:33.260000+00:00;Cjjwgm4NFA03PWKv;move;[1393, 368]
249;2022-01-13 12:44:33.277000+00:00;Cjjwgm4NFA03PWKv;move;[1389, 368]
250;2022-01-13 12:44:33.293000+00:00;Cjjwgm4NFA03PWKv;move;[1385, 368]
251;2022-01-13 12:44:33.310000+00:00;Cjjwgm4NFA03PWKv;move;[1377, 367]
252;2022-01-13 12:44:33.327000+00:00;Cjjwgm4NFA03PWKv;move;[1368, 366]
253;2022-01-13 12:44:33.344000+00:00;Cjjwgm4NFA03PWKv;move;[1357, 364]
254;2022-01-13 12:44:33.360000+00:00;Cjjwgm4NFA03PWKv;move;[1341, 361]
255;2022-01-13 12:44:33.377000+00:00;Cjjwgm4NFA03PWKv;move;[1325, 359]
256;2022-01-13 12:44:33.394000+00:00;Cjjwgm4NFA03PWKv;move;[1305, 357]
257;2022-01-13 12:44:33.411000+00:00;Cjjwgm4NFA03PWKv;move;[1278, 355]
258;2022-01-13 12:44:33.427000+00:00;Cjjwgm4NFA03PWKv;move;[1249, 355]
259;2022-01-13 12:44:33.443000+00:00;Cjjwgm4NFA03PWKv;move;[1211, 355]
260;2022-01-13 12:44:33.460000+00:00;Cjjwgm4NFA03PWKv;move;[1158, 355]
261;2022-01-13 12:44:33.477000+00:00;Cjjwgm4NFA03PWKv;move;[1101, 355]
262;2022-01-13 12:44:33.493000+00:00;Cjjwgm4NFA03PWKv;move;[1036, 354]
263;2022-01-13 12:44:33.510000+00:00;Cjjwgm4NFA03PWKv;move;[963, 351]
264;2022-01-13 12:44:33.528000+00:00;Cjjwgm4NFA03PWKv;move;[884, 349]
265;2022-01-13 12:44:33.544000+00:00;Cjjwgm4NFA03PWKv;move;[811, 344]
266;2022-01-13 12:44:33.560000+00:00;Cjjwgm4NFA03PWKv;move;[733, 341]
267;2022-01-13 12:44:33.577000+00:00;Cjjwgm4NFA03PWKv;move;[672, 339]
268;2022-01-13 12:44:33.594000+00:00;Cjjwgm4NFA03PWKv;move;[627, 336]
