;time;token;event;global_position
0;2022-01-13 06:28:25.006000+00:00;D9olvVMc4GUDzTtN;move;[1255, 333]
1;2022-01-13 06:28:25.018000+00:00;D9olvVMc4GUDzTtN;move;[1239, 327]
2;2022-01-13 06:28:25.028000+00:00;D9olvVMc4GUDzTtN;move;[1220, 320]
3;2022-01-13 06:28:25.040000+00:00;D9olvVMc4GUDzTtN;move;[1200, 313]
4;2022-01-13 06:28:25.058000+00:00;D9olvVMc4GUDzTtN;move;[1158, 308]
5;2022-01-13 06:28:25.074000+00:00;D9olvVMc4GUDzTtN;move;[1136, 305]
6;2022-01-13 06:28:25.119000+00:00;D9olvVMc4GUDzTtN;move;[1018, 279]
7;2022-01-13 06:28:25.158000+00:00;D9olvVMc4GUDzTtN;move;[1004, 274]
8;2022-01-13 06:28:25.175000+00:00;D9olvVMc4GUDzTtN;move;[1003, 274]
9;2022-01-13 06:28:25.215000+00:00;D9olvVMc4GUDzTtN;move;[1001, 274]
10;2022-01-13 06:28:25.224000+00:00;D9olvVMc4GUDzTtN;move;[1001, 274]
11;2022-01-13 06:28:25.242000+00:00;D9olvVMc4GUDzTtN;move;[1000, 274]
12;2022-01-13 06:28:25.258000+00:00;D9olvVMc4GUDzTtN;move;[999, 274]
13;2022-01-13 06:28:25.275000+00:00;D9olvVMc4GUDzTtN;move;[999, 274]
14;2022-01-13 06:28:25.322000+00:00;D9olvVMc4GUDzTtN;move;[998, 274]
15;2022-01-13 06:28:26.673000+00:00;D9olvVMc4GUDzTtN;move;[999, 274]
16;2022-01-13 06:28:26.697000+00:00;D9olvVMc4GUDzTtN;move;[999, 274]
17;2022-01-13 06:28:26.723000+00:00;D9olvVMc4GUDzTtN;move;[1001, 274]
18;2022-01-13 06:28:26.739000+00:00;D9olvVMc4GUDzTtN;move;[1002, 273]
19;2022-01-13 06:28:26.782000+00:00;D9olvVMc4GUDzTtN;move;[1006, 271]
20;2022-01-13 06:28:26.806000+00:00;D9olvVMc4GUDzTtN;move;[1007, 271]
21;2022-01-13 06:28:26.887000+00:00;D9olvVMc4GUDzTtN;move;[995, 269]
22;2022-01-13 06:28:26.889000+00:00;D9olvVMc4GUDzTtN;move;[995, 269]
23;2022-01-13 06:28:26.907000+00:00;D9olvVMc4GUDzTtN;move;[993, 268]
