;time;token;event;global_position
0;2022-01-13 12:43:59.624000+00:00;DYVtzfEMGBF1cOHE;move;[1082, 669]
1;2022-01-13 12:43:59.628000+00:00;DYVtzfEMGBF1cOHE;move;[1081, 669]
2;2022-01-13 12:43:59.635000+00:00;DYVtzfEMGBF1cOHE;move;[1080, 669]
3;2022-01-13 12:43:59.642000+00:00;DYVtzfEMGBF1cOHE;move;[1079, 669]
4;2022-01-13 12:43:59.649000+00:00;DYVtzfEMGBF1cOHE;move;[1077, 669]
5;2022-01-13 12:43:59.656000+00:00;DYVtzfEMGBF1cOHE;move;[1076, 669]
6;2022-01-13 12:43:59.663000+00:00;DYVtzfEMGBF1cOHE;move;[1074, 669]
7;2022-01-13 12:43:59.670000+00:00;DYVtzfEMGBF1cOHE;move;[1072, 668]
8;2022-01-13 12:43:59.677000+00:00;DYVtzfEMGBF1cOHE;move;[1071, 667]
9;2022-01-13 12:43:59.684000+00:00;DYVtzfEMGBF1cOHE;move;[1069, 666]
10;2022-01-13 12:43:59.691000+00:00;DYVtzfEMGBF1cOHE;move;[1068, 666]
11;2022-01-13 12:43:59.698000+00:00;DYVtzfEMGBF1cOHE;move;[1065, 665]
12;2022-01-13 12:43:59.705000+00:00;DYVtzfEMGBF1cOHE;move;[1064, 665]
13;2022-01-13 12:43:59.711000+00:00;DYVtzfEMGBF1cOHE;move;[1061, 664]
14;2022-01-13 12:43:59.718000+00:00;DYVtzfEMGBF1cOHE;move;[1058, 662]
15;2022-01-13 12:43:59.725000+00:00;DYVtzfEMGBF1cOHE;move;[1055, 661]
16;2022-01-13 12:43:59.732000+00:00;DYVtzfEMGBF1cOHE;move;[1051, 660]
17;2022-01-13 12:43:59.739000+00:00;DYVtzfEMGBF1cOHE;move;[1046, 659]
18;2022-01-13 12:43:59.747000+00:00;DYVtzfEMGBF1cOHE;move;[1040, 657]
19;2022-01-13 12:43:59.753000+00:00;DYVtzfEMGBF1cOHE;move;[1034, 657]
20;2022-01-13 12:43:59.760000+00:00;DYVtzfEMGBF1cOHE;move;[1028, 656]
21;2022-01-13 12:43:59.767000+00:00;DYVtzfEMGBF1cOHE;move;[1020, 653]
22;2022-01-13 12:43:59.774000+00:00;DYVtzfEMGBF1cOHE;move;[1012, 651]
23;2022-01-13 12:43:59.781000+00:00;DYVtzfEMGBF1cOHE;move;[1000, 649]
24;2022-01-13 12:43:59.788000+00:00;DYVtzfEMGBF1cOHE;move;[991, 646]
25;2022-01-13 12:43:59.795000+00:00;DYVtzfEMGBF1cOHE;move;[974, 642]
26;2022-01-13 12:43:59.802000+00:00;DYVtzfEMGBF1cOHE;move;[962, 639]
27;2022-01-13 12:43:59.809000+00:00;DYVtzfEMGBF1cOHE;move;[947, 635]
28;2022-01-13 12:43:59.816000+00:00;DYVtzfEMGBF1cOHE;move;[934, 630]
29;2022-01-13 12:43:59.823000+00:00;DYVtzfEMGBF1cOHE;move;[920, 625]
30;2022-01-13 12:43:59.830000+00:00;DYVtzfEMGBF1cOHE;move;[908, 621]
31;2022-01-13 12:43:59.837000+00:00;DYVtzfEMGBF1cOHE;move;[898, 617]
32;2022-01-13 12:43:59.844000+00:00;DYVtzfEMGBF1cOHE;move;[886, 612]
33;2022-01-13 12:43:59.850000+00:00;DYVtzfEMGBF1cOHE;move;[873, 608]
34;2022-01-13 12:43:59.857000+00:00;DYVtzfEMGBF1cOHE;move;[861, 604]
35;2022-01-13 12:43:59.864000+00:00;DYVtzfEMGBF1cOHE;move;[845, 599]
36;2022-01-13 12:43:59.871000+00:00;DYVtzfEMGBF1cOHE;move;[830, 593]
37;2022-01-13 12:43:59.878000+00:00;DYVtzfEMGBF1cOHE;move;[811, 584]
38;2022-01-13 12:43:59.885000+00:00;DYVtzfEMGBF1cOHE;move;[795, 574]
39;2022-01-13 12:43:59.892000+00:00;DYVtzfEMGBF1cOHE;move;[776, 560]
40;2022-01-13 12:43:59.899000+00:00;DYVtzfEMGBF1cOHE;move;[764, 549]
41;2022-01-13 12:43:59.906000+00:00;DYVtzfEMGBF1cOHE;move;[748, 532]
42;2022-01-13 12:43:59.913000+00:00;DYVtzfEMGBF1cOHE;move;[737, 521]
43;2022-01-13 12:43:59.920000+00:00;DYVtzfEMGBF1cOHE;move;[722, 505]
44;2022-01-13 12:43:59.927000+00:00;DYVtzfEMGBF1cOHE;move;[714, 497]
45;2022-01-13 12:43:59.934000+00:00;DYVtzfEMGBF1cOHE;move;[703, 485]
46;2022-01-13 12:43:59.941000+00:00;DYVtzfEMGBF1cOHE;move;[693, 475]
47;2022-01-13 12:43:59.948000+00:00;DYVtzfEMGBF1cOHE;move;[684, 466]
48;2022-01-13 12:43:59.955000+00:00;DYVtzfEMGBF1cOHE;move;[676, 457]
49;2022-01-13 12:43:59.961000+00:00;DYVtzfEMGBF1cOHE;move;[671, 451]
50;2022-01-13 12:43:59.968000+00:00;DYVtzfEMGBF1cOHE;move;[666, 445]
51;2022-01-13 12:43:59.975000+00:00;DYVtzfEMGBF1cOHE;move;[661, 440]
52;2022-01-13 12:43:59.982000+00:00;DYVtzfEMGBF1cOHE;move;[657, 436]
53;2022-01-13 12:43:59.989000+00:00;DYVtzfEMGBF1cOHE;move;[656, 433]
54;2022-01-13 12:43:59.996000+00:00;DYVtzfEMGBF1cOHE;move;[652, 429]
