;time;token;event;global_position
0;2022-01-20 13:12:01.505000+00:00;ETXFjTbnPqEbGuYl;move;[942, 667]
1;2022-01-20 13:12:01.511000+00:00;ETXFjTbnPqEbGuYl;move;[936, 666]
2;2022-01-20 13:12:01.518000+00:00;ETXFjTbnPqEbGuYl;move;[928, 664]
3;2022-01-20 13:12:01.526000+00:00;ETXFjTbnPqEbGuYl;move;[917, 661]
4;2022-01-20 13:12:01.533000+00:00;ETXFjTbnPqEbGuYl;move;[913, 659]
5;2022-01-20 13:12:01.546000+00:00;ETXFjTbnPqEbGuYl;move;[880, 646]
6;2022-01-20 13:12:01.547000+00:00;ETXFjTbnPqEbGuYl;move;[876, 645]
7;2022-01-20 13:12:01.556000+00:00;ETXFjTbnPqEbGuYl;move;[858, 637]
8;2022-01-20 13:12:01.561000+00:00;ETXFjTbnPqEbGuYl;move;[836, 629]
9;2022-01-20 13:12:01.567000+00:00;ETXFjTbnPqEbGuYl;move;[818, 622]
10;2022-01-20 13:12:01.574000+00:00;ETXFjTbnPqEbGuYl;move;[800, 614]
11;2022-01-20 13:12:01.581000+00:00;ETXFjTbnPqEbGuYl;move;[780, 606]
12;2022-01-20 13:12:01.588000+00:00;ETXFjTbnPqEbGuYl;move;[761, 598]
13;2022-01-20 13:12:01.595000+00:00;ETXFjTbnPqEbGuYl;move;[743, 589]
14;2022-01-20 13:12:01.602000+00:00;ETXFjTbnPqEbGuYl;move;[728, 582]
15;2022-01-20 13:12:01.609000+00:00;ETXFjTbnPqEbGuYl;move;[717, 576]
16;2022-01-20 13:12:01.616000+00:00;ETXFjTbnPqEbGuYl;move;[710, 569]
17;2022-01-20 13:12:01.622000+00:00;ETXFjTbnPqEbGuYl;move;[706, 563]
18;2022-01-20 13:12:01.629000+00:00;ETXFjTbnPqEbGuYl;move;[705, 556]
19;2022-01-20 13:12:01.636000+00:00;ETXFjTbnPqEbGuYl;move;[709, 547]
20;2022-01-20 13:12:01.643000+00:00;ETXFjTbnPqEbGuYl;move;[720, 534]
21;2022-01-20 13:12:01.650000+00:00;ETXFjTbnPqEbGuYl;move;[733, 520]
22;2022-01-20 13:12:01.657000+00:00;ETXFjTbnPqEbGuYl;move;[752, 505]
23;2022-01-20 13:12:01.664000+00:00;ETXFjTbnPqEbGuYl;move;[772, 490]
24;2022-01-20 13:12:01.671000+00:00;ETXFjTbnPqEbGuYl;move;[795, 477]
25;2022-01-20 13:12:01.678000+00:00;ETXFjTbnPqEbGuYl;move;[816, 469]
26;2022-01-20 13:12:01.685000+00:00;ETXFjTbnPqEbGuYl;move;[843, 462]
27;2022-01-20 13:12:01.692000+00:00;ETXFjTbnPqEbGuYl;move;[864, 459]
28;2022-01-20 13:12:01.699000+00:00;ETXFjTbnPqEbGuYl;move;[892, 457]
29;2022-01-20 13:12:01.706000+00:00;ETXFjTbnPqEbGuYl;move;[916, 457]
30;2022-01-20 13:12:01.713000+00:00;ETXFjTbnPqEbGuYl;move;[943, 457]
31;2022-01-20 13:12:01.720000+00:00;ETXFjTbnPqEbGuYl;move;[970, 457]
32;2022-01-20 13:12:01.727000+00:00;ETXFjTbnPqEbGuYl;move;[995, 458]
33;2022-01-20 13:12:01.734000+00:00;ETXFjTbnPqEbGuYl;move;[1015, 460]
34;2022-01-20 13:12:01.741000+00:00;ETXFjTbnPqEbGuYl;move;[1035, 461]
35;2022-01-20 13:12:01.748000+00:00;ETXFjTbnPqEbGuYl;move;[1053, 461]
36;2022-01-20 13:12:01.755000+00:00;ETXFjTbnPqEbGuYl;move;[1071, 461]
37;2022-01-20 13:12:01.761000+00:00;ETXFjTbnPqEbGuYl;move;[1085, 458]
38;2022-01-20 13:12:01.768000+00:00;ETXFjTbnPqEbGuYl;move;[1098, 456]
39;2022-01-20 13:12:01.775000+00:00;ETXFjTbnPqEbGuYl;move;[1113, 452]
40;2022-01-20 13:12:01.782000+00:00;ETXFjTbnPqEbGuYl;move;[1124, 448]
41;2022-01-20 13:12:01.789000+00:00;ETXFjTbnPqEbGuYl;move;[1134, 443]
42;2022-01-20 13:12:01.796000+00:00;ETXFjTbnPqEbGuYl;move;[1140, 439]
43;2022-01-20 13:12:01.803000+00:00;ETXFjTbnPqEbGuYl;move;[1147, 435]
44;2022-01-20 13:12:01.810000+00:00;ETXFjTbnPqEbGuYl;move;[1152, 432]
45;2022-01-20 13:12:01.817000+00:00;ETXFjTbnPqEbGuYl;move;[1156, 429]
46;2022-01-20 13:12:01.824000+00:00;ETXFjTbnPqEbGuYl;move;[1158, 425]
47;2022-01-20 13:12:01.831000+00:00;ETXFjTbnPqEbGuYl;move;[1162, 423]
48;2022-01-20 13:12:01.838000+00:00;ETXFjTbnPqEbGuYl;move;[1164, 420]
49;2022-01-20 13:12:01.845000+00:00;ETXFjTbnPqEbGuYl;move;[1168, 417]
50;2022-01-20 13:12:01.852000+00:00;ETXFjTbnPqEbGuYl;move;[1172, 413]
51;2022-01-20 13:12:01.859000+00:00;ETXFjTbnPqEbGuYl;move;[1176, 409]
52;2022-01-20 13:12:01.866000+00:00;ETXFjTbnPqEbGuYl;move;[1179, 406]
53;2022-01-20 13:12:01.872000+00:00;ETXFjTbnPqEbGuYl;move;[1184, 403]
54;2022-01-20 13:12:01.879000+00:00;ETXFjTbnPqEbGuYl;move;[1187, 401]
55;2022-01-20 13:12:01.886000+00:00;ETXFjTbnPqEbGuYl;move;[1191, 398]
56;2022-01-20 13:12:01.893000+00:00;ETXFjTbnPqEbGuYl;move;[1195, 396]
57;2022-01-20 13:12:01.900000+00:00;ETXFjTbnPqEbGuYl;move;[1198, 393]
58;2022-01-20 13:12:01.907000+00:00;ETXFjTbnPqEbGuYl;move;[1201, 392]
59;2022-01-20 13:12:01.914000+00:00;ETXFjTbnPqEbGuYl;move;[1205, 391]
60;2022-01-20 13:12:01.921000+00:00;ETXFjTbnPqEbGuYl;move;[1208, 389]
61;2022-01-20 13:12:01.928000+00:00;ETXFjTbnPqEbGuYl;move;[1212, 388]
62;2022-01-20 13:12:01.935000+00:00;ETXFjTbnPqEbGuYl;move;[1216, 387]
63;2022-01-20 13:12:01.942000+00:00;ETXFjTbnPqEbGuYl;move;[1220, 386]
64;2022-01-20 13:12:01.949000+00:00;ETXFjTbnPqEbGuYl;move;[1226, 385]
65;2022-01-20 13:12:01.956000+00:00;ETXFjTbnPqEbGuYl;move;[1232, 385]
66;2022-01-20 13:12:01.963000+00:00;ETXFjTbnPqEbGuYl;move;[1238, 384]
67;2022-01-20 13:12:01.970000+00:00;ETXFjTbnPqEbGuYl;move;[1244, 383]
68;2022-01-20 13:12:01.977000+00:00;ETXFjTbnPqEbGuYl;move;[1251, 383]
69;2022-01-20 13:12:01.984000+00:00;ETXFjTbnPqEbGuYl;move;[1257, 383]
70;2022-01-20 13:12:01.991000+00:00;ETXFjTbnPqEbGuYl;move;[1263, 383]
71;2022-01-20 13:12:01.998000+00:00;ETXFjTbnPqEbGuYl;move;[1269, 382]
72;2022-01-20 13:12:02.004000+00:00;ETXFjTbnPqEbGuYl;move;[1275, 382]
73;2022-01-20 13:12:02.011000+00:00;ETXFjTbnPqEbGuYl;move;[1281, 381]
74;2022-01-20 13:12:02.018000+00:00;ETXFjTbnPqEbGuYl;move;[1286, 381]
75;2022-01-20 13:12:02.025000+00:00;ETXFjTbnPqEbGuYl;move;[1292, 381]
76;2022-01-20 13:12:02.032000+00:00;ETXFjTbnPqEbGuYl;move;[1296, 380]
77;2022-01-20 13:12:02.039000+00:00;ETXFjTbnPqEbGuYl;move;[1301, 379]
78;2022-01-20 13:12:02.046000+00:00;ETXFjTbnPqEbGuYl;move;[1304, 378]
79;2022-01-20 13:12:02.053000+00:00;ETXFjTbnPqEbGuYl;move;[1308, 377]
80;2022-01-20 13:12:02.060000+00:00;ETXFjTbnPqEbGuYl;move;[1311, 377]
81;2022-01-20 13:12:02.067000+00:00;ETXFjTbnPqEbGuYl;move;[1314, 377]
82;2022-01-20 13:12:02.074000+00:00;ETXFjTbnPqEbGuYl;move;[1316, 376]
83;2022-01-20 13:12:02.081000+00:00;ETXFjTbnPqEbGuYl;move;[1319, 374]
84;2022-01-20 13:12:02.088000+00:00;ETXFjTbnPqEbGuYl;move;[1320, 374]
85;2022-01-20 13:12:02.095000+00:00;ETXFjTbnPqEbGuYl;move;[1321, 374]
86;2022-01-20 13:12:02.102000+00:00;ETXFjTbnPqEbGuYl;move;[1322, 374]
87;2022-01-20 13:12:02.109000+00:00;ETXFjTbnPqEbGuYl;move;[1322, 373]
88;2022-01-20 13:12:02.835000+00:00;ETXFjTbnPqEbGuYl;move;[1320, 374]
89;2022-01-20 13:12:02.838000+00:00;ETXFjTbnPqEbGuYl;move;[1312, 378]
90;2022-01-20 13:12:02.845000+00:00;ETXFjTbnPqEbGuYl;move;[1294, 387]
91;2022-01-20 13:12:02.852000+00:00;ETXFjTbnPqEbGuYl;move;[1263, 401]
92;2022-01-20 13:12:02.859000+00:00;ETXFjTbnPqEbGuYl;move;[1224, 414]
93;2022-01-20 13:12:02.866000+00:00;ETXFjTbnPqEbGuYl;move;[1178, 426]
94;2022-01-20 13:12:02.873000+00:00;ETXFjTbnPqEbGuYl;move;[1128, 438]
95;2022-01-20 13:12:02.880000+00:00;ETXFjTbnPqEbGuYl;move;[1070, 450]
96;2022-01-20 13:12:02.887000+00:00;ETXFjTbnPqEbGuYl;move;[1020, 458]
97;2022-01-20 13:12:02.894000+00:00;ETXFjTbnPqEbGuYl;move;[948, 471]
98;2022-01-20 13:12:02.901000+00:00;ETXFjTbnPqEbGuYl;move;[884, 481]
99;2022-01-20 13:12:02.908000+00:00;ETXFjTbnPqEbGuYl;move;[819, 487]
100;2022-01-20 13:12:02.915000+00:00;ETXFjTbnPqEbGuYl;move;[761, 492]
101;2022-01-20 13:12:02.923000+00:00;ETXFjTbnPqEbGuYl;move;[711, 495]
102;2022-01-20 13:12:02.929000+00:00;ETXFjTbnPqEbGuYl;move;[656, 498]
103;2022-01-20 13:12:02.936000+00:00;ETXFjTbnPqEbGuYl;move;[609, 501]
104;2022-01-20 13:12:02.942000+00:00;ETXFjTbnPqEbGuYl;move;[577, 502]
105;2022-01-20 13:12:02.949000+00:00;ETXFjTbnPqEbGuYl;move;[540, 503]
106;2022-01-20 13:12:02.956000+00:00;ETXFjTbnPqEbGuYl;move;[508, 503]
107;2022-01-20 13:12:02.963000+00:00;ETXFjTbnPqEbGuYl;move;[484, 501]
108;2022-01-20 13:12:02.970000+00:00;ETXFjTbnPqEbGuYl;move;[468, 499]
109;2022-01-20 13:12:02.977000+00:00;ETXFjTbnPqEbGuYl;move;[452, 496]
110;2022-01-20 13:12:02.984000+00:00;ETXFjTbnPqEbGuYl;move;[445, 493]
111;2022-01-20 13:12:02.991000+00:00;ETXFjTbnPqEbGuYl;move;[440, 492]
