;time;token;event;global_position
0;2022-01-13 13:18:40.743000+00:00;F4bQ77Zz6Yah5Y5h;move;[986, 661]
1;2022-01-13 13:18:40.771000+00:00;F4bQ77Zz6Yah5Y5h;move;[985, 661]
2;2022-01-13 13:18:40.774000+00:00;F4bQ77Zz6Yah5Y5h;move;[985, 660]
3;2022-01-13 13:18:40.781000+00:00;F4bQ77Zz6Yah5Y5h;move;[985, 659]
4;2022-01-13 13:18:40.789000+00:00;F4bQ77Zz6Yah5Y5h;move;[985, 657]
5;2022-01-13 13:18:40.795000+00:00;F4bQ77Zz6Yah5Y5h;move;[984, 657]
6;2022-01-13 13:18:40.802000+00:00;F4bQ77Zz6Yah5Y5h;move;[983, 655]
7;2022-01-13 13:18:40.809000+00:00;F4bQ77Zz6Yah5Y5h;move;[981, 653]
8;2022-01-13 13:18:40.816000+00:00;F4bQ77Zz6Yah5Y5h;move;[980, 650]
9;2022-01-13 13:18:40.823000+00:00;F4bQ77Zz6Yah5Y5h;move;[978, 647]
10;2022-01-13 13:18:40.830000+00:00;F4bQ77Zz6Yah5Y5h;move;[975, 645]
11;2022-01-13 13:18:40.837000+00:00;F4bQ77Zz6Yah5Y5h;move;[973, 641]
12;2022-01-13 13:18:40.844000+00:00;F4bQ77Zz6Yah5Y5h;move;[971, 639]
13;2022-01-13 13:18:40.850000+00:00;F4bQ77Zz6Yah5Y5h;move;[969, 637]
14;2022-01-13 13:18:40.857000+00:00;F4bQ77Zz6Yah5Y5h;move;[967, 634]
15;2022-01-13 13:18:40.864000+00:00;F4bQ77Zz6Yah5Y5h;move;[965, 633]
16;2022-01-13 13:18:40.871000+00:00;F4bQ77Zz6Yah5Y5h;move;[963, 630]
17;2022-01-13 13:18:40.878000+00:00;F4bQ77Zz6Yah5Y5h;move;[961, 629]
18;2022-01-13 13:18:40.886000+00:00;F4bQ77Zz6Yah5Y5h;move;[959, 625]
19;2022-01-13 13:18:40.892000+00:00;F4bQ77Zz6Yah5Y5h;move;[958, 622]
20;2022-01-13 13:18:40.900000+00:00;F4bQ77Zz6Yah5Y5h;move;[957, 616]
21;2022-01-13 13:18:40.907000+00:00;F4bQ77Zz6Yah5Y5h;move;[956, 613]
22;2022-01-13 13:18:40.913000+00:00;F4bQ77Zz6Yah5Y5h;move;[956, 605]
23;2022-01-13 13:18:40.920000+00:00;F4bQ77Zz6Yah5Y5h;move;[956, 597]
24;2022-01-13 13:18:40.927000+00:00;F4bQ77Zz6Yah5Y5h;move;[956, 585]
25;2022-01-13 13:18:40.934000+00:00;F4bQ77Zz6Yah5Y5h;move;[958, 573]
26;2022-01-13 13:18:40.940000+00:00;F4bQ77Zz6Yah5Y5h;move;[959, 561]
27;2022-01-13 13:18:40.948000+00:00;F4bQ77Zz6Yah5Y5h;move;[961, 546]
28;2022-01-13 13:18:40.954000+00:00;F4bQ77Zz6Yah5Y5h;move;[963, 537]
29;2022-01-13 13:18:40.961000+00:00;F4bQ77Zz6Yah5Y5h;move;[966, 526]
30;2022-01-13 13:18:40.969000+00:00;F4bQ77Zz6Yah5Y5h;move;[970, 517]
31;2022-01-13 13:18:40.976000+00:00;F4bQ77Zz6Yah5Y5h;move;[976, 509]
32;2022-01-13 13:18:40.983000+00:00;F4bQ77Zz6Yah5Y5h;move;[980, 502]
