;time;token;event;global_position
0;2022-01-20 13:34:23.943000+00:00;GdZBiUHCusOT6Nrl;move;[836, 320]
1;2022-01-20 13:34:23.958000+00:00;GdZBiUHCusOT6Nrl;move;[812, 299]
2;2022-01-20 13:34:23.968000+00:00;GdZBiUHCusOT6Nrl;move;[801, 287]
3;2022-01-20 13:34:23.985000+00:00;GdZBiUHCusOT6Nrl;move;[790, 279]
4;2022-01-20 13:34:23.998000+00:00;GdZBiUHCusOT6Nrl;move;[771, 267]
5;2022-01-20 13:34:24.016000+00:00;GdZBiUHCusOT6Nrl;move;[758, 260]
6;2022-01-20 13:34:24.033000+00:00;GdZBiUHCusOT6Nrl;move;[737, 247]
7;2022-01-20 13:34:24.047000+00:00;GdZBiUHCusOT6Nrl;move;[723, 241]
8;2022-01-20 13:34:24.065000+00:00;GdZBiUHCusOT6Nrl;move;[717, 237]
9;2022-01-20 13:34:24.086000+00:00;GdZBiUHCusOT6Nrl;move;[713, 235]
10;2022-01-20 13:34:24.098000+00:00;GdZBiUHCusOT6Nrl;move;[709, 233]
11;2022-01-20 13:34:24.119000+00:00;GdZBiUHCusOT6Nrl;move;[699, 226]
12;2022-01-20 13:34:24.131000+00:00;GdZBiUHCusOT6Nrl;move;[695, 224]
13;2022-01-20 13:34:24.147000+00:00;GdZBiUHCusOT6Nrl;move;[693, 223]
14;2022-01-20 13:34:24.169000+00:00;GdZBiUHCusOT6Nrl;move;[691, 222]
15;2022-01-20 13:34:24.718000+00:00;GdZBiUHCusOT6Nrl;move;[677, 226]
16;2022-01-20 13:34:24.738000+00:00;GdZBiUHCusOT6Nrl;move;[677, 227]
17;2022-01-20 13:34:24.757000+00:00;GdZBiUHCusOT6Nrl;move;[677, 228]
18;2022-01-20 13:34:24.771000+00:00;GdZBiUHCusOT6Nrl;move;[677, 229]
19;2022-01-20 13:34:24.788000+00:00;GdZBiUHCusOT6Nrl;move;[677, 230]
20;2022-01-20 13:34:24.799000+00:00;GdZBiUHCusOT6Nrl;move;[677, 232]
21;2022-01-20 13:34:24.819000+00:00;GdZBiUHCusOT6Nrl;move;[676, 234]
22;2022-01-20 13:34:24.833000+00:00;GdZBiUHCusOT6Nrl;move;[675, 237]
23;2022-01-20 13:34:24.850000+00:00;GdZBiUHCusOT6Nrl;move;[673, 239]
24;2022-01-20 13:34:24.867000+00:00;GdZBiUHCusOT6Nrl;move;[671, 241]
25;2022-01-20 13:34:24.886000+00:00;GdZBiUHCusOT6Nrl;move;[671, 242]
26;2022-01-20 13:34:24.903000+00:00;GdZBiUHCusOT6Nrl;move;[670, 243]
27;2022-01-20 13:34:24.918000+00:00;GdZBiUHCusOT6Nrl;move;[669, 245]
28;2022-01-20 13:34:24.942000+00:00;GdZBiUHCusOT6Nrl;move;[669, 246]
29;2022-01-20 13:34:25.458000+00:00;GdZBiUHCusOT6Nrl;move;[663, 250]
30;2022-01-20 13:34:25.460000+00:00;GdZBiUHCusOT6Nrl;move;[663, 250]
31;2022-01-20 13:34:25.498000+00:00;GdZBiUHCusOT6Nrl;move;[662, 250]
32;2022-01-20 13:34:25.552000+00:00;GdZBiUHCusOT6Nrl;move;[662, 245]
33;2022-01-20 13:34:25.567000+00:00;GdZBiUHCusOT6Nrl;move;[664, 235]
34;2022-01-20 13:34:25.583000+00:00;GdZBiUHCusOT6Nrl;move;[666, 231]
35;2022-01-20 13:34:26.978000+00:00;GdZBiUHCusOT6Nrl;move;[709, 255]
36;2022-01-20 13:34:26.987000+00:00;GdZBiUHCusOT6Nrl;move;[709, 255]
37;2022-01-20 13:34:27.055000+00:00;GdZBiUHCusOT6Nrl;move;[701, 253]
38;2022-01-20 13:34:27.069000+00:00;GdZBiUHCusOT6Nrl;move;[696, 252]
39;2022-01-20 13:34:27.089000+00:00;GdZBiUHCusOT6Nrl;move;[692, 251]
40;2022-01-20 13:34:27.105000+00:00;GdZBiUHCusOT6Nrl;move;[690, 251]
41;2022-01-20 13:34:27.119000+00:00;GdZBiUHCusOT6Nrl;move;[687, 251]
42;2022-01-20 13:34:27.391000+00:00;GdZBiUHCusOT6Nrl;move;[665, 247]
43;2022-01-20 13:34:27.401000+00:00;GdZBiUHCusOT6Nrl;move;[665, 247]
44;2022-01-20 13:34:30.170000+00:00;GdZBiUHCusOT6Nrl;move;[973, 357]
45;2022-01-20 13:34:30.188000+00:00;GdZBiUHCusOT6Nrl;move;[973, 357]
46;2022-01-20 13:34:30.238000+00:00;GdZBiUHCusOT6Nrl;move;[970, 361]
47;2022-01-20 13:34:31.716000+00:00;GdZBiUHCusOT6Nrl;move;[1096, 402]
48;2022-01-20 13:34:32.624000+00:00;GdZBiUHCusOT6Nrl;move;[1062, 379]
49;2022-01-20 13:34:32.625000+00:00;GdZBiUHCusOT6Nrl;move;[1063, 376]
50;2022-01-20 13:34:32.638000+00:00;GdZBiUHCusOT6Nrl;move;[1062, 379]
51;2022-01-20 13:34:32.655000+00:00;GdZBiUHCusOT6Nrl;move;[1061, 377]
52;2022-01-20 13:34:32.669000+00:00;GdZBiUHCusOT6Nrl;move;[1060, 371]
53;2022-01-20 13:34:32.685000+00:00;GdZBiUHCusOT6Nrl;move;[1060, 362]
54;2022-01-20 13:34:32.703000+00:00;GdZBiUHCusOT6Nrl;move;[1060, 359]
55;2022-01-20 13:34:32.729000+00:00;GdZBiUHCusOT6Nrl;move;[1060, 357]
56;2022-01-20 13:34:32.777000+00:00;GdZBiUHCusOT6Nrl;move;[1061, 360]
57;2022-01-20 13:34:32.850000+00:00;GdZBiUHCusOT6Nrl;move;[1062, 362]
58;2022-01-20 13:34:32.865000+00:00;GdZBiUHCusOT6Nrl;move;[1063, 358]
59;2022-01-20 13:34:32.872000+00:00;GdZBiUHCusOT6Nrl;move;[1065, 355]
60;2022-01-20 13:34:32.892000+00:00;GdZBiUHCusOT6Nrl;move;[1069, 340]
61;2022-01-20 13:34:32.906000+00:00;GdZBiUHCusOT6Nrl;move;[1076, 316]
62;2022-01-20 13:34:32.920000+00:00;GdZBiUHCusOT6Nrl;move;[1081, 296]
63;2022-01-20 13:34:32.940000+00:00;GdZBiUHCusOT6Nrl;move;[1091, 263]
64;2022-01-20 13:34:32.957000+00:00;GdZBiUHCusOT6Nrl;move;[1101, 242]
65;2022-01-20 13:34:32.970000+00:00;GdZBiUHCusOT6Nrl;move;[1107, 225]
66;2022-01-20 13:34:32.986000+00:00;GdZBiUHCusOT6Nrl;move;[1122, 202]
67;2022-01-20 13:34:33.003000+00:00;GdZBiUHCusOT6Nrl;move;[1127, 191]
68;2022-01-20 13:34:33.019000+00:00;GdZBiUHCusOT6Nrl;move;[1130, 180]
69;2022-01-20 13:34:33.037000+00:00;GdZBiUHCusOT6Nrl;move;[1131, 175]
70;2022-01-20 13:34:33.053000+00:00;GdZBiUHCusOT6Nrl;move;[1135, 169]
71;2022-01-20 13:34:33.070000+00:00;GdZBiUHCusOT6Nrl;move;[1137, 166]
72;2022-01-20 13:34:33.087000+00:00;GdZBiUHCusOT6Nrl;move;[1140, 157]
73;2022-01-20 13:34:33.106000+00:00;GdZBiUHCusOT6Nrl;move;[1142, 149]
74;2022-01-20 13:34:33.121000+00:00;GdZBiUHCusOT6Nrl;move;[1142, 147]
75;2022-01-20 13:34:33.138000+00:00;GdZBiUHCusOT6Nrl;move;[1143, 144]
76;2022-01-20 13:34:33.153000+00:00;GdZBiUHCusOT6Nrl;move;[1143, 141]
77;2022-01-20 13:34:33.170000+00:00;GdZBiUHCusOT6Nrl;move;[1149, 136]
78;2022-01-20 13:34:33.187000+00:00;GdZBiUHCusOT6Nrl;move;[1145, 117]
79;2022-01-20 13:34:34.098000+00:00;GdZBiUHCusOT6Nrl;move;[1109, 651]
80;2022-01-20 13:34:34.107000+00:00;GdZBiUHCusOT6Nrl;move;[1109, 651]
81;2022-01-20 13:34:34.181000+00:00;GdZBiUHCusOT6Nrl;move;[1105, 649]
82;2022-01-20 13:34:34.195000+00:00;GdZBiUHCusOT6Nrl;move;[1101, 644]
83;2022-01-20 13:34:34.207000+00:00;GdZBiUHCusOT6Nrl;move;[1097, 638]
84;2022-01-20 13:34:34.227000+00:00;GdZBiUHCusOT6Nrl;move;[1097, 633]
85;2022-01-20 13:34:34.241000+00:00;GdZBiUHCusOT6Nrl;move;[1096, 629]
86;2022-01-20 13:34:34.258000+00:00;GdZBiUHCusOT6Nrl;move;[1096, 625]
87;2022-01-20 13:34:34.272000+00:00;GdZBiUHCusOT6Nrl;move;[1097, 615]
88;2022-01-20 13:34:34.290000+00:00;GdZBiUHCusOT6Nrl;move;[1098, 609]
89;2022-01-20 13:34:34.308000+00:00;GdZBiUHCusOT6Nrl;move;[1099, 607]
90;2022-01-20 13:34:34.322000+00:00;GdZBiUHCusOT6Nrl;move;[1100, 605]
91;2022-01-20 13:34:34.343000+00:00;GdZBiUHCusOT6Nrl;move;[1100, 603]
