;time;token;event;global_position
0;2022-01-13 12:44:39.985000+00:00;HMk6kjaMUucBmbWg;move;[1645, 1231]
1;2022-01-13 12:44:40.006000+00:00;HMk6kjaMUucBmbWg;move;[1645, 1213]
2;2022-01-13 12:44:40.023000+00:00;HMk6kjaMUucBmbWg;move;[1631, 1189]
3;2022-01-13 12:44:40.036000+00:00;HMk6kjaMUucBmbWg;move;[1621, 1164]
4;2022-01-13 12:44:40.052000+00:00;HMk6kjaMUucBmbWg;move;[1600, 1129]
5;2022-01-13 12:44:40.069000+00:00;HMk6kjaMUucBmbWg;move;[1572, 1091]
6;2022-01-13 12:44:40.086000+00:00;HMk6kjaMUucBmbWg;move;[1540, 1056]
7;2022-01-13 12:44:40.102000+00:00;HMk6kjaMUucBmbWg;move;[1505, 1010]
8;2022-01-13 12:44:40.120000+00:00;HMk6kjaMUucBmbWg;move;[1474, 968]
9;2022-01-13 12:44:40.136000+00:00;HMk6kjaMUucBmbWg;move;[1446, 933]
10;2022-01-13 12:44:40.152000+00:00;HMk6kjaMUucBmbWg;move;[1418, 891]
11;2022-01-13 12:44:40.170000+00:00;HMk6kjaMUucBmbWg;move;[1397, 856]
12;2022-01-13 12:44:40.186000+00:00;HMk6kjaMUucBmbWg;move;[1383, 832]
13;2022-01-13 12:44:40.202000+00:00;HMk6kjaMUucBmbWg;move;[1369, 807]
14;2022-01-13 12:44:40.219000+00:00;HMk6kjaMUucBmbWg;move;[1355, 790]
15;2022-01-13 12:44:40.237000+00:00;HMk6kjaMUucBmbWg;move;[1341, 772]
16;2022-01-13 12:44:40.253000+00:00;HMk6kjaMUucBmbWg;move;[1320, 755]
17;2022-01-13 12:44:40.269000+00:00;HMk6kjaMUucBmbWg;move;[1295, 734]
18;2022-01-13 12:44:40.286000+00:00;HMk6kjaMUucBmbWg;move;[1271, 716]
19;2022-01-13 12:44:40.302000+00:00;HMk6kjaMUucBmbWg;move;[1253, 702]
20;2022-01-13 12:44:40.319000+00:00;HMk6kjaMUucBmbWg;move;[1239, 692]
21;2022-01-13 12:44:40.336000+00:00;HMk6kjaMUucBmbWg;move;[1215, 685]
22;2022-01-13 12:44:40.352000+00:00;HMk6kjaMUucBmbWg;move;[1194, 678]
23;2022-01-13 12:44:40.369000+00:00;HMk6kjaMUucBmbWg;move;[1166, 667]
24;2022-01-13 12:44:40.386000+00:00;HMk6kjaMUucBmbWg;move;[1145, 657]
25;2022-01-13 12:44:40.402000+00:00;HMk6kjaMUucBmbWg;move;[1131, 646]
26;2022-01-13 12:44:40.419000+00:00;HMk6kjaMUucBmbWg;move;[1120, 636]
27;2022-01-13 12:44:40.436000+00:00;HMk6kjaMUucBmbWg;move;[1113, 618]
28;2022-01-13 12:44:40.454000+00:00;HMk6kjaMUucBmbWg;move;[1113, 594]
29;2022-01-13 12:44:40.469000+00:00;HMk6kjaMUucBmbWg;move;[1113, 566]
30;2022-01-13 12:44:40.486000+00:00;HMk6kjaMUucBmbWg;move;[1110, 531]
31;2022-01-13 12:44:40.502000+00:00;HMk6kjaMUucBmbWg;move;[1110, 499]
32;2022-01-13 12:44:40.519000+00:00;HMk6kjaMUucBmbWg;move;[1110, 464]
33;2022-01-13 12:44:40.536000+00:00;HMk6kjaMUucBmbWg;move;[1113, 433]
34;2022-01-13 12:44:40.552000+00:00;HMk6kjaMUucBmbWg;move;[1113, 408]
35;2022-01-13 12:44:40.569000+00:00;HMk6kjaMUucBmbWg;move;[1116, 394]
36;2022-01-13 12:44:40.586000+00:00;HMk6kjaMUucBmbWg;move;[1116, 401]
37;2022-01-13 12:44:40.602000+00:00;HMk6kjaMUucBmbWg;move;[1110, 418]
38;2022-01-13 12:44:40.620000+00:00;HMk6kjaMUucBmbWg;move;[1096, 436]
39;2022-01-13 12:44:40.636000+00:00;HMk6kjaMUucBmbWg;move;[1092, 446]
40;2022-01-13 12:44:40.653000+00:00;HMk6kjaMUucBmbWg;move;[1089, 464]
41;2022-01-13 12:44:40.796000+00:00;HMk6kjaMUucBmbWg;move;[1089, 461]
42;2022-01-13 12:44:40.805000+00:00;HMk6kjaMUucBmbWg;move;[1089, 457]
43;2022-01-13 12:44:40.819000+00:00;HMk6kjaMUucBmbWg;move;[1095, 450]
44;2022-01-13 12:44:40.836000+00:00;HMk6kjaMUucBmbWg;move;[1102, 436]
