;time;token;event;global_position
0;2022-01-13 13:05:41.881000+00:00;IQjf2R8VhfCZGZFd;move;[799, 370]
1;2022-01-13 13:06:12.779000+00:00;IQjf2R8VhfCZGZFd;move;[875, 1895]
2;2022-01-13 13:06:16.510000+00:00;IQjf2R8VhfCZGZFd;move;[922, 1890]
3;2022-01-13 13:06:53.282000+00:00;IQjf2R8VhfCZGZFd;move;[883, 1900]
4;2022-01-13 13:06:57.381000+00:00;IQjf2R8VhfCZGZFd;move;[925, 1890]
5;2022-01-13 13:07:05.697000+00:00;IQjf2R8VhfCZGZFd;move;[878, 1818]
6;2022-01-13 13:07:07.223000+00:00;IQjf2R8VhfCZGZFd;move;[909, 1825]
7;2022-01-13 13:07:25.549000+00:00;IQjf2R8VhfCZGZFd;move;[863, 1895]
8;2022-01-13 13:07:29.531000+00:00;IQjf2R8VhfCZGZFd;move;[934, 1891]
9;2022-01-13 13:07:38.767000+00:00;IQjf2R8VhfCZGZFd;move;[872, 1886]
10;2022-01-13 13:07:40.103000+00:00;IQjf2R8VhfCZGZFd;move;[920, 1890]
11;2022-01-13 13:08:03.950000+00:00;IQjf2R8VhfCZGZFd;move;[856, 1890]
12;2022-01-13 13:08:06.238000+00:00;IQjf2R8VhfCZGZFd;move;[926, 1890]
13;2022-01-13 13:08:14.905000+00:00;IQjf2R8VhfCZGZFd;move;[872, 926]
14;2022-01-13 13:08:18.469000+00:00;IQjf2R8VhfCZGZFd;move;[872, 925]
