;time;token;event;global_position
0;2022-01-13 11:09:50.778000+00:00;Ivw6MiFZiU0F3hT6;move;[1048, 887]
1;2022-01-13 11:09:50.793000+00:00;Ivw6MiFZiU0F3hT6;move;[1049, 871]
2;2022-01-13 11:09:50.810000+00:00;Ivw6MiFZiU0F3hT6;move;[1056, 831]
3;2022-01-13 11:09:50.826000+00:00;Ivw6MiFZiU0F3hT6;move;[1061, 806]
4;2022-01-13 11:09:50.843000+00:00;Ivw6MiFZiU0F3hT6;move;[1066, 776]
5;2022-01-13 11:09:50.876000+00:00;Ivw6MiFZiU0F3hT6;move;[1083, 673]
6;2022-01-13 11:09:50.893000+00:00;Ivw6MiFZiU0F3hT6;move;[1092, 636]
7;2022-01-13 11:09:50.910000+00:00;Ivw6MiFZiU0F3hT6;move;[1102, 600]
8;2022-01-13 11:09:50.926000+00:00;Ivw6MiFZiU0F3hT6;move;[1119, 554]
9;2022-01-13 11:09:50.976000+00:00;Ivw6MiFZiU0F3hT6;move;[1134, 510]
10;2022-01-13 11:09:50.993000+00:00;Ivw6MiFZiU0F3hT6;move;[1136, 502]
11;2022-01-13 11:09:51.009000+00:00;Ivw6MiFZiU0F3hT6;move;[1137, 494]
12;2022-01-13 11:09:51.027000+00:00;Ivw6MiFZiU0F3hT6;move;[1138, 473]
13;2022-01-13 11:09:51.076000+00:00;Ivw6MiFZiU0F3hT6;move;[1141, 412]
14;2022-01-13 11:09:51.093000+00:00;Ivw6MiFZiU0F3hT6;move;[1142, 398]
15;2022-01-13 11:09:51.110000+00:00;Ivw6MiFZiU0F3hT6;move;[1142, 389]
16;2022-01-13 11:09:51.126000+00:00;Ivw6MiFZiU0F3hT6;move;[1141, 378]
17;2022-01-13 11:09:51.176000+00:00;Ivw6MiFZiU0F3hT6;move;[1141, 372]
18;2022-01-13 11:09:51.276000+00:00;Ivw6MiFZiU0F3hT6;move;[1142, 370]
19;2022-01-13 11:09:51.293000+00:00;Ivw6MiFZiU0F3hT6;move;[1143, 370]
20;2022-01-13 11:09:51.513000+00:00;Ivw6MiFZiU0F3hT6;move;[1190, 358]
