;time;token;event;global_position
0;2022-01-13 11:41:12.174000+00:00;LakCNauhDpNIpFmo;move;[1226, 868]
1;2022-01-13 11:41:12.190000+00:00;LakCNauhDpNIpFmo;move;[1234, 840]
2;2022-01-13 11:41:12.208000+00:00;LakCNauhDpNIpFmo;move;[1245, 806]
3;2022-01-13 11:41:12.225000+00:00;LakCNauhDpNIpFmo;move;[1271, 730]
4;2022-01-13 11:41:12.242000+00:00;LakCNauhDpNIpFmo;move;[1284, 688]
5;2022-01-13 11:41:12.257000+00:00;LakCNauhDpNIpFmo;move;[1294, 651]
6;2022-01-13 11:41:12.275000+00:00;LakCNauhDpNIpFmo;move;[1313, 584]
7;2022-01-13 11:41:12.291000+00:00;LakCNauhDpNIpFmo;move;[1324, 560]
8;2022-01-13 11:41:12.308000+00:00;LakCNauhDpNIpFmo;move;[1334, 541]
9;2022-01-13 11:41:12.326000+00:00;LakCNauhDpNIpFmo;move;[1344, 527]
10;2022-01-13 11:41:12.342000+00:00;LakCNauhDpNIpFmo;move;[1357, 507]
11;2022-01-13 11:41:12.359000+00:00;LakCNauhDpNIpFmo;move;[1362, 499]
12;2022-01-13 11:41:12.376000+00:00;LakCNauhDpNIpFmo;move;[1366, 492]
13;2022-01-13 11:41:12.392000+00:00;LakCNauhDpNIpFmo;move;[1376, 476]
14;2022-01-13 11:41:12.409000+00:00;LakCNauhDpNIpFmo;move;[1381, 467]
15;2022-01-13 11:41:12.425000+00:00;LakCNauhDpNIpFmo;move;[1385, 461]
16;2022-01-13 11:41:12.442000+00:00;LakCNauhDpNIpFmo;move;[1392, 453]
17;2022-01-13 11:41:12.459000+00:00;LakCNauhDpNIpFmo;move;[1396, 449]
18;2022-01-13 11:41:12.475000+00:00;LakCNauhDpNIpFmo;move;[1400, 447]
19;2022-01-13 11:41:12.492000+00:00;LakCNauhDpNIpFmo;move;[1406, 443]
20;2022-01-13 11:41:12.509000+00:00;LakCNauhDpNIpFmo;move;[1420, 434]
21;2022-01-13 11:41:12.525000+00:00;LakCNauhDpNIpFmo;move;[1427, 429]
22;2022-01-13 11:41:12.542000+00:00;LakCNauhDpNIpFmo;move;[1435, 424]
23;2022-01-13 11:41:12.575000+00:00;LakCNauhDpNIpFmo;move;[1455, 412]
24;2022-01-13 11:41:12.593000+00:00;LakCNauhDpNIpFmo;move;[1462, 409]
25;2022-01-13 11:41:12.611000+00:00;LakCNauhDpNIpFmo;move;[1477, 405]
26;2022-01-13 11:41:12.627000+00:00;LakCNauhDpNIpFmo;move;[1482, 405]
27;2022-01-13 11:41:12.644000+00:00;LakCNauhDpNIpFmo;move;[1485, 405]
28;2022-01-13 11:41:12.659000+00:00;LakCNauhDpNIpFmo;move;[1490, 405]
29;2022-01-13 11:41:12.677000+00:00;LakCNauhDpNIpFmo;move;[1498, 405]
30;2022-01-13 11:41:12.693000+00:00;LakCNauhDpNIpFmo;move;[1501, 404]
31;2022-01-13 11:41:12.710000+00:00;LakCNauhDpNIpFmo;move;[1504, 403]
32;2022-01-13 11:41:12.726000+00:00;LakCNauhDpNIpFmo;move;[1511, 398]
33;2022-01-13 11:41:12.743000+00:00;LakCNauhDpNIpFmo;move;[1515, 395]
34;2022-01-13 11:41:12.760000+00:00;LakCNauhDpNIpFmo;move;[1519, 390]
35;2022-01-13 11:41:12.777000+00:00;LakCNauhDpNIpFmo;move;[1523, 385]
36;2022-01-13 11:41:12.793000+00:00;LakCNauhDpNIpFmo;move;[1527, 381]
37;2022-01-13 11:41:12.810000+00:00;LakCNauhDpNIpFmo;move;[1530, 377]
38;2022-01-13 11:41:12.828000+00:00;LakCNauhDpNIpFmo;move;[1536, 369]
39;2022-01-13 11:41:12.860000+00:00;LakCNauhDpNIpFmo;move;[1540, 364]
40;2022-01-13 11:41:12.893000+00:00;LakCNauhDpNIpFmo;move;[1543, 356]
41;2022-01-13 11:41:12.927000+00:00;LakCNauhDpNIpFmo;move;[1545, 353]
42;2022-01-13 11:41:12.943000+00:00;LakCNauhDpNIpFmo;move;[1547, 346]
43;2022-01-13 11:41:12.993000+00:00;LakCNauhDpNIpFmo;move;[1546, 345]
44;2022-01-13 11:41:36.368000+00:00;LakCNauhDpNIpFmo;move;[1110, 78]
45;2022-01-13 11:41:45.716000+00:00;LakCNauhDpNIpFmo;move;[970, 494]
