;time;token;event;global_position
0;2022-01-12 22:51:05.717000+00:00;LdmPW7d9Sq5VUUYQ;move;[1284, 909]
1;2022-01-12 22:51:05.733000+00:00;LdmPW7d9Sq5VUUYQ;move;[1273, 896]
2;2022-01-12 22:51:05.750000+00:00;LdmPW7d9Sq5VUUYQ;move;[1261, 878]
3;2022-01-12 22:51:05.767000+00:00;LdmPW7d9Sq5VUUYQ;move;[1245, 852]
4;2022-01-12 22:51:05.784000+00:00;LdmPW7d9Sq5VUUYQ;move;[1214, 785]
5;2022-01-12 22:51:05.800000+00:00;LdmPW7d9Sq5VUUYQ;move;[1197, 746]
6;2022-01-12 22:51:05.817000+00:00;LdmPW7d9Sq5VUUYQ;move;[1182, 703]
7;2022-01-12 22:51:05.834000+00:00;LdmPW7d9Sq5VUUYQ;move;[1153, 623]
8;2022-01-12 22:51:05.851000+00:00;LdmPW7d9Sq5VUUYQ;move;[1141, 587]
9;2022-01-12 22:51:05.866000+00:00;LdmPW7d9Sq5VUUYQ;move;[1129, 555]
10;2022-01-12 22:51:05.884000+00:00;LdmPW7d9Sq5VUUYQ;move;[1119, 532]
11;2022-01-12 22:51:05.900000+00:00;LdmPW7d9Sq5VUUYQ;move;[1103, 499]
12;2022-01-12 22:51:05.917000+00:00;LdmPW7d9Sq5VUUYQ;move;[1099, 490]
13;2022-01-12 22:51:06.340000+00:00;LdmPW7d9Sq5VUUYQ;move;[1090, 479]
14;2022-01-12 22:51:06.374000+00:00;LdmPW7d9Sq5VUUYQ;move;[1063, 447]
15;2022-01-12 22:51:06.390000+00:00;LdmPW7d9Sq5VUUYQ;move;[1042, 427]
16;2022-01-12 22:51:06.407000+00:00;LdmPW7d9Sq5VUUYQ;move;[996, 385]
17;2022-01-12 22:51:06.423000+00:00;LdmPW7d9Sq5VUUYQ;move;[974, 365]
18;2022-01-12 22:51:06.440000+00:00;LdmPW7d9Sq5VUUYQ;move;[948, 346]
19;2022-01-12 22:51:06.456000+00:00;LdmPW7d9Sq5VUUYQ;move;[924, 330]
20;2022-01-12 22:51:06.474000+00:00;LdmPW7d9Sq5VUUYQ;move;[883, 306]
21;2022-01-12 22:51:06.489000+00:00;LdmPW7d9Sq5VUUYQ;move;[873, 301]
22;2022-01-12 22:51:06.506000+00:00;LdmPW7d9Sq5VUUYQ;move;[856, 290]
23;2022-01-12 22:51:06.523000+00:00;LdmPW7d9Sq5VUUYQ;move;[841, 281]
24;2022-01-12 22:51:06.540000+00:00;LdmPW7d9Sq5VUUYQ;move;[820, 265]
25;2022-01-12 22:51:06.557000+00:00;LdmPW7d9Sq5VUUYQ;move;[813, 259]
26;2022-01-12 22:51:06.574000+00:00;LdmPW7d9Sq5VUUYQ;move;[805, 253]
27;2022-01-12 22:51:06.591000+00:00;LdmPW7d9Sq5VUUYQ;move;[787, 242]
28;2022-01-12 22:51:06.606000+00:00;LdmPW7d9Sq5VUUYQ;move;[780, 239]
29;2022-01-12 22:51:06.624000+00:00;LdmPW7d9Sq5VUUYQ;move;[771, 235]
30;2022-01-12 22:51:06.639000+00:00;LdmPW7d9Sq5VUUYQ;move;[764, 231]
31;2022-01-12 22:51:06.656000+00:00;LdmPW7d9Sq5VUUYQ;move;[753, 225]
32;2022-01-12 22:51:06.673000+00:00;LdmPW7d9Sq5VUUYQ;move;[746, 222]
33;2022-01-12 22:51:06.690000+00:00;LdmPW7d9Sq5VUUYQ;move;[741, 220]
34;2022-01-12 22:51:06.706000+00:00;LdmPW7d9Sq5VUUYQ;move;[736, 217]
35;2022-01-12 22:51:06.724000+00:00;LdmPW7d9Sq5VUUYQ;move;[733, 214]
36;2022-01-12 22:51:06.750000+00:00;LdmPW7d9Sq5VUUYQ;move;[731, 212]
37;2022-01-12 22:51:06.777000+00:00;LdmPW7d9Sq5VUUYQ;move;[729, 208]
38;2022-01-12 22:51:06.792000+00:00;LdmPW7d9Sq5VUUYQ;move;[729, 205]
39;2022-01-12 22:51:06.809000+00:00;LdmPW7d9Sq5VUUYQ;move;[729, 202]
40;2022-01-12 22:51:06.827000+00:00;LdmPW7d9Sq5VUUYQ;move;[730, 199]
41;2022-01-12 22:51:06.843000+00:00;LdmPW7d9Sq5VUUYQ;move;[732, 195]
42;2022-01-12 22:51:06.859000+00:00;LdmPW7d9Sq5VUUYQ;move;[734, 193]
43;2022-01-12 22:51:06.878000+00:00;LdmPW7d9Sq5VUUYQ;move;[737, 192]
44;2022-01-12 22:51:06.904000+00:00;LdmPW7d9Sq5VUUYQ;move;[739, 190]
45;2022-01-12 22:51:06.969000+00:00;LdmPW7d9Sq5VUUYQ;move;[742, 190]
