;time;token;event;global_position
0;2022-01-20 12:51:01.057000+00:00;NTwZhwBmebca4Gup;move;[1200, 886]
1;2022-01-20 12:51:01.062000+00:00;NTwZhwBmebca4Gup;move;[1199, 886]
2;2022-01-20 12:51:01.079000+00:00;NTwZhwBmebca4Gup;move;[1194, 888]
3;2022-01-20 12:51:01.096000+00:00;NTwZhwBmebca4Gup;move;[1191, 887]
4;2022-01-20 12:51:01.113000+00:00;NTwZhwBmebca4Gup;move;[1183, 887]
5;2022-01-20 12:51:01.129000+00:00;NTwZhwBmebca4Gup;move;[1176, 888]
6;2022-01-20 12:51:01.146000+00:00;NTwZhwBmebca4Gup;move;[1164, 892]
7;2022-01-20 12:51:01.163000+00:00;NTwZhwBmebca4Gup;move;[1151, 892]
8;2022-01-20 12:51:01.179000+00:00;NTwZhwBmebca4Gup;move;[1136, 892]
9;2022-01-20 12:51:01.196000+00:00;NTwZhwBmebca4Gup;move;[1124, 894]
10;2022-01-20 12:51:01.213000+00:00;NTwZhwBmebca4Gup;move;[1116, 895]
11;2022-01-20 12:51:01.229000+00:00;NTwZhwBmebca4Gup;move;[1109, 896]
12;2022-01-20 12:51:01.246000+00:00;NTwZhwBmebca4Gup;move;[1104, 897]
13;2022-01-20 12:51:01.263000+00:00;NTwZhwBmebca4Gup;move;[1100, 898]
14;2022-01-20 12:51:01.279000+00:00;NTwZhwBmebca4Gup;move;[1098, 898]
15;2022-01-20 12:51:01.395000+00:00;NTwZhwBmebca4Gup;move;[1097, 898]
16;2022-01-20 12:51:01.402000+00:00;NTwZhwBmebca4Gup;move;[1096, 898]
17;2022-01-20 12:51:01.412000+00:00;NTwZhwBmebca4Gup;move;[1095, 898]
18;2022-01-20 12:51:01.429000+00:00;NTwZhwBmebca4Gup;move;[1091, 898]
19;2022-01-20 12:51:01.446000+00:00;NTwZhwBmebca4Gup;move;[1090, 898]
20;2022-01-20 12:51:01.532000+00:00;NTwZhwBmebca4Gup;move;[1089, 897]
21;2022-01-20 12:51:01.546000+00:00;NTwZhwBmebca4Gup;move;[1089, 891]
22;2022-01-20 12:51:01.563000+00:00;NTwZhwBmebca4Gup;move;[1089, 884]
23;2022-01-20 12:51:01.579000+00:00;NTwZhwBmebca4Gup;move;[1091, 872]
24;2022-01-20 12:51:01.596000+00:00;NTwZhwBmebca4Gup;move;[1094, 858]
25;2022-01-20 12:51:01.612000+00:00;NTwZhwBmebca4Gup;move;[1104, 839]
26;2022-01-20 12:51:01.629000+00:00;NTwZhwBmebca4Gup;move;[1111, 822]
27;2022-01-20 12:51:01.646000+00:00;NTwZhwBmebca4Gup;move;[1115, 801]
28;2022-01-20 12:51:01.662000+00:00;NTwZhwBmebca4Gup;move;[1120, 781]
29;2022-01-20 12:51:01.679000+00:00;NTwZhwBmebca4Gup;move;[1125, 760]
30;2022-01-20 12:51:01.696000+00:00;NTwZhwBmebca4Gup;move;[1133, 739]
31;2022-01-20 12:51:01.713000+00:00;NTwZhwBmebca4Gup;move;[1139, 717]
32;2022-01-20 12:51:01.729000+00:00;NTwZhwBmebca4Gup;move;[1145, 697]
33;2022-01-20 12:51:01.746000+00:00;NTwZhwBmebca4Gup;move;[1154, 673]
34;2022-01-20 12:51:01.763000+00:00;NTwZhwBmebca4Gup;move;[1157, 647]
35;2022-01-20 12:51:01.779000+00:00;NTwZhwBmebca4Gup;move;[1167, 626]
36;2022-01-20 12:51:01.796000+00:00;NTwZhwBmebca4Gup;move;[1173, 607]
37;2022-01-20 12:51:01.813000+00:00;NTwZhwBmebca4Gup;move;[1179, 593]
38;2022-01-20 12:51:01.829000+00:00;NTwZhwBmebca4Gup;move;[1184, 579]
39;2022-01-20 12:51:01.846000+00:00;NTwZhwBmebca4Gup;move;[1191, 561]
40;2022-01-20 12:51:01.862000+00:00;NTwZhwBmebca4Gup;move;[1198, 548]
41;2022-01-20 12:51:01.879000+00:00;NTwZhwBmebca4Gup;move;[1209, 530]
42;2022-01-20 12:51:01.896000+00:00;NTwZhwBmebca4Gup;move;[1217, 507]
43;2022-01-20 12:51:01.913000+00:00;NTwZhwBmebca4Gup;move;[1222, 487]
44;2022-01-20 12:51:01.929000+00:00;NTwZhwBmebca4Gup;move;[1220, 472]
45;2022-01-20 12:51:01.946000+00:00;NTwZhwBmebca4Gup;move;[1219, 445]
46;2022-01-20 12:51:01.963000+00:00;NTwZhwBmebca4Gup;move;[1216, 419]
47;2022-01-20 12:51:01.979000+00:00;NTwZhwBmebca4Gup;move;[1214, 397]
48;2022-01-20 12:51:01.996000+00:00;NTwZhwBmebca4Gup;move;[1210, 378]
49;2022-01-20 12:51:02.013000+00:00;NTwZhwBmebca4Gup;move;[1206, 357]
50;2022-01-20 12:51:02.029000+00:00;NTwZhwBmebca4Gup;move;[1207, 337]
51;2022-01-20 12:51:02.046000+00:00;NTwZhwBmebca4Gup;move;[1208, 317]
52;2022-01-20 12:51:02.063000+00:00;NTwZhwBmebca4Gup;move;[1208, 301]
53;2022-01-20 12:51:02.079000+00:00;NTwZhwBmebca4Gup;move;[1205, 290]
54;2022-01-20 12:51:02.096000+00:00;NTwZhwBmebca4Gup;move;[1205, 278]
55;2022-01-20 12:51:02.113000+00:00;NTwZhwBmebca4Gup;move;[1206, 270]
56;2022-01-20 12:51:02.129000+00:00;NTwZhwBmebca4Gup;move;[1206, 266]
57;2022-01-20 12:51:02.146000+00:00;NTwZhwBmebca4Gup;move;[1206, 261]
58;2022-01-20 12:51:02.163000+00:00;NTwZhwBmebca4Gup;move;[1205, 256]
59;2022-01-20 12:51:02.179000+00:00;NTwZhwBmebca4Gup;move;[1204, 253]
60;2022-01-20 12:51:02.196000+00:00;NTwZhwBmebca4Gup;move;[1204, 252]
61;2022-01-20 12:51:02.286000+00:00;NTwZhwBmebca4Gup;move;[1203, 252]
62;2022-01-20 12:51:02.296000+00:00;NTwZhwBmebca4Gup;move;[1201, 253]
63;2022-01-20 12:51:02.313000+00:00;NTwZhwBmebca4Gup;move;[1196, 257]
64;2022-01-20 12:51:02.329000+00:00;NTwZhwBmebca4Gup;move;[1193, 259]
65;2022-01-20 12:51:02.346000+00:00;NTwZhwBmebca4Gup;move;[1189, 262]
66;2022-01-20 12:51:02.363000+00:00;NTwZhwBmebca4Gup;move;[1188, 267]
67;2022-01-20 12:51:02.379000+00:00;NTwZhwBmebca4Gup;move;[1189, 268]
68;2022-01-20 12:51:02.557000+00:00;NTwZhwBmebca4Gup;move;[1190, 267]
69;2022-01-20 12:51:02.563000+00:00;NTwZhwBmebca4Gup;move;[1192, 266]
70;2022-01-20 12:51:02.579000+00:00;NTwZhwBmebca4Gup;move;[1195, 261]
