;time;token;event;global_position
0;2022-01-13 12:44:11.188000+00:00;PXKN6DkYIuUlQT7M;move;[1080, 669]
1;2022-01-13 12:44:11.195000+00:00;PXKN6DkYIuUlQT7M;move;[1078, 665]
2;2022-01-13 12:44:11.211000+00:00;PXKN6DkYIuUlQT7M;move;[1075, 657]
3;2022-01-13 12:44:11.228000+00:00;PXKN6DkYIuUlQT7M;move;[1069, 646]
4;2022-01-13 12:44:11.245000+00:00;PXKN6DkYIuUlQT7M;move;[1063, 632]
5;2022-01-13 12:44:11.261000+00:00;PXKN6DkYIuUlQT7M;move;[1044, 592]
6;2022-01-13 12:44:11.278000+00:00;PXKN6DkYIuUlQT7M;move;[1031, 569]
7;2022-01-13 12:44:11.295000+00:00;PXKN6DkYIuUlQT7M;move;[1015, 547]
8;2022-01-13 12:44:11.311000+00:00;PXKN6DkYIuUlQT7M;move;[1004, 533]
9;2022-01-13 12:44:11.328000+00:00;PXKN6DkYIuUlQT7M;move;[994, 522]
10;2022-01-13 12:44:11.345000+00:00;PXKN6DkYIuUlQT7M;move;[983, 510]
11;2022-01-13 12:44:11.361000+00:00;PXKN6DkYIuUlQT7M;move;[970, 497]
12;2022-01-13 12:44:11.379000+00:00;PXKN6DkYIuUlQT7M;move;[962, 483]
13;2022-01-13 12:44:11.395000+00:00;PXKN6DkYIuUlQT7M;move;[955, 473]
14;2022-01-13 12:44:11.411000+00:00;PXKN6DkYIuUlQT7M;move;[952, 465]
15;2022-01-13 12:44:11.428000+00:00;PXKN6DkYIuUlQT7M;move;[950, 461]
16;2022-01-13 12:44:11.445000+00:00;PXKN6DkYIuUlQT7M;move;[949, 458]
17;2022-01-13 12:44:11.461000+00:00;PXKN6DkYIuUlQT7M;move;[948, 455]
18;2022-01-13 12:44:11.478000+00:00;PXKN6DkYIuUlQT7M;move;[946, 454]
19;2022-01-13 12:44:11.495000+00:00;PXKN6DkYIuUlQT7M;move;[945, 453]
20;2022-01-13 12:44:11.511000+00:00;PXKN6DkYIuUlQT7M;move;[945, 451]
