;time;token;event;global_position
0;2022-01-13 12:45:22.018000+00:00;SelSSauidE2rw7tq;move;[1299, 926]
1;2022-01-13 12:45:22.037000+00:00;SelSSauidE2rw7tq;move;[1298, 926]
2;2022-01-13 12:45:22.065000+00:00;SelSSauidE2rw7tq;move;[1296, 926]
3;2022-01-13 12:45:22.095000+00:00;SelSSauidE2rw7tq;move;[1295, 926]
4;2022-01-13 12:45:22.099000+00:00;SelSSauidE2rw7tq;move;[1295, 927]
5;2022-01-13 12:45:22.112000+00:00;SelSSauidE2rw7tq;move;[1294, 927]
6;2022-01-13 12:45:22.137000+00:00;SelSSauidE2rw7tq;move;[1293, 927]
7;2022-01-13 12:45:22.148000+00:00;SelSSauidE2rw7tq;move;[1292, 927]
8;2022-01-13 12:45:22.159000+00:00;SelSSauidE2rw7tq;move;[1291, 927]
9;2022-01-13 12:45:22.172000+00:00;SelSSauidE2rw7tq;move;[1291, 926]
10;2022-01-13 12:45:22.187000+00:00;SelSSauidE2rw7tq;move;[1290, 926]
11;2022-01-13 12:45:22.222000+00:00;SelSSauidE2rw7tq;move;[1289, 926]
12;2022-01-13 12:45:22.234000+00:00;SelSSauidE2rw7tq;move;[1289, 925]
13;2022-01-13 12:45:22.244000+00:00;SelSSauidE2rw7tq;move;[1288, 925]
14;2022-01-13 12:45:22.305000+00:00;SelSSauidE2rw7tq;move;[1287, 925]
15;2022-01-13 12:45:22.313000+00:00;SelSSauidE2rw7tq;move;[1287, 924]
16;2022-01-13 12:45:22.324000+00:00;SelSSauidE2rw7tq;move;[1286, 924]
17;2022-01-13 12:45:22.336000+00:00;SelSSauidE2rw7tq;move;[1286, 923]
18;2022-01-13 12:45:22.348000+00:00;SelSSauidE2rw7tq;move;[1285, 923]
19;2022-01-13 12:45:22.350000+00:00;SelSSauidE2rw7tq;move;[1285, 922]
20;2022-01-13 12:45:22.362000+00:00;SelSSauidE2rw7tq;move;[1284, 922]
21;2022-01-13 12:45:22.382000+00:00;SelSSauidE2rw7tq;move;[1284, 921]
22;2022-01-13 12:45:22.386000+00:00;SelSSauidE2rw7tq;move;[1283, 921]
23;2022-01-13 12:45:22.405000+00:00;SelSSauidE2rw7tq;move;[1283, 920]
24;2022-01-13 12:45:22.426000+00:00;SelSSauidE2rw7tq;move;[1281, 920]
25;2022-01-13 12:45:24.140000+00:00;SelSSauidE2rw7tq;move;[1282, 920]
26;2022-01-13 12:45:24.143000+00:00;SelSSauidE2rw7tq;move;[1283, 920]
27;2022-01-13 12:45:24.147000+00:00;SelSSauidE2rw7tq;move;[1284, 920]
28;2022-01-13 12:45:24.151000+00:00;SelSSauidE2rw7tq;move;[1286, 920]
29;2022-01-13 12:45:24.158000+00:00;SelSSauidE2rw7tq;move;[1288, 920]
30;2022-01-13 12:45:24.166000+00:00;SelSSauidE2rw7tq;move;[1292, 921]
31;2022-01-13 12:45:24.172000+00:00;SelSSauidE2rw7tq;move;[1296, 921]
32;2022-01-13 12:45:24.179000+00:00;SelSSauidE2rw7tq;move;[1297, 921]
33;2022-01-13 12:45:24.186000+00:00;SelSSauidE2rw7tq;move;[1298, 921]
34;2022-01-13 12:45:24.193000+00:00;SelSSauidE2rw7tq;move;[1299, 921]
