;time;token;event;global_position
0;2022-01-20 13:34:56.637000+00:00;To8Agy+qIYJA9+5k;move;[1732, 1190]
1;2022-01-20 13:34:56.670000+00:00;To8Agy+qIYJA9+5k;move;[1729, 1186]
2;2022-01-20 13:34:56.720000+00:00;To8Agy+qIYJA9+5k;move;[1729, 1184]
3;2022-01-20 13:34:56.737000+00:00;To8Agy+qIYJA9+5k;move;[1728, 1181]
4;2022-01-20 13:34:56.753000+00:00;To8Agy+qIYJA9+5k;move;[1725, 1176]
5;2022-01-20 13:34:56.770000+00:00;To8Agy+qIYJA9+5k;move;[1721, 1165]
6;2022-01-20 13:34:56.787000+00:00;To8Agy+qIYJA9+5k;move;[1720, 1149]
7;2022-01-20 13:34:56.804000+00:00;To8Agy+qIYJA9+5k;move;[1720, 1125]
8;2022-01-20 13:34:56.820000+00:00;To8Agy+qIYJA9+5k;move;[1721, 1096]
9;2022-01-20 13:34:56.837000+00:00;To8Agy+qIYJA9+5k;move;[1724, 1070]
10;2022-01-20 13:34:56.854000+00:00;To8Agy+qIYJA9+5k;move;[1730, 1048]
11;2022-01-20 13:34:56.870000+00:00;To8Agy+qIYJA9+5k;move;[1740, 1025]
12;2022-01-20 13:34:56.887000+00:00;To8Agy+qIYJA9+5k;move;[1748, 1001]
13;2022-01-20 13:34:56.903000+00:00;To8Agy+qIYJA9+5k;move;[1757, 977]
14;2022-01-20 13:34:56.920000+00:00;To8Agy+qIYJA9+5k;move;[1768, 956]
15;2022-01-20 13:34:56.937000+00:00;To8Agy+qIYJA9+5k;move;[1778, 933]
16;2022-01-20 13:34:56.953000+00:00;To8Agy+qIYJA9+5k;move;[1800, 898]
17;2022-01-20 13:34:56.970000+00:00;To8Agy+qIYJA9+5k;move;[1813, 872]
18;2022-01-20 13:34:56.987000+00:00;To8Agy+qIYJA9+5k;move;[1824, 845]
19;2022-01-20 13:34:57.003000+00:00;To8Agy+qIYJA9+5k;move;[1828, 818]
20;2022-01-20 13:34:57.020000+00:00;To8Agy+qIYJA9+5k;move;[1829, 786]
21;2022-01-20 13:34:57.037000+00:00;To8Agy+qIYJA9+5k;move;[1821, 745]
22;2022-01-20 13:34:57.055000+00:00;To8Agy+qIYJA9+5k;move;[1812, 701]
23;2022-01-20 13:34:57.070000+00:00;To8Agy+qIYJA9+5k;move;[1792, 653]
24;2022-01-20 13:34:57.087000+00:00;To8Agy+qIYJA9+5k;move;[1768, 604]
25;2022-01-20 13:34:57.104000+00:00;To8Agy+qIYJA9+5k;move;[1745, 553]
26;2022-01-20 13:34:57.120000+00:00;To8Agy+qIYJA9+5k;move;[1724, 501]
27;2022-01-20 13:34:57.137000+00:00;To8Agy+qIYJA9+5k;move;[1704, 452]
28;2022-01-20 13:34:57.154000+00:00;To8Agy+qIYJA9+5k;move;[1686, 393]
29;2022-01-20 13:34:57.170000+00:00;To8Agy+qIYJA9+5k;move;[1682, 368]
30;2022-01-20 13:34:57.187000+00:00;To8Agy+qIYJA9+5k;move;[1681, 353]
31;2022-01-20 13:34:57.203000+00:00;To8Agy+qIYJA9+5k;move;[1681, 341]
32;2022-01-20 13:34:57.220000+00:00;To8Agy+qIYJA9+5k;move;[1681, 333]
33;2022-01-20 13:34:57.237000+00:00;To8Agy+qIYJA9+5k;move;[1681, 329]
34;2022-01-20 13:34:57.254000+00:00;To8Agy+qIYJA9+5k;move;[1681, 326]
35;2022-01-20 13:34:57.303000+00:00;To8Agy+qIYJA9+5k;move;[1684, 325]
36;2022-01-20 13:34:57.320000+00:00;To8Agy+qIYJA9+5k;move;[1692, 325]
37;2022-01-20 13:34:57.337000+00:00;To8Agy+qIYJA9+5k;move;[1701, 325]
38;2022-01-20 13:34:57.353000+00:00;To8Agy+qIYJA9+5k;move;[1720, 326]
39;2022-01-20 13:34:57.370000+00:00;To8Agy+qIYJA9+5k;move;[1732, 328]
40;2022-01-20 13:34:57.387000+00:00;To8Agy+qIYJA9+5k;move;[1744, 333]
41;2022-01-20 13:34:57.403000+00:00;To8Agy+qIYJA9+5k;move;[1756, 337]
42;2022-01-20 13:34:57.420000+00:00;To8Agy+qIYJA9+5k;move;[1766, 341]
43;2022-01-20 13:34:57.437000+00:00;To8Agy+qIYJA9+5k;move;[1777, 345]
44;2022-01-20 13:34:57.453000+00:00;To8Agy+qIYJA9+5k;move;[1786, 346]
45;2022-01-20 13:34:57.470000+00:00;To8Agy+qIYJA9+5k;move;[1796, 346]
46;2022-01-20 13:34:57.487000+00:00;To8Agy+qIYJA9+5k;move;[1804, 346]
47;2022-01-20 13:34:57.504000+00:00;To8Agy+qIYJA9+5k;move;[1810, 346]
48;2022-01-20 13:34:57.520000+00:00;To8Agy+qIYJA9+5k;move;[1816, 346]
49;2022-01-20 13:34:57.537000+00:00;To8Agy+qIYJA9+5k;move;[1822, 346]
50;2022-01-20 13:34:57.554000+00:00;To8Agy+qIYJA9+5k;move;[1826, 346]
51;2022-01-20 13:34:57.570000+00:00;To8Agy+qIYJA9+5k;move;[1830, 346]
52;2022-01-20 13:34:57.587000+00:00;To8Agy+qIYJA9+5k;move;[1832, 346]
53;2022-01-20 13:34:57.604000+00:00;To8Agy+qIYJA9+5k;move;[1833, 346]
54;2022-01-20 13:34:57.620000+00:00;To8Agy+qIYJA9+5k;move;[1834, 346]
55;2022-01-20 13:34:57.654000+00:00;To8Agy+qIYJA9+5k;move;[1837, 348]
56;2022-01-20 13:34:57.670000+00:00;To8Agy+qIYJA9+5k;move;[1838, 349]
57;2022-01-20 13:34:57.687000+00:00;To8Agy+qIYJA9+5k;move;[1840, 349]
58;2022-01-20 13:34:57.737000+00:00;To8Agy+qIYJA9+5k;move;[1842, 350]
59;2022-01-20 13:34:57.754000+00:00;To8Agy+qIYJA9+5k;move;[1853, 356]
60;2022-01-20 13:34:57.770000+00:00;To8Agy+qIYJA9+5k;move;[1858, 358]
61;2022-01-20 13:34:57.787000+00:00;To8Agy+qIYJA9+5k;move;[1862, 361]
62;2022-01-20 13:34:57.804000+00:00;To8Agy+qIYJA9+5k;move;[1868, 365]
63;2022-01-20 13:34:57.820000+00:00;To8Agy+qIYJA9+5k;move;[1872, 369]
64;2022-01-20 13:34:57.837000+00:00;To8Agy+qIYJA9+5k;move;[1873, 370]
65;2022-01-20 13:34:58.185000+00:00;To8Agy+qIYJA9+5k;move;[1872, 370]
66;2022-01-20 13:34:58.203000+00:00;To8Agy+qIYJA9+5k;move;[1870, 370]
67;2022-01-20 13:34:58.220000+00:00;To8Agy+qIYJA9+5k;move;[1869, 370]
68;2022-01-20 13:34:58.237000+00:00;To8Agy+qIYJA9+5k;move;[1868, 372]
69;2022-01-20 13:34:58.253000+00:00;To8Agy+qIYJA9+5k;move;[1868, 374]
70;2022-01-20 13:34:58.270000+00:00;To8Agy+qIYJA9+5k;move;[1868, 377]
71;2022-01-20 13:34:58.287000+00:00;To8Agy+qIYJA9+5k;move;[1868, 382]
