;time;token;event;global_position
0;2022-01-13 12:45:20.685000+00:00;U7hH0Hs6TQJbiXRA;move;[997, 342]
1;2022-01-13 12:48:01.206000+00:00;U7hH0Hs6TQJbiXRA;move;[158, 384]
2;2022-01-13 12:48:01.927000+00:00;U7hH0Hs6TQJbiXRA;move;[152, 386]
3;2022-01-13 12:48:29.054000+00:00;U7hH0Hs6TQJbiXRA;move;[159, 487]
4;2022-01-13 12:48:39.692000+00:00;U7hH0Hs6TQJbiXRA;move;[405, 320]
5;2022-01-13 12:48:58.919000+00:00;U7hH0Hs6TQJbiXRA;move;[371, 331]
6;2022-01-13 12:49:03.046000+00:00;U7hH0Hs6TQJbiXRA;move;[137, 570]
7;2022-01-13 12:49:19.229000+00:00;U7hH0Hs6TQJbiXRA;move;[146, 325]
8;2022-01-13 12:49:39.703000+00:00;U7hH0Hs6TQJbiXRA;move;[400, 180]
9;2022-01-13 12:49:49.404000+00:00;U7hH0Hs6TQJbiXRA;move;[248, 274]
10;2022-01-13 12:49:50.161000+00:00;U7hH0Hs6TQJbiXRA;move;[253, 291]
11;2022-01-13 12:50:19.927000+00:00;U7hH0Hs6TQJbiXRA;move;[57, 268]
12;2022-01-13 12:50:20.282000+00:00;U7hH0Hs6TQJbiXRA;move;[54, 320]
13;2022-01-13 12:50:20.714000+00:00;U7hH0Hs6TQJbiXRA;move;[57, 357]
14;2022-01-13 12:50:21.092000+00:00;U7hH0Hs6TQJbiXRA;move;[57, 381]
15;2022-01-13 12:50:27.362000+00:00;U7hH0Hs6TQJbiXRA;move;[534, 741]
16;2022-01-13 12:50:44.423000+00:00;U7hH0Hs6TQJbiXRA;move;[518, 751]
17;2022-01-13 12:51:29.400000+00:00;U7hH0Hs6TQJbiXRA;move;[183, 474]
18;2022-01-13 12:51:42.026000+00:00;U7hH0Hs6TQJbiXRA;move;[178, 507]
19;2022-01-13 12:52:06.614000+00:00;U7hH0Hs6TQJbiXRA;move;[198, 374]
20;2022-01-13 12:52:21.882000+00:00;U7hH0Hs6TQJbiXRA;move;[145, 120]
21;2022-01-13 12:52:28.170000+00:00;U7hH0Hs6TQJbiXRA;move;[210, 280]
22;2022-01-13 12:52:35.186000+00:00;U7hH0Hs6TQJbiXRA;move;[178, 270]
23;2022-01-13 12:52:40.814000+00:00;U7hH0Hs6TQJbiXRA;move;[192, 345]
24;2022-01-13 12:52:46.567000+00:00;U7hH0Hs6TQJbiXRA;move;[210, 225]
25;2022-01-13 12:53:03.268000+00:00;U7hH0Hs6TQJbiXRA;move;[199, 222]
26;2022-01-13 12:53:09.104000+00:00;U7hH0Hs6TQJbiXRA;move;[198, 267]
27;2022-01-13 12:53:47.601000+00:00;U7hH0Hs6TQJbiXRA;move;[53, 191]
28;2022-01-13 12:53:50.141000+00:00;U7hH0Hs6TQJbiXRA;move;[36, 292]
29;2022-01-13 12:53:51.857000+00:00;U7hH0Hs6TQJbiXRA;move;[42, 286]
30;2022-01-13 12:53:52.375000+00:00;U7hH0Hs6TQJbiXRA;move;[45, 292]
31;2022-01-13 12:53:59.888000+00:00;U7hH0Hs6TQJbiXRA;move;[51, 159]
32;2022-01-13 12:54:00.337000+00:00;U7hH0Hs6TQJbiXRA;move;[47, 185]
33;2022-01-13 12:54:55.951000+00:00;U7hH0Hs6TQJbiXRA;move;[287, 245]
34;2022-01-13 12:54:57.539000+00:00;U7hH0Hs6TQJbiXRA;move;[242, 251]
35;2022-01-13 12:54:58.394000+00:00;U7hH0Hs6TQJbiXRA;move;[91, 248]
36;2022-01-13 12:54:59.055000+00:00;U7hH0Hs6TQJbiXRA;move;[53, 247]
37;2022-01-13 12:55:01.024000+00:00;U7hH0Hs6TQJbiXRA;move;[55, 363]
38;2022-01-13 12:55:01.862000+00:00;U7hH0Hs6TQJbiXRA;move;[51, 346]
39;2022-01-13 12:55:40.174000+00:00;U7hH0Hs6TQJbiXRA;move;[193, 125]
40;2022-01-13 12:55:41.225000+00:00;U7hH0Hs6TQJbiXRA;move;[164, 135]
41;2022-01-13 12:55:41.853000+00:00;U7hH0Hs6TQJbiXRA;move;[70, 122]
42;2022-01-13 12:55:42.708000+00:00;U7hH0Hs6TQJbiXRA;move;[53, 134]
43;2022-01-13 12:55:45.278000+00:00;U7hH0Hs6TQJbiXRA;move;[56, 78]
44;2022-01-13 12:56:12.188000+00:00;U7hH0Hs6TQJbiXRA;move;[51, 336]
45;2022-01-13 12:56:18.311000+00:00;U7hH0Hs6TQJbiXRA;move;[55, 250]
46;2022-01-13 12:56:53.985000+00:00;U7hH0Hs6TQJbiXRA;move;[153, 268]
47;2022-01-13 12:56:54.877000+00:00;U7hH0Hs6TQJbiXRA;move;[56, 265]
48;2022-01-13 12:56:57.961000+00:00;U7hH0Hs6TQJbiXRA;move;[54, 198]
49;2022-01-13 12:56:59.100000+00:00;U7hH0Hs6TQJbiXRA;move;[50, 219]
50;2022-01-13 12:57:14.556000+00:00;U7hH0Hs6TQJbiXRA;move;[237, 349]
51;2022-01-13 12:57:15.473000+00:00;U7hH0Hs6TQJbiXRA;move;[54, 353]
52;2022-01-13 12:57:19.930000+00:00;U7hH0Hs6TQJbiXRA;move;[49, 441]
53;2022-01-13 12:57:28.703000+00:00;U7hH0Hs6TQJbiXRA;move;[48, 293]
54;2022-01-13 12:57:29.377000+00:00;U7hH0Hs6TQJbiXRA;move;[73, 261]
55;2022-01-13 12:57:29.843000+00:00;U7hH0Hs6TQJbiXRA;move;[49, 261]
56;2022-01-13 12:57:30.658000+00:00;U7hH0Hs6TQJbiXRA;move;[51, 279]
57;2022-01-13 12:57:53.796000+00:00;U7hH0Hs6TQJbiXRA;move;[44, 274]
58;2022-01-13 12:57:54.521000+00:00;U7hH0Hs6TQJbiXRA;move;[47, 201]
59;2022-01-13 12:57:55.794000+00:00;U7hH0Hs6TQJbiXRA;move;[46, 214]
60;2022-01-13 12:57:56.306000+00:00;U7hH0Hs6TQJbiXRA;move;[55, 275]
61;2022-01-13 12:57:57.275000+00:00;U7hH0Hs6TQJbiXRA;move;[45, 287]
62;2022-01-13 12:58:10.847000+00:00;U7hH0Hs6TQJbiXRA;move;[33, 470]
63;2022-01-13 12:59:15.451000+00:00;U7hH0Hs6TQJbiXRA;move;[275, 411]
64;2022-01-13 12:59:21.175000+00:00;U7hH0Hs6TQJbiXRA;move;[266, 496]
65;2022-01-13 12:59:24.221000+00:00;U7hH0Hs6TQJbiXRA;move;[270, 353]
66;2022-01-13 12:59:35.235000+00:00;U7hH0Hs6TQJbiXRA;move;[262, 634]
67;2022-01-13 13:00:07.917000+00:00;U7hH0Hs6TQJbiXRA;move;[143, 437]
68;2022-01-13 13:00:08.937000+00:00;U7hH0Hs6TQJbiXRA;move;[131, 171]
69;2022-01-13 13:00:09.557000+00:00;U7hH0Hs6TQJbiXRA;move;[121, 144]
70;2022-01-13 13:00:10.972000+00:00;U7hH0Hs6TQJbiXRA;move;[275, 253]
71;2022-01-13 13:00:19.877000+00:00;U7hH0Hs6TQJbiXRA;move;[321, 743]
72;2022-01-13 13:01:28.278000+00:00;U7hH0Hs6TQJbiXRA;move;[138, 404]
73;2022-01-13 13:01:58.626000+00:00;U7hH0Hs6TQJbiXRA;move;[327, 743]
74;2022-01-13 13:02:15.569000+00:00;U7hH0Hs6TQJbiXRA;move;[284, 370]
75;2022-01-13 13:02:26.452000+00:00;U7hH0Hs6TQJbiXRA;move;[295, 389]
76;2022-01-13 13:02:33.007000+00:00;U7hH0Hs6TQJbiXRA;move;[280, 460]
77;2022-01-13 13:02:47.416000+00:00;U7hH0Hs6TQJbiXRA;move;[242, 514]
78;2022-01-13 13:03:10.954000+00:00;U7hH0Hs6TQJbiXRA;move;[287, 450]
79;2022-01-13 13:03:32.090000+00:00;U7hH0Hs6TQJbiXRA;move;[266, 416]
80;2022-01-13 13:03:37.171000+00:00;U7hH0Hs6TQJbiXRA;move;[188, 431]
81;2022-01-13 13:03:40.960000+00:00;U7hH0Hs6TQJbiXRA;move;[197, 226]
82;2022-01-13 13:03:47.727000+00:00;U7hH0Hs6TQJbiXRA;move;[36, 474]
83;2022-01-13 13:03:48.219000+00:00;U7hH0Hs6TQJbiXRA;move;[44, 506]
84;2022-01-13 13:03:48.531000+00:00;U7hH0Hs6TQJbiXRA;move;[44, 530]
85;2022-01-13 13:04:06.427000+00:00;U7hH0Hs6TQJbiXRA;move;[29, 583]
86;2022-01-13 13:05:25.570000+00:00;U7hH0Hs6TQJbiXRA;move;[221, 402]
87;2022-01-13 13:05:43.533000+00:00;U7hH0Hs6TQJbiXRA;move;[314, 469]
88;2022-01-13 13:06:50.218000+00:00;U7hH0Hs6TQJbiXRA;move;[303, 471]
89;2022-01-13 13:07:15.415000+00:00;U7hH0Hs6TQJbiXRA;move;[331, 743]
90;2022-01-13 13:08:44.032000+00:00;U7hH0Hs6TQJbiXRA;move;[334, 757]
91;2022-01-13 13:08:51.833000+00:00;U7hH0Hs6TQJbiXRA;move;[37, 346]
92;2022-01-13 13:09:48.886000+00:00;U7hH0Hs6TQJbiXRA;move;[263, 495]
93;2022-01-13 13:09:57.259000+00:00;U7hH0Hs6TQJbiXRA;move;[180, 482]
94;2022-01-13 13:10:49.895000+00:00;U7hH0Hs6TQJbiXRA;move;[84, 490]
95;2022-01-13 13:11:14.685000+00:00;U7hH0Hs6TQJbiXRA;move;[240, 420]
96;2022-01-13 13:11:16.476000+00:00;U7hH0Hs6TQJbiXRA;move;[193, 425]
97;2022-01-13 13:11:17.257000+00:00;U7hH0Hs6TQJbiXRA;move;[184, 431]
98;2022-01-13 13:11:17.878000+00:00;U7hH0Hs6TQJbiXRA;move;[163, 531]
99;2022-01-13 13:11:18.523000+00:00;U7hH0Hs6TQJbiXRA;move;[180, 423]
100;2022-01-13 13:11:19.080000+00:00;U7hH0Hs6TQJbiXRA;move;[22, 419]
101;2022-01-13 13:11:19.741000+00:00;U7hH0Hs6TQJbiXRA;move;[24, 420]
102;2022-01-13 13:11:20.250000+00:00;U7hH0Hs6TQJbiXRA;move;[43, 408]
103;2022-01-13 13:11:25.471000+00:00;U7hH0Hs6TQJbiXRA;move;[278, 415]
104;2022-01-13 13:11:31.162000+00:00;U7hH0Hs6TQJbiXRA;move;[258, 215]
105;2022-01-13 13:11:34.586000+00:00;U7hH0Hs6TQJbiXRA;move;[254, 244]
106;2022-01-13 13:11:39.551000+00:00;U7hH0Hs6TQJbiXRA;move;[240, 293]
107;2022-01-13 13:11:47.589000+00:00;U7hH0Hs6TQJbiXRA;move;[203, 313]
108;2022-01-13 13:11:53.267000+00:00;U7hH0Hs6TQJbiXRA;move;[204, 216]
109;2022-01-13 13:13:28.377000+00:00;U7hH0Hs6TQJbiXRA;move;[210, 212]
110;2022-01-13 13:13:36.804000+00:00;U7hH0Hs6TQJbiXRA;move;[188, 291]
111;2022-01-13 13:13:54.450000+00:00;U7hH0Hs6TQJbiXRA;move;[170, 248]
112;2022-01-13 13:14:10.275000+00:00;U7hH0Hs6TQJbiXRA;move;[52, 198]
113;2022-01-13 13:14:10.931000+00:00;U7hH0Hs6TQJbiXRA;move;[49, 207]
114;2022-01-13 13:14:13.960000+00:00;U7hH0Hs6TQJbiXRA;move;[340, 258]
115;2022-01-13 13:14:17.572000+00:00;U7hH0Hs6TQJbiXRA;move;[311, 741]
116;2022-01-13 13:15:48.920000+00:00;U7hH0Hs6TQJbiXRA;move;[314, 743]
117;2022-01-13 13:16:03.978000+00:00;U7hH0Hs6TQJbiXRA;move;[214, 107]
118;2022-01-13 13:16:10.040000+00:00;U7hH0Hs6TQJbiXRA;move;[223, 213]
119;2022-01-13 13:16:28.661000+00:00;U7hH0Hs6TQJbiXRA;move;[148, 144]
120;2022-01-13 13:16:40.931000+00:00;U7hH0Hs6TQJbiXRA;move;[162, 224]
121;2022-01-13 13:18:42.613000+00:00;U7hH0Hs6TQJbiXRA;move;[41, 427]
122;2022-01-13 13:18:49.305000+00:00;U7hH0Hs6TQJbiXRA;move;[39, 374]
123;2022-01-13 13:18:57.324000+00:00;U7hH0Hs6TQJbiXRA;move;[55, 256]
124;2022-01-13 13:19:14.262000+00:00;U7hH0Hs6TQJbiXRA;move;[55, 441]
125;2022-01-13 13:19:34.803000+00:00;U7hH0Hs6TQJbiXRA;move;[198, 364]
126;2022-01-13 13:19:35.662000+00:00;U7hH0Hs6TQJbiXRA;move;[34, 343]
127;2022-01-13 13:19:38.637000+00:00;U7hH0Hs6TQJbiXRA;move;[27, 561]
128;2022-01-13 13:19:39.404000+00:00;U7hH0Hs6TQJbiXRA;move;[29, 559]
129;2022-01-13 13:19:40.246000+00:00;U7hH0Hs6TQJbiXRA;move;[33, 561]
130;2022-01-13 13:19:40.965000+00:00;U7hH0Hs6TQJbiXRA;move;[31, 544]
131;2022-01-13 13:20:08.342000+00:00;U7hH0Hs6TQJbiXRA;move;[128, 387]
132;2022-01-13 13:20:10.536000+00:00;U7hH0Hs6TQJbiXRA;move;[315, 275]
133;2022-01-13 13:20:25.743000+00:00;U7hH0Hs6TQJbiXRA;move;[314, 738]
134;2022-01-13 13:21:18.673000+00:00;U7hH0Hs6TQJbiXRA;move;[535, 742]
135;2022-01-13 13:21:38.765000+00:00;U7hH0Hs6TQJbiXRA;move;[259, 324]
136;2022-01-13 13:21:39.555000+00:00;U7hH0Hs6TQJbiXRA;move;[271, 320]
137;2022-01-13 13:21:40.047000+00:00;U7hH0Hs6TQJbiXRA;move;[272, 298]
138;2022-01-13 13:22:30.777000+00:00;U7hH0Hs6TQJbiXRA;move;[341, 345]
139;2022-01-13 13:22:31.817000+00:00;U7hH0Hs6TQJbiXRA;move;[333, 369]
140;2022-01-13 13:22:59.029000+00:00;U7hH0Hs6TQJbiXRA;move;[169, 455]
141;2022-01-13 13:23:51.435000+00:00;U7hH0Hs6TQJbiXRA;move;[285, 597]
142;2022-01-13 13:24:33.747000+00:00;U7hH0Hs6TQJbiXRA;move;[252, 404]
143;2022-01-13 13:24:43.085000+00:00;U7hH0Hs6TQJbiXRA;move;[169, 478]
144;2022-01-13 13:24:43.955000+00:00;U7hH0Hs6TQJbiXRA;move;[102, 459]
145;2022-01-13 13:24:45.060000+00:00;U7hH0Hs6TQJbiXRA;move;[66, 471]
146;2022-01-13 13:24:45.826000+00:00;U7hH0Hs6TQJbiXRA;move;[57, 451]
147;2022-01-13 13:24:46.610000+00:00;U7hH0Hs6TQJbiXRA;move;[61, 399]
148;2022-01-13 13:24:47.350000+00:00;U7hH0Hs6TQJbiXRA;move;[58, 417]
149;2022-01-13 13:24:51.780000+00:00;U7hH0Hs6TQJbiXRA;move;[55, 508]
