;time;token;event;global_position
0;2022-01-13 12:57:02.455000+00:00;UMPNCk7jetfgBMYV;move;[1329, 901]
1;2022-01-13 12:57:02.470000+00:00;UMPNCk7jetfgBMYV;move;[1289, 859]
2;2022-01-13 12:57:02.487000+00:00;UMPNCk7jetfgBMYV;move;[1252, 822]
3;2022-01-13 12:57:02.503000+00:00;UMPNCk7jetfgBMYV;move;[1201, 774]
4;2022-01-13 12:57:02.521000+00:00;UMPNCk7jetfgBMYV;move;[1070, 654]
5;2022-01-13 12:57:02.536000+00:00;UMPNCk7jetfgBMYV;move;[1001, 596]
6;2022-01-13 12:57:02.554000+00:00;UMPNCk7jetfgBMYV;move;[933, 531]
7;2022-01-13 12:57:02.571000+00:00;UMPNCk7jetfgBMYV;move;[819, 433]
8;2022-01-13 12:57:02.588000+00:00;UMPNCk7jetfgBMYV;move;[781, 398]
9;2022-01-13 12:57:02.604000+00:00;UMPNCk7jetfgBMYV;move;[753, 373]
10;2022-01-13 12:57:02.621000+00:00;UMPNCk7jetfgBMYV;move;[743, 364]
11;2022-01-13 12:57:02.637000+00:00;UMPNCk7jetfgBMYV;move;[725, 349]
12;2022-01-13 12:57:02.855000+00:00;UMPNCk7jetfgBMYV;move;[727, 340]
13;2022-01-13 12:57:02.871000+00:00;UMPNCk7jetfgBMYV;move;[732, 331]
14;2022-01-13 12:57:02.888000+00:00;UMPNCk7jetfgBMYV;move;[737, 320]
15;2022-01-13 12:57:02.903000+00:00;UMPNCk7jetfgBMYV;move;[742, 311]
16;2022-01-13 12:57:02.920000+00:00;UMPNCk7jetfgBMYV;move;[748, 296]
17;2022-01-13 12:57:02.937000+00:00;UMPNCk7jetfgBMYV;move;[751, 289]
18;2022-01-13 12:57:02.954000+00:00;UMPNCk7jetfgBMYV;move;[754, 283]
19;2022-01-13 12:57:02.970000+00:00;UMPNCk7jetfgBMYV;move;[756, 276]
20;2022-01-13 12:57:02.987000+00:00;UMPNCk7jetfgBMYV;move;[759, 265]
21;2022-01-13 12:57:03.003000+00:00;UMPNCk7jetfgBMYV;move;[762, 259]
22;2022-01-13 12:57:03.020000+00:00;UMPNCk7jetfgBMYV;move;[766, 255]
23;2022-01-13 12:57:03.038000+00:00;UMPNCk7jetfgBMYV;move;[772, 248]
24;2022-01-13 12:57:03.070000+00:00;UMPNCk7jetfgBMYV;move;[774, 245]
25;2022-01-13 12:57:03.120000+00:00;UMPNCk7jetfgBMYV;move;[777, 243]
26;2022-01-13 12:57:03.716000+00:00;UMPNCk7jetfgBMYV;move;[782, 244]
27;2022-01-13 12:57:03.731000+00:00;UMPNCk7jetfgBMYV;move;[793, 244]
28;2022-01-13 12:57:03.749000+00:00;UMPNCk7jetfgBMYV;move;[807, 244]
29;2022-01-13 12:57:03.782000+00:00;UMPNCk7jetfgBMYV;move;[822, 244]
30;2022-01-13 12:57:03.798000+00:00;UMPNCk7jetfgBMYV;move;[855, 242]
31;2022-01-13 12:57:03.815000+00:00;UMPNCk7jetfgBMYV;move;[872, 238]
32;2022-01-13 12:57:03.832000+00:00;UMPNCk7jetfgBMYV;move;[908, 234]
33;2022-01-13 12:57:03.849000+00:00;UMPNCk7jetfgBMYV;move;[925, 232]
34;2022-01-13 12:57:03.866000+00:00;UMPNCk7jetfgBMYV;move;[939, 230]
35;2022-01-13 12:57:03.882000+00:00;UMPNCk7jetfgBMYV;move;[967, 228]
36;2022-01-13 12:57:03.899000+00:00;UMPNCk7jetfgBMYV;move;[982, 228]
37;2022-01-13 12:57:03.916000+00:00;UMPNCk7jetfgBMYV;move;[998, 230]
38;2022-01-13 12:57:03.932000+00:00;UMPNCk7jetfgBMYV;move;[1014, 231]
39;2022-01-13 12:57:03.948000+00:00;UMPNCk7jetfgBMYV;move;[1038, 233]
40;2022-01-13 12:57:03.966000+00:00;UMPNCk7jetfgBMYV;move;[1049, 235]
41;2022-01-13 12:57:03.982000+00:00;UMPNCk7jetfgBMYV;move;[1059, 237]
42;2022-01-13 12:57:03.999000+00:00;UMPNCk7jetfgBMYV;move;[1079, 242]
43;2022-01-13 12:57:04.016000+00:00;UMPNCk7jetfgBMYV;move;[1091, 243]
44;2022-01-13 12:57:04.032000+00:00;UMPNCk7jetfgBMYV;move;[1102, 243]
45;2022-01-13 12:57:04.048000+00:00;UMPNCk7jetfgBMYV;move;[1114, 241]
46;2022-01-13 12:57:04.065000+00:00;UMPNCk7jetfgBMYV;move;[1122, 240]
47;2022-01-13 12:57:04.081000+00:00;UMPNCk7jetfgBMYV;move;[1129, 239]
48;2022-01-13 12:57:04.099000+00:00;UMPNCk7jetfgBMYV;move;[1135, 238]
49;2022-01-13 12:57:04.115000+00:00;UMPNCk7jetfgBMYV;move;[1147, 238]
50;2022-01-13 12:57:04.132000+00:00;UMPNCk7jetfgBMYV;move;[1152, 239]
51;2022-01-13 12:57:04.148000+00:00;UMPNCk7jetfgBMYV;move;[1155, 240]
52;2022-01-13 12:57:04.165000+00:00;UMPNCk7jetfgBMYV;move;[1163, 240]
53;2022-01-13 12:57:04.183000+00:00;UMPNCk7jetfgBMYV;move;[1168, 239]
54;2022-01-13 12:57:04.199000+00:00;UMPNCk7jetfgBMYV;move;[1172, 239]
55;2022-01-13 12:57:04.216000+00:00;UMPNCk7jetfgBMYV;move;[1180, 239]
56;2022-01-13 12:57:04.249000+00:00;UMPNCk7jetfgBMYV;move;[1184, 239]
57;2022-01-13 12:57:04.513000+00:00;UMPNCk7jetfgBMYV;move;[1174, 239]
58;2022-01-13 12:57:04.529000+00:00;UMPNCk7jetfgBMYV;move;[1168, 239]
59;2022-01-13 12:57:04.547000+00:00;UMPNCk7jetfgBMYV;move;[1157, 239]
60;2022-01-13 12:57:04.563000+00:00;UMPNCk7jetfgBMYV;move;[1146, 239]
61;2022-01-13 12:57:04.579000+00:00;UMPNCk7jetfgBMYV;move;[1128, 239]
62;2022-01-13 12:57:04.596000+00:00;UMPNCk7jetfgBMYV;move;[1118, 239]
63;2022-01-13 12:57:04.613000+00:00;UMPNCk7jetfgBMYV;move;[1110, 239]
64;2022-01-13 12:57:04.629000+00:00;UMPNCk7jetfgBMYV;move;[1107, 239]
