;time;token;event;global_position
0;2022-01-12 19:09:28.988000+00:00;Ud5jpTofcwBZzZtv;move;[779, 426]
1;2022-01-12 19:09:29.021000+00:00;Ud5jpTofcwBZzZtv;move;[779, 419]
2;2022-01-12 19:09:29.037000+00:00;Ud5jpTofcwBZzZtv;move;[779, 414]
3;2022-01-12 19:09:29.054000+00:00;Ud5jpTofcwBZzZtv;move;[780, 411]
4;2022-01-12 19:09:29.071000+00:00;Ud5jpTofcwBZzZtv;move;[781, 408]
5;2022-01-12 19:09:29.121000+00:00;Ud5jpTofcwBZzZtv;move;[782, 405]
6;2022-01-12 19:09:29.154000+00:00;Ud5jpTofcwBZzZtv;move;[789, 396]
7;2022-01-12 19:09:29.171000+00:00;Ud5jpTofcwBZzZtv;move;[792, 393]
8;2022-01-12 19:09:29.188000+00:00;Ud5jpTofcwBZzZtv;move;[804, 384]
9;2022-01-12 19:09:29.204000+00:00;Ud5jpTofcwBZzZtv;move;[810, 381]
10;2022-01-12 19:09:29.237000+00:00;Ud5jpTofcwBZzZtv;move;[828, 372]
11;2022-01-12 19:09:29.254000+00:00;Ud5jpTofcwBZzZtv;move;[831, 371]
12;2022-01-12 19:09:29.271000+00:00;Ud5jpTofcwBZzZtv;move;[838, 369]
13;2022-01-12 19:09:29.288000+00:00;Ud5jpTofcwBZzZtv;move;[845, 366]
14;2022-01-12 19:09:29.321000+00:00;Ud5jpTofcwBZzZtv;move;[852, 361]
15;2022-01-12 19:09:29.337000+00:00;Ud5jpTofcwBZzZtv;move;[859, 356]
16;2022-01-12 19:09:29.354000+00:00;Ud5jpTofcwBZzZtv;move;[863, 353]
17;2022-01-12 19:09:29.370000+00:00;Ud5jpTofcwBZzZtv;move;[867, 350]
18;2022-01-12 19:09:29.388000+00:00;Ud5jpTofcwBZzZtv;move;[871, 347]
19;2022-01-12 19:09:29.421000+00:00;Ud5jpTofcwBZzZtv;move;[892, 341]
20;2022-01-12 19:09:29.438000+00:00;Ud5jpTofcwBZzZtv;move;[895, 340]
21;2022-01-12 19:09:29.454000+00:00;Ud5jpTofcwBZzZtv;move;[903, 336]
22;2022-01-12 19:09:31.004000+00:00;Ud5jpTofcwBZzZtv;move;[904, 344]
23;2022-01-12 19:09:31.022000+00:00;Ud5jpTofcwBZzZtv;move;[906, 375]
24;2022-01-12 19:09:31.038000+00:00;Ud5jpTofcwBZzZtv;move;[909, 400]
25;2022-01-12 19:09:31.055000+00:00;Ud5jpTofcwBZzZtv;move;[911, 429]
26;2022-01-12 19:09:31.105000+00:00;Ud5jpTofcwBZzZtv;move;[917, 549]
27;2022-01-12 19:09:31.121000+00:00;Ud5jpTofcwBZzZtv;move;[921, 579]
28;2022-01-12 19:09:31.138000+00:00;Ud5jpTofcwBZzZtv;move;[928, 642]
29;2022-01-12 19:09:31.154000+00:00;Ud5jpTofcwBZzZtv;move;[931, 666]
30;2022-01-12 19:09:31.171000+00:00;Ud5jpTofcwBZzZtv;move;[933, 687]
31;2022-01-12 19:09:31.221000+00:00;Ud5jpTofcwBZzZtv;move;[943, 765]
32;2022-01-12 19:09:31.237000+00:00;Ud5jpTofcwBZzZtv;move;[946, 782]
33;2022-01-12 19:09:31.255000+00:00;Ud5jpTofcwBZzZtv;move;[949, 812]
34;2022-01-12 19:09:31.271000+00:00;Ud5jpTofcwBZzZtv;move;[949, 824]
35;2022-01-12 19:09:31.337000+00:00;Ud5jpTofcwBZzZtv;move;[955, 858]
36;2022-01-12 19:09:31.355000+00:00;Ud5jpTofcwBZzZtv;move;[957, 866]
37;2022-01-12 19:09:31.371000+00:00;Ud5jpTofcwBZzZtv;move;[958, 870]
38;2022-01-12 19:09:31.388000+00:00;Ud5jpTofcwBZzZtv;move;[959, 876]
39;2022-01-12 19:09:31.454000+00:00;Ud5jpTofcwBZzZtv;move;[962, 896]
40;2022-01-12 19:09:31.472000+00:00;Ud5jpTofcwBZzZtv;move;[964, 902]
41;2022-01-12 19:09:31.488000+00:00;Ud5jpTofcwBZzZtv;move;[965, 907]
42;2022-01-12 19:09:31.554000+00:00;Ud5jpTofcwBZzZtv;move;[967, 918]
43;2022-01-12 19:09:31.588000+00:00;Ud5jpTofcwBZzZtv;move;[967, 925]
44;2022-01-12 19:09:33.171000+00:00;Ud5jpTofcwBZzZtv;move;[963, 894]
45;2022-01-12 19:09:33.187000+00:00;Ud5jpTofcwBZzZtv;move;[962, 871]
46;2022-01-12 19:09:33.205000+00:00;Ud5jpTofcwBZzZtv;move;[959, 807]
47;2022-01-12 19:09:33.238000+00:00;Ud5jpTofcwBZzZtv;move;[952, 766]
48;2022-01-12 19:09:33.304000+00:00;Ud5jpTofcwBZzZtv;move;[947, 750]
49;2022-01-12 19:09:34.187000+00:00;Ud5jpTofcwBZzZtv;move;[947, 762]
50;2022-01-12 19:09:34.204000+00:00;Ud5jpTofcwBZzZtv;move;[949, 779]
51;2022-01-12 19:09:34.222000+00:00;Ud5jpTofcwBZzZtv;move;[951, 792]
52;2022-01-12 19:09:34.238000+00:00;Ud5jpTofcwBZzZtv;move;[958, 816]
53;2022-01-12 19:09:34.254000+00:00;Ud5jpTofcwBZzZtv;move;[962, 830]
54;2022-01-12 19:09:34.305000+00:00;Ud5jpTofcwBZzZtv;move;[971, 880]
55;2022-01-12 19:09:34.338000+00:00;Ud5jpTofcwBZzZtv;move;[972, 884]
56;2022-01-12 19:09:34.354000+00:00;Ud5jpTofcwBZzZtv;move;[973, 888]
57;2022-01-12 19:09:34.371000+00:00;Ud5jpTofcwBZzZtv;move;[973, 891]
58;2022-01-12 19:09:34.438000+00:00;Ud5jpTofcwBZzZtv;move;[975, 896]
59;2022-01-12 19:09:34.471000+00:00;Ud5jpTofcwBZzZtv;move;[976, 900]
60;2022-01-12 19:09:34.538000+00:00;Ud5jpTofcwBZzZtv;move;[980, 909]
61;2022-01-12 19:09:34.554000+00:00;Ud5jpTofcwBZzZtv;move;[983, 913]
62;2022-01-12 19:09:34.571000+00:00;Ud5jpTofcwBZzZtv;move;[988, 919]
63;2022-01-12 19:09:34.672000+00:00;Ud5jpTofcwBZzZtv;move;[990, 922]
64;2022-01-12 19:09:38.305000+00:00;Ud5jpTofcwBZzZtv;move;[990, 923]
65;2022-01-12 19:09:38.321000+00:00;Ud5jpTofcwBZzZtv;move;[992, 924]
66;2022-01-12 19:09:38.338000+00:00;Ud5jpTofcwBZzZtv;move;[994, 924]
67;2022-01-12 19:09:38.355000+00:00;Ud5jpTofcwBZzZtv;move;[998, 923]
68;2022-01-12 19:09:38.371000+00:00;Ud5jpTofcwBZzZtv;move;[1001, 922]
69;2022-01-12 19:09:38.455000+00:00;Ud5jpTofcwBZzZtv;move;[996, 916]
70;2022-01-12 19:09:38.488000+00:00;Ud5jpTofcwBZzZtv;move;[975, 904]
71;2022-01-12 19:09:38.554000+00:00;Ud5jpTofcwBZzZtv;move;[893, 859]
72;2022-01-12 19:09:38.589000+00:00;Ud5jpTofcwBZzZtv;move;[882, 847]
73;2022-01-12 19:09:38.620000+00:00;Ud5jpTofcwBZzZtv;move;[854, 814]
74;2022-01-12 19:09:38.688000+00:00;Ud5jpTofcwBZzZtv;move;[844, 804]
75;2022-01-12 19:09:38.704000+00:00;Ud5jpTofcwBZzZtv;move;[847, 818]
76;2022-01-12 19:09:38.722000+00:00;Ud5jpTofcwBZzZtv;move;[853, 837]
77;2022-01-12 19:09:38.755000+00:00;Ud5jpTofcwBZzZtv;move;[860, 848]
78;2022-01-12 19:09:38.838000+00:00;Ud5jpTofcwBZzZtv;move;[897, 853]
79;2022-01-12 19:09:38.855000+00:00;Ud5jpTofcwBZzZtv;move;[903, 843]
80;2022-01-12 19:09:38.888000+00:00;Ud5jpTofcwBZzZtv;move;[897, 830]
81;2022-01-12 19:09:38.904000+00:00;Ud5jpTofcwBZzZtv;move;[892, 826]
82;2022-01-12 19:09:38.970000+00:00;Ud5jpTofcwBZzZtv;move;[874, 849]
83;2022-01-12 19:09:38.988000+00:00;Ud5jpTofcwBZzZtv;move;[884, 869]
84;2022-01-12 19:09:39.005000+00:00;Ud5jpTofcwBZzZtv;move;[893, 881]
85;2022-01-12 19:09:39.021000+00:00;Ud5jpTofcwBZzZtv;move;[903, 890]
86;2022-01-12 19:09:39.104000+00:00;Ud5jpTofcwBZzZtv;move;[945, 921]
87;2022-01-12 19:09:39.121000+00:00;Ud5jpTofcwBZzZtv;move;[948, 924]
88;2022-01-12 19:09:39.138000+00:00;Ud5jpTofcwBZzZtv;move;[951, 926]
89;2022-01-12 19:09:39.155000+00:00;Ud5jpTofcwBZzZtv;move;[954, 929]
90;2022-01-12 19:09:39.171000+00:00;Ud5jpTofcwBZzZtv;move;[956, 930]
91;2022-01-12 19:09:39.238000+00:00;Ud5jpTofcwBZzZtv;move;[962, 929]
92;2022-01-12 19:09:57.371000+00:00;Ud5jpTofcwBZzZtv;move;[956, 918]
93;2022-01-12 19:09:57.388000+00:00;Ud5jpTofcwBZzZtv;move;[948, 906]
94;2022-01-12 19:09:57.405000+00:00;Ud5jpTofcwBZzZtv;move;[928, 876]
95;2022-01-12 19:09:57.421000+00:00;Ud5jpTofcwBZzZtv;move;[914, 855]
96;2022-01-12 19:09:57.538000+00:00;Ud5jpTofcwBZzZtv;move;[726, 590]
97;2022-01-12 19:09:57.554000+00:00;Ud5jpTofcwBZzZtv;move;[702, 565]
98;2022-01-12 19:09:57.572000+00:00;Ud5jpTofcwBZzZtv;move;[664, 535]
99;2022-01-12 19:09:57.588000+00:00;Ud5jpTofcwBZzZtv;move;[628, 509]
100;2022-01-12 19:09:57.704000+00:00;Ud5jpTofcwBZzZtv;move;[468, 429]
101;2022-01-12 19:09:57.721000+00:00;Ud5jpTofcwBZzZtv;move;[437, 431]
102;2022-01-12 19:09:57.737000+00:00;Ud5jpTofcwBZzZtv;move;[423, 437]
103;2022-01-12 19:09:57.755000+00:00;Ud5jpTofcwBZzZtv;move;[411, 448]
104;2022-01-12 19:09:57.871000+00:00;Ud5jpTofcwBZzZtv;move;[375, 548]
105;2022-01-12 19:09:57.889000+00:00;Ud5jpTofcwBZzZtv;move;[375, 560]
106;2022-01-12 19:09:57.905000+00:00;Ud5jpTofcwBZzZtv;move;[375, 572]
107;2022-01-12 19:09:58.038000+00:00;Ud5jpTofcwBZzZtv;move;[379, 582]
108;2022-01-12 19:09:58.204000+00:00;Ud5jpTofcwBZzZtv;move;[381, 582]
109;2022-01-12 19:10:02.171000+00:00;Ud5jpTofcwBZzZtv;move;[365, 566]
110;2022-01-12 19:10:02.189000+00:00;Ud5jpTofcwBZzZtv;move;[301, 501]
111;2022-01-12 19:10:02.204000+00:00;Ud5jpTofcwBZzZtv;move;[246, 450]
112;2022-01-12 19:10:02.222000+00:00;Ud5jpTofcwBZzZtv;move;[169, 374]
113;2022-01-12 19:11:19.905000+00:00;Ud5jpTofcwBZzZtv;move;[571, 350]
114;2022-01-12 19:11:40.021000+00:00;Ud5jpTofcwBZzZtv;move;[796, 402]
