;time;token;event;global_position
0;2022-01-13 13:24:20.163000+00:00;VId+chF76t493EET;move;[1084, 747]
1;2022-01-13 13:24:20.178000+00:00;VId+chF76t493EET;move;[1076, 723]
2;2022-01-13 13:24:20.194000+00:00;VId+chF76t493EET;move;[1067, 690]
3;2022-01-13 13:24:20.210000+00:00;VId+chF76t493EET;move;[1049, 600]
4;2022-01-13 13:24:20.227000+00:00;VId+chF76t493EET;move;[1040, 522]
5;2022-01-13 13:24:20.245000+00:00;VId+chF76t493EET;move;[1035, 428]
6;2022-01-13 13:24:20.261000+00:00;VId+chF76t493EET;move;[1035, 375]
7;2022-01-13 13:24:20.277000+00:00;VId+chF76t493EET;move;[1036, 338]
8;2022-01-13 13:24:20.293000+00:00;VId+chF76t493EET;move;[1043, 305]
9;2022-01-13 13:24:20.311000+00:00;VId+chF76t493EET;move;[1048, 292]
10;2022-01-13 13:24:20.328000+00:00;VId+chF76t493EET;move;[1053, 283]
11;2022-01-13 13:24:20.344000+00:00;VId+chF76t493EET;move;[1056, 280]
12;2022-01-13 13:24:20.523000+00:00;VId+chF76t493EET;move;[1055, 280]
13;2022-01-13 13:24:20.529000+00:00;VId+chF76t493EET;move;[1049, 280]
14;2022-01-13 13:24:20.544000+00:00;VId+chF76t493EET;move;[1043, 279]
15;2022-01-13 13:24:20.561000+00:00;VId+chF76t493EET;move;[1032, 276]
16;2022-01-13 13:24:20.576000+00:00;VId+chF76t493EET;move;[1021, 273]
17;2022-01-13 13:24:20.593000+00:00;VId+chF76t493EET;move;[981, 264]
18;2022-01-13 13:24:20.611000+00:00;VId+chF76t493EET;move;[956, 258]
19;2022-01-13 13:24:20.628000+00:00;VId+chF76t493EET;move;[940, 255]
20;2022-01-13 13:24:20.643000+00:00;VId+chF76t493EET;move;[930, 253]
21;2022-01-13 13:24:20.659000+00:00;VId+chF76t493EET;move;[921, 251]
22;2022-01-13 13:24:20.677000+00:00;VId+chF76t493EET;move;[916, 251]
23;2022-01-13 13:24:20.694000+00:00;VId+chF76t493EET;move;[914, 251]
24;2022-01-13 13:24:20.710000+00:00;VId+chF76t493EET;move;[914, 250]
25;2022-01-13 13:24:20.727000+00:00;VId+chF76t493EET;move;[913, 250]
26;2022-01-13 13:24:20.744000+00:00;VId+chF76t493EET;move;[913, 250]
27;2022-01-13 13:24:20.761000+00:00;VId+chF76t493EET;move;[913, 250]
28;2022-01-13 13:24:21.147000+00:00;VId+chF76t493EET;move;[913, 250]
29;2022-01-13 13:24:21.160000+00:00;VId+chF76t493EET;move;[917, 250]
30;2022-01-13 13:24:21.178000+00:00;VId+chF76t493EET;move;[955, 262]
31;2022-01-13 13:24:21.194000+00:00;VId+chF76t493EET;move;[974, 268]
32;2022-01-13 13:24:21.210000+00:00;VId+chF76t493EET;move;[1024, 289]
33;2022-01-13 13:24:21.226000+00:00;VId+chF76t493EET;move;[1109, 333]
34;2022-01-13 13:24:21.243000+00:00;VId+chF76t493EET;move;[1144, 354]
35;2022-01-13 13:24:21.259000+00:00;VId+chF76t493EET;move;[1183, 376]
36;2022-01-13 13:24:21.276000+00:00;VId+chF76t493EET;move;[1202, 385]
37;2022-01-13 13:24:21.293000+00:00;VId+chF76t493EET;move;[1219, 390]
38;2022-01-13 13:24:21.310000+00:00;VId+chF76t493EET;move;[1226, 390]
39;2022-01-13 13:24:21.491000+00:00;VId+chF76t493EET;move;[1227, 388]
40;2022-01-13 13:24:21.499000+00:00;VId+chF76t493EET;move;[1229, 386]
41;2022-01-13 13:24:21.510000+00:00;VId+chF76t493EET;move;[1232, 383]
42;2022-01-13 13:24:21.526000+00:00;VId+chF76t493EET;move;[1237, 378]
43;2022-01-13 13:24:21.544000+00:00;VId+chF76t493EET;move;[1244, 371]
44;2022-01-13 13:24:21.560000+00:00;VId+chF76t493EET;move;[1253, 363]
45;2022-01-13 13:24:21.576000+00:00;VId+chF76t493EET;move;[1258, 358]
46;2022-01-13 13:24:21.594000+00:00;VId+chF76t493EET;move;[1263, 355]
47;2022-01-13 13:24:21.610000+00:00;VId+chF76t493EET;move;[1266, 354]
48;2022-01-13 13:24:21.627000+00:00;VId+chF76t493EET;move;[1268, 353]
49;2022-01-13 13:24:21.643000+00:00;VId+chF76t493EET;move;[1268, 353]
50;2022-01-13 13:24:21.660000+00:00;VId+chF76t493EET;move;[1268, 353]
51;2022-01-13 13:24:22.547000+00:00;VId+chF76t493EET;move;[1267, 353]
52;2022-01-13 13:24:22.559000+00:00;VId+chF76t493EET;move;[1261, 352]
53;2022-01-13 13:24:22.576000+00:00;VId+chF76t493EET;move;[1214, 329]
54;2022-01-13 13:24:22.592000+00:00;VId+chF76t493EET;move;[1140, 296]
55;2022-01-13 13:24:22.609000+00:00;VId+chF76t493EET;move;[990, 250]
56;2022-01-13 13:24:22.625000+00:00;VId+chF76t493EET;move;[824, 233]
57;2022-01-13 13:24:22.641000+00:00;VId+chF76t493EET;move;[691, 233]
58;2022-01-13 13:24:22.658000+00:00;VId+chF76t493EET;move;[501, 250]
59;2022-01-13 13:24:22.675000+00:00;VId+chF76t493EET;move;[422, 269]
60;2022-01-13 13:24:22.693000+00:00;VId+chF76t493EET;move;[370, 285]
61;2022-01-13 13:24:22.708000+00:00;VId+chF76t493EET;move;[343, 294]
62;2022-01-13 13:24:22.726000+00:00;VId+chF76t493EET;move;[333, 297]
63;2022-01-13 13:24:22.932000+00:00;VId+chF76t493EET;move;[332, 297]
64;2022-01-13 13:24:22.942000+00:00;VId+chF76t493EET;move;[326, 297]
65;2022-01-13 13:24:22.958000+00:00;VId+chF76t493EET;move;[311, 294]
66;2022-01-13 13:24:22.974000+00:00;VId+chF76t493EET;move;[288, 289]
67;2022-01-13 13:24:22.992000+00:00;VId+chF76t493EET;move;[260, 286]
68;2022-01-13 13:24:23.009000+00:00;VId+chF76t493EET;move;[197, 279]
69;2022-01-13 13:24:23.025000+00:00;VId+chF76t493EET;move;[151, 276]
