;time;token;event;global_position
0;2022-01-20 13:08:23.344000+00:00;VUPK10YnnxsagMI4;move;[569, 879]
1;2022-01-20 13:08:23.349000+00:00;VUPK10YnnxsagMI4;move;[570, 876]
2;2022-01-20 13:08:23.356000+00:00;VUPK10YnnxsagMI4;move;[571, 871]
3;2022-01-20 13:08:23.363000+00:00;VUPK10YnnxsagMI4;move;[573, 865]
4;2022-01-20 13:08:23.370000+00:00;VUPK10YnnxsagMI4;move;[573, 859]
5;2022-01-20 13:08:23.377000+00:00;VUPK10YnnxsagMI4;move;[573, 852]
6;2022-01-20 13:08:23.384000+00:00;VUPK10YnnxsagMI4;move;[573, 841]
7;2022-01-20 13:08:23.391000+00:00;VUPK10YnnxsagMI4;move;[571, 831]
8;2022-01-20 13:08:23.398000+00:00;VUPK10YnnxsagMI4;move;[569, 818]
9;2022-01-20 13:08:23.405000+00:00;VUPK10YnnxsagMI4;move;[566, 804]
10;2022-01-20 13:08:23.412000+00:00;VUPK10YnnxsagMI4;move;[563, 783]
11;2022-01-20 13:08:23.419000+00:00;VUPK10YnnxsagMI4;move;[562, 767]
12;2022-01-20 13:08:23.426000+00:00;VUPK10YnnxsagMI4;move;[560, 740]
13;2022-01-20 13:08:23.433000+00:00;VUPK10YnnxsagMI4;move;[560, 720]
14;2022-01-20 13:08:23.440000+00:00;VUPK10YnnxsagMI4;move;[560, 700]
15;2022-01-20 13:08:23.447000+00:00;VUPK10YnnxsagMI4;move;[560, 680]
16;2022-01-20 13:08:23.454000+00:00;VUPK10YnnxsagMI4;move;[560, 667]
17;2022-01-20 13:08:23.460000+00:00;VUPK10YnnxsagMI4;move;[560, 642]
18;2022-01-20 13:08:23.468000+00:00;VUPK10YnnxsagMI4;move;[558, 623]
19;2022-01-20 13:08:23.474000+00:00;VUPK10YnnxsagMI4;move;[555, 605]
20;2022-01-20 13:08:23.481000+00:00;VUPK10YnnxsagMI4;move;[548, 590]
21;2022-01-20 13:08:23.488000+00:00;VUPK10YnnxsagMI4;move;[543, 583]
22;2022-01-20 13:08:23.495000+00:00;VUPK10YnnxsagMI4;move;[536, 577]
23;2022-01-20 13:08:23.502000+00:00;VUPK10YnnxsagMI4;move;[536, 576]
24;2022-01-20 13:08:23.631000+00:00;VUPK10YnnxsagMI4;move;[536, 575]
25;2022-01-20 13:08:23.634000+00:00;VUPK10YnnxsagMI4;move;[536, 574]
26;2022-01-20 13:08:23.641000+00:00;VUPK10YnnxsagMI4;move;[536, 570]
27;2022-01-20 13:08:23.648000+00:00;VUPK10YnnxsagMI4;move;[538, 566]
28;2022-01-20 13:08:23.655000+00:00;VUPK10YnnxsagMI4;move;[544, 562]
29;2022-01-20 13:08:23.662000+00:00;VUPK10YnnxsagMI4;move;[554, 555]
30;2022-01-20 13:08:23.669000+00:00;VUPK10YnnxsagMI4;move;[565, 546]
