;time;token;event;global_position
0;2022-01-13 11:37:52.721000+00:00;VlYvBKxhACZaBg+w;move;[990, 857]
1;2022-01-13 11:37:52.737000+00:00;VlYvBKxhACZaBg+w;move;[963, 818]
2;2022-01-13 11:37:52.755000+00:00;VlYvBKxhACZaBg+w;move;[938, 780]
3;2022-01-13 11:37:52.771000+00:00;VlYvBKxhACZaBg+w;move;[890, 707]
4;2022-01-13 11:37:52.788000+00:00;VlYvBKxhACZaBg+w;move;[860, 672]
5;2022-01-13 11:37:52.821000+00:00;VlYvBKxhACZaBg+w;move;[788, 594]
6;2022-01-13 11:37:52.837000+00:00;VlYvBKxhACZaBg+w;move;[731, 542]
7;2022-01-13 11:37:52.854000+00:00;VlYvBKxhACZaBg+w;move;[699, 501]
8;2022-01-13 11:37:52.870000+00:00;VlYvBKxhACZaBg+w;move;[688, 484]
9;2022-01-13 11:37:53.104000+00:00;VlYvBKxhACZaBg+w;move;[653, 452]
10;2022-01-13 11:37:53.121000+00:00;VlYvBKxhACZaBg+w;move;[633, 431]
11;2022-01-13 11:37:53.137000+00:00;VlYvBKxhACZaBg+w;move;[613, 411]
12;2022-01-13 11:37:53.154000+00:00;VlYvBKxhACZaBg+w;move;[568, 366]
13;2022-01-13 11:37:53.171000+00:00;VlYvBKxhACZaBg+w;move;[547, 346]
14;2022-01-13 11:37:53.188000+00:00;VlYvBKxhACZaBg+w;move;[530, 330]
15;2022-01-13 11:37:53.204000+00:00;VlYvBKxhACZaBg+w;move;[517, 316]
16;2022-01-13 11:37:53.221000+00:00;VlYvBKxhACZaBg+w;move;[486, 286]
17;2022-01-13 11:37:53.254000+00:00;VlYvBKxhACZaBg+w;move;[480, 280]
18;2022-01-13 11:37:53.288000+00:00;VlYvBKxhACZaBg+w;move;[469, 269]
19;2022-01-13 11:37:53.321000+00:00;VlYvBKxhACZaBg+w;move;[466, 266]
20;2022-01-13 11:37:53.338000+00:00;VlYvBKxhACZaBg+w;move;[463, 263]
21;2022-01-13 11:37:53.354000+00:00;VlYvBKxhACZaBg+w;move;[460, 260]
22;2022-01-13 11:37:53.387000+00:00;VlYvBKxhACZaBg+w;move;[450, 250]
23;2022-01-13 11:37:53.404000+00:00;VlYvBKxhACZaBg+w;move;[447, 248]
24;2022-01-13 11:37:53.420000+00:00;VlYvBKxhACZaBg+w;move;[444, 246]
25;2022-01-13 11:37:53.438000+00:00;VlYvBKxhACZaBg+w;move;[438, 242]
26;2022-01-13 11:37:53.488000+00:00;VlYvBKxhACZaBg+w;move;[435, 240]
27;2022-01-13 11:37:53.554000+00:00;VlYvBKxhACZaBg+w;move;[433, 240]
28;2022-01-13 11:37:53.754000+00:00;VlYvBKxhACZaBg+w;move;[434, 239]
29;2022-01-13 11:37:54.321000+00:00;VlYvBKxhACZaBg+w;move;[440, 239]
30;2022-01-13 11:37:54.338000+00:00;VlYvBKxhACZaBg+w;move;[450, 239]
31;2022-01-13 11:37:54.354000+00:00;VlYvBKxhACZaBg+w;move;[462, 239]
32;2022-01-13 11:37:54.371000+00:00;VlYvBKxhACZaBg+w;move;[478, 239]
33;2022-01-13 11:37:54.421000+00:00;VlYvBKxhACZaBg+w;move;[556, 241]
34;2022-01-13 11:37:54.437000+00:00;VlYvBKxhACZaBg+w;move;[571, 240]
35;2022-01-13 11:37:54.454000+00:00;VlYvBKxhACZaBg+w;move;[583, 239]
36;2022-01-13 11:37:54.471000+00:00;VlYvBKxhACZaBg+w;move;[601, 238]
37;2022-01-13 11:37:54.522000+00:00;VlYvBKxhACZaBg+w;move;[628, 238]
38;2022-01-13 11:37:54.537000+00:00;VlYvBKxhACZaBg+w;move;[665, 235]
39;2022-01-13 11:37:54.554000+00:00;VlYvBKxhACZaBg+w;move;[674, 235]
40;2022-01-13 11:37:54.571000+00:00;VlYvBKxhACZaBg+w;move;[694, 235]
41;2022-01-13 11:37:54.621000+00:00;VlYvBKxhACZaBg+w;move;[713, 234]
42;2022-01-13 11:37:54.637000+00:00;VlYvBKxhACZaBg+w;move;[739, 234]
43;2022-01-13 11:37:54.654000+00:00;VlYvBKxhACZaBg+w;move;[753, 237]
44;2022-01-13 11:37:54.671000+00:00;VlYvBKxhACZaBg+w;move;[769, 239]
45;2022-01-13 11:37:54.721000+00:00;VlYvBKxhACZaBg+w;move;[807, 240]
46;2022-01-13 11:37:54.737000+00:00;VlYvBKxhACZaBg+w;move;[831, 238]
47;2022-01-13 11:37:54.753000+00:00;VlYvBKxhACZaBg+w;move;[836, 238]
48;2022-01-13 11:37:54.771000+00:00;VlYvBKxhACZaBg+w;move;[839, 238]
49;2022-01-13 11:37:54.821000+00:00;VlYvBKxhACZaBg+w;move;[842, 238]
50;2022-01-13 11:37:54.855000+00:00;VlYvBKxhACZaBg+w;move;[844, 238]
51;2022-01-13 11:37:54.921000+00:00;VlYvBKxhACZaBg+w;move;[847, 238]
52;2022-01-13 11:37:54.972000+00:00;VlYvBKxhACZaBg+w;move;[846, 238]
53;2022-01-13 11:38:14.871000+00:00;VlYvBKxhACZaBg+w;move;[256, 252]
54;2022-01-13 11:38:14.888000+00:00;VlYvBKxhACZaBg+w;move;[280, 252]
55;2022-01-13 11:38:14.904000+00:00;VlYvBKxhACZaBg+w;move;[351, 253]
56;2022-01-13 11:38:14.938000+00:00;VlYvBKxhACZaBg+w;move;[486, 262]
57;2022-01-13 11:38:14.987000+00:00;VlYvBKxhACZaBg+w;move;[779, 310]
58;2022-01-13 11:38:15.004000+00:00;VlYvBKxhACZaBg+w;move;[1067, 353]
59;2022-01-13 11:38:15.021000+00:00;VlYvBKxhACZaBg+w;move;[1130, 361]
60;2022-01-13 11:38:15.037000+00:00;VlYvBKxhACZaBg+w;move;[1170, 364]
61;2022-01-13 11:38:15.054000+00:00;VlYvBKxhACZaBg+w;move;[1183, 363]
62;2022-01-13 11:38:15.121000+00:00;VlYvBKxhACZaBg+w;move;[1233, 341]
63;2022-01-13 11:38:22.971000+00:00;VlYvBKxhACZaBg+w;move;[1238, 220]
64;2022-01-13 11:38:22.988000+00:00;VlYvBKxhACZaBg+w;move;[977, 45]
65;2022-01-13 11:39:08.221000+00:00;VlYvBKxhACZaBg+w;move;[448, 14]
66;2022-01-13 11:39:08.238000+00:00;VlYvBKxhACZaBg+w;move;[433, 5]
67;2022-01-13 11:39:08.254000+00:00;VlYvBKxhACZaBg+w;move;[428, 0]
