;time;token;event;global_position
0;2022-01-20 13:08:42.543000+00:00;Wag5vHf6Nf4q4OSx;move;[1224, 650]
1;2022-01-20 13:08:42.571000+00:00;Wag5vHf6Nf4q4OSx;move;[1224, 651]
2;2022-01-20 13:08:42.647000+00:00;Wag5vHf6Nf4q4OSx;move;[1223, 651]
3;2022-01-20 13:08:42.653000+00:00;Wag5vHf6Nf4q4OSx;move;[1222, 651]
4;2022-01-20 13:08:42.662000+00:00;Wag5vHf6Nf4q4OSx;move;[1219, 649]
5;2022-01-20 13:08:42.667000+00:00;Wag5vHf6Nf4q4OSx;move;[1216, 649]
6;2022-01-20 13:08:42.674000+00:00;Wag5vHf6Nf4q4OSx;move;[1212, 646]
7;2022-01-20 13:08:42.680000+00:00;Wag5vHf6Nf4q4OSx;move;[1208, 642]
8;2022-01-20 13:08:42.687000+00:00;Wag5vHf6Nf4q4OSx;move;[1201, 639]
9;2022-01-20 13:08:42.694000+00:00;Wag5vHf6Nf4q4OSx;move;[1193, 634]
10;2022-01-20 13:08:42.701000+00:00;Wag5vHf6Nf4q4OSx;move;[1186, 629]
11;2022-01-20 13:08:42.708000+00:00;Wag5vHf6Nf4q4OSx;move;[1178, 624]
12;2022-01-20 13:08:42.715000+00:00;Wag5vHf6Nf4q4OSx;move;[1168, 617]
13;2022-01-20 13:08:42.722000+00:00;Wag5vHf6Nf4q4OSx;move;[1156, 609]
14;2022-01-20 13:08:42.729000+00:00;Wag5vHf6Nf4q4OSx;move;[1146, 601]
15;2022-01-20 13:08:42.736000+00:00;Wag5vHf6Nf4q4OSx;move;[1130, 593]
16;2022-01-20 13:08:42.743000+00:00;Wag5vHf6Nf4q4OSx;move;[1112, 583]
17;2022-01-20 13:08:42.750000+00:00;Wag5vHf6Nf4q4OSx;move;[1088, 573]
18;2022-01-20 13:08:42.757000+00:00;Wag5vHf6Nf4q4OSx;move;[1069, 564]
19;2022-01-20 13:08:42.764000+00:00;Wag5vHf6Nf4q4OSx;move;[1044, 552]
20;2022-01-20 13:08:42.771000+00:00;Wag5vHf6Nf4q4OSx;move;[1018, 541]
21;2022-01-20 13:08:42.778000+00:00;Wag5vHf6Nf4q4OSx;move;[992, 529]
22;2022-01-20 13:08:42.785000+00:00;Wag5vHf6Nf4q4OSx;move;[969, 520]
23;2022-01-20 13:08:42.792000+00:00;Wag5vHf6Nf4q4OSx;move;[948, 511]
24;2022-01-20 13:08:42.799000+00:00;Wag5vHf6Nf4q4OSx;move;[930, 502]
25;2022-01-20 13:08:42.805000+00:00;Wag5vHf6Nf4q4OSx;move;[916, 496]
26;2022-01-20 13:08:42.812000+00:00;Wag5vHf6Nf4q4OSx;move;[904, 490]
27;2022-01-20 13:08:42.819000+00:00;Wag5vHf6Nf4q4OSx;move;[895, 485]
