;time;token;event;global_position
0;2022-01-13 14:08:40.495000+00:00;Wzxh35jzf1nxYqMI;move;[530, 232]
1;2022-01-13 14:08:44.572000+00:00;Wzxh35jzf1nxYqMI;move;[784, 370]
2;2022-01-13 14:09:25.147000+00:00;Wzxh35jzf1nxYqMI;move;[167, 283]
3;2022-01-13 14:09:52.835000+00:00;Wzxh35jzf1nxYqMI;move;[261, 629]
4;2022-01-13 14:10:02.719000+00:00;Wzxh35jzf1nxYqMI;move;[210, 906]
5;2022-01-13 14:10:09.022000+00:00;Wzxh35jzf1nxYqMI;move;[277, 1116]
6;2022-01-13 14:10:44.180000+00:00;Wzxh35jzf1nxYqMI;move;[168, 1285]
7;2022-01-13 14:10:49.345000+00:00;Wzxh35jzf1nxYqMI;move;[168, 1337]
8;2022-01-13 14:11:02.423000+00:00;Wzxh35jzf1nxYqMI;move;[168, 1246]
9;2022-01-13 14:11:30.621000+00:00;Wzxh35jzf1nxYqMI;move;[169, 1538]
10;2022-01-13 14:11:33.160000+00:00;Wzxh35jzf1nxYqMI;move;[168, 1512]
11;2022-01-13 14:11:58.856000+00:00;Wzxh35jzf1nxYqMI;move;[166, 1558]
12;2022-01-13 14:11:59.572000+00:00;Wzxh35jzf1nxYqMI;move;[167, 1486]
13;2022-01-13 14:12:10.549000+00:00;Wzxh35jzf1nxYqMI;move;[168, 1729]
14;2022-01-13 14:12:12.057000+00:00;Wzxh35jzf1nxYqMI;move;[871, 1916]
15;2022-01-13 14:12:27.504000+00:00;Wzxh35jzf1nxYqMI;move;[919, 1908]
16;2022-01-13 14:13:46.964000+00:00;Wzxh35jzf1nxYqMI;move;[167, 309]
17;2022-01-13 14:14:00.501000+00:00;Wzxh35jzf1nxYqMI;move;[167, 731]
18;2022-01-13 14:14:06.154000+00:00;Wzxh35jzf1nxYqMI;move;[168, 705]
19;2022-01-13 14:14:14.799000+00:00;Wzxh35jzf1nxYqMI;move;[167, 629]
20;2022-01-13 14:14:23.742000+00:00;Wzxh35jzf1nxYqMI;move;[167, 603]
21;2022-01-13 14:14:27.295000+00:00;Wzxh35jzf1nxYqMI;move;[167, 551]
22;2022-01-13 14:15:57.064000+00:00;Wzxh35jzf1nxYqMI;move;[483, 662]
23;2022-01-13 14:16:36.622000+00:00;Wzxh35jzf1nxYqMI;move;[485, 524]
24;2022-01-13 14:16:59.154000+00:00;Wzxh35jzf1nxYqMI;move;[544, 459]
25;2022-01-13 14:17:20.923000+00:00;Wzxh35jzf1nxYqMI;move;[503, 689]
26;2022-01-13 14:17:46.056000+00:00;Wzxh35jzf1nxYqMI;move;[175, 1543]
27;2022-01-13 14:18:03.196000+00:00;Wzxh35jzf1nxYqMI;move;[354, 1792]
28;2022-01-13 14:18:04.959000+00:00;Wzxh35jzf1nxYqMI;move;[411, 1623]
29;2022-01-13 14:19:03.509000+00:00;Wzxh35jzf1nxYqMI;move;[486, 464]
30;2022-01-13 14:19:49.322000+00:00;Wzxh35jzf1nxYqMI;move;[167, 1606]
31;2022-01-13 14:20:02.381000+00:00;Wzxh35jzf1nxYqMI;move;[183, 887]
32;2022-01-13 14:21:51.779000+00:00;Wzxh35jzf1nxYqMI;move;[547, 557]
33;2022-01-13 14:21:58.944000+00:00;Wzxh35jzf1nxYqMI;move;[490, 792]
34;2022-01-13 14:22:20.683000+00:00;Wzxh35jzf1nxYqMI;move;[183, 1405]
35;2022-01-13 14:22:25.819000+00:00;Wzxh35jzf1nxYqMI;move;[183, 1455]
36;2022-01-13 14:23:45.636000+00:00;Wzxh35jzf1nxYqMI;move;[625, 1298]
37;2022-01-13 14:24:03.934000+00:00;Wzxh35jzf1nxYqMI;move;[523, 679]
38;2022-01-13 14:24:32.095000+00:00;Wzxh35jzf1nxYqMI;move;[483, 532]
39;2022-01-13 14:25:10.310000+00:00;Wzxh35jzf1nxYqMI;move;[486, 1164]
40;2022-01-13 14:25:43.452000+00:00;Wzxh35jzf1nxYqMI;move;[561, 648]
41;2022-01-13 14:26:04.776000+00:00;Wzxh35jzf1nxYqMI;move;[534, 515]
42;2022-01-13 14:26:31.608000+00:00;Wzxh35jzf1nxYqMI;move;[216, 986]
43;2022-01-13 14:27:08.969000+00:00;Wzxh35jzf1nxYqMI;move;[190, 1417]
44;2022-01-13 14:27:14.021000+00:00;Wzxh35jzf1nxYqMI;move;[183, 1438]
45;2022-01-13 14:27:17.861000+00:00;Wzxh35jzf1nxYqMI;move;[183, 1386]
46;2022-01-13 14:27:26.687000+00:00;Wzxh35jzf1nxYqMI;move;[185, 1464]
47;2022-01-13 14:27:34.241000+00:00;Wzxh35jzf1nxYqMI;move;[185, 1543]
