;time;token;event;global_position
0;2022-01-13 12:43:45.406000+00:00;XZlvt6BNF4xnrMpD;move;[872, 702]
1;2022-01-13 12:43:45.415000+00:00;XZlvt6BNF4xnrMpD;move;[866, 688]
2;2022-01-13 12:43:45.432000+00:00;XZlvt6BNF4xnrMpD;move;[846, 644]
3;2022-01-13 12:43:45.449000+00:00;XZlvt6BNF4xnrMpD;move;[810, 524]
4;2022-01-13 12:43:45.465000+00:00;XZlvt6BNF4xnrMpD;move;[794, 447]
5;2022-01-13 12:43:45.482000+00:00;XZlvt6BNF4xnrMpD;move;[780, 361]
6;2022-01-13 12:43:45.499000+00:00;XZlvt6BNF4xnrMpD;move;[776, 325]
7;2022-01-13 12:43:45.515000+00:00;XZlvt6BNF4xnrMpD;move;[772, 293]
8;2022-01-13 12:43:45.532000+00:00;XZlvt6BNF4xnrMpD;move;[769, 269]
9;2022-01-13 12:43:45.549000+00:00;XZlvt6BNF4xnrMpD;move;[767, 263]
10;2022-01-13 12:43:45.565000+00:00;XZlvt6BNF4xnrMpD;move;[765, 260]
11;2022-01-13 12:43:45.582000+00:00;XZlvt6BNF4xnrMpD;move;[765, 259]
12;2022-01-13 12:43:45.599000+00:00;XZlvt6BNF4xnrMpD;move;[764, 259]
13;2022-01-13 12:43:45.616000+00:00;XZlvt6BNF4xnrMpD;move;[763, 258]
14;2022-01-13 12:43:45.632000+00:00;XZlvt6BNF4xnrMpD;move;[761, 257]
15;2022-01-13 12:43:45.649000+00:00;XZlvt6BNF4xnrMpD;move;[760, 257]
16;2022-01-13 12:43:45.665000+00:00;XZlvt6BNF4xnrMpD;move;[759, 257]
17;2022-01-13 12:43:45.682000+00:00;XZlvt6BNF4xnrMpD;move;[757, 256]
18;2022-01-13 12:43:45.699000+00:00;XZlvt6BNF4xnrMpD;move;[755, 255]
19;2022-01-13 12:43:45.715000+00:00;XZlvt6BNF4xnrMpD;move;[755, 254]
20;2022-01-13 12:43:45.732000+00:00;XZlvt6BNF4xnrMpD;move;[753, 254]
21;2022-01-13 12:43:45.793000+00:00;XZlvt6BNF4xnrMpD;move;[752, 254]
22;2022-01-13 12:43:45.832000+00:00;XZlvt6BNF4xnrMpD;move;[751, 254]
23;2022-01-13 12:43:45.855000+00:00;XZlvt6BNF4xnrMpD;move;[750, 254]
24;2022-01-13 12:43:45.866000+00:00;XZlvt6BNF4xnrMpD;move;[750, 253]
25;2022-01-13 12:43:45.882000+00:00;XZlvt6BNF4xnrMpD;move;[750, 252]
26;2022-01-13 12:43:50.032000+00:00;XZlvt6BNF4xnrMpD;move;[749, 255]
27;2022-01-13 12:43:50.045000+00:00;XZlvt6BNF4xnrMpD;move;[748, 262]
28;2022-01-13 12:43:50.053000+00:00;XZlvt6BNF4xnrMpD;move;[743, 276]
29;2022-01-13 12:43:50.070000+00:00;XZlvt6BNF4xnrMpD;move;[739, 291]
30;2022-01-13 12:43:50.087000+00:00;XZlvt6BNF4xnrMpD;move;[731, 312]
31;2022-01-13 12:43:50.103000+00:00;XZlvt6BNF4xnrMpD;move;[727, 320]
32;2022-01-13 12:43:50.120000+00:00;XZlvt6BNF4xnrMpD;move;[723, 328]
33;2022-01-13 12:43:50.137000+00:00;XZlvt6BNF4xnrMpD;move;[718, 337]
34;2022-01-13 12:43:50.154000+00:00;XZlvt6BNF4xnrMpD;move;[717, 341]
35;2022-01-13 12:43:50.170000+00:00;XZlvt6BNF4xnrMpD;move;[717, 344]
36;2022-01-13 12:43:50.187000+00:00;XZlvt6BNF4xnrMpD;move;[717, 345]
37;2022-01-13 12:43:50.203000+00:00;XZlvt6BNF4xnrMpD;move;[717, 346]
38;2022-01-13 12:43:50.220000+00:00;XZlvt6BNF4xnrMpD;move;[717, 348]
39;2022-01-13 12:43:50.237000+00:00;XZlvt6BNF4xnrMpD;move;[718, 351]
40;2022-01-13 12:43:50.253000+00:00;XZlvt6BNF4xnrMpD;move;[718, 363]
41;2022-01-13 12:43:50.271000+00:00;XZlvt6BNF4xnrMpD;move;[714, 381]
42;2022-01-13 12:43:50.287000+00:00;XZlvt6BNF4xnrMpD;move;[703, 416]
43;2022-01-13 12:43:50.304000+00:00;XZlvt6BNF4xnrMpD;move;[699, 425]
44;2022-01-13 12:43:50.320000+00:00;XZlvt6BNF4xnrMpD;move;[697, 431]
45;2022-01-13 12:43:50.337000+00:00;XZlvt6BNF4xnrMpD;move;[695, 434]
46;2022-01-13 12:43:50.354000+00:00;XZlvt6BNF4xnrMpD;move;[695, 435]
47;2022-01-13 12:43:50.370000+00:00;XZlvt6BNF4xnrMpD;move;[696, 434]
48;2022-01-13 12:43:50.387000+00:00;XZlvt6BNF4xnrMpD;move;[701, 426]
49;2022-01-13 12:43:50.404000+00:00;XZlvt6BNF4xnrMpD;move;[704, 413]
50;2022-01-13 12:43:50.420000+00:00;XZlvt6BNF4xnrMpD;move;[706, 404]
51;2022-01-13 12:43:50.437000+00:00;XZlvt6BNF4xnrMpD;move;[706, 398]
52;2022-01-13 12:43:50.454000+00:00;XZlvt6BNF4xnrMpD;move;[705, 392]
53;2022-01-13 12:43:50.470000+00:00;XZlvt6BNF4xnrMpD;move;[703, 385]
54;2022-01-13 12:43:50.487000+00:00;XZlvt6BNF4xnrMpD;move;[703, 373]
55;2022-01-13 12:43:50.504000+00:00;XZlvt6BNF4xnrMpD;move;[703, 360]
56;2022-01-13 12:43:50.520000+00:00;XZlvt6BNF4xnrMpD;move;[706, 340]
