;time;token;event;global_position
0;2022-01-20 12:51:18.406000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 925]
1;2022-01-20 12:51:18.421000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 924]
2;2022-01-20 12:51:18.438000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 923]
3;2022-01-20 12:51:18.548000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 922]
4;2022-01-20 12:51:18.551000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 921]
5;2022-01-20 12:51:18.560000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 920]
6;2022-01-20 12:51:18.810000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 919]
7;2022-01-20 12:51:19.149000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 918]
8;2022-01-20 12:51:19.152000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 917]
9;2022-01-20 12:51:19.167000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 916]
10;2022-01-20 12:51:19.184000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 915]
11;2022-01-20 12:51:19.396000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 914]
12;2022-01-20 12:51:19.398000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 913]
13;2022-01-20 12:51:19.403000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 912]
14;2022-01-20 12:51:19.417000+00:00;XfKIbbqHQ3sIY6nZ;move;[1265, 909]
15;2022-01-20 12:51:19.434000+00:00;XfKIbbqHQ3sIY6nZ;move;[1263, 905]
16;2022-01-20 12:51:19.450000+00:00;XfKIbbqHQ3sIY6nZ;move;[1260, 899]
17;2022-01-20 12:51:19.467000+00:00;XfKIbbqHQ3sIY6nZ;move;[1255, 889]
18;2022-01-20 12:51:19.483000+00:00;XfKIbbqHQ3sIY6nZ;move;[1248, 877]
19;2022-01-20 12:51:19.500000+00:00;XfKIbbqHQ3sIY6nZ;move;[1240, 861]
20;2022-01-20 12:51:19.517000+00:00;XfKIbbqHQ3sIY6nZ;move;[1229, 842]
21;2022-01-20 12:51:19.533000+00:00;XfKIbbqHQ3sIY6nZ;move;[1217, 814]
22;2022-01-20 12:51:19.551000+00:00;XfKIbbqHQ3sIY6nZ;move;[1205, 781]
23;2022-01-20 12:51:19.567000+00:00;XfKIbbqHQ3sIY6nZ;move;[1193, 737]
24;2022-01-20 12:51:19.583000+00:00;XfKIbbqHQ3sIY6nZ;move;[1182, 694]
25;2022-01-20 12:51:19.600000+00:00;XfKIbbqHQ3sIY6nZ;move;[1172, 653]
26;2022-01-20 12:51:19.617000+00:00;XfKIbbqHQ3sIY6nZ;move;[1162, 609]
