;time;token;event;global_position
0;2022-01-13 12:43:35.567000+00:00;Yly9mVuSUNMsRzNn;move;[1283, 902]
1;2022-01-13 12:43:35.573000+00:00;Yly9mVuSUNMsRzNn;move;[1283, 901]
2;2022-01-13 12:43:35.590000+00:00;Yly9mVuSUNMsRzNn;move;[1287, 895]
3;2022-01-13 12:43:35.606000+00:00;Yly9mVuSUNMsRzNn;move;[1292, 879]
4;2022-01-13 12:43:35.623000+00:00;Yly9mVuSUNMsRzNn;move;[1294, 838]
5;2022-01-13 12:43:35.640000+00:00;Yly9mVuSUNMsRzNn;move;[1288, 776]
6;2022-01-13 12:43:35.656000+00:00;Yly9mVuSUNMsRzNn;move;[1271, 691]
7;2022-01-13 12:43:35.673000+00:00;Yly9mVuSUNMsRzNn;move;[1245, 607]
8;2022-01-13 12:43:35.690000+00:00;Yly9mVuSUNMsRzNn;move;[1220, 549]
9;2022-01-13 12:43:35.706000+00:00;Yly9mVuSUNMsRzNn;move;[1202, 518]
10;2022-01-13 12:43:35.723000+00:00;Yly9mVuSUNMsRzNn;move;[1195, 515]
11;2022-01-13 12:43:35.740000+00:00;Yly9mVuSUNMsRzNn;move;[1194, 516]
12;2022-01-13 12:43:35.756000+00:00;Yly9mVuSUNMsRzNn;move;[1192, 521]
13;2022-01-13 12:43:35.773000+00:00;Yly9mVuSUNMsRzNn;move;[1187, 532]
14;2022-01-13 12:43:35.790000+00:00;Yly9mVuSUNMsRzNn;move;[1182, 546]
15;2022-01-13 12:43:35.806000+00:00;Yly9mVuSUNMsRzNn;move;[1179, 564]
16;2022-01-13 12:43:35.823000+00:00;Yly9mVuSUNMsRzNn;move;[1179, 569]
17;2022-01-13 12:43:35.886000+00:00;Yly9mVuSUNMsRzNn;move;[1180, 569]
18;2022-01-13 12:43:35.890000+00:00;Yly9mVuSUNMsRzNn;move;[1182, 569]
19;2022-01-13 12:43:35.907000+00:00;Yly9mVuSUNMsRzNn;move;[1192, 565]
20;2022-01-13 12:43:35.923000+00:00;Yly9mVuSUNMsRzNn;move;[1199, 559]
21;2022-01-13 12:43:35.940000+00:00;Yly9mVuSUNMsRzNn;move;[1204, 552]
22;2022-01-13 12:43:35.956000+00:00;Yly9mVuSUNMsRzNn;move;[1208, 542]
23;2022-01-13 12:43:35.973000+00:00;Yly9mVuSUNMsRzNn;move;[1210, 533]
