;time;token;event;global_position
0;2022-01-13 11:06:45.343000+00:00;aLlCNRBINt8fFKTa;move;[1015, 880]
1;2022-01-13 11:06:45.359000+00:00;aLlCNRBINt8fFKTa;move;[1015, 862]
2;2022-01-13 11:06:45.377000+00:00;aLlCNRBINt8fFKTa;move;[1016, 840]
3;2022-01-13 11:06:45.393000+00:00;aLlCNRBINt8fFKTa;move;[1016, 815]
4;2022-01-13 11:06:45.443000+00:00;aLlCNRBINt8fFKTa;move;[1016, 752]
5;2022-01-13 11:06:45.459000+00:00;aLlCNRBINt8fFKTa;move;[1015, 702]
6;2022-01-13 11:06:45.476000+00:00;aLlCNRBINt8fFKTa;move;[1016, 673]
7;2022-01-13 11:06:45.494000+00:00;aLlCNRBINt8fFKTa;move;[1017, 636]
8;2022-01-13 11:06:45.510000+00:00;aLlCNRBINt8fFKTa;move;[1017, 617]
9;2022-01-13 11:06:45.527000+00:00;aLlCNRBINt8fFKTa;move;[1019, 599]
10;2022-01-13 11:06:45.560000+00:00;aLlCNRBINt8fFKTa;move;[1024, 547]
11;2022-01-13 11:06:45.576000+00:00;aLlCNRBINt8fFKTa;move;[1027, 533]
12;2022-01-13 11:06:45.593000+00:00;aLlCNRBINt8fFKTa;move;[1035, 505]
13;2022-01-13 11:06:45.642000+00:00;aLlCNRBINt8fFKTa;move;[1048, 468]
14;2022-01-13 11:06:45.659000+00:00;aLlCNRBINt8fFKTa;move;[1059, 441]
15;2022-01-13 11:06:45.677000+00:00;aLlCNRBINt8fFKTa;move;[1063, 432]
16;2022-01-13 11:06:45.693000+00:00;aLlCNRBINt8fFKTa;move;[1067, 424]
17;2022-01-13 11:06:45.743000+00:00;aLlCNRBINt8fFKTa;move;[1082, 397]
18;2022-01-13 11:06:45.759000+00:00;aLlCNRBINt8fFKTa;move;[1086, 387]
19;2022-01-13 11:06:45.777000+00:00;aLlCNRBINt8fFKTa;move;[1088, 382]
20;2022-01-13 11:06:45.793000+00:00;aLlCNRBINt8fFKTa;move;[1089, 379]
21;2022-01-13 11:06:45.810000+00:00;aLlCNRBINt8fFKTa;move;[1091, 373]
22;2022-01-13 11:06:45.843000+00:00;aLlCNRBINt8fFKTa;move;[1093, 365]
23;2022-01-13 11:06:45.860000+00:00;aLlCNRBINt8fFKTa;move;[1094, 361]
24;2022-01-13 11:06:45.876000+00:00;aLlCNRBINt8fFKTa;move;[1096, 354]
25;2022-01-13 11:06:45.943000+00:00;aLlCNRBINt8fFKTa;move;[1097, 351]
26;2022-01-13 11:06:45.959000+00:00;aLlCNRBINt8fFKTa;move;[1098, 349]
27;2022-01-13 11:06:56.509000+00:00;aLlCNRBINt8fFKTa;move;[1098, 354]
28;2022-01-13 11:06:56.526000+00:00;aLlCNRBINt8fFKTa;move;[1098, 365]
29;2022-01-13 11:06:56.543000+00:00;aLlCNRBINt8fFKTa;move;[1098, 376]
30;2022-01-13 11:06:56.560000+00:00;aLlCNRBINt8fFKTa;move;[1096, 387]
31;2022-01-13 11:06:56.643000+00:00;aLlCNRBINt8fFKTa;move;[1095, 481]
32;2022-01-13 11:06:56.659000+00:00;aLlCNRBINt8fFKTa;move;[1095, 493]
33;2022-01-13 11:06:56.676000+00:00;aLlCNRBINt8fFKTa;move;[1095, 504]
34;2022-01-13 11:06:56.692000+00:00;aLlCNRBINt8fFKTa;move;[1095, 517]
35;2022-01-13 11:06:56.710000+00:00;aLlCNRBINt8fFKTa;move;[1091, 551]
36;2022-01-13 11:06:56.793000+00:00;aLlCNRBINt8fFKTa;move;[1085, 599]
37;2022-01-13 11:06:56.810000+00:00;aLlCNRBINt8fFKTa;move;[1085, 604]
38;2022-01-13 11:06:57.076000+00:00;aLlCNRBINt8fFKTa;move;[1085, 612]
39;2022-01-13 11:06:57.093000+00:00;aLlCNRBINt8fFKTa;move;[1085, 621]
40;2022-01-13 11:06:57.110000+00:00;aLlCNRBINt8fFKTa;move;[1086, 632]
41;2022-01-13 11:06:57.126000+00:00;aLlCNRBINt8fFKTa;move;[1088, 660]
42;2022-01-13 11:06:57.210000+00:00;aLlCNRBINt8fFKTa;move;[1090, 734]
43;2022-01-13 11:06:57.226000+00:00;aLlCNRBINt8fFKTa;move;[1091, 742]
44;2022-01-13 11:06:57.243000+00:00;aLlCNRBINt8fFKTa;move;[1089, 753]
45;2022-01-13 11:06:57.260000+00:00;aLlCNRBINt8fFKTa;move;[1088, 756]
46;2022-01-13 11:06:57.493000+00:00;aLlCNRBINt8fFKTa;move;[1089, 763]
47;2022-01-13 11:06:57.511000+00:00;aLlCNRBINt8fFKTa;move;[1096, 784]
48;2022-01-13 11:06:57.526000+00:00;aLlCNRBINt8fFKTa;move;[1099, 795]
49;2022-01-13 11:06:57.544000+00:00;aLlCNRBINt8fFKTa;move;[1102, 804]
50;2022-01-13 11:06:57.626000+00:00;aLlCNRBINt8fFKTa;move;[1118, 859]
51;2022-01-13 11:06:57.643000+00:00;aLlCNRBINt8fFKTa;move;[1119, 865]
52;2022-01-13 11:06:57.660000+00:00;aLlCNRBINt8fFKTa;move;[1120, 871]
53;2022-01-13 11:06:57.676000+00:00;aLlCNRBINt8fFKTa;move;[1121, 875]
54;2022-01-13 11:06:57.693000+00:00;aLlCNRBINt8fFKTa;move;[1121, 878]
55;2022-01-13 11:06:57.793000+00:00;aLlCNRBINt8fFKTa;move;[1125, 890]
56;2022-01-13 11:06:57.959000+00:00;aLlCNRBINt8fFKTa;move;[1126, 892]
57;2022-01-13 11:06:58.027000+00:00;aLlCNRBINt8fFKTa;move;[1127, 894]
58;2022-01-13 11:06:58.110000+00:00;aLlCNRBINt8fFKTa;move;[1127, 896]
59;2022-01-13 11:06:58.159000+00:00;aLlCNRBINt8fFKTa;move;[1127, 898]
60;2022-01-13 11:06:58.844000+00:00;aLlCNRBINt8fFKTa;move;[1127, 900]
61;2022-01-13 11:06:58.860000+00:00;aLlCNRBINt8fFKTa;move;[1128, 903]
62;2022-01-13 11:06:58.877000+00:00;aLlCNRBINt8fFKTa;move;[1128, 906]
63;2022-01-13 11:06:59.010000+00:00;aLlCNRBINt8fFKTa;move;[1129, 914]
64;2022-01-13 11:06:59.043000+00:00;aLlCNRBINt8fFKTa;move;[1129, 916]
65;2022-01-13 11:07:00.061000+00:00;aLlCNRBINt8fFKTa;move;[1119, 903]
66;2022-01-13 11:07:00.076000+00:00;aLlCNRBINt8fFKTa;move;[1116, 892]
67;2022-01-13 11:07:00.094000+00:00;aLlCNRBINt8fFKTa;move;[1115, 880]
68;2022-01-13 11:07:00.110000+00:00;aLlCNRBINt8fFKTa;move;[1107, 852]
69;2022-01-13 11:07:00.127000+00:00;aLlCNRBINt8fFKTa;move;[1102, 841]
70;2022-01-13 11:07:00.209000+00:00;aLlCNRBINt8fFKTa;move;[1087, 789]
71;2022-01-13 11:07:00.226000+00:00;aLlCNRBINt8fFKTa;move;[1084, 771]
72;2022-01-13 11:07:00.244000+00:00;aLlCNRBINt8fFKTa;move;[1081, 760]
73;2022-01-13 11:07:00.277000+00:00;aLlCNRBINt8fFKTa;move;[1079, 756]
74;2022-01-13 11:07:03.277000+00:00;aLlCNRBINt8fFKTa;move;[1079, 775]
75;2022-01-13 11:07:03.293000+00:00;aLlCNRBINt8fFKTa;move;[1080, 784]
76;2022-01-13 11:07:03.309000+00:00;aLlCNRBINt8fFKTa;move;[1081, 791]
77;2022-01-13 11:07:03.326000+00:00;aLlCNRBINt8fFKTa;move;[1083, 798]
78;2022-01-13 11:07:03.426000+00:00;aLlCNRBINt8fFKTa;move;[1102, 843]
79;2022-01-13 11:07:03.443000+00:00;aLlCNRBINt8fFKTa;move;[1103, 848]
80;2022-01-13 11:07:03.460000+00:00;aLlCNRBINt8fFKTa;move;[1106, 857]
81;2022-01-13 11:07:03.476000+00:00;aLlCNRBINt8fFKTa;move;[1107, 862]
82;2022-01-13 11:07:03.493000+00:00;aLlCNRBINt8fFKTa;move;[1110, 868]
83;2022-01-13 11:07:03.593000+00:00;aLlCNRBINt8fFKTa;move;[1130, 898]
84;2022-01-13 11:07:03.610000+00:00;aLlCNRBINt8fFKTa;move;[1133, 902]
85;2022-01-13 11:07:03.627000+00:00;aLlCNRBINt8fFKTa;move;[1135, 905]
86;2022-01-13 11:07:03.776000+00:00;aLlCNRBINt8fFKTa;move;[1142, 929]
87;2022-01-13 11:07:03.809000+00:00;aLlCNRBINt8fFKTa;move;[1142, 932]
