;time;token;event;global_position
0;2022-01-12 19:11:45.238000+00:00;ag1A3LaMHpd8HCiS;move;[913, 863]
1;2022-01-12 19:11:45.254000+00:00;ag1A3LaMHpd8HCiS;move;[908, 835]
2;2022-01-12 19:11:45.271000+00:00;ag1A3LaMHpd8HCiS;move;[905, 792]
3;2022-01-12 19:11:45.287000+00:00;ag1A3LaMHpd8HCiS;move;[903, 733]
4;2022-01-12 19:11:45.322000+00:00;ag1A3LaMHpd8HCiS;move;[888, 516]
5;2022-01-12 19:11:45.337000+00:00;ag1A3LaMHpd8HCiS;move;[882, 461]
6;2022-01-12 19:11:45.371000+00:00;ag1A3LaMHpd8HCiS;move;[875, 394]
7;2022-01-12 19:11:45.404000+00:00;ag1A3LaMHpd8HCiS;move;[871, 346]
8;2022-01-12 19:11:45.421000+00:00;ag1A3LaMHpd8HCiS;move;[871, 341]
9;2022-01-12 19:11:45.438000+00:00;ag1A3LaMHpd8HCiS;move;[871, 331]
10;2022-01-12 19:11:45.454000+00:00;ag1A3LaMHpd8HCiS;move;[872, 323]
11;2022-01-12 19:11:45.487000+00:00;ag1A3LaMHpd8HCiS;move;[872, 317]
12;2022-01-12 19:11:45.571000+00:00;ag1A3LaMHpd8HCiS;move;[875, 316]
13;2022-01-12 19:11:45.588000+00:00;ag1A3LaMHpd8HCiS;move;[878, 317]
14;2022-01-12 19:11:45.604000+00:00;ag1A3LaMHpd8HCiS;move;[883, 320]
15;2022-01-12 19:11:45.623000+00:00;ag1A3LaMHpd8HCiS;move;[888, 324]
16;2022-01-12 19:11:45.654000+00:00;ag1A3LaMHpd8HCiS;move;[901, 333]
17;2022-01-12 19:11:45.671000+00:00;ag1A3LaMHpd8HCiS;move;[905, 335]
18;2022-01-12 19:11:45.688000+00:00;ag1A3LaMHpd8HCiS;move;[911, 338]
19;2022-01-12 19:11:45.704000+00:00;ag1A3LaMHpd8HCiS;move;[915, 338]
20;2022-01-12 19:11:46.288000+00:00;ag1A3LaMHpd8HCiS;move;[906, 344]
21;2022-01-12 19:11:46.304000+00:00;ag1A3LaMHpd8HCiS;move;[886, 364]
22;2022-01-12 19:11:46.321000+00:00;ag1A3LaMHpd8HCiS;move;[871, 395]
23;2022-01-12 19:11:46.338000+00:00;ag1A3LaMHpd8HCiS;move;[867, 417]
24;2022-01-12 19:11:46.354000+00:00;ag1A3LaMHpd8HCiS;move;[863, 442]
25;2022-01-12 19:11:46.455000+00:00;ag1A3LaMHpd8HCiS;move;[871, 541]
26;2022-01-12 19:11:47.288000+00:00;ag1A3LaMHpd8HCiS;move;[871, 552]
27;2022-01-12 19:11:47.305000+00:00;ag1A3LaMHpd8HCiS;move;[874, 576]
28;2022-01-12 19:11:47.321000+00:00;ag1A3LaMHpd8HCiS;move;[876, 589]
29;2022-01-12 19:11:47.338000+00:00;ag1A3LaMHpd8HCiS;move;[889, 649]
30;2022-01-12 19:11:47.387000+00:00;ag1A3LaMHpd8HCiS;move;[911, 717]
31;2022-01-12 19:11:47.404000+00:00;ag1A3LaMHpd8HCiS;move;[932, 800]
32;2022-01-12 19:11:47.421000+00:00;ag1A3LaMHpd8HCiS;move;[939, 822]
33;2022-01-12 19:11:47.438000+00:00;ag1A3LaMHpd8HCiS;move;[945, 840]
34;2022-01-12 19:11:47.488000+00:00;ag1A3LaMHpd8HCiS;move;[957, 871]
35;2022-01-12 19:11:47.504000+00:00;ag1A3LaMHpd8HCiS;move;[958, 876]
36;2022-01-12 19:11:47.521000+00:00;ag1A3LaMHpd8HCiS;move;[961, 885]
37;2022-01-12 19:11:47.537000+00:00;ag1A3LaMHpd8HCiS;move;[963, 889]
38;2022-01-12 19:11:47.604000+00:00;ag1A3LaMHpd8HCiS;move;[969, 906]
39;2022-01-12 19:11:47.621000+00:00;ag1A3LaMHpd8HCiS;move;[969, 909]
40;2022-01-12 19:11:47.705000+00:00;ag1A3LaMHpd8HCiS;move;[969, 912]
41;2022-01-12 19:12:01.806000+00:00;ag1A3LaMHpd8HCiS;move;[968, 897]
42;2022-01-12 19:12:02.472000+00:00;ag1A3LaMHpd8HCiS;move;[969, 900]
43;2022-01-12 19:12:02.508000+00:00;ag1A3LaMHpd8HCiS;move;[969, 902]
44;2022-01-12 19:12:02.621000+00:00;ag1A3LaMHpd8HCiS;move;[967, 908]
45;2022-01-12 19:12:02.655000+00:00;ag1A3LaMHpd8HCiS;move;[967, 911]
46;2022-01-12 19:12:02.671000+00:00;ag1A3LaMHpd8HCiS;move;[973, 917]
