;time;token;event;global_position
0;2022-01-13 12:44:22.780000+00:00;cAWr2gEJudestP+s;move;[741, 760]
1;2022-01-13 12:44:22.796000+00:00;cAWr2gEJudestP+s;move;[700, 750]
2;2022-01-13 12:44:22.813000+00:00;cAWr2gEJudestP+s;move;[664, 742]
3;2022-01-13 12:44:22.830000+00:00;cAWr2gEJudestP+s;move;[635, 735]
4;2022-01-13 12:44:22.846000+00:00;cAWr2gEJudestP+s;move;[616, 730]
5;2022-01-13 12:44:22.863000+00:00;cAWr2gEJudestP+s;move;[602, 727]
6;2022-01-13 12:44:22.880000+00:00;cAWr2gEJudestP+s;move;[595, 725]
7;2022-01-13 12:44:22.896000+00:00;cAWr2gEJudestP+s;move;[594, 725]
8;2022-01-13 12:44:23.950000+00:00;cAWr2gEJudestP+s;move;[593, 725]
9;2022-01-13 12:44:24.031000+00:00;cAWr2gEJudestP+s;move;[592, 725]
10;2022-01-13 12:44:24.080000+00:00;cAWr2gEJudestP+s;move;[591, 725]
11;2022-01-13 12:44:24.360000+00:00;cAWr2gEJudestP+s;move;[591, 724]
12;2022-01-13 12:44:24.370000+00:00;cAWr2gEJudestP+s;move;[592, 724]
13;2022-01-13 12:44:24.380000+00:00;cAWr2gEJudestP+s;move;[593, 722]
14;2022-01-13 12:44:24.397000+00:00;cAWr2gEJudestP+s;move;[600, 714]
15;2022-01-13 12:44:24.413000+00:00;cAWr2gEJudestP+s;move;[613, 697]
16;2022-01-13 12:44:24.430000+00:00;cAWr2gEJudestP+s;move;[629, 675]
17;2022-01-13 12:44:24.446000+00:00;cAWr2gEJudestP+s;move;[647, 651]
18;2022-01-13 12:44:24.463000+00:00;cAWr2gEJudestP+s;move;[667, 625]
19;2022-01-13 12:44:24.480000+00:00;cAWr2gEJudestP+s;move;[689, 600]
20;2022-01-13 12:44:24.496000+00:00;cAWr2gEJudestP+s;move;[712, 575]
21;2022-01-13 12:44:24.513000+00:00;cAWr2gEJudestP+s;move;[738, 548]
22;2022-01-13 12:44:24.530000+00:00;cAWr2gEJudestP+s;move;[765, 523]
23;2022-01-13 12:44:24.546000+00:00;cAWr2gEJudestP+s;move;[790, 502]
24;2022-01-13 12:44:24.563000+00:00;cAWr2gEJudestP+s;move;[817, 482]
25;2022-01-13 12:44:24.580000+00:00;cAWr2gEJudestP+s;move;[843, 466]
26;2022-01-13 12:44:24.596000+00:00;cAWr2gEJudestP+s;move;[867, 452]
27;2022-01-13 12:44:24.613000+00:00;cAWr2gEJudestP+s;move;[892, 440]
28;2022-01-13 12:44:24.630000+00:00;cAWr2gEJudestP+s;move;[920, 428]
29;2022-01-13 12:44:24.646000+00:00;cAWr2gEJudestP+s;move;[948, 417]
30;2022-01-13 12:44:24.663000+00:00;cAWr2gEJudestP+s;move;[976, 406]
31;2022-01-13 12:44:24.680000+00:00;cAWr2gEJudestP+s;move;[1004, 395]
32;2022-01-13 12:44:24.696000+00:00;cAWr2gEJudestP+s;move;[1028, 386]
33;2022-01-13 12:44:24.713000+00:00;cAWr2gEJudestP+s;move;[1054, 375]
34;2022-01-13 12:44:24.730000+00:00;cAWr2gEJudestP+s;move;[1081, 364]
35;2022-01-13 12:44:24.747000+00:00;cAWr2gEJudestP+s;move;[1105, 352]
36;2022-01-13 12:44:24.763000+00:00;cAWr2gEJudestP+s;move;[1126, 339]
37;2022-01-13 12:44:24.780000+00:00;cAWr2gEJudestP+s;move;[1144, 327]
38;2022-01-13 12:44:24.796000+00:00;cAWr2gEJudestP+s;move;[1156, 317]
39;2022-01-13 12:44:24.813000+00:00;cAWr2gEJudestP+s;move;[1166, 308]
40;2022-01-13 12:44:24.830000+00:00;cAWr2gEJudestP+s;move;[1172, 301]
41;2022-01-13 12:44:24.846000+00:00;cAWr2gEJudestP+s;move;[1174, 296]
42;2022-01-13 12:44:24.863000+00:00;cAWr2gEJudestP+s;move;[1174, 291]
43;2022-01-13 12:44:24.880000+00:00;cAWr2gEJudestP+s;move;[1173, 284]
44;2022-01-13 12:44:24.897000+00:00;cAWr2gEJudestP+s;move;[1170, 276]
45;2022-01-13 12:44:24.913000+00:00;cAWr2gEJudestP+s;move;[1167, 269]
46;2022-01-13 12:44:24.930000+00:00;cAWr2gEJudestP+s;move;[1164, 263]
47;2022-01-13 12:44:24.946000+00:00;cAWr2gEJudestP+s;move;[1163, 259]
48;2022-01-13 12:44:24.963000+00:00;cAWr2gEJudestP+s;move;[1161, 255]
49;2022-01-13 12:44:24.980000+00:00;cAWr2gEJudestP+s;move;[1160, 253]
50;2022-01-13 12:44:24.996000+00:00;cAWr2gEJudestP+s;move;[1159, 251]
51;2022-01-13 12:44:25.013000+00:00;cAWr2gEJudestP+s;move;[1159, 248]
52;2022-01-13 12:44:25.030000+00:00;cAWr2gEJudestP+s;move;[1157, 243]
53;2022-01-13 12:44:25.046000+00:00;cAWr2gEJudestP+s;move;[1154, 238]
54;2022-01-13 12:44:25.063000+00:00;cAWr2gEJudestP+s;move;[1152, 234]
55;2022-01-13 12:44:25.080000+00:00;cAWr2gEJudestP+s;move;[1151, 231]
56;2022-01-13 12:44:25.392000+00:00;cAWr2gEJudestP+s;move;[1150, 231]
57;2022-01-13 12:44:25.406000+00:00;cAWr2gEJudestP+s;move;[1150, 232]
58;2022-01-13 12:44:25.417000+00:00;cAWr2gEJudestP+s;move;[1149, 232]
59;2022-01-13 12:44:25.430000+00:00;cAWr2gEJudestP+s;move;[1149, 234]
60;2022-01-13 12:44:25.446000+00:00;cAWr2gEJudestP+s;move;[1147, 236]
61;2022-01-13 12:44:25.463000+00:00;cAWr2gEJudestP+s;move;[1146, 238]
62;2022-01-13 12:44:25.480000+00:00;cAWr2gEJudestP+s;move;[1145, 240]
63;2022-01-13 12:44:25.496000+00:00;cAWr2gEJudestP+s;move;[1143, 242]
64;2022-01-13 12:44:25.513000+00:00;cAWr2gEJudestP+s;move;[1142, 244]
65;2022-01-13 12:44:25.530000+00:00;cAWr2gEJudestP+s;move;[1141, 245]
66;2022-01-13 12:44:25.546000+00:00;cAWr2gEJudestP+s;move;[1139, 248]
67;2022-01-13 12:44:25.563000+00:00;cAWr2gEJudestP+s;move;[1129, 255]
68;2022-01-13 12:44:25.580000+00:00;cAWr2gEJudestP+s;move;[1105, 262]
69;2022-01-13 12:44:25.596000+00:00;cAWr2gEJudestP+s;move;[1066, 264]
70;2022-01-13 12:44:25.613000+00:00;cAWr2gEJudestP+s;move;[1005, 259]
71;2022-01-13 12:44:25.630000+00:00;cAWr2gEJudestP+s;move;[929, 246]
72;2022-01-13 12:44:25.646000+00:00;cAWr2gEJudestP+s;move;[836, 226]
73;2022-01-13 12:44:25.663000+00:00;cAWr2gEJudestP+s;move;[750, 208]
74;2022-01-13 12:44:25.680000+00:00;cAWr2gEJudestP+s;move;[705, 194]
75;2022-01-13 12:44:25.696000+00:00;cAWr2gEJudestP+s;move;[713, 184]
76;2022-01-13 12:44:25.713000+00:00;cAWr2gEJudestP+s;move;[772, 169]
77;2022-01-13 12:44:25.730000+00:00;cAWr2gEJudestP+s;move;[873, 157]
78;2022-01-13 12:44:25.747000+00:00;cAWr2gEJudestP+s;move;[987, 154]
79;2022-01-13 12:44:25.763000+00:00;cAWr2gEJudestP+s;move;[1108, 157]
80;2022-01-13 12:44:25.780000+00:00;cAWr2gEJudestP+s;move;[1191, 166]
81;2022-01-13 12:44:25.796000+00:00;cAWr2gEJudestP+s;move;[1221, 177]
82;2022-01-13 12:44:25.813000+00:00;cAWr2gEJudestP+s;move;[1207, 186]
83;2022-01-13 12:44:25.830000+00:00;cAWr2gEJudestP+s;move;[1159, 201]
84;2022-01-13 12:44:25.846000+00:00;cAWr2gEJudestP+s;move;[1097, 225]
85;2022-01-13 12:44:25.863000+00:00;cAWr2gEJudestP+s;move;[1026, 264]
86;2022-01-13 12:44:25.880000+00:00;cAWr2gEJudestP+s;move;[963, 320]
87;2022-01-13 12:44:25.897000+00:00;cAWr2gEJudestP+s;move;[912, 385]
88;2022-01-13 12:44:25.913000+00:00;cAWr2gEJudestP+s;move;[871, 457]
89;2022-01-13 12:44:25.930000+00:00;cAWr2gEJudestP+s;move;[841, 519]
90;2022-01-13 12:44:25.946000+00:00;cAWr2gEJudestP+s;move;[817, 564]
91;2022-01-13 12:44:25.963000+00:00;cAWr2gEJudestP+s;move;[798, 593]
92;2022-01-13 12:44:25.980000+00:00;cAWr2gEJudestP+s;move;[784, 606]
93;2022-01-13 12:44:25.997000+00:00;cAWr2gEJudestP+s;move;[778, 610]
94;2022-01-13 12:44:26.013000+00:00;cAWr2gEJudestP+s;move;[776, 610]
95;2022-01-13 12:44:26.342000+00:00;cAWr2gEJudestP+s;move;[775, 610]
96;2022-01-13 12:44:26.346000+00:00;cAWr2gEJudestP+s;move;[774, 610]
97;2022-01-13 12:44:26.363000+00:00;cAWr2gEJudestP+s;move;[767, 609]
98;2022-01-13 12:44:26.380000+00:00;cAWr2gEJudestP+s;move;[752, 607]
99;2022-01-13 12:44:26.396000+00:00;cAWr2gEJudestP+s;move;[731, 604]
100;2022-01-13 12:44:26.413000+00:00;cAWr2gEJudestP+s;move;[698, 599]
101;2022-01-13 12:44:26.430000+00:00;cAWr2gEJudestP+s;move;[654, 590]
102;2022-01-13 12:44:26.446000+00:00;cAWr2gEJudestP+s;move;[601, 581]
103;2022-01-13 12:44:26.463000+00:00;cAWr2gEJudestP+s;move;[540, 570]
104;2022-01-13 12:44:26.480000+00:00;cAWr2gEJudestP+s;move;[481, 557]
105;2022-01-13 12:44:26.496000+00:00;cAWr2gEJudestP+s;move;[432, 545]
106;2022-01-13 12:44:26.513000+00:00;cAWr2gEJudestP+s;move;[386, 531]
107;2022-01-13 12:44:26.530000+00:00;cAWr2gEJudestP+s;move;[348, 521]
108;2022-01-13 12:44:26.546000+00:00;cAWr2gEJudestP+s;move;[320, 513]
109;2022-01-13 12:44:26.563000+00:00;cAWr2gEJudestP+s;move;[299, 508]
110;2022-01-13 12:44:26.580000+00:00;cAWr2gEJudestP+s;move;[293, 505]
111;2022-01-13 12:44:26.630000+00:00;cAWr2gEJudestP+s;move;[293, 504]
112;2022-01-13 12:44:26.646000+00:00;cAWr2gEJudestP+s;move;[295, 499]
113;2022-01-13 12:44:26.663000+00:00;cAWr2gEJudestP+s;move;[301, 488]
114;2022-01-13 12:44:26.680000+00:00;cAWr2gEJudestP+s;move;[310, 471]
115;2022-01-13 12:44:26.696000+00:00;cAWr2gEJudestP+s;move;[319, 450]
116;2022-01-13 12:44:26.713000+00:00;cAWr2gEJudestP+s;move;[329, 427]
117;2022-01-13 12:44:26.730000+00:00;cAWr2gEJudestP+s;move;[339, 403]
118;2022-01-13 12:44:26.747000+00:00;cAWr2gEJudestP+s;move;[346, 381]
119;2022-01-13 12:44:26.763000+00:00;cAWr2gEJudestP+s;move;[351, 361]
120;2022-01-13 12:44:26.780000+00:00;cAWr2gEJudestP+s;move;[354, 345]
121;2022-01-13 12:44:26.796000+00:00;cAWr2gEJudestP+s;move;[355, 333]
122;2022-01-13 12:44:26.813000+00:00;cAWr2gEJudestP+s;move;[355, 325]
123;2022-01-13 12:44:26.830000+00:00;cAWr2gEJudestP+s;move;[355, 320]
124;2022-01-13 12:44:26.846000+00:00;cAWr2gEJudestP+s;move;[355, 318]
125;2022-01-13 12:44:26.863000+00:00;cAWr2gEJudestP+s;move;[355, 317]
126;2022-01-13 12:44:26.952000+00:00;cAWr2gEJudestP+s;move;[355, 316]
127;2022-01-13 12:44:26.963000+00:00;cAWr2gEJudestP+s;move;[357, 315]
128;2022-01-13 12:44:26.980000+00:00;cAWr2gEJudestP+s;move;[364, 311]
129;2022-01-13 12:44:26.996000+00:00;cAWr2gEJudestP+s;move;[372, 308]
