;time;token;event;global_position
0;2022-01-20 13:27:27.732000+00:00;dE0URP67FVDuspxr;move;[1674, 888]
1;2022-01-20 13:27:27.742000+00:00;dE0URP67FVDuspxr;move;[1673, 888]
2;2022-01-20 13:27:27.759000+00:00;dE0URP67FVDuspxr;move;[1672, 887]
3;2022-01-20 13:27:27.777000+00:00;dE0URP67FVDuspxr;move;[1667, 883]
4;2022-01-20 13:27:27.795000+00:00;dE0URP67FVDuspxr;move;[1661, 878]
5;2022-01-20 13:27:27.811000+00:00;dE0URP67FVDuspxr;move;[1656, 872]
6;2022-01-20 13:27:27.828000+00:00;dE0URP67FVDuspxr;move;[1645, 861]
7;2022-01-20 13:27:27.842000+00:00;dE0URP67FVDuspxr;move;[1627, 841]
8;2022-01-20 13:27:27.860000+00:00;dE0URP67FVDuspxr;move;[1602, 819]
9;2022-01-20 13:27:27.876000+00:00;dE0URP67FVDuspxr;move;[1570, 792]
10;2022-01-20 13:27:27.894000+00:00;dE0URP67FVDuspxr;move;[1547, 771]
11;2022-01-20 13:27:27.910000+00:00;dE0URP67FVDuspxr;move;[1529, 748]
12;2022-01-20 13:27:27.925000+00:00;dE0URP67FVDuspxr;move;[1524, 742]
13;2022-01-20 13:27:27.941000+00:00;dE0URP67FVDuspxr;move;[1520, 737]
14;2022-01-20 13:27:27.959000+00:00;dE0URP67FVDuspxr;move;[1519, 730]
15;2022-01-20 13:27:27.978000+00:00;dE0URP67FVDuspxr;move;[1517, 726]
16;2022-01-20 13:27:27.992000+00:00;dE0URP67FVDuspxr;move;[1517, 721]
17;2022-01-20 13:27:28.009000+00:00;dE0URP67FVDuspxr;move;[1516, 714]
18;2022-01-20 13:27:28.027000+00:00;dE0URP67FVDuspxr;move;[1519, 702]
19;2022-01-20 13:27:28.046000+00:00;dE0URP67FVDuspxr;move;[1532, 666]
20;2022-01-20 13:27:28.061000+00:00;dE0URP67FVDuspxr;move;[1540, 632]
21;2022-01-20 13:27:28.078000+00:00;dE0URP67FVDuspxr;move;[1548, 590]
22;2022-01-20 13:27:28.105000+00:00;dE0URP67FVDuspxr;move;[1550, 531]
23;2022-01-20 13:27:28.111000+00:00;dE0URP67FVDuspxr;move;[1552, 513]
24;2022-01-20 13:27:28.127000+00:00;dE0URP67FVDuspxr;move;[1552, 486]
25;2022-01-20 13:27:28.144000+00:00;dE0URP67FVDuspxr;move;[1552, 468]
26;2022-01-20 13:27:28.159000+00:00;dE0URP67FVDuspxr;move;[1553, 462]
27;2022-01-20 13:27:28.175000+00:00;dE0URP67FVDuspxr;move;[1555, 457]
28;2022-01-20 13:27:28.193000+00:00;dE0URP67FVDuspxr;move;[1556, 457]
29;2022-01-20 13:27:28.988000+00:00;dE0URP67FVDuspxr;move;[1558, 456]
30;2022-01-20 13:27:28.992000+00:00;dE0URP67FVDuspxr;move;[1559, 456]
