;time;token;event;global_position
0;2022-01-13 12:43:39.718000+00:00;eXsm+0vE25UQ9wFo;move;[697, 705]
1;2022-01-13 12:44:01.684000+00:00;eXsm+0vE25UQ9wFo;move;[697, 704]
2;2022-01-13 12:44:01.685000+00:00;eXsm+0vE25UQ9wFo;move;[697, 704]
3;2022-01-13 12:44:01.697000+00:00;eXsm+0vE25UQ9wFo;move;[697, 697]
4;2022-01-13 12:44:01.698000+00:00;eXsm+0vE25UQ9wFo;move;[700, 685]
5;2022-01-13 12:44:01.698000+00:00;eXsm+0vE25UQ9wFo;move;[697, 697]
6;2022-01-13 12:44:01.710000+00:00;eXsm+0vE25UQ9wFo;move;[706, 672]
7;2022-01-13 12:44:01.711000+00:00;eXsm+0vE25UQ9wFo;move;[706, 672]
8;2022-01-13 12:44:01.714000+00:00;eXsm+0vE25UQ9wFo;move;[713, 655]
9;2022-01-13 12:44:01.714000+00:00;eXsm+0vE25UQ9wFo;move;[713, 655]
10;2022-01-13 12:44:01.722000+00:00;eXsm+0vE25UQ9wFo;move;[720, 639]
11;2022-01-13 12:44:01.723000+00:00;eXsm+0vE25UQ9wFo;move;[720, 639]
12;2022-01-13 12:44:01.730000+00:00;eXsm+0vE25UQ9wFo;move;[734, 611]
13;2022-01-13 12:44:01.730000+00:00;eXsm+0vE25UQ9wFo;move;[734, 611]
14;2022-01-13 12:44:01.738000+00:00;eXsm+0vE25UQ9wFo;move;[741, 598]
15;2022-01-13 12:44:01.739000+00:00;eXsm+0vE25UQ9wFo;move;[741, 598]
16;2022-01-13 12:44:01.746000+00:00;eXsm+0vE25UQ9wFo;move;[755, 574]
17;2022-01-13 12:44:01.747000+00:00;eXsm+0vE25UQ9wFo;move;[755, 574]
18;2022-01-13 12:44:01.755000+00:00;eXsm+0vE25UQ9wFo;move;[769, 555]
19;2022-01-13 12:44:01.756000+00:00;eXsm+0vE25UQ9wFo;move;[769, 555]
20;2022-01-13 12:44:01.762000+00:00;eXsm+0vE25UQ9wFo;move;[781, 537]
