;time;token;event;global_position
0;2022-01-20 12:56:22.528000+00:00;f5kVTv9xJ9LicSzk;move;[1247, 896]
1;2022-01-20 12:56:22.535000+00:00;f5kVTv9xJ9LicSzk;move;[1243, 893]
2;2022-01-20 12:56:22.552000+00:00;f5kVTv9xJ9LicSzk;move;[1224, 881]
3;2022-01-20 12:56:22.568000+00:00;f5kVTv9xJ9LicSzk;move;[1212, 873]
4;2022-01-20 12:56:22.585000+00:00;f5kVTv9xJ9LicSzk;move;[1191, 862]
5;2022-01-20 12:56:22.602000+00:00;f5kVTv9xJ9LicSzk;move;[1171, 853]
6;2022-01-20 12:56:22.619000+00:00;f5kVTv9xJ9LicSzk;move;[1150, 841]
7;2022-01-20 12:56:22.635000+00:00;f5kVTv9xJ9LicSzk;move;[1133, 832]
8;2022-01-20 12:56:22.652000+00:00;f5kVTv9xJ9LicSzk;move;[1116, 825]
9;2022-01-20 12:56:22.668000+00:00;f5kVTv9xJ9LicSzk;move;[1096, 814]
10;2022-01-20 12:56:22.685000+00:00;f5kVTv9xJ9LicSzk;move;[1074, 802]
11;2022-01-20 12:56:22.702000+00:00;f5kVTv9xJ9LicSzk;move;[1053, 789]
12;2022-01-20 12:56:22.718000+00:00;f5kVTv9xJ9LicSzk;move;[1031, 777]
13;2022-01-20 12:56:22.735000+00:00;f5kVTv9xJ9LicSzk;move;[1013, 765]
14;2022-01-20 12:56:22.752000+00:00;f5kVTv9xJ9LicSzk;move;[995, 754]
15;2022-01-20 12:56:22.769000+00:00;f5kVTv9xJ9LicSzk;move;[982, 744]
16;2022-01-20 12:56:22.785000+00:00;f5kVTv9xJ9LicSzk;move;[970, 734]
17;2022-01-20 12:56:22.802000+00:00;f5kVTv9xJ9LicSzk;move;[954, 721]
18;2022-01-20 12:56:22.819000+00:00;f5kVTv9xJ9LicSzk;move;[937, 705]
19;2022-01-20 12:56:22.835000+00:00;f5kVTv9xJ9LicSzk;move;[920, 687]
20;2022-01-20 12:56:22.852000+00:00;f5kVTv9xJ9LicSzk;move;[904, 668]
21;2022-01-20 12:56:22.869000+00:00;f5kVTv9xJ9LicSzk;move;[890, 652]
22;2022-01-20 12:56:22.885000+00:00;f5kVTv9xJ9LicSzk;move;[876, 635]
23;2022-01-20 12:56:22.902000+00:00;f5kVTv9xJ9LicSzk;move;[866, 624]
24;2022-01-20 12:56:22.919000+00:00;f5kVTv9xJ9LicSzk;move;[859, 614]
25;2022-01-20 12:56:22.935000+00:00;f5kVTv9xJ9LicSzk;move;[854, 609]
