;time;token;event;global_position
0;2022-01-13 12:43:41.627000+00:00;feb7gL7WLgzky43P;move;[1290, 725]
1;2022-01-13 12:43:41.632000+00:00;feb7gL7WLgzky43P;move;[1287, 722]
2;2022-01-13 12:43:41.640000+00:00;feb7gL7WLgzky43P;move;[1284, 718]
3;2022-01-13 12:43:41.657000+00:00;feb7gL7WLgzky43P;move;[1277, 710]
4;2022-01-13 12:43:41.673000+00:00;feb7gL7WLgzky43P;move;[1259, 690]
5;2022-01-13 12:43:41.690000+00:00;feb7gL7WLgzky43P;move;[1242, 672]
6;2022-01-13 12:43:41.707000+00:00;feb7gL7WLgzky43P;move;[1223, 641]
7;2022-01-13 12:43:41.723000+00:00;feb7gL7WLgzky43P;move;[1212, 616]
8;2022-01-13 12:43:41.740000+00:00;feb7gL7WLgzky43P;move;[1198, 583]
9;2022-01-13 12:43:41.757000+00:00;feb7gL7WLgzky43P;move;[1188, 559]
10;2022-01-13 12:43:41.774000+00:00;feb7gL7WLgzky43P;move;[1182, 537]
11;2022-01-13 12:43:41.791000+00:00;feb7gL7WLgzky43P;move;[1178, 530]
12;2022-01-13 12:43:41.806000+00:00;feb7gL7WLgzky43P;move;[1179, 524]
13;2022-01-13 12:43:41.823000+00:00;feb7gL7WLgzky43P;move;[1182, 521]
14;2022-01-13 12:44:23.140000+00:00;feb7gL7WLgzky43P;move;[1192, 493]
15;2022-01-13 12:44:23.144000+00:00;feb7gL7WLgzky43P;move;[1206, 459]
16;2022-01-13 12:44:23.152000+00:00;feb7gL7WLgzky43P;move;[1221, 433]
17;2022-01-13 12:44:23.169000+00:00;feb7gL7WLgzky43P;move;[1252, 382]
18;2022-01-13 12:44:23.186000+00:00;feb7gL7WLgzky43P;move;[1309, 314]
19;2022-01-13 12:44:23.202000+00:00;feb7gL7WLgzky43P;move;[1349, 283]
20;2022-01-13 12:44:23.219000+00:00;feb7gL7WLgzky43P;move;[1408, 252]
21;2022-01-13 12:44:23.236000+00:00;feb7gL7WLgzky43P;move;[1430, 238]
22;2022-01-13 12:44:23.252000+00:00;feb7gL7WLgzky43P;move;[1433, 237]
23;2022-01-13 12:44:23.518000+00:00;feb7gL7WLgzky43P;move;[1434, 239]
24;2022-01-13 12:44:23.522000+00:00;feb7gL7WLgzky43P;move;[1437, 244]
25;2022-01-13 12:44:23.536000+00:00;feb7gL7WLgzky43P;move;[1442, 251]
26;2022-01-13 12:44:23.552000+00:00;feb7gL7WLgzky43P;move;[1447, 262]
27;2022-01-13 12:44:23.569000+00:00;feb7gL7WLgzky43P;move;[1452, 274]
28;2022-01-13 12:44:23.586000+00:00;feb7gL7WLgzky43P;move;[1457, 281]
29;2022-01-13 12:44:23.602000+00:00;feb7gL7WLgzky43P;move;[1462, 292]
30;2022-01-13 12:44:23.619000+00:00;feb7gL7WLgzky43P;move;[1466, 298]
31;2022-01-13 12:44:23.635000+00:00;feb7gL7WLgzky43P;move;[1470, 305]
32;2022-01-13 12:44:23.652000+00:00;feb7gL7WLgzky43P;move;[1471, 308]
33;2022-01-13 12:44:23.669000+00:00;feb7gL7WLgzky43P;move;[1472, 314]
34;2022-01-13 12:44:23.685000+00:00;feb7gL7WLgzky43P;move;[1473, 314]
35;2022-01-13 12:44:23.702000+00:00;feb7gL7WLgzky43P;move;[1474, 317]
36;2022-01-13 12:44:23.719000+00:00;feb7gL7WLgzky43P;move;[1474, 318]
37;2022-01-13 12:44:23.736000+00:00;feb7gL7WLgzky43P;move;[1474, 319]
38;2022-01-13 12:44:23.752000+00:00;feb7gL7WLgzky43P;move;[1474, 320]
39;2022-01-13 12:44:23.768000+00:00;feb7gL7WLgzky43P;move;[1476, 320]
40;2022-01-13 12:44:24.077000+00:00;feb7gL7WLgzky43P;move;[1476, 318]
41;2022-01-13 12:44:24.082000+00:00;feb7gL7WLgzky43P;move;[1477, 314]
42;2022-01-13 12:44:24.088000+00:00;feb7gL7WLgzky43P;move;[1478, 313]
43;2022-01-13 12:44:24.101000+00:00;feb7gL7WLgzky43P;move;[1479, 310]
44;2022-01-13 12:44:24.118000+00:00;feb7gL7WLgzky43P;move;[1480, 306]
45;2022-01-13 12:44:24.135000+00:00;feb7gL7WLgzky43P;move;[1480, 306]
46;2022-01-13 12:44:24.152000+00:00;feb7gL7WLgzky43P;move;[1481, 303]
47;2022-01-13 12:44:24.168000+00:00;feb7gL7WLgzky43P;move;[1482, 302]
48;2022-01-13 12:44:24.184000+00:00;feb7gL7WLgzky43P;move;[1483, 301]
49;2022-01-13 12:44:25.850000+00:00;feb7gL7WLgzky43P;move;[1463, 297]
50;2022-01-13 12:44:25.855000+00:00;feb7gL7WLgzky43P;move;[1418, 291]
51;2022-01-13 12:44:25.868000+00:00;feb7gL7WLgzky43P;move;[1311, 280]
52;2022-01-13 12:44:25.883000+00:00;feb7gL7WLgzky43P;move;[1196, 272]
53;2022-01-13 12:44:25.900000+00:00;feb7gL7WLgzky43P;move;[997, 262]
54;2022-01-13 12:44:25.917000+00:00;feb7gL7WLgzky43P;move;[862, 262]
55;2022-01-13 12:44:25.933000+00:00;feb7gL7WLgzky43P;move;[681, 277]
56;2022-01-13 12:44:25.950000+00:00;feb7gL7WLgzky43P;move;[580, 296]
57;2022-01-13 12:44:25.967000+00:00;feb7gL7WLgzky43P;move;[477, 337]
58;2022-01-13 12:44:25.983000+00:00;feb7gL7WLgzky43P;move;[445, 358]
59;2022-01-13 12:44:26+00:00;feb7gL7WLgzky43P;move;[430, 367]
60;2022-01-13 12:44:26.311000+00:00;feb7gL7WLgzky43P;move;[437, 355]
61;2022-01-13 12:44:26.315000+00:00;feb7gL7WLgzky43P;move;[454, 328]
62;2022-01-13 12:44:26.321000+00:00;feb7gL7WLgzky43P;move;[470, 303]
63;2022-01-13 12:44:26.332000+00:00;feb7gL7WLgzky43P;move;[484, 279]
64;2022-01-13 12:44:26.350000+00:00;feb7gL7WLgzky43P;move;[531, 216]
65;2022-01-13 12:44:26.366000+00:00;feb7gL7WLgzky43P;move;[561, 183]
66;2022-01-13 12:44:26.382000+00:00;feb7gL7WLgzky43P;move;[595, 147]
67;2022-01-13 12:44:26.400000+00:00;feb7gL7WLgzky43P;move;[614, 127]
68;2022-01-13 12:44:26.416000+00:00;feb7gL7WLgzky43P;move;[642, 102]
69;2022-01-13 12:44:26.433000+00:00;feb7gL7WLgzky43P;move;[654, 90]
70;2022-01-13 12:44:26.450000+00:00;feb7gL7WLgzky43P;move;[663, 80]
71;2022-01-13 12:44:26.466000+00:00;feb7gL7WLgzky43P;move;[666, 75]
72;2022-01-13 12:44:26.482000+00:00;feb7gL7WLgzky43P;move;[666, 65]
73;2022-01-13 12:44:26.499000+00:00;feb7gL7WLgzky43P;move;[666, 60]
74;2022-01-13 12:44:26.517000+00:00;feb7gL7WLgzky43P;move;[662, 55]
75;2022-01-13 12:44:26.774000+00:00;feb7gL7WLgzky43P;move;[634, 55]
76;2022-01-13 12:44:26.778000+00:00;feb7gL7WLgzky43P;move;[587, 55]
77;2022-01-13 12:44:26.787000+00:00;feb7gL7WLgzky43P;move;[544, 56]
78;2022-01-13 12:44:26.799000+00:00;feb7gL7WLgzky43P;move;[446, 70]
79;2022-01-13 12:44:26.816000+00:00;feb7gL7WLgzky43P;move;[347, 91]
80;2022-01-13 12:44:26.833000+00:00;feb7gL7WLgzky43P;move;[214, 135]
81;2022-01-13 12:44:26.850000+00:00;feb7gL7WLgzky43P;move;[150, 158]
82;2022-01-13 12:44:26.866000+00:00;feb7gL7WLgzky43P;move;[78, 194]
83;2022-01-13 12:44:26.882000+00:00;feb7gL7WLgzky43P;move;[54, 212]
84;2022-01-13 12:44:26.900000+00:00;feb7gL7WLgzky43P;move;[44, 225]
85;2022-01-13 12:44:27.242000+00:00;feb7gL7WLgzky43P;move;[45, 222]
86;2022-01-13 12:44:27.249000+00:00;feb7gL7WLgzky43P;move;[48, 218]
87;2022-01-13 12:44:27.265000+00:00;feb7gL7WLgzky43P;move;[54, 212]
88;2022-01-13 12:44:27.283000+00:00;feb7gL7WLgzky43P;move;[68, 200]
89;2022-01-13 12:44:27.299000+00:00;feb7gL7WLgzky43P;move;[74, 194]
90;2022-01-13 12:44:27.315000+00:00;feb7gL7WLgzky43P;move;[86, 187]
91;2022-01-13 12:44:27.333000+00:00;feb7gL7WLgzky43P;move;[91, 184]
92;2022-01-13 12:44:27.349000+00:00;feb7gL7WLgzky43P;move;[96, 182]
93;2022-01-13 12:44:27.365000+00:00;feb7gL7WLgzky43P;move;[99, 181]
94;2022-01-13 12:44:27.382000+00:00;feb7gL7WLgzky43P;move;[102, 179]
95;2022-01-13 12:44:27.399000+00:00;feb7gL7WLgzky43P;move;[103, 179]
96;2022-01-13 12:44:27.686000+00:00;feb7gL7WLgzky43P;move;[110, 178]
97;2022-01-13 12:44:27.699000+00:00;feb7gL7WLgzky43P;move;[118, 175]
98;2022-01-13 12:44:27.716000+00:00;feb7gL7WLgzky43P;move;[143, 171]
99;2022-01-13 12:44:27.731000+00:00;feb7gL7WLgzky43P;move;[164, 168]
100;2022-01-13 12:44:27.748000+00:00;feb7gL7WLgzky43P;move;[176, 167]
101;2022-01-13 12:44:27.765000+00:00;feb7gL7WLgzky43P;move;[189, 166]
102;2022-01-13 12:44:27.781000+00:00;feb7gL7WLgzky43P;move;[194, 166]
103;2022-01-13 12:44:28.080000+00:00;feb7gL7WLgzky43P;move;[197, 166]
104;2022-01-13 12:44:28.088000+00:00;feb7gL7WLgzky43P;move;[202, 164]
105;2022-01-13 12:44:28.098000+00:00;feb7gL7WLgzky43P;move;[207, 163]
106;2022-01-13 12:44:28.114000+00:00;feb7gL7WLgzky43P;move;[222, 161]
107;2022-01-13 12:44:28.131000+00:00;feb7gL7WLgzky43P;move;[229, 160]
108;2022-01-13 12:44:28.148000+00:00;feb7gL7WLgzky43P;move;[239, 159]
109;2022-01-13 12:44:28.165000+00:00;feb7gL7WLgzky43P;move;[246, 157]
110;2022-01-13 12:44:28.181000+00:00;feb7gL7WLgzky43P;move;[252, 157]
111;2022-01-13 12:44:28.198000+00:00;feb7gL7WLgzky43P;move;[255, 156]
112;2022-01-13 12:44:28.579000+00:00;feb7gL7WLgzky43P;move;[257, 156]
113;2022-01-13 12:44:28.585000+00:00;feb7gL7WLgzky43P;move;[260, 156]
114;2022-01-13 12:44:28.597000+00:00;feb7gL7WLgzky43P;move;[264, 156]
115;2022-01-13 12:44:28.614000+00:00;feb7gL7WLgzky43P;move;[269, 156]
116;2022-01-13 12:44:28.631000+00:00;feb7gL7WLgzky43P;move;[276, 156]
117;2022-01-13 12:44:28.648000+00:00;feb7gL7WLgzky43P;move;[283, 156]
118;2022-01-13 12:44:28.664000+00:00;feb7gL7WLgzky43P;move;[287, 156]
119;2022-01-13 12:44:28.681000+00:00;feb7gL7WLgzky43P;move;[291, 155]
120;2022-01-13 12:44:28.697000+00:00;feb7gL7WLgzky43P;move;[295, 155]
121;2022-01-13 12:44:28.714000+00:00;feb7gL7WLgzky43P;move;[297, 154]
122;2022-01-13 12:44:29.067000+00:00;feb7gL7WLgzky43P;move;[298, 154]
