;time;token;event;global_position
0;2022-01-20 13:05:30.681000+00:00;gMfyWyLNzQ+xucY1;move;[444, 880]
1;2022-01-20 13:05:30.685000+00:00;gMfyWyLNzQ+xucY1;move;[445, 879]
2;2022-01-20 13:05:30.692000+00:00;gMfyWyLNzQ+xucY1;move;[446, 877]
3;2022-01-20 13:05:30.699000+00:00;gMfyWyLNzQ+xucY1;move;[447, 874]
4;2022-01-20 13:05:30.706000+00:00;gMfyWyLNzQ+xucY1;move;[449, 870]
5;2022-01-20 13:05:30.713000+00:00;gMfyWyLNzQ+xucY1;move;[450, 864]
6;2022-01-20 13:05:30.720000+00:00;gMfyWyLNzQ+xucY1;move;[452, 855]
7;2022-01-20 13:05:30.726000+00:00;gMfyWyLNzQ+xucY1;move;[455, 842]
8;2022-01-20 13:05:30.734000+00:00;gMfyWyLNzQ+xucY1;move;[458, 825]
9;2022-01-20 13:05:30.740000+00:00;gMfyWyLNzQ+xucY1;move;[459, 812]
10;2022-01-20 13:05:30.747000+00:00;gMfyWyLNzQ+xucY1;move;[460, 794]
11;2022-01-20 13:05:30.754000+00:00;gMfyWyLNzQ+xucY1;move;[460, 777]
12;2022-01-20 13:05:30.761000+00:00;gMfyWyLNzQ+xucY1;move;[460, 764]
13;2022-01-20 13:05:30.768000+00:00;gMfyWyLNzQ+xucY1;move;[460, 756]
14;2022-01-20 13:05:30.775000+00:00;gMfyWyLNzQ+xucY1;move;[460, 752]
15;2022-01-20 13:05:30.919000+00:00;gMfyWyLNzQ+xucY1;move;[461, 752]
16;2022-01-20 13:05:30.921000+00:00;gMfyWyLNzQ+xucY1;move;[461, 751]
17;2022-01-20 13:05:30.928000+00:00;gMfyWyLNzQ+xucY1;move;[461, 750]
18;2022-01-20 13:05:30.935000+00:00;gMfyWyLNzQ+xucY1;move;[462, 749]
19;2022-01-20 13:05:30.942000+00:00;gMfyWyLNzQ+xucY1;move;[465, 746]
20;2022-01-20 13:05:30.949000+00:00;gMfyWyLNzQ+xucY1;move;[468, 740]
