;time;token;event;global_position
0;2022-01-13 07:03:12.387000+00:00;gqWkGxjm5N4xB0Zc;move;[878, 753]
1;2022-01-13 07:03:12.394000+00:00;gqWkGxjm5N4xB0Zc;move;[877, 750]
2;2022-01-13 07:03:12.410000+00:00;gqWkGxjm5N4xB0Zc;move;[874, 748]
3;2022-01-13 07:03:12.427000+00:00;gqWkGxjm5N4xB0Zc;move;[864, 736]
4;2022-01-13 07:03:12.444000+00:00;gqWkGxjm5N4xB0Zc;move;[848, 717]
5;2022-01-13 07:03:12.461000+00:00;gqWkGxjm5N4xB0Zc;move;[830, 693]
6;2022-01-13 07:03:12.478000+00:00;gqWkGxjm5N4xB0Zc;move;[808, 664]
7;2022-01-13 07:03:12.494000+00:00;gqWkGxjm5N4xB0Zc;move;[790, 633]
8;2022-01-13 07:03:12.511000+00:00;gqWkGxjm5N4xB0Zc;move;[776, 600]
9;2022-01-13 07:03:12.528000+00:00;gqWkGxjm5N4xB0Zc;move;[768, 570]
10;2022-01-13 07:03:12.544000+00:00;gqWkGxjm5N4xB0Zc;move;[764, 540]
11;2022-01-13 07:03:12.561000+00:00;gqWkGxjm5N4xB0Zc;move;[763, 521]
12;2022-01-13 07:03:12.577000+00:00;gqWkGxjm5N4xB0Zc;move;[763, 500]
13;2022-01-13 07:03:12.764000+00:00;gqWkGxjm5N4xB0Zc;move;[762, 500]
14;2022-01-13 07:03:12.777000+00:00;gqWkGxjm5N4xB0Zc;move;[757, 498]
15;2022-01-13 07:03:12.795000+00:00;gqWkGxjm5N4xB0Zc;move;[737, 480]
16;2022-01-13 07:03:12.811000+00:00;gqWkGxjm5N4xB0Zc;move;[706, 450]
17;2022-01-13 07:03:12.827000+00:00;gqWkGxjm5N4xB0Zc;move;[643, 379]
18;2022-01-13 07:03:12.844000+00:00;gqWkGxjm5N4xB0Zc;move;[606, 330]
19;2022-01-13 07:03:12.861000+00:00;gqWkGxjm5N4xB0Zc;move;[570, 267]
20;2022-01-13 07:03:12.877000+00:00;gqWkGxjm5N4xB0Zc;move;[555, 228]
21;2022-01-13 07:03:12.894000+00:00;gqWkGxjm5N4xB0Zc;move;[546, 198]
22;2022-01-13 07:03:12.911000+00:00;gqWkGxjm5N4xB0Zc;move;[543, 182]
23;2022-01-13 07:03:13.092000+00:00;gqWkGxjm5N4xB0Zc;move;[543, 183]
24;2022-01-13 07:03:13.100000+00:00;gqWkGxjm5N4xB0Zc;move;[543, 184]
25;2022-01-13 07:03:13.111000+00:00;gqWkGxjm5N4xB0Zc;move;[543, 185]
26;2022-01-13 07:03:13.127000+00:00;gqWkGxjm5N4xB0Zc;move;[543, 189]
27;2022-01-13 07:03:13.145000+00:00;gqWkGxjm5N4xB0Zc;move;[544, 194]
28;2022-01-13 07:03:13.161000+00:00;gqWkGxjm5N4xB0Zc;move;[547, 202]
29;2022-01-13 07:03:13.178000+00:00;gqWkGxjm5N4xB0Zc;move;[550, 210]
30;2022-01-13 07:03:13.194000+00:00;gqWkGxjm5N4xB0Zc;move;[553, 219]
