;time;token;event;global_position
0;2022-01-20 13:05:10.752000+00:00;it1poRkhhLiIA0MU;move;[1024, 660]
1;2022-01-20 13:05:10.766000+00:00;it1poRkhhLiIA0MU;move;[1024, 657]
2;2022-01-20 13:05:10.772000+00:00;it1poRkhhLiIA0MU;move;[1024, 654]
3;2022-01-20 13:05:10.774000+00:00;it1poRkhhLiIA0MU;move;[1024, 653]
4;2022-01-20 13:05:10.781000+00:00;it1poRkhhLiIA0MU;move;[1024, 649]
5;2022-01-20 13:05:10.788000+00:00;it1poRkhhLiIA0MU;move;[1024, 643]
6;2022-01-20 13:05:10.795000+00:00;it1poRkhhLiIA0MU;move;[1024, 638]
7;2022-01-20 13:05:10.801000+00:00;it1poRkhhLiIA0MU;move;[1024, 633]
8;2022-01-20 13:05:10.808000+00:00;it1poRkhhLiIA0MU;move;[1024, 628]
9;2022-01-20 13:05:10.815000+00:00;it1poRkhhLiIA0MU;move;[1024, 624]
10;2022-01-20 13:05:10.822000+00:00;it1poRkhhLiIA0MU;move;[1024, 620]
11;2022-01-20 13:05:10.829000+00:00;it1poRkhhLiIA0MU;move;[1024, 616]
12;2022-01-20 13:05:10.837000+00:00;it1poRkhhLiIA0MU;move;[1024, 612]
13;2022-01-20 13:05:10.843000+00:00;it1poRkhhLiIA0MU;move;[1024, 609]
14;2022-01-20 13:05:10.850000+00:00;it1poRkhhLiIA0MU;move;[1027, 605]
15;2022-01-20 13:05:10.857000+00:00;it1poRkhhLiIA0MU;move;[1031, 600]
16;2022-01-20 13:05:10.864000+00:00;it1poRkhhLiIA0MU;move;[1034, 595]
17;2022-01-20 13:05:10.871000+00:00;it1poRkhhLiIA0MU;move;[1038, 590]
18;2022-01-20 13:05:10.878000+00:00;it1poRkhhLiIA0MU;move;[1043, 585]
19;2022-01-20 13:05:10.885000+00:00;it1poRkhhLiIA0MU;move;[1048, 579]
20;2022-01-20 13:05:10.892000+00:00;it1poRkhhLiIA0MU;move;[1056, 571]
21;2022-01-20 13:05:10.899000+00:00;it1poRkhhLiIA0MU;move;[1064, 565]
22;2022-01-20 13:05:10.906000+00:00;it1poRkhhLiIA0MU;move;[1076, 555]
23;2022-01-20 13:05:10.912000+00:00;it1poRkhhLiIA0MU;move;[1088, 545]
24;2022-01-20 13:05:10.919000+00:00;it1poRkhhLiIA0MU;move;[1101, 534]
25;2022-01-20 13:05:10.928000+00:00;it1poRkhhLiIA0MU;move;[1119, 522]
26;2022-01-20 13:05:10.933000+00:00;it1poRkhhLiIA0MU;move;[1131, 514]
27;2022-01-20 13:05:10.940000+00:00;it1poRkhhLiIA0MU;move;[1144, 505]
28;2022-01-20 13:05:10.947000+00:00;it1poRkhhLiIA0MU;move;[1160, 498]
29;2022-01-20 13:05:10.954000+00:00;it1poRkhhLiIA0MU;move;[1175, 491]
30;2022-01-20 13:05:10.961000+00:00;it1poRkhhLiIA0MU;move;[1192, 485]
31;2022-01-20 13:05:10.968000+00:00;it1poRkhhLiIA0MU;move;[1208, 481]
32;2022-01-20 13:05:10.975000+00:00;it1poRkhhLiIA0MU;move;[1223, 476]
33;2022-01-20 13:05:10.982000+00:00;it1poRkhhLiIA0MU;move;[1236, 473]
34;2022-01-20 13:05:10.989000+00:00;it1poRkhhLiIA0MU;move;[1248, 470]
35;2022-01-20 13:05:10.996000+00:00;it1poRkhhLiIA0MU;move;[1258, 467]
36;2022-01-20 13:05:11.003000+00:00;it1poRkhhLiIA0MU;move;[1266, 464]
37;2022-01-20 13:05:11.010000+00:00;it1poRkhhLiIA0MU;move;[1272, 461]
38;2022-01-20 13:05:11.017000+00:00;it1poRkhhLiIA0MU;move;[1278, 458]
39;2022-01-20 13:05:11.024000+00:00;it1poRkhhLiIA0MU;move;[1283, 455]
40;2022-01-20 13:05:11.031000+00:00;it1poRkhhLiIA0MU;move;[1287, 451]
41;2022-01-20 13:05:11.037000+00:00;it1poRkhhLiIA0MU;move;[1291, 447]
42;2022-01-20 13:05:11.044000+00:00;it1poRkhhLiIA0MU;move;[1293, 442]
43;2022-01-20 13:05:11.051000+00:00;it1poRkhhLiIA0MU;move;[1294, 438]
44;2022-01-20 13:05:11.059000+00:00;it1poRkhhLiIA0MU;move;[1296, 434]
45;2022-01-20 13:05:11.065000+00:00;it1poRkhhLiIA0MU;move;[1296, 433]
46;2022-01-20 13:05:11.072000+00:00;it1poRkhhLiIA0MU;move;[1296, 431]
47;2022-01-20 13:05:11.079000+00:00;it1poRkhhLiIA0MU;move;[1296, 430]
48;2022-01-20 13:05:11.132000+00:00;it1poRkhhLiIA0MU;move;[1297, 430]
49;2022-01-20 13:05:11.135000+00:00;it1poRkhhLiIA0MU;move;[1297, 429]
50;2022-01-20 13:05:11.142000+00:00;it1poRkhhLiIA0MU;move;[1299, 429]
51;2022-01-20 13:05:11.149000+00:00;it1poRkhhLiIA0MU;move;[1300, 426]
52;2022-01-20 13:05:11.156000+00:00;it1poRkhhLiIA0MU;move;[1302, 425]
53;2022-01-20 13:05:11.163000+00:00;it1poRkhhLiIA0MU;move;[1303, 422]
54;2022-01-20 13:05:11.169000+00:00;it1poRkhhLiIA0MU;move;[1305, 420]
55;2022-01-20 13:05:11.176000+00:00;it1poRkhhLiIA0MU;move;[1307, 417]
56;2022-01-20 13:05:11.183000+00:00;it1poRkhhLiIA0MU;move;[1308, 414]
57;2022-01-20 13:05:11.190000+00:00;it1poRkhhLiIA0MU;move;[1309, 413]
58;2022-01-20 13:05:11.197000+00:00;it1poRkhhLiIA0MU;move;[1310, 411]
59;2022-01-20 13:05:11.204000+00:00;it1poRkhhLiIA0MU;move;[1311, 409]
60;2022-01-20 13:05:11.211000+00:00;it1poRkhhLiIA0MU;move;[1312, 408]
61;2022-01-20 13:05:11.219000+00:00;it1poRkhhLiIA0MU;move;[1313, 405]
62;2022-01-20 13:05:11.226000+00:00;it1poRkhhLiIA0MU;move;[1313, 404]
63;2022-01-20 13:05:11.232000+00:00;it1poRkhhLiIA0MU;move;[1315, 402]
64;2022-01-20 13:05:11.239000+00:00;it1poRkhhLiIA0MU;move;[1315, 401]
65;2022-01-20 13:05:11.246000+00:00;it1poRkhhLiIA0MU;move;[1316, 398]
66;2022-01-20 13:05:11.253000+00:00;it1poRkhhLiIA0MU;move;[1317, 396]
67;2022-01-20 13:05:11.260000+00:00;it1poRkhhLiIA0MU;move;[1319, 393]
68;2022-01-20 13:05:11.267000+00:00;it1poRkhhLiIA0MU;move;[1320, 391]
69;2022-01-20 13:05:11.274000+00:00;it1poRkhhLiIA0MU;move;[1321, 389]
70;2022-01-20 13:05:11.282000+00:00;it1poRkhhLiIA0MU;move;[1323, 385]
71;2022-01-20 13:05:11.287000+00:00;it1poRkhhLiIA0MU;move;[1324, 385]
72;2022-01-20 13:05:11.294000+00:00;it1poRkhhLiIA0MU;move;[1324, 383]
73;2022-01-20 13:05:11.303000+00:00;it1poRkhhLiIA0MU;move;[1325, 381]
74;2022-01-20 13:05:11.308000+00:00;it1poRkhhLiIA0MU;move;[1326, 381]
75;2022-01-20 13:05:11.315000+00:00;it1poRkhhLiIA0MU;move;[1327, 379]
76;2022-01-20 13:05:11.322000+00:00;it1poRkhhLiIA0MU;move;[1327, 377]
77;2022-01-20 13:05:11.329000+00:00;it1poRkhhLiIA0MU;move;[1328, 375]
78;2022-01-20 13:05:11.336000+00:00;it1poRkhhLiIA0MU;move;[1328, 373]
79;2022-01-20 13:05:11.343000+00:00;it1poRkhhLiIA0MU;move;[1328, 372]
80;2022-01-20 13:05:11.350000+00:00;it1poRkhhLiIA0MU;move;[1328, 370]
81;2022-01-20 13:05:11.357000+00:00;it1poRkhhLiIA0MU;move;[1329, 369]
82;2022-01-20 13:05:11.371000+00:00;it1poRkhhLiIA0MU;move;[1329, 368]
83;2022-01-20 13:05:11.420000+00:00;it1poRkhhLiIA0MU;move;[1329, 367]
84;2022-01-20 13:05:12.714000+00:00;it1poRkhhLiIA0MU;move;[1328, 367]
85;2022-01-20 13:05:12.719000+00:00;it1poRkhhLiIA0MU;move;[1326, 367]
86;2022-01-20 13:05:12.726000+00:00;it1poRkhhLiIA0MU;move;[1322, 367]
87;2022-01-20 13:05:12.732000+00:00;it1poRkhhLiIA0MU;move;[1317, 367]
88;2022-01-20 13:05:12.739000+00:00;it1poRkhhLiIA0MU;move;[1310, 367]
89;2022-01-20 13:05:12.746000+00:00;it1poRkhhLiIA0MU;move;[1300, 367]
90;2022-01-20 13:05:12.753000+00:00;it1poRkhhLiIA0MU;move;[1288, 367]
91;2022-01-20 13:05:12.760000+00:00;it1poRkhhLiIA0MU;move;[1271, 365]
