;time;token;event;global_position
0;2022-01-20 12:58:07.651000+00:00;j7dOQ94SDIxgZX+3;move;[1342, 921]
1;2022-01-20 12:58:07.665000+00:00;j7dOQ94SDIxgZX+3;move;[1342, 917]
2;2022-01-20 12:58:07.682000+00:00;j7dOQ94SDIxgZX+3;move;[1342, 912]
3;2022-01-20 12:58:07.698000+00:00;j7dOQ94SDIxgZX+3;move;[1342, 904]
4;2022-01-20 12:58:07.715000+00:00;j7dOQ94SDIxgZX+3;move;[1340, 892]
5;2022-01-20 12:58:07.731000+00:00;j7dOQ94SDIxgZX+3;move;[1336, 877]
6;2022-01-20 12:58:07.748000+00:00;j7dOQ94SDIxgZX+3;move;[1327, 856]
7;2022-01-20 12:58:07.765000+00:00;j7dOQ94SDIxgZX+3;move;[1314, 823]
8;2022-01-20 12:58:07.782000+00:00;j7dOQ94SDIxgZX+3;move;[1294, 786]
9;2022-01-20 12:58:07.799000+00:00;j7dOQ94SDIxgZX+3;move;[1275, 752]
10;2022-01-20 12:58:07.816000+00:00;j7dOQ94SDIxgZX+3;move;[1254, 714]
11;2022-01-20 12:58:07.832000+00:00;j7dOQ94SDIxgZX+3;move;[1236, 672]
12;2022-01-20 12:58:07.849000+00:00;j7dOQ94SDIxgZX+3;move;[1212, 626]
13;2022-01-20 12:58:07.866000+00:00;j7dOQ94SDIxgZX+3;move;[1185, 575]
14;2022-01-20 12:58:07.881000+00:00;j7dOQ94SDIxgZX+3;move;[1162, 523]
15;2022-01-20 12:58:07.899000+00:00;j7dOQ94SDIxgZX+3;move;[1156, 485]
16;2022-01-20 12:58:07.916000+00:00;j7dOQ94SDIxgZX+3;move;[1155, 461]
17;2022-01-20 12:58:07.932000+00:00;j7dOQ94SDIxgZX+3;move;[1157, 453]
18;2022-01-20 12:58:08.477000+00:00;j7dOQ94SDIxgZX+3;move;[1158, 453]
19;2022-01-20 12:58:08.478000+00:00;j7dOQ94SDIxgZX+3;move;[1158, 452]
20;2022-01-20 12:58:08.483000+00:00;j7dOQ94SDIxgZX+3;move;[1159, 452]
21;2022-01-20 12:58:08.499000+00:00;j7dOQ94SDIxgZX+3;move;[1172, 446]
22;2022-01-20 12:58:08.516000+00:00;j7dOQ94SDIxgZX+3;move;[1191, 439]
23;2022-01-20 12:58:08.532000+00:00;j7dOQ94SDIxgZX+3;move;[1207, 434]
24;2022-01-20 12:58:08.549000+00:00;j7dOQ94SDIxgZX+3;move;[1222, 430]
25;2022-01-20 12:58:08.566000+00:00;j7dOQ94SDIxgZX+3;move;[1231, 427]
26;2022-01-20 12:58:08.582000+00:00;j7dOQ94SDIxgZX+3;move;[1235, 426]
27;2022-01-20 12:58:08.599000+00:00;j7dOQ94SDIxgZX+3;move;[1236, 426]
28;2022-01-20 12:58:08.844000+00:00;j7dOQ94SDIxgZX+3;move;[1237, 425]
