;time;token;event;global_position
0;2022-01-20 13:09:36.755000+00:00;l9Ulwxw2Cb1pszgG;move;[1227, 661]
1;2022-01-20 13:09:36.759000+00:00;l9Ulwxw2Cb1pszgG;move;[1224, 661]
2;2022-01-20 13:09:36.766000+00:00;l9Ulwxw2Cb1pszgG;move;[1220, 659]
3;2022-01-20 13:09:36.773000+00:00;l9Ulwxw2Cb1pszgG;move;[1214, 657]
4;2022-01-20 13:09:36.780000+00:00;l9Ulwxw2Cb1pszgG;move;[1207, 652]
5;2022-01-20 13:09:36.787000+00:00;l9Ulwxw2Cb1pszgG;move;[1199, 648]
6;2022-01-20 13:09:36.794000+00:00;l9Ulwxw2Cb1pszgG;move;[1189, 640]
7;2022-01-20 13:09:36.801000+00:00;l9Ulwxw2Cb1pszgG;move;[1178, 632]
8;2022-01-20 13:09:36.808000+00:00;l9Ulwxw2Cb1pszgG;move;[1164, 622]
9;2022-01-20 13:09:36.815000+00:00;l9Ulwxw2Cb1pszgG;move;[1148, 613]
10;2022-01-20 13:09:36.822000+00:00;l9Ulwxw2Cb1pszgG;move;[1133, 605]
11;2022-01-20 13:09:36.829000+00:00;l9Ulwxw2Cb1pszgG;move;[1113, 594]
12;2022-01-20 13:09:36.836000+00:00;l9Ulwxw2Cb1pszgG;move;[1090, 585]
13;2022-01-20 13:09:36.843000+00:00;l9Ulwxw2Cb1pszgG;move;[1060, 576]
14;2022-01-20 13:09:36.849000+00:00;l9Ulwxw2Cb1pszgG;move;[1032, 566]
15;2022-01-20 13:09:36.857000+00:00;l9Ulwxw2Cb1pszgG;move;[993, 557]
16;2022-01-20 13:09:36.863000+00:00;l9Ulwxw2Cb1pszgG;move;[960, 551]
17;2022-01-20 13:09:36.871000+00:00;l9Ulwxw2Cb1pszgG;move;[908, 541]
18;2022-01-20 13:09:36.877000+00:00;l9Ulwxw2Cb1pszgG;move;[872, 535]
19;2022-01-20 13:09:36.884000+00:00;l9Ulwxw2Cb1pszgG;move;[833, 529]
20;2022-01-20 13:09:36.891000+00:00;l9Ulwxw2Cb1pszgG;move;[804, 521]
21;2022-01-20 13:09:36.898000+00:00;l9Ulwxw2Cb1pszgG;move;[785, 517]
22;2022-01-20 13:09:36.905000+00:00;l9Ulwxw2Cb1pszgG;move;[775, 516]
