;time;token;event;global_position
0;2022-01-13 12:44:11.880000+00:00;lg9t6f3KFGnqQsIo;move;[790, 641]
1;2022-01-13 12:44:11.886000+00:00;lg9t6f3KFGnqQsIo;move;[790, 641]
2;2022-01-13 12:44:11.899000+00:00;lg9t6f3KFGnqQsIo;move;[790, 641]
3;2022-01-13 12:44:11.915000+00:00;lg9t6f3KFGnqQsIo;move;[790, 640]
4;2022-01-13 12:44:11.932000+00:00;lg9t6f3KFGnqQsIo;move;[789, 640]
5;2022-01-13 12:44:11.948000+00:00;lg9t6f3KFGnqQsIo;move;[789, 639]
6;2022-01-13 12:44:11.965000+00:00;lg9t6f3KFGnqQsIo;move;[789, 639]
7;2022-01-13 12:44:11.982000+00:00;lg9t6f3KFGnqQsIo;move;[789, 639]
8;2022-01-13 12:44:11.998000+00:00;lg9t6f3KFGnqQsIo;move;[788, 638]
9;2022-01-13 12:44:12.016000+00:00;lg9t6f3KFGnqQsIo;move;[788, 638]
10;2022-01-13 12:44:12.031000+00:00;lg9t6f3KFGnqQsIo;move;[787, 637]
11;2022-01-13 12:44:12.047000+00:00;lg9t6f3KFGnqQsIo;move;[786, 637]
12;2022-01-13 12:44:12.065000+00:00;lg9t6f3KFGnqQsIo;move;[785, 636]
13;2022-01-13 12:44:12.082000+00:00;lg9t6f3KFGnqQsIo;move;[784, 635]
14;2022-01-13 12:44:12.098000+00:00;lg9t6f3KFGnqQsIo;move;[783, 635]
15;2022-01-13 12:44:12.115000+00:00;lg9t6f3KFGnqQsIo;move;[783, 634]
16;2022-01-13 12:44:12.132000+00:00;lg9t6f3KFGnqQsIo;move;[781, 633]
17;2022-01-13 12:44:12.148000+00:00;lg9t6f3KFGnqQsIo;move;[780, 632]
18;2022-01-13 12:44:12.165000+00:00;lg9t6f3KFGnqQsIo;move;[779, 631]
19;2022-01-13 12:44:12.181000+00:00;lg9t6f3KFGnqQsIo;move;[778, 630]
20;2022-01-13 12:44:12.199000+00:00;lg9t6f3KFGnqQsIo;move;[776, 629]
21;2022-01-13 12:44:12.215000+00:00;lg9t6f3KFGnqQsIo;move;[774, 628]
22;2022-01-13 12:44:12.231000+00:00;lg9t6f3KFGnqQsIo;move;[772, 626]
23;2022-01-13 12:44:12.248000+00:00;lg9t6f3KFGnqQsIo;move;[770, 625]
24;2022-01-13 12:44:12.265000+00:00;lg9t6f3KFGnqQsIo;move;[768, 624]
25;2022-01-13 12:44:12.282000+00:00;lg9t6f3KFGnqQsIo;move;[766, 622]
26;2022-01-13 12:44:12.298000+00:00;lg9t6f3KFGnqQsIo;move;[764, 621]
27;2022-01-13 12:44:12.316000+00:00;lg9t6f3KFGnqQsIo;move;[762, 620]
