;time;token;event;global_position
0;2022-01-20 12:54:43.213000+00:00;lnDf1z48HlsD2ODx;move;[1685, 1258]
1;2022-01-20 12:54:43.220000+00:00;lnDf1z48HlsD2ODx;move;[1686, 1258]
2;2022-01-20 12:54:43.227000+00:00;lnDf1z48HlsD2ODx;move;[1687, 1259]
3;2022-01-20 12:54:43.234000+00:00;lnDf1z48HlsD2ODx;move;[1689, 1260]
4;2022-01-20 12:54:43.241000+00:00;lnDf1z48HlsD2ODx;move;[1691, 1261]
5;2022-01-20 12:54:43.248000+00:00;lnDf1z48HlsD2ODx;move;[1694, 1261]
6;2022-01-20 12:54:43.255000+00:00;lnDf1z48HlsD2ODx;move;[1697, 1261]
7;2022-01-20 12:54:43.261000+00:00;lnDf1z48HlsD2ODx;move;[1700, 1262]
8;2022-01-20 12:54:43.268000+00:00;lnDf1z48HlsD2ODx;move;[1703, 1262]
9;2022-01-20 12:54:43.275000+00:00;lnDf1z48HlsD2ODx;move;[1705, 1262]
10;2022-01-20 12:54:43.282000+00:00;lnDf1z48HlsD2ODx;move;[1707, 1262]
11;2022-01-20 12:54:43.289000+00:00;lnDf1z48HlsD2ODx;move;[1711, 1262]
12;2022-01-20 12:54:43.296000+00:00;lnDf1z48HlsD2ODx;move;[1715, 1261]
13;2022-01-20 12:54:43.303000+00:00;lnDf1z48HlsD2ODx;move;[1719, 1261]
14;2022-01-20 12:54:43.310000+00:00;lnDf1z48HlsD2ODx;move;[1725, 1259]
15;2022-01-20 12:54:43.317000+00:00;lnDf1z48HlsD2ODx;move;[1731, 1257]
16;2022-01-20 12:54:43.324000+00:00;lnDf1z48HlsD2ODx;move;[1738, 1255]
17;2022-01-20 12:54:43.331000+00:00;lnDf1z48HlsD2ODx;move;[1747, 1253]
18;2022-01-20 12:54:43.338000+00:00;lnDf1z48HlsD2ODx;move;[1759, 1248]
19;2022-01-20 12:54:43.345000+00:00;lnDf1z48HlsD2ODx;move;[1772, 1242]
20;2022-01-20 12:54:43.352000+00:00;lnDf1z48HlsD2ODx;move;[1785, 1236]
21;2022-01-20 12:54:43.359000+00:00;lnDf1z48HlsD2ODx;move;[1803, 1227]
22;2022-01-20 12:54:43.366000+00:00;lnDf1z48HlsD2ODx;move;[1817, 1220]
23;2022-01-20 12:54:43.373000+00:00;lnDf1z48HlsD2ODx;move;[1835, 1209]
24;2022-01-20 12:54:43.380000+00:00;lnDf1z48HlsD2ODx;move;[1853, 1196]
25;2022-01-20 12:54:43.386000+00:00;lnDf1z48HlsD2ODx;move;[1871, 1182]
26;2022-01-20 12:54:43.393000+00:00;lnDf1z48HlsD2ODx;move;[1890, 1164]
27;2022-01-20 12:54:43.400000+00:00;lnDf1z48HlsD2ODx;move;[1907, 1143]
28;2022-01-20 12:54:43.407000+00:00;lnDf1z48HlsD2ODx;move;[1923, 1119]
29;2022-01-20 12:54:43.414000+00:00;lnDf1z48HlsD2ODx;move;[1937, 1093]
